Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
1987-06-26,,,,,,,0.38024456793632855,0.4808905717049035,0.2795985641677536,,,
1987-07-17,,,,,,,0.38024456793632855,0.4808905717049035,0.2795985641677536,314.59,307.63,314.59
1987-07-24,0.36,0.5,0.14,1.0,,0.21999999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,311.39,307.81,309.27
1987-07-31,0.26,0.48,0.26,1.0,,0.0,0.38024456793632855,0.4808905717049035,0.2795985641677536,318.66,310.65,318.66
1987-08-07,0.56,0.15,0.29,1.0,,0.2700000000000001,0.38024456793632855,0.4808905717049035,0.2795985641677536,323.0,316.23,323.0
1987-08-14,0.45,0.35,0.2,1.0,,0.25,0.38024456793632855,0.4808905717049035,0.2795985641677536,334.65,323.0,333.99
1987-08-21,0.66,0.28,0.06,1.0,,0.6000000000000001,0.38024456793632855,0.4808905717049035,0.2795985641677536,335.9,329.25,335.9
1987-08-28,0.52,0.18,0.3,1.0,,0.22000000000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,331.38,323.04,323.04
1987-09-04,0.42,0.17,0.41,1.0,,0.010000000000000009,0.38024456793632855,0.4808905717049035,0.2795985641677536,329.79,316.7,316.7
1987-09-11,0.5,0.23,0.27,1.0,0.46625,0.22999999999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,321.98,313.56,321.98
1987-09-18,0.6,0.29,0.11,0.9999999999999999,0.49625,0.49,0.38024456793632855,0.4808905717049035,0.2795985641677536,323.08,314.86,314.86
1987-09-25,0.53,0.17,0.3,1.0,0.53,0.23000000000000004,0.38024456793632855,0.4808905717049035,0.2795985641677536,321.19,310.54,320.16
1987-10-02,0.44,0.26,0.3,1.0,0.5150000000000001,0.14,0.38024456793632855,0.4808905717049035,0.2795985641677536,328.07,321.69,328.07
1987-10-09,0.46,0.39,0.15,1.0,0.5162500000000001,0.31000000000000005,0.38024456793632855,0.4808905717049035,0.2795985641677536,328.08,311.07,311.07
1987-10-16,0.37,0.3,0.33,1.0,0.48000000000000004,0.03999999999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,314.52,282.7,282.7
1987-10-23,0.39,0.3,0.31,1.0,0.46375,0.08000000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,258.39,224.84,248.22
1987-10-30,0.44,0.23,0.33,1.0,0.46625000000000005,0.10999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,251.79,227.67,251.79
1987-11-06,0.47,0.31,0.22,1.0,0.4625,0.24999999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,255.75,248.31,250.41
1987-11-13,0.31,0.41,0.28,1.0,0.42624999999999996,0.02999999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,248.52,239.0,245.64
1987-11-20,0.39,0.42,0.19,1.0,0.40875000000000006,0.2,0.38024456793632855,0.4808905717049035,0.2795985641677536,246.76,240.05,242.0
1987-11-27,0.27,0.46,0.27,1.0,0.3875,0.0,0.38024456793632855,0.4808905717049035,0.2795985641677536,246.39,240.34,240.34
1987-12-04,0.25,0.33,0.42,1.0,0.36125,-0.16999999999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,233.45,223.92,223.92
1987-12-11,0.23,0.45,0.32,1.0,0.34375,-0.09,0.38024456793632855,0.4808905717049035,0.2795985641677536,238.89,228.76,235.32
1987-12-18,0.33,0.4,0.27,1.0,0.33625,0.06,0.38024456793632855,0.4808905717049035,0.2795985641677536,249.16,242.19,249.16
1987-12-24,0.28,0.52,0.2,1.0,0.31625000000000003,0.08000000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,253.16,249.54,252.02
1987-12-31,0.25,0.49,0.26,1.0,0.28875,-0.010000000000000009,0.38024456793632855,0.4808905717049035,0.2795985641677536,247.86,244.59,247.08
1988-01-08,0.34,0.46,0.2,1.0,0.2925,0.14,0.38024456793632855,0.4808905717049035,0.2795985641677536,261.07,243.4,243.4
1988-01-15,0.34,0.4,0.26,1.0,0.28625,0.08000000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,252.05,245.42,252.05
1988-01-22,0.21,0.48,0.31,1.0,0.27875,-0.1,0.38024456793632855,0.4808905717049035,0.2795985641677536,251.88,242.63,246.5
1988-01-29,0.26,0.45,0.29,1.0,0.28,-0.02999999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,257.07,249.38,257.07
1988-02-05,0.32,0.53,0.15,1.0,0.29125,0.17,0.38024456793632855,0.4808905717049035,0.2795985641677536,255.57,250.96,250.96
1988-02-12,0.32,0.46,0.22,1.0,0.29,0.1,0.38024456793632855,0.4808905717049035,0.2795985641677536,257.63,249.1,257.63
1988-02-19,0.27,0.49,0.24,1.0,0.28875,0.030000000000000027,0.38024456793632855,0.4808905717049035,0.2795985641677536,261.61,257.91,261.61
1988-02-26,0.3,0.51,0.19,1.0,0.295,0.10999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,265.64,261.58,262.46
1988-03-04,0.38,0.4,0.22,1.0,0.3,0.16,0.38024456793632855,0.4808905717049035,0.2795985641677536,267.98,267.22,267.3
1988-03-11,0.43,0.4,0.17,1.0,0.31125,0.26,0.38024456793632855,0.4808905717049035,0.2795985641677536,269.43,263.84,264.94
1988-03-18,0.41,0.49,0.1,0.9999999999999999,0.33625000000000005,0.30999999999999994,0.38024456793632855,0.4808905717049035,0.2795985641677536,271.22,266.13,271.12
1988-03-25,0.45,0.38,0.17,1.0,0.36000000000000004,0.28,0.38024456793632855,0.4808905717049035,0.2795985641677536,268.91,258.51,258.51
1988-04-01,0.35,0.45,0.2,1.0,0.36375,0.14999999999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,260.07,258.06,258.89
1988-04-08,0.33,0.48,0.19,1.0,0.36500000000000005,0.14,0.38024456793632855,0.4808905717049035,0.2795985641677536,269.43,256.09,269.43
1988-04-15,0.23,0.53,0.24,1.0,0.36,-0.009999999999999981,0.38024456793632855,0.4808905717049035,0.2795985641677536,271.55,259.75,259.77
1988-04-22,0.23,0.57,0.2,1.0,0.35125,0.03,0.38024456793632855,0.4808905717049035,0.2795985641677536,260.14,256.13,260.14
1988-04-29,0.22,0.48,0.3,1.0,0.33125000000000004,-0.07999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,263.93,261.33,261.33
1988-05-06,0.38,0.42,0.2,1.0,0.325,0.18,0.38024456793632855,0.4808905717049035,0.2795985641677536,263.0,257.48,257.48
1988-05-13,0.19,0.56,0.25,1.0,0.2975,-0.06,0.38024456793632855,0.4808905717049035,0.2795985641677536,257.62,253.31,256.78
1988-05-20,0.23,0.52,0.25,1.0,0.26999999999999996,-0.01999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,258.71,251.35,253.02
1988-05-27,0.28,0.52,0.2,1.0,0.26125,0.08000000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,254.63,250.83,253.42
1988-06-03,0.26,0.62,0.12,1.0,0.2525,0.14,0.38024456793632855,0.4808905717049035,0.2795985641677536,266.69,262.16,266.45
1988-06-10,0.28,0.49,0.23,1.0,0.25875000000000004,0.05000000000000002,0.38024456793632855,0.4808905717049035,0.2795985641677536,271.52,265.17,271.26
1988-06-17,0.29,0.5,0.21,1.0,0.26625,0.07999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,274.44,269.77,270.68
1988-06-24,0.33,0.44,0.23,1.0,0.28,0.1,0.38024456793632855,0.4808905717049035,0.2795985641677536,275.66,268.94,273.78
1988-07-01,0.45,0.38,0.17,1.0,0.28875000000000006,0.28,0.38024456793632855,0.4808905717049035,0.2795985641677536,273.5,269.07,271.78
1988-07-08,0.35,0.5,0.15,1.0,0.30875,0.19999999999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,275.8,270.02,270.02
1988-07-15,0.26,0.37,0.37,1.0,0.3125,-0.10999999999999999,0.38024456793632855,0.4808905717049035,0.2795985641677536,272.05,267.77,272.05
1988-07-22,0.16,0.58,0.26,1.0,0.2975,-0.1,0.38024456793632855,0.4808905717049035,0.2795985641677536,270.51,263.5,263.5
1988-07-29,0.23,0.54,0.23,1.0,0.29375,0.0,0.38024456793632855,0.4808905717049035,0.2795985641677536,272.02,262.5,272.02
