,open,high,low,close,volume
2000-01-03,15.5,15.75,15.25,15.56,696200
2000-01-04,14.75,14.81,14.0,14.5,236000
2000-01-05,14.62,16.19,14.5,15.62,202600
2000-01-06,16.0,17.12,15.31,16.81,673800
2000-01-07,16.81,19.0,16.63,19.0,635900
2000-01-10,19.0,20.62,19.0,19.5,633600
2000-01-11,19.88,20.5,19.56,20.12,636300
2000-01-12,20.12,20.12,19.63,20.12,271400
2000-01-13,20.12,23.81,20.12,23.69,562000
2000-01-14,23.0,23.31,21.75,22.19,600800
2000-01-18,21.25,21.94,21.0,21.25,919100
2000-01-19,21.25,21.5,21.06,21.31,253800
2000-01-20,20.94,21.0,20.0,20.19,418500
2000-01-21,19.63,19.75,18.75,19.25,346000
2000-01-24,19.5,19.88,19.12,19.44,214400
2000-01-25,19.44,19.44,18.25,18.75,168100
2000-01-26,18.75,18.75,17.87,18.13,155300
2000-01-27,18.25,19.5,18.13,18.75,850700
2000-01-28,19.0,19.12,18.56,18.75,386300
2000-01-31,18.75,18.81,18.06,18.13,147100
2000-02-01,19.75,20.19,18.38,18.69,386700
2000-02-02,18.44,19.12,18.44,18.88,391100
2000-02-03,18.75,18.88,18.5,18.75,331200
2000-02-04,18.75,18.75,18.13,18.44,176800
2000-02-07,18.19,18.38,18.13,18.31,132000
2000-02-08,18.38,18.38,17.75,17.87,174200
2000-02-09,17.62,17.62,16.5,17.25,362400
2000-02-10,17.12,17.25,16.75,17.06,150600
2000-02-11,17.06,17.06,16.31,16.5,145200
2000-02-14,16.88,16.88,16.0,16.37,222900
2000-02-15,16.37,16.37,15.69,15.88,679900
2000-02-16,15.81,16.0,15.75,15.94,504100
2000-02-17,15.94,16.75,15.81,16.75,333700
2000-02-18,16.75,16.75,15.44,15.69,2636400
2000-02-22,15.75,16.0,15.56,15.75,353900
2000-02-23,15.75,15.75,15.38,15.5,165500
2000-02-24,15.44,15.44,14.94,15.0,269800
2000-02-25,14.69,14.81,13.75,14.0,499400
2000-02-28,14.0,14.5,13.75,14.5,714800
2000-02-29,14.5,14.62,14.44,14.56,827000
2000-03-01,14.62,15.13,14.56,14.87,342900
2000-03-02,14.94,15.06,14.87,14.94,273200
2000-03-03,14.87,14.94,14.0,14.31,380300
2000-03-06,14.56,14.75,13.88,13.88,218100
2000-03-07,14.0,14.0,12.81,13.06,336000
2000-03-08,13.06,13.12,12.5,12.94,349100
2000-03-09,12.94,13.06,12.75,13.0,391700
2000-03-10,12.94,13.25,12.94,13.0,488600
2000-03-13,13.0,13.19,12.81,12.88,241900
2000-03-14,12.88,12.88,12.0,12.0,337500
2000-03-15,12.31,13.94,12.25,13.69,540100
2000-03-16,13.75,16.31,13.75,16.31,475100
2000-03-17,16.12,16.31,15.5,15.81,211200
2000-03-20,15.75,16.37,15.62,15.94,118300
2000-03-21,15.56,16.0,14.87,16.0,517500
2000-03-22,16.94,16.94,16.0,16.0,213800
2000-03-23,15.81,15.88,15.06,15.06,496200
2000-03-24,15.06,15.5,14.62,15.0,592900
2000-03-27,15.0,15.06,14.75,14.94,72900
2000-03-28,14.81,15.25,14.62,14.94,357400
2000-03-29,15.06,15.38,14.81,15.0,123400
2000-03-30,14.81,14.87,14.19,14.5,140800
2000-03-31,14.5,15.62,14.44,15.0,445100
2000-04-03,14.94,15.13,14.62,14.62,227100
2000-04-04,14.87,15.88,14.25,15.56,585700
2000-04-05,15.44,16.44,15.31,16.06,276900
2000-04-06,16.12,18.0,16.12,16.81,184300
2000-04-07,16.81,17.75,16.44,16.75,182800
2000-04-10,16.69,16.88,15.56,15.56,94800
2000-04-11,16.25,17.25,16.25,17.06,159600
2000-04-12,17.0,17.62,16.75,17.44,137900
2000-04-13,17.38,18.0,17.25,17.81,161300
2000-04-14,17.44,17.5,17.06,17.12,262900
2000-04-17,16.19,17.38,16.0,17.38,166200
2000-04-18,17.19,18.25,17.06,17.94,121000
2000-04-19,18.06,18.5,17.81,18.06,197700
2000-04-20,18.06,18.44,18.06,18.06,101500
2000-04-24,18.0,18.06,17.5,17.87,278100
2000-04-25,18.25,18.75,18.19,18.69,215700
