,open,high,low,close,volume
2000-01-03,37.03,37.31,36.5,36.5,92800
2000-01-04,37.0,37.0,34.0,35.63,17200
2000-01-05,34.13,36.38,33.88,36.13,61400
2000-01-06,35.25,36.13,35.25,36.06,42100
2000-01-07,36.0,36.5,35.13,35.88,34500
2000-01-10,36.13,41.0,35.63,41.0,141300
2000-01-11,40.25,40.88,38.5,39.63,53600
2000-01-12,40.63,40.63,38.63,39.19,40200
2000-01-13,38.5,42.88,38.5,42.0,50800
2000-01-14,42.88,44.88,42.5,42.75,62500
2000-01-18,45.0,52.0,45.0,52.0,107200
2000-01-19,51.5,52.0,47.31,48.75,52600
2000-01-20,47.06,48.88,46.94,47.0,26700
2000-01-21,47.0,60.25,47.0,58.88,299300
2000-01-24,60.25,65.0,59.88,62.75,292800
2000-01-25,63.0,64.5,56.5,57.5,171400
2000-01-26,59.75,59.75,57.5,57.75,50400
2000-01-27,58.5,58.88,57.0,58.0,77500
2000-01-28,58.0,59.0,58.0,58.88,54500
2000-01-31,58.63,59.0,47.63,58.5,136600
2000-02-01,55.5,58.13,55.5,57.5,60300
2000-02-02,57.06,58.0,55.25,56.25,26000
2000-02-03,55.88,55.88,50.0,53.5,84600
2000-02-04,53.75,57.0,53.75,55.13,25100
2000-02-07,60.38,62.75,56.88,59.13,71000
2000-02-08,58.38,59.13,56.69,56.75,16600
2000-02-09,59.19,59.38,52.25,54.75,15400
2000-02-10,57.81,60.44,57.81,58.88,26100
2000-02-11,58.13,59.13,56.88,59.0,19700
2000-02-14,59.0,59.88,57.75,58.5,10100
2000-02-15,58.5,65.13,58.5,65.0,98000
2000-02-16,65.0,74.13,64.5,70.75,129400
2000-02-17,70.06,82.75,69.88,82.63,189000
2000-02-18,80.56,82.25,76.75,81.5,185600
2000-02-22,78.5,81.0,72.38,73.88,109000
2000-02-23,73.88,74.13,70.75,71.11,64700
2000-02-24,71.0,72.75,70.75,71.25,39700
2000-02-25,72.88,80.25,72.63,75.25,94100
2000-02-28,75.0,75.38,71.25,74.0,116500
2000-02-29,75.0,82.0,73.0,73.94,242500
2000-03-01,68.13,69.94,66.06,67.25,1620300
2000-03-02,68.13,68.25,64.5,64.63,145800
2000-03-03,66.75,68.75,65.5,67.75,282500
2000-03-06,67.88,68.13,67.5,68.13,170900
2000-03-07,68.0,68.0,64.0,64.25,187500
2000-03-08,65.69,65.75,57.88,59.0,305200
2000-03-09,59.5,61.25,59.25,61.25,377600
2000-03-10,61.5,64.0,61.5,61.5,158100
2000-03-13,62.0,62.0,53.0,56.63,99100
2000-03-14,57.88,57.88,50.75,52.69,183400
2000-03-15,52.75,53.25,43.88,45.75,165600
2000-03-16,49.63,51.13,45.5,46.0,126100
2000-03-17,48.25,54.0,47.0,51.5,111800
2000-03-20,51.56,54.63,46.0,46.0,62800
2000-03-21,45.63,48.5,41.63,48.5,91200
2000-03-22,53.25,55.5,48.94,54.25,114100
2000-03-23,54.38,56.0,50.0,50.63,65600
2000-03-24,51.0,51.12,48.12,48.12,40700
2000-03-27,49.06,49.06,44.25,45.13,55900
2000-03-28,46.5,50.13,44.63,46.0,45100
2000-03-29,46.63,47.25,43.0,43.94,42800
2000-03-30,42.5,43.5,37.44,38.13,189700
2000-03-31,40.25,40.88,36.88,40.5,87600
2000-04-03,39.5,40.88,37.0,38.25,104100
2000-04-04,38.31,39.25,31.75,37.38,218600
2000-04-05,37.25,37.25,34.75,36.25,80300
2000-04-06,37.25,43.5,36.75,41.5,190200
2000-04-07,41.63,43.25,39.0,40.0,26200
2000-04-10,41.75,42.5,40.0,40.25,38700
2000-04-11,40.38,40.38,37.0,38.88,71700
2000-04-12,38.88,38.88,32.88,33.5,59900
2000-04-13,34.0,34.69,31.02,33.13,99100
2000-04-14,32.63,32.63,28.38,30.0,124500
2000-04-17,29.25,33.25,25.25,27.75,90100
2000-04-18,30.53,33.31,28.0,32.06,76800
2000-04-19,32.06,35.06,31.88,33.5,59200
2000-04-20,34.5,35.88,34.06,35.44,36900
2000-04-24,34.13,34.94,33.75,33.88,18000
2000-04-25,33.31,34.0,31.75,33.63,37400
2000-04-26,34.0,35.38,32.44,34.75,32600
2000-04-27,33.38,34.88,32.75,34.0,20700
2000-04-28,34.5,38.5,33.0,37.13,41000
2000-05-01,36.06,37.88,34.63,34.69,35900
2000-05-02,35.88,35.88,33.88,34.75,62900
2000-05-03,35.0,35.75,34.75,35.25,58400
2000-05-04,35.25,40.13,35.25,39.25,37800
2000-05-05,38.63,45.0,38.63,42.88,53300
2000-05-08,42.38,44.0,41.0,43.75,31200
2000-05-09,42.88,43.81,41.0,41.0,38700
2000-05-10,41.5,41.98,35.5,40.25,37000
2000-05-11,40.0,42.0,39.75,40.31,28500
2000-05-12,40.5,41.56,39.63,39.63,27100
2000-05-15,40.13,41.5,39.63,39.88,27800
2000-05-16,40.44,40.44,37.25,39.19,58500
2000-05-17,39.19,39.19,38.0,38.13,116800
2000-05-18,39.25,41.81,39.13,40.25,26800
2000-05-19,39.75,41.0,39.25,39.75,37500
2000-05-22,41.0,41.0,38.5,38.75,43900
2000-05-23,38.75,39.13,38.38,38.44,29600
2000-05-24,38.5,39.48,33.75,39.48,85800
2000-05-25,39.25,41.56,38.63,40.5,38600
2000-05-26,37.5,39.5,37.5,38.88,41500
2000-05-30,40.0,40.5,37.5,37.81,40900
2000-05-31,40.0,40.0,37.75,38.0,30600
2000-06-01,39.19,39.81,38.5,38.94,23900
2000-06-02,39.75,41.13,39.25,40.5,50400
2000-06-05,40.5,41.5,39.69,41.0,40800
2000-06-06,41.5,41.5,40.0,40.88,21200
2000-06-07,40.88,40.88,39.25,39.88,13100
2000-06-08,39.72,39.88,39.25,39.25,20400
2000-06-09,39.0,40.75,39.0,40.44,35000
2000-06-12,39.25,39.81,38.06,39.81,36400
2000-06-13,39.5,39.5,35.75,37.13,83500
2000-06-14,37.13,37.25,35.88,37.0,31700
2000-06-15,37.13,37.13,34.13,34.13,35200
2000-06-16,34.0,36.25,32.0,36.13,92800
2000-06-19,36.13,36.38,35.25,35.38,18300
2000-06-20,35.88,35.88,33.0,33.63,39200
2000-06-21,33.75,36.13,33.44,36.0,69000
2000-06-22,35.38,37.25,35.25,35.75,80100
2000-06-23,35.63,36.0,34.19,34.19,19800
2000-06-26,35.0,35.13,33.5,34.0,133300
2000-06-27,34.0,34.25,29.13,29.44,148500
2000-06-28,30.25,33.75,30.25,31.13,83800
2000-06-29,31.0,36.25,31.0,32.25,84300
2000-06-30,34.0,40.0,30.75,30.75,241100
2000-07-03,31.19,34.13,31.19,33.5,48000
2000-07-05,33.5,35.31,32.56,35.19,50800
2000-07-06,35.19,35.88,34.0,35.0,26200
2000-07-07,35.75,36.13,34.5,36.13,50700
2000-07-10,36.0,37.44,35.88,37.19,60500
2000-07-11,36.38,41.0,36.38,40.31,123100
2000-07-12,40.06,43.63,40.0,43.0,124900
2000-07-13,43.06,44.63,42.88,43.94,77500
2000-07-14,44.94,45.63,44.81,45.63,83900
2000-07-17,45.75,48.0,45.69,47.88,66000
2000-07-18,47.88,48.13,42.06,43.94,124500
2000-07-19,44.06,45.88,43.25,44.5,58100
2000-07-20,44.63,45.13,43.31,44.56,52300
2000-07-21,44.88,45.13,44.5,45.0,45600
2000-07-24,45.0,45.25,41.25,42.13,35600
2000-07-25,42.56,45.25,42.25,45.06,62900
2000-07-26,44.88,47.63,44.0,47.44,64300
2000-07-27,47.5,47.5,43.38,44.0,103500
2000-07-28,42.19,42.38,37.88,40.09,41200
2000-07-31,40.5,41.5,38.77,39.75,55000
2000-08-01,39.25,40.25,38.5,40.0,59100
2000-08-02,39.88,40.13,37.39,39.0,25300
2000-08-03,37.63,39.25,37.63,39.25,14900
2000-08-04,39.5,42.13,39.5,42.0,75800
2000-08-07,42.0,42.31,40.0,40.19,23000
2000-08-08,42.5,42.5,40.38,40.44,29500
2000-08-09,40.78,41.06,39.38,39.38,28400
2000-08-10,39.25,40.31,38.31,40.31,23400
2000-08-11,40.38,40.38,38.5,39.63,12300
2000-08-14,41.44,43.5,41.44,42.38,46600
2000-08-15,42.81,43.0,42.0,42.0,25400
2000-08-16,42.5,43.13,42.5,43.0,36100
2000-08-17,42.56,43.19,42.56,42.88,61300
2000-08-18,43.19,45.0,43.19,45.0,35100
2000-08-21,44.88,47.63,44.31,46.0,35400
2000-08-22,46.75,47.19,46.06,46.06,50600
2000-08-23,46.97,49.19,46.56,48.44,88200
2000-08-24,49.13,55.25,49.13,55.13,112600
2000-08-25,54.63,60.25,54.5,55.63,73100
2000-08-28,56.5,58.75,50.38,52.25,69400
2000-08-29,53.0,54.88,51.75,54.25,37500
2000-08-30,55.25,59.88,54.88,59.88,61000
2000-08-31,60.0,63.63,59.75,60.38,124700
2000-09-01,60.44,63.0,58.63,62.63,58800
2000-09-05,62.06,62.06,59.25,60.0,69400
2000-09-06,60.0,60.5,55.5,56.0,96600
2000-09-07,56.5,56.5,53.5,54.75,66800
2000-09-08,54.81,58.5,54.75,56.13,42700
2000-09-11,56.75,58.44,56.63,57.13,29000
2000-09-12,57.25,58.0,54.5,56.13,27700
2000-09-13,56.38,56.38,52.88,55.38,28300
2000-09-14,55.31,57.06,54.25,56.25,55700
2000-09-15,57.03,57.03,51.0,54.25,68300
2000-09-18,55.25,57.88,54.44,55.5,46300
2000-09-19,56.0,59.0,55.44,57.19,32500
2000-09-20,58.13,61.0,57.5,59.94,57200
2000-09-21,61.06,64.0,59.5,61.5,60900
2000-09-22,58.0,62.69,58.0,61.44,54600
2000-09-25,61.63,64.75,61.38,64.5,70000
