,open,high,low,close,volume
2000-01-03,12.0,12.06,11.94,12.0,984600
2000-01-04,11.81,12.19,11.81,11.88,1088000
2000-01-05,11.88,11.88,11.69,11.69,1087900
2000-01-06,11.63,11.88,11.56,11.75,899900
2000-01-07,11.88,12.0,11.81,11.94,1186100
2000-01-10,12.0,12.19,11.94,11.94,1484400
2000-01-11,11.94,11.94,11.75,11.75,1092900
2000-01-12,11.81,12.13,11.75,12.06,1357300
2000-01-13,12.0,12.31,11.94,12.0,2939900
2000-01-14,12.13,12.56,11.94,12.5,2805400
2000-01-18,12.56,13.25,12.56,13.06,2991200
2000-01-19,13.06,13.44,13.0,13.38,2480500
2000-01-20,13.38,13.44,12.75,13.06,1527000
2000-01-21,13.44,13.44,12.81,13.0,1124300
2000-01-24,13.0,13.06,12.25,12.38,1049500
2000-01-25,12.25,12.31,12.13,12.25,1152600
2000-01-26,12.06,12.25,12.06,12.19,1253300
2000-01-27,12.13,12.19,11.88,12.0,1256200
2000-01-28,12.06,12.19,11.75,11.81,1231400
2000-01-31,11.88,12.0,11.63,11.75,1482000
2000-02-01,11.75,12.19,11.63,12.0,1291600
2000-02-02,11.88,11.94,11.75,11.75,812800
2000-02-03,11.81,11.88,11.69,11.75,729700
2000-02-04,11.75,12.13,11.75,11.75,970500
2000-02-07,11.75,11.94,11.69,11.75,618600
2000-02-08,11.75,11.88,11.69,11.69,640100
2000-02-09,11.69,11.69,11.06,11.25,2424100
2000-02-10,11.31,11.56,10.88,10.94,1891900
2000-02-11,11.06,11.44,10.94,10.94,1266800
2000-02-14,11.13,11.38,11.0,11.13,1215800
2000-02-15,11.13,11.38,11.06,11.19,1021700
2000-02-16,11.13,11.38,11.06,11.38,719200
2000-02-17,11.38,11.5,11.25,11.44,958600
2000-02-18,11.38,11.5,11.38,11.44,1192100
2000-02-22,11.38,11.56,11.25,11.44,1123800
2000-02-23,11.38,11.44,11.06,11.06,959300
2000-02-24,11.06,11.06,10.75,11.0,1144700
2000-02-25,11.0,11.19,10.69,10.69,2071100
2000-02-28,10.69,11.31,10.5,10.56,2032200
2000-02-29,10.56,10.75,10.06,10.06,2621400
2000-03-01,9.938,10.38,9.938,10.31,2075700
2000-03-02,10.19,10.25,9.875,9.938,1665000
2000-03-03,9.938,10.5,9.875,10.38,2056300
2000-03-06,10.06,10.31,9.875,9.875,1478800
2000-03-07,9.875,9.875,9.563,9.563,1299300
