,open,high,low,close,volume
2000-01-03,30.25,30.25,29.5,29.5,100600
2000-01-04,28.47,30.0,27.75,27.75,154800
2000-01-05,27.5,28.88,27.38,28.63,84700
2000-01-06,29.0,31.0,29.0,31.0,200100
2000-01-07,30.0,33.25,29.5,33.0,187300
2000-01-10,35.25,37.44,32.25,33.13,363800
2000-01-11,33.88,34.5,29.13,30.0,115000
2000-01-12,30.0,30.5,28.88,29.63,186400
2000-01-13,30.75,35.13,29.63,34.88,190500
2000-01-14,35.38,36.5,34.5,34.63,184500
2000-01-18,34.63,34.63,33.06,33.06,112600
2000-01-19,33.44,34.38,33.13,34.13,47300
2000-01-20,35.0,40.0,34.75,39.88,253400
2000-01-21,40.25,45.88,40.0,44.13,481700
2000-01-24,46.25,50.13,46.0,47.06,519600
2000-01-25,46.06,47.63,45.5,47.63,145700
2000-01-26,46.19,49.0,46.0,48.63,97700
2000-01-27,49.0,49.38,46.52,47.56,343900
2000-01-28,47.25,48.0,43.25,47.25,162500
2000-01-31,48.47,48.47,39.81,43.75,228500
2000-02-01,44.25,45.13,42.31,44.38,73000
2000-02-02,45.0,53.0,44.25,50.5,463100
2000-02-03,52.06,58.0,51.0,56.0,186000
2000-02-04,56.5,58.75,54.31,54.63,419300
2000-02-07,54.44,57.38,53.0,53.69,305300
2000-02-08,53.88,54.13,51.0,51.44,220100
2000-02-09,51.5,53.0,51.5,51.88,185200
2000-02-10,52.06,57.38,51.88,55.88,195800
2000-02-11,66.06,67.06,59.0,62.75,314000
2000-02-14,60.75,68.0,60.75,62.5,121700
2000-02-15,64.88,75.0,61.13,75.0,229600
2000-02-16,79.63,93.25,79.5,87.38,426000
2000-02-17,90.75,91.88,76.19,84.13,302800
2000-02-18,85.5,85.5,73.5,76.0,188100
2000-02-22,77.88,78.88,71.02,75.13,113700
2000-02-23,76.25,77.75,72.25,76.0,246200
2000-02-24,76.13,84.5,75.44,79.25,319000
2000-02-25,72.81,81.38,71.0,80.88,332300
2000-02-28,89.0,90.0,78.88,82.63,164400
2000-02-29,88.0,88.0,83.25,85.25,452800
2000-03-01,86.25,119.9,85.88,115.5,441500
2000-03-02,118.9,119.9,96.0,96.75,367000
2000-03-03,97.31,101.8,94.38,99.63,733100
2000-03-06,99.5,101.0,96.88,100.4,472000
2000-03-07,103.0,106.4,100.0,102.0,372800
2000-03-08,103.0,103.0,93.88,100.4,396300
2000-03-09,99.63,99.63,96.13,96.75,265400
2000-03-10,95.75,97.0,92.25,93.0,441400
2000-03-13,91.0,93.0,82.25,90.0,332200
2000-03-14,90.5,96.0,75.0,77.0,400900
2000-03-15,78.75,79.5,68.0,73.0,294600
2000-03-16,74.19,78.0,74.0,77.13,307900
2000-03-17,78.13,91.0,77.0,86.5,297000
2000-03-20,88.0,93.0,75.0,77.13,252400
2000-03-21,78.0,78.0,66.0,70.0,252100
2000-03-22,71.0,79.69,70.5,79.69,154700
2000-03-23,79.63,84.0,73.5,81.25,105500
2000-03-24,80.5,82.13,76.88,79.19,115500
2000-03-27,79.13,85.25,79.13,84.5,217600
2000-03-28,84.25,85.0,74.25,84.94,157900
2000-03-29,85.0,85.5,68.0,69.88,228500
2000-03-30,67.75,68.06,48.06,48.06,302000
