,open,high,low,close,volume
2000-01-03,19.0,19.0,18.88,19.0,85393
2000-01-04,19.0,19.13,18.88,18.94,37689
2000-01-05,18.88,19.0,18.81,18.94,20889
2000-01-06,19.13,19.19,18.5,19.0,19289
2000-01-07,18.88,19.44,18.88,19.25,27200
2000-01-10,19.38,20.0,19.31,19.88,13289
2000-01-11,19.75,19.75,19.19,19.31,76400
2000-01-12,19.19,19.38,19.13,19.38,11689
2000-01-13,19.25,19.44,19.0,19.13,18681
2000-01-14,19.13,19.25,18.88,18.94,27600
2000-01-18,19.0,19.88,18.94,19.88,40681
2000-01-19,19.81,19.91,19.38,19.5,87793
2000-01-20,19.5,19.69,19.38,19.63,34889
2000-01-21,19.5,19.56,19.44,19.56,66993
2000-01-24,19.56,19.63,18.81,18.81,27793
2000-01-25,18.63,18.63,18.19,18.5,36800
2000-01-26,18.63,19.0,18.44,19.0,34089
2000-01-27,19.25,20.13,19.13,20.06,80193
2000-01-28,20.0,20.44,19.75,20.44,69600
2000-01-31,20.75,22.0,20.63,22.0,64089
2000-02-01,22.0,22.13,19.75,19.75,77481
2000-02-02,19.88,19.88,18.63,18.63,124400
2000-02-03,18.63,18.69,18.06,18.31,49689
2000-02-04,18.25,18.38,18.0,18.19,23289
2000-02-07,18.19,18.19,17.81,17.94,18400
2000-02-08,18.0,18.25,17.5,17.88,94681
2000-02-09,17.94,17.94,17.19,17.5,35200
2000-02-10,17.5,17.5,16.31,16.5,64281
2000-02-11,16.5,17.94,16.5,17.94,160089
2000-02-14,17.88,17.94,17.69,17.94,22089
2000-02-15,18.0,18.19,17.81,17.94,77689
2000-02-16,17.88,18.0,17.69,17.69,44681
2000-02-17,17.63,18.0,17.63,17.94,57081
2000-02-18,17.94,17.94,17.63,17.69,17200
2000-02-22,17.69,18.13,17.31,18.13,29200
2000-02-23,18.13,18.13,17.31,17.5,52400
2000-02-24,17.44,17.44,17.13,17.13,33881
2000-02-25,17.0,17.69,16.75,17.25,52000
2000-02-28,17.13,17.13,16.63,16.81,29081
2000-02-29,16.81,17.06,16.69,16.94,49481
2000-03-01,16.94,18.5,16.25,18.5,109481
2000-03-02,18.38,18.38,17.75,17.81,37081
2000-03-03,17.75,17.75,17.25,17.44,38281
2000-03-06,17.44,17.56,17.25,17.56,45689
2000-03-07,17.56,17.56,17.25,17.44,84889
2000-03-08,17.31,17.81,17.31,17.75,47793
2000-03-09,17.81,17.81,17.38,17.44,61689
2000-03-10,17.19,17.25,16.75,16.75,46593
2000-03-13,16.81,17.38,16.75,17.19,37200
2000-03-14,17.31,17.31,15.5,16.0,148593
2000-03-15,16.0,16.13,15.75,16.13,80000
2000-03-16,16.13,17.06,16.13,17.06,85881
2000-03-17,16.56,17.81,16.56,17.81,75289
2000-03-20,17.69,17.94,17.69,17.88,24593
2000-03-21,17.75,17.81,17.31,17.56,24089
2000-03-22,17.69,18.19,17.69,18.19,65289
2000-03-23,18.31,18.94,18.31,18.44,63881
2000-03-24,18.81,18.94,18.56,18.75,48489
2000-03-27,18.88,19.0,18.63,18.63,56800
2000-03-28,18.5,18.5,17.63,17.69,25393
2000-03-29,17.81,17.88,17.19,17.44,22681
2000-03-30,17.5,19.44,17.5,19.0,64281
2000-03-31,19.06,20.0,19.06,19.25,95481
2000-04-03,19.06,19.75,18.94,19.69,100089
2000-04-04,19.69,19.75,19.56,19.63,45881
2000-04-05,19.63,19.94,19.56,19.63,38000
