Date,Open,High,Low,Close,Adj Close,Volume
1997-05-28,20.625,21.375,20.625,21.0,8.898605346679688,1862700
1997-05-29,21.0,21.375,21.0,21.375,9.057507514953613,296800
1997-05-30,21.125,22.125,21.125,22.0,9.322343826293945,220400
1997-06-02,22.125,22.25,21.5,22.0,9.322343826293945,66800
1997-06-03,21.75,22.125,21.625,22.125,9.375312805175781,180000
1997-06-04,22.25,22.25,21.75,21.875,9.269373893737793,99900
1997-06-05,21.5,21.875,21.25,21.875,9.269373893737793,291600
1997-06-06,21.5,21.5,21.5,21.5,9.110472679138184,0
1997-06-09,21.5,21.5,21.5,21.5,9.110472679138184,0
1997-06-10,21.5,21.75,21.5,21.75,9.216411590576172,57600
1997-06-11,21.375,21.625,21.125,21.25,9.004537582397461,146600
1997-06-12,21.25,21.625,21.125,21.375,9.057507514953613,73300
1997-06-13,21.25,21.375,21.25,21.25,9.004537582397461,134200
1997-06-16,21.25,21.625,21.25,21.625,9.16344165802002,73200
1997-06-17,21.375,21.5,21.375,21.375,9.057507514953613,53300
1997-06-18,21.5,21.625,21.375,21.5,9.110472679138184,54100
1997-06-19,21.5,21.625,21.5,21.5,9.110472679138184,44100
1997-06-20,21.5,21.75,21.5,21.625,9.16344165802002,37800
1997-06-23,21.625,21.875,21.375,21.375,9.057507514953613,80800
1997-06-24,21.5,21.5,21.25,21.5,9.110472679138184,116000
1997-06-25,21.5,21.625,21.25,21.625,9.16344165802002,127400
1997-06-26,21.625,21.75,21.5,21.625,9.16344165802002,52100
1997-06-27,21.5,21.875,21.375,21.75,9.216411590576172,44500
1997-06-30,21.75,21.875,21.375,21.875,9.269373893737793,60300
1997-07-01,21.625,22.625,21.625,22.5,9.534217834472656,121300
1997-07-02,22.5,22.5,22.125,22.5,9.534217834472656,77300
1997-07-03,22.625,22.75,22.375,22.75,9.64015007019043,46000
1997-07-07,22.75,23.0,22.625,22.75,9.64015007019043,122200
1997-07-08,22.75,22.75,22.375,22.75,9.64015007019043,50400
1997-07-09,22.75,22.875,22.5,22.75,9.64015007019043,97000
1997-07-10,22.75,22.875,22.625,22.75,9.64015007019043,99000
1997-07-11,22.75,22.875,22.25,22.875,9.69311809539795,136100
1997-07-14,22.875,23.875,22.875,23.5,9.95795726776123,106600
1997-07-15,23.25,24.0,23.25,23.75,10.063894271850586,85400
1997-07-16,24.0,24.25,23.75,24.0,10.169831275939941,68800
1997-07-17,23.75,24.125,23.625,23.875,10.116859436035156,53000
1997-07-18,23.75,23.875,23.75,23.875,10.116859436035156,126500
1997-07-21,23.875,24.0,23.75,24.0,10.169831275939941,111800
1997-07-22,24.0,24.0,23.75,24.0,10.169831275939941,38800
1997-07-23,24.0,24.25,23.875,24.25,10.275769233703613,180000
1997-07-24,24.0,24.125,24.0,24.0,10.169831275939941,47600
1997-07-25,24.125,24.25,24.0,24.25,10.275769233703613,25500
1997-07-28,24.25,24.5,24.125,24.25,10.275769233703613,96800
1997-07-29,24.25,24.375,24.0,24.375,10.32873249053955,19900
1997-07-30,24.375,24.625,24.375,24.5,10.381699562072754,59600
1997-07-31,24.625,25.0,24.625,24.625,10.434671401977539,83500
1997-08-01,24.75,25.0,24.625,24.75,10.487630844116211,18700
1997-08-04,24.625,25.75,24.625,25.75,10.911381721496582,25700
1997-08-05,25.625,25.625,24.875,25.5,10.805447578430176,393700
1997-08-06,25.5,25.5,25.25,25.375,10.752480506896973,59700
1997-08-07,25.625,25.75,25.5,25.5,10.805447578430176,23800
1997-08-08,25.5,26.0,25.375,26.0,11.017317771911621,25500
1997-08-11,26.125,26.125,25.625,25.625,10.858409881591797,9600
1997-08-12,25.75,25.875,25.5,25.5,10.805447578430176,44600
1997-08-13,25.5,25.75,25.5,25.5,10.805447578430176,47300
