,open,high,low,close,volume
2000-01-03,15.75,16.5,14.0,16.44,602150
2000-01-04,16.12,16.25,14.25,15.94,355200
2000-01-05,15.81,16.37,15.75,16.0,282417
2000-01-06,15.88,16.0,15.56,15.69,202417
2000-01-07,15.88,16.25,15.5,16.12,1295750
2000-01-10,16.25,17.0,15.88,16.94,912550
2000-01-11,17.0,18.25,16.88,17.69,892550
2000-01-12,17.25,17.25,16.37,16.94,224017
2000-01-13,16.88,17.25,16.5,17.12,272267
2000-01-14,16.88,17.12,16.69,16.94,212817
2000-01-18,17.0,17.44,16.94,17.0,205067
2000-01-19,17.12,17.12,16.69,16.75,299467
2000-01-20,16.63,17.0,15.62,15.81,444967
2000-01-21,15.78,15.81,14.87,15.13,955033
2000-01-24,15.03,15.19,14.75,15.0,421350
2000-01-25,15.13,15.13,13.59,14.5,509433
2000-01-26,14.75,16.5,14.5,15.88,978833
2000-01-27,17.25,17.62,16.25,17.19,779033
2000-01-28,16.75,17.0,16.12,16.37,242833
2000-01-31,16.56,16.63,15.5,15.62,122400
2000-02-01,15.78,17.5,15.75,16.88,192967
2000-02-02,17.0,17.69,16.5,17.38,515567
2000-02-03,17.44,17.62,17.19,17.56,541767
2000-02-04,17.53,17.56,15.0,15.75,2108267
2000-02-07,15.13,15.31,14.94,15.0,856633
2000-02-08,15.13,15.25,14.25,14.75,603750
2000-02-09,14.75,14.94,14.38,14.53,210833
2000-02-10,14.87,14.87,14.38,14.44,216633
2000-02-11,14.75,15.0,14.56,14.87,148967
2000-02-14,14.87,15.0,14.25,14.38,180367
2000-02-15,14.56,14.56,14.0,14.0,206233
2000-02-16,14.38,14.69,14.0,14.02,235033
2000-02-17,14.38,14.56,14.0,14.03,203200
2000-02-18,14.25,14.5,12.62,13.5,464550
2000-02-22,13.5,13.81,13.06,13.37,116433
2000-02-23,13.5,13.5,12.88,13.06,106150
2000-02-24,13.25,13.25,12.75,13.12,133617
2000-02-25,13.25,13.25,12.62,12.75,248800
2000-02-28,12.69,12.88,12.5,12.56,230233
2000-02-29,12.5,12.88,12.5,12.69,232800
2000-03-01,12.88,15.0,12.75,14.5,1367033
2000-03-02,14.78,15.0,14.12,14.5,203200
2000-03-03,14.5,15.06,14.12,14.81,1026667
2000-03-06,15.0,15.0,14.25,14.38,184817
2000-03-07,14.5,14.81,13.19,13.75,229867
2000-03-08,13.75,13.75,13.14,13.19,160367
2000-03-09,13.5,14.44,13.44,14.44,169767
2000-03-10,14.44,14.81,14.25,14.31,431200
2000-03-13,14.5,14.5,13.5,13.56,136017
2000-03-14,13.81,14.06,13.0,13.88,223750
2000-03-15,14.0,14.0,12.81,13.0,615567
2000-03-16,13.75,13.75,12.94,13.0,168550
2000-03-17,12.88,13.63,12.88,13.09,272800
2000-03-20,13.25,14.12,13.16,13.5,188967
2000-03-21,13.81,14.0,13.25,13.44,70033
2000-03-22,13.63,13.94,13.31,13.37,96367
2000-03-23,13.31,13.5,12.62,12.88,188800
2000-03-24,13.0,13.63,12.75,13.63,383217
2000-03-27,13.37,13.63,13.12,13.12,219467
2000-03-28,13.25,13.5,13.12,13.19,149233
2000-03-29,13.25,13.5,12.75,13.12,185867
2000-03-30,13.0,13.0,12.81,12.88,222033
2000-03-31,13.0,13.0,11.62,12.06,441967
2000-04-03,12.16,12.16,10.63,11.12,455833
2000-04-04,11.12,11.12,10.25,10.63,611633
2000-04-05,10.37,11.25,10.19,10.69,434033
2000-04-06,10.75,11.38,10.69,11.06,215200
2000-04-07,11.0,11.06,7.63,8.06,8546567
2000-04-10,8.87,8.87,8.0,8.06,1724633
2000-04-11,8.06,8.12,6.75,7.03,624267
2000-04-12,7.19,7.31,6.31,6.94,753067
2000-04-13,7.06,7.12,6.81,6.88,222150
2000-04-14,6.69,6.75,6.38,6.5,531033
2000-04-17,6.5,6.56,5.87,6.38,1138767
2000-04-18,6.31,6.56,6.0,6.31,442667
2000-04-19,6.62,6.69,6.19,6.22,232800
2000-04-20,6.25,6.69,6.25,6.69,1061767
2000-04-24,6.62,6.75,6.31,6.56,296817
2000-04-25,6.69,7.0,6.25,6.91,2629967
2000-04-26,7.06,7.31,6.66,6.67,460550
2000-04-27,6.75,6.78,6.62,6.75,460433
2000-04-28,6.97,7.0,6.13,6.25,774767
2000-05-01,6.5,6.97,6.25,6.25,1034400
2000-05-02,6.56,7.12,6.44,6.81,369600
2000-05-03,6.59,6.75,6.47,6.59,299367
2000-05-04,6.62,6.94,6.62,6.91,102950
2000-05-05,6.88,7.5,6.69,7.37,273067
2000-05-08,7.56,8.12,7.5,7.5,536267
2000-05-09,7.56,7.88,7.06,7.28,220167
2000-05-10,5.75,6.25,5.5,6.13,1973233
2000-05-11,6.16,6.75,6.0,6.75,569600
2000-05-12,6.56,7.12,6.5,6.88,696017
2000-05-15,7.0,7.34,6.69,7.3,513867
2000-05-16,7.25,7.31,6.88,7.12,439217
2000-05-17,6.94,7.0,6.62,7.0,475833
2000-05-18,7.0,7.06,6.56,6.69,530150
2000-05-19,6.5,6.81,6.5,6.75,192800
2000-05-22,6.75,6.78,6.03,6.13,241433
2000-05-23,6.16,6.31,6.16,6.28,114417
2000-05-24,6.28,6.5,6.06,6.5,296367
2000-05-25,6.56,6.62,6.19,6.31,233067
2000-05-26,6.28,6.5,5.94,6.13,145967
2000-05-30,6.13,6.44,6.13,6.38,200800
2000-05-31,6.41,6.41,6.13,6.19,131467
2000-06-01,6.19,6.28,6.16,6.19,207633
2000-06-02,6.34,7.06,6.13,7.06,1171567
2000-06-05,6.75,7.0,5.94,6.88,253767
2000-06-06,6.75,6.75,6.5,6.69,296817
2000-06-07,6.52,6.66,6.5,6.62,183750
2000-06-08,6.62,6.69,6.22,6.69,211567
2000-06-09,6.62,6.69,6.5,6.56,174400
2000-06-12,6.59,6.62,6.28,6.31,126833
2000-06-13,6.34,6.69,6.13,6.2,145767
2000-06-14,6.38,6.38,6.19,6.22,475567
2000-06-15,6.25,6.34,6.16,6.19,100633
2000-06-16,6.34,6.38,5.94,6.13,259033
2000-06-19,6.06,6.25,5.97,6.25,129433
2000-06-20,6.0,6.13,5.97,6.13,308367
2000-06-21,6.06,6.19,6.0,6.09,113617
2000-06-22,6.06,6.09,5.97,6.03,160550
2000-06-23,6.0,6.03,5.38,5.87,317967
2000-06-26,5.94,6.25,5.87,6.25,280633
2000-06-27,6.06,6.31,5.97,6.25,150033
2000-06-28,6.27,6.34,6.03,6.06,60550
2000-06-29,6.03,6.03,5.5,5.66,300367
2000-06-30,5.66,6.75,5.62,6.5,619633
2000-07-03,6.5,6.56,6.38,6.44,231367
2000-07-05,6.5,6.62,6.34,6.38,124367
2000-07-06,6.44,6.94,6.31,6.5,126767
2000-07-07,6.44,7.22,6.41,7.22,189433
2000-07-10,7.06,8.0,6.94,7.88,311217
2000-07-11,7.94,8.0,7.06,7.44,173167
2000-07-12,7.44,7.94,7.44,7.94,199467
2000-07-13,7.75,8.0,7.5,7.75,594567
2000-07-14,7.97,8.62,7.88,8.44,480000
2000-07-17,8.69,9.06,8.31,8.75,559033
2000-07-18,8.94,9.19,8.44,8.94,185067
2000-07-19,8.94,9.06,8.0,8.5,231467
2000-07-20,8.34,9.19,8.31,8.62,339567
2000-07-21,8.69,8.69,8.22,8.44,237600
2000-07-24,8.62,8.62,8.31,8.38,27833
2000-07-25,8.38,8.41,8.19,8.31,90150
2000-07-26,8.19,8.38,7.81,8.25,75833
2000-07-27,8.22,8.87,8.22,8.66,88817
2000-07-28,8.72,8.75,8.38,8.5,85767
2000-07-31,8.5,9.0,8.41,8.75,157233
2000-08-01,8.62,8.87,8.25,8.81,140167
2000-08-02,8.87,9.0,8.56,8.87,134233
2000-08-03,9.0,10.44,8.62,10.19,685233
2000-08-04,10.31,11.12,10.25,10.5,569617
2000-08-07,10.75,11.12,10.37,11.0,604800
2000-08-08,11.0,11.25,10.94,11.06,308267
2000-08-09,11.06,13.06,11.06,13.0,517867
2000-08-10,12.25,12.5,11.25,11.75,277600
2000-08-11,11.75,11.94,11.5,11.94,70567
2000-08-14,12.0,12.56,11.5,12.38,733350
