,open,high,low,close,volume
2000-01-03,61.56,62.13,60.31,61.38,1053300
2000-01-04,60.38,61.0,59.75,60.0,472700
2000-01-05,60.0,63.38,59.5,63.13,1140800
2000-01-06,61.88,64.5,61.88,63.94,910000
2000-01-07,64.38,67.69,64.13,67.56,1214000
2000-01-10,67.75,67.75,64.75,65.0,520500
2000-01-11,64.25,65.63,63.81,65.0,662300
2000-01-12,65.19,65.38,64.25,64.25,505800
2000-01-13,64.75,66.88,64.5,65.75,745200
2000-01-14,65.0,65.5,62.31,63.75,1149000
2000-01-18,63.5,64.0,62.5,62.94,646700
2000-01-19,62.94,63.38,62.31,62.81,707200
2000-01-20,62.56,62.88,60.5,61.0,1447700
2000-01-21,61.0,61.0,60.38,60.75,1626500
2000-01-24,60.75,60.94,58.88,59.31,927100
2000-01-25,59.13,59.19,56.25,58.0,1943500
2000-01-26,57.75,58.88,56.0,58.0,2675400
2000-01-27,59.5,64.0,59.0,63.06,3051500
2000-01-28,63.06,66.44,62.0,62.69,2061200
2000-01-31,64.0,64.38,62.94,63.88,2156800
2000-02-01,63.88,63.88,62.63,63.13,806000
2000-02-02,62.88,63.5,62.13,63.38,1273800
2000-02-03,63.5,63.75,62.81,63.5,974100
2000-02-04,63.25,63.88,63.25,63.5,1273100
2000-02-07,63.25,63.63,62.5,63.06,873500
2000-02-08,62.81,63.81,62.44,62.94,744200
2000-02-09,62.0,63.0,60.13,62.88,1235900
2000-02-10,62.88,62.88,59.63,60.56,846900
2000-02-11,60.38,60.44,59.0,59.25,717900
2000-02-14,59.63,60.56,59.0,59.75,734800
2000-02-15,59.25,59.75,58.25,59.13,1506800
2000-02-16,59.0,59.13,57.5,57.88,1125300
2000-02-17,57.88,58.0,57.06,57.69,1107900
2000-02-18,57.44,57.44,55.56,55.88,1157900
2000-02-22,55.63,58.13,55.19,57.0,1476500
2000-02-23,56.88,57.5,55.88,56.69,893700
2000-02-24,56.69,56.69,54.0,55.13,1196100
2000-02-25,55.63,57.69,53.75,54.19,1345300
2000-02-28,54.69,56.19,54.25,54.88,818600
2000-02-29,55.38,56.38,54.5,54.5,970900
2000-03-01,54.81,57.38,54.81,56.06,1304300
2000-03-02,56.31,57.5,55.63,56.81,2085800
2000-03-03,57.06,58.63,56.63,56.63,2304000
2000-03-06,56.75,56.75,54.38,54.38,947700
2000-03-07,54.88,55.0,51.75,51.81,1284000
2000-03-08,53.0,55.0,53.0,54.13,1186600
2000-03-09,54.13,55.88,53.81,55.75,1907900
2000-03-10,55.75,56.94,55.75,56.06,2162000
2000-03-13,55.06,55.63,53.56,53.75,1366600
2000-03-14,54.0,54.69,53.75,54.0,1130900
2000-03-15,54.63,59.63,54.5,58.94,1554600
2000-03-16,59.75,62.69,59.31,62.38,2781900
2000-03-17,62.75,62.75,61.38,61.75,1310800
2000-03-20,61.75,62.75,61.25,61.69,1492600
2000-03-21,61.19,63.88,61.06,62.88,1573200
2000-03-22,62.19,63.13,61.56,62.75,1977100
2000-03-23,62.38,64.88,61.63,63.94,2573700
2000-03-24,63.44,63.44,61.06,61.5,2199000
2000-03-27,61.0,61.19,59.13,60.21,1503500
2000-03-28,60.13,61.63,59.63,60.31,1450000
2000-03-29,60.19,61.94,59.75,60.25,1447900
2000-03-30,60.25,62.19,60.13,61.5,1660400
2000-03-31,61.75,62.94,61.56,62.69,1056200
2000-04-03,59.94,63.5,59.94,62.19,1132800
2000-04-04,62.0,63.38,60.13,62.06,1423100
2000-04-05,62.56,63.5,61.5,61.88,1719800
2000-04-06,61.75,61.94,59.44,60.0,1023300
2000-04-07,59.88,60.31,59.13,59.44,542700
2000-04-10,59.44,61.19,59.13,60.63,972300
2000-04-11,60.63,63.94,60.63,61.69,990100
2000-04-12,61.94,62.81,60.38,60.94,1029500
2000-04-13,60.69,61.38,59.81,60.06,931400
2000-04-14,59.0,59.5,56.5,56.56,1474800
2000-04-17,56.81,57.44,55.5,56.44,1276600
2000-04-18,57.0,58.31,56.75,57.88,1106500
2000-04-19,59.13,59.81,58.0,58.25,945400
2000-04-20,59.0,60.13,56.63,59.81,1640500
2000-04-24,59.31,63.19,59.31,62.0,2167000
2000-04-25,63.5,66.5,63.44,66.5,3354900
2000-04-26,66.25,66.25,64.75,65.06,1784500
2000-04-27,64.75,65.81,64.75,65.56,1749300
2000-04-28,65.56,65.75,65.06,65.13,1672900
2000-05-01,65.13,65.19,63.5,63.56,1153200
2000-05-02,62.75,64.88,62.5,63.75,924600
2000-05-03,63.69,64.0,62.0,62.31,717100
2000-05-04,62.06,62.19,60.63,61.56,952900
2000-05-05,61.31,63.0,60.94,61.81,749500
2000-05-08,62.88,65.44,62.31,64.0,1684200
2000-05-09,64.0,67.0,64.0,65.94,1974400
2000-05-10,65.25,66.88,65.25,66.44,1101100
2000-05-11,67.5,68.88,67.0,67.81,1948000
2000-05-12,67.5,67.75,66.0,66.0,1100000
2000-05-15,66.44,67.63,66.0,66.88,1466700
2000-05-16,67.25,68.5,66.38,67.5,1823200
2000-05-17,67.13,67.44,66.5,66.69,489400
2000-05-18,66.75,67.13,66.13,67.0,608200
2000-05-19,66.63,67.38,66.06,66.88,837700
2000-05-22,66.63,67.44,65.94,67.0,800800
