,open,high,low,close,volume
2000-01-03,32.0,32.44,31.12,31.69,396000
2000-01-04,31.63,31.75,30.56,31.13,521900
2000-01-05,31.06,31.63,30.44,31.5,820600
2000-01-06,31.56,34.38,31.56,33.56,1209900
2000-01-07,34.56,34.56,33.0,33.81,479900
2000-01-10,34.06,34.25,33.63,34.0,249600
2000-01-11,33.63,33.94,33.25,33.44,275400
2000-01-12,33.06,33.81,33.06,33.56,288200
2000-01-13,33.94,34.19,33.38,33.56,965900
2000-01-14,33.56,33.69,32.81,33.38,1694600
2000-01-18,33.19,33.69,32.88,33.31,432200
2000-01-19,33.25,33.56,33.06,33.31,365800
2000-01-20,33.25,34.44,33.13,34.25,692300
2000-01-21,35.63,36.19,35.0,35.38,962000
2000-01-24,35.44,36.31,35.44,35.81,589700
2000-01-25,36.06,39.19,35.94,38.5,1610700
2000-01-26,36.75,38.5,36.13,38.0,900500
2000-01-27,37.88,37.88,36.56,36.88,660700
2000-01-28,36.75,36.75,35.56,35.75,468300
2000-01-31,35.75,35.88,35.25,35.69,557900
2000-02-01,35.69,35.69,34.81,35.0,525900
2000-02-02,35.0,36.19,34.25,35.56,2407500
2000-02-03,35.81,36.06,35.13,35.38,266900
2000-02-04,36.31,36.56,35.31,36.31,766200
2000-02-07,36.0,36.44,35.56,35.56,432500
2000-02-08,35.75,35.81,35.0,35.13,341300
2000-02-09,35.13,35.13,33.5,33.56,356100
2000-02-10,33.69,34.69,33.06,33.19,325500
2000-02-11,32.94,33.94,32.5,33.0,319900
2000-02-14,33.0,33.0,31.63,31.88,503100
2000-02-15,31.88,32.38,31.63,32.19,727500
2000-02-16,32.13,33.88,31.0,32.25,700600
2000-02-17,32.06,32.06,30.81,30.94,463300
2000-02-18,30.88,31.19,29.5,29.81,677700
2000-02-22,30.0,30.31,29.31,29.69,1952000
2000-02-23,29.69,30.5,28.81,29.31,331600
2000-02-24,29.44,29.44,28.13,28.81,1071900
2000-02-25,28.81,28.88,27.69,27.69,722500
2000-02-28,27.94,28.13,27.5,27.88,884500
2000-02-29,26.88,27.63,26.56,27.19,860700
2000-03-01,26.75,27.44,24.63,27.19,1853600
2000-03-02,27.19,27.44,26.56,27.38,937700
2000-03-03,27.06,28.25,26.94,27.81,410200
2000-03-06,29.81,29.94,27.5,27.75,893500
2000-03-07,27.88,28.0,26.31,26.38,568600
2000-03-08,26.38,26.44,25.19,25.31,577700
