,open,high,low,close,volume
2000-01-03,39.25,40.06,38.94,39.81,204600
2000-01-04,39.56,40.31,38.44,38.5,152900
2000-01-05,38.38,39.63,38.38,39.31,72800
2000-01-06,39.31,40.5,39.31,39.81,67100
2000-01-07,39.94,40.38,38.38,38.69,125800
2000-01-10,42.19,42.19,39.75,39.94,473900
2000-01-11,40.0,40.94,39.81,40.69,309700
2000-01-12,40.69,40.75,38.94,38.94,169600
2000-01-13,39.63,41.75,39.5,39.81,276200
2000-01-14,41.75,42.44,41.44,42.06,195900
2000-01-18,42.31,43.25,41.94,42.38,177400
2000-01-19,42.63,42.63,41.38,41.69,255900
2000-01-20,41.94,42.31,41.56,41.94,211400
2000-01-21,42.63,42.88,41.0,41.0,268100
2000-01-24,41.25,41.31,39.0,39.38,165900
2000-01-25,39.25,39.38,37.5,37.5,200400
2000-01-26,37.0,38.44,37.0,38.0,180300
2000-01-27,38.06,38.19,37.19,37.44,230000
2000-01-28,37.5,37.5,36.0,36.0,153700
2000-01-31,36.06,36.81,35.31,36.38,139600
2000-02-01,36.13,36.56,35.5,35.94,65700
2000-02-02,36.13,36.19,35.0,35.31,112600
2000-02-03,36.13,36.25,35.06,35.44,114500
2000-02-04,35.31,35.31,34.5,34.75,133700
2000-02-07,34.94,35.0,33.94,34.0,110400
2000-02-08,34.13,34.31,32.94,32.94,87600
2000-02-09,33.0,33.75,32.38,33.13,206900
2000-02-10,33.13,33.13,32.31,32.56,84500
2000-02-11,32.56,32.75,31.69,32.31,103700
2000-02-14,32.31,32.81,32.19,32.56,87800
2000-02-15,32.31,32.88,32.06,32.06,173500
2000-02-16,32.5,32.56,31.19,31.63,126500
2000-02-17,31.75,32.06,31.56,31.75,52600
2000-02-18,31.31,31.56,29.31,29.63,181600
2000-02-22,30.38,30.44,29.75,30.25,85000
2000-02-23,30.06,30.75,29.94,29.94,117800
2000-02-24,29.94,29.94,28.38,28.69,120500
2000-02-25,28.94,29.0,28.13,28.25,56000
2000-02-28,28.31,28.38,27.63,28.13,68600
2000-02-29,28.13,28.25,26.81,26.81,117300
2000-03-01,27.25,27.31,26.31,26.88,183300
2000-03-02,26.94,26.94,26.0,26.5,148400
2000-03-03,26.44,28.5,26.38,26.75,164200
2000-03-06,26.75,27.63,26.75,27.06,138800
2000-03-07,27.25,28.0,26.31,26.81,191600
2000-03-08,27.06,29.38,27.06,28.25,317100
2000-03-09,28.75,29.38,28.5,28.88,143200
2000-03-10,28.63,29.0,28.19,28.44,118600
2000-03-13,28.44,28.94,28.0,28.81,135200
2000-03-14,29.0,29.69,28.69,29.31,120100
2000-03-15,29.5,31.44,29.38,31.0,208300
2000-03-16,31.44,33.88,31.19,33.75,283700
2000-03-17,33.75,33.75,32.5,32.56,173800
2000-03-20,31.63,33.38,31.5,31.56,246400
2000-03-21,31.5,32.19,30.81,31.94,190600
2000-03-22,32.13,32.19,31.0,31.63,216500
2000-03-23,31.38,32.81,31.25,32.38,132000
2000-03-24,32.38,32.38,31.75,32.0,136500
2000-03-27,32.0,32.31,31.88,31.94,142500
2000-03-28,31.94,32.38,31.94,31.94,128400
2000-03-29,31.94,32.44,31.38,31.69,103500
2000-03-30,31.88,32.94,31.88,32.63,92800
2000-03-31,32.38,34.69,32.06,34.56,185600
2000-04-03,34.38,35.81,34.38,35.38,275500
2000-04-04,35.25,35.25,33.5,34.69,182100
2000-04-05,34.25,35.75,34.13,35.5,199500
2000-04-06,36.0,36.94,35.81,36.5,384200
2000-04-07,37.13,37.13,35.88,36.0,202700
2000-04-10,35.75,36.44,35.56,36.25,97900
2000-04-11,36.25,36.63,36.25,36.5,112800
2000-04-12,36.5,37.63,36.38,36.69,129700
2000-04-13,36.5,37.06,36.5,37.0,97400
2000-04-14,36.88,36.88,35.5,35.81,192100
2000-04-17,35.56,35.63,33.25,34.25,247700
2000-04-18,34.06,34.06,32.69,33.06,144400
2000-04-19,33.06,35.5,33.0,33.63,121800
2000-04-20,33.81,34.0,32.38,32.94,134100
2000-04-24,32.94,32.94,31.5,32.25,134900
2000-04-25,34.0,34.0,32.0,33.06,137300
2000-04-26,33.31,33.31,32.19,32.63,137300
2000-04-27,32.38,33.0,31.38,31.94,116900
2000-04-28,32.25,32.25,31.25,31.5,110100
2000-05-01,30.88,31.63,30.19,30.31,253600
2000-05-02,30.25,31.5,30.06,30.63,200900
2000-05-03,30.88,31.63,30.5,30.69,137500
2000-05-04,30.56,31.44,30.56,30.81,129900
2000-05-05,30.81,31.75,30.75,31.56,110500
2000-05-08,31.44,31.94,31.13,31.31,74800
2000-05-09,31.31,32.0,31.31,31.88,58800
2000-05-10,31.88,32.38,31.88,32.06,110400
2000-05-11,31.94,33.38,31.94,33.06,133500
2000-05-12,33.25,33.88,32.56,33.38,124300
2000-05-15,33.56,33.88,33.44,33.81,123300
2000-05-16,32.75,33.94,32.63,33.94,131300
2000-05-17,33.69,34.38,33.19,33.88,79800
2000-05-18,33.88,33.88,32.44,32.75,236600
2000-05-19,32.5,32.5,31.88,31.94,104800
2000-05-22,32.19,32.63,31.31,31.63,134800
2000-05-23,31.63,31.63,29.81,30.06,147100
2000-05-24,30.19,30.63,30.06,30.06,150500
2000-05-25,30.13,30.5,29.69,30.13,74100
2000-05-26,30.0,30.25,29.81,30.13,96800
2000-05-30,29.94,30.19,29.25,29.94,138100
2000-05-31,29.94,29.94,29.75,29.75,69300
2000-06-01,29.63,30.63,29.56,30.44,111400
2000-06-02,30.56,31.19,30.56,30.81,156300
2000-06-05,30.94,31.25,30.31,31.0,154300
2000-06-06,31.0,31.56,30.5,31.25,126500
2000-06-07,31.25,31.25,30.5,30.75,106500
2000-06-08,30.63,30.94,30.44,30.63,72100
2000-06-09,30.75,31.63,30.69,30.88,144500
2000-06-12,30.94,31.44,30.88,31.13,127700
2000-06-13,31.06,31.38,31.06,31.19,139200
2000-06-14,31.19,32.0,31.19,31.69,70600
2000-06-15,31.75,31.75,31.13,31.38,72300
2000-06-16,31.38,31.94,31.31,31.65,76400
2000-06-19,31.75,31.75,31.06,31.06,129200
2000-06-20,31.06,31.5,31.06,31.44,71600
2000-06-21,31.31,31.44,31.0,31.13,79900
2000-06-22,31.38,31.81,30.88,31.81,128600
2000-06-23,31.56,32.56,31.5,32.06,90400
2000-06-26,32.06,32.94,31.56,31.56,144200
2000-06-27,31.13,31.5,30.44,31.25,326400
2000-06-28,31.5,33.13,31.0,32.59,192000
2000-06-29,32.38,36.19,32.38,35.31,342000
2000-06-30,35.31,35.31,31.31,32.17,719500
2000-07-03,32.44,33.0,32.13,33.0,100000
2000-07-05,33.25,33.5,32.56,32.69,90700
2000-07-06,32.69,32.75,31.75,32.38,327700
2000-07-07,32.44,32.44,31.94,32.06,167300
2000-07-10,31.94,33.5,31.88,33.19,69600
2000-07-11,34.63,34.63,33.88,34.19,178300
2000-07-12,34.06,34.06,33.44,33.81,140900
2000-07-13,33.5,35.13,33.5,34.88,94100
2000-07-14,34.75,35.38,34.75,35.06,76800
2000-07-17,35.13,35.13,34.38,34.81,79900
2000-07-18,34.69,35.38,34.56,34.63,84700
2000-07-19,34.63,35.63,34.56,35.44,174600
2000-07-20,35.56,36.06,35.44,35.81,130900
2000-07-21,35.69,35.75,35.25,35.31,82900
2000-07-24,35.38,35.38,34.75,35.19,92000
2000-07-25,35.31,35.94,35.31,35.5,222800
2000-07-26,34.63,35.69,34.63,35.19,184100
2000-07-27,35.25,35.88,34.94,35.63,82700
2000-07-28,35.63,35.63,34.31,34.63,77800
2000-07-31,34.75,36.38,34.38,34.69,107800
2000-08-01,34.5,35.25,33.5,34.13,183700
2000-08-02,34.19,35.13,34.19,34.38,100200
2000-08-03,33.63,34.13,33.63,33.81,163800
2000-08-04,33.94,34.38,33.81,34.31,82600
2000-08-07,34.25,34.25,33.88,33.94,137400
2000-08-08,33.5,34.63,33.5,34.5,58600
2000-08-09,34.5,34.5,33.81,33.81,90100
2000-08-10,33.81,34.25,33.69,33.81,58000
2000-08-11,33.44,34.63,33.44,34.19,88200
2000-08-14,34.19,34.69,34.06,34.56,195700
2000-08-15,34.56,35.13,34.38,34.38,94600
2000-08-16,34.38,34.44,34.38,34.44,62400
2000-08-17,34.44,34.44,33.63,34.13,105600
2000-08-18,33.88,34.0,33.5,33.56,84400
2000-08-21,33.38,33.94,33.31,33.31,65700
2000-08-22,33.25,33.31,32.75,32.88,177900
2000-08-23,32.94,33.0,32.44,32.81,90900
2000-08-24,32.94,33.69,32.94,33.38,71500
2000-08-25,33.25,33.56,33.06,33.5,56400
2000-08-28,33.38,33.88,33.31,33.44,53600
2000-08-29,33.31,34.94,33.19,34.63,315600
2000-08-30,34.31,34.38,34.13,34.31,81700
2000-08-31,34.44,34.88,34.31,34.63,73400
2000-09-01,34.88,35.13,34.69,35.0,71600
2000-09-05,35.0,35.5,34.94,35.44,67700
2000-09-06,35.69,35.88,35.13,35.75,190000
2000-09-07,35.75,35.94,35.25,35.5,105200
2000-09-08,35.31,35.75,35.06,35.19,69300
2000-09-11,35.19,35.78,34.88,35.31,126800
2000-09-12,35.31,35.31,35.0,35.13,169400
2000-09-13,35.19,35.19,34.88,34.88,464200
2000-09-14,34.5,34.5,33.19,33.94,393600
2000-09-15,33.5,34.56,33.44,34.0,274700
2000-09-18,34.0,34.69,33.56,33.63,99600
2000-09-19,33.25,33.31,32.56,32.75,228400
2000-09-20,32.94,33.0,32.75,32.75,73000
2000-09-21,32.56,32.63,31.88,31.94,155900
2000-09-22,31.94,32.5,31.88,32.5,141200
2000-09-25,32.5,32.94,32.13,32.38,133400
2000-09-26,32.38,32.75,31.94,32.0,112800
2000-09-27,32.0,32.0,31.81,32.0,158700
2000-09-28,31.75,31.94,31.44,31.88,247900
2000-09-29,31.94,32.38,31.13,31.69,325300
2000-10-02,31.56,31.63,30.94,30.94,88800
2000-10-03,31.19,31.81,31.0,31.25,281600
2000-10-04,31.25,32.5,30.88,31.06,198200
2000-10-05,31.13,31.13,30.06,30.38,176000
2000-10-06,30.63,31.44,30.19,30.5,101300
2000-10-09,30.5,31.44,30.5,31.25,92900
2000-10-10,31.0,31.0,30.5,30.5,81200
2000-10-11,30.5,30.5,29.88,29.94,114600
2000-10-12,29.81,30.25,29.56,30.0,100900
2000-10-13,30.13,30.88,30.13,30.88,121700
2000-10-16,30.88,30.88,29.81,30.38,70800
2000-10-17,30.31,30.44,29.44,29.81,76400
2000-10-18,29.81,29.81,28.56,29.19,101600
2000-10-19,29.13,30.56,29.0,30.19,104000
2000-10-20,30.06,30.63,30.06,30.5,88400
2000-10-23,30.5,30.75,29.94,30.19,107500
2000-10-24,30.75,33.5,30.75,33.19,356700
2000-10-25,32.94,33.0,31.44,32.69,205500
2000-10-26,32.69,34.5,32.69,34.13,170500
2000-10-27,34.06,34.19,33.31,33.88,70900
2000-10-30,33.94,35.0,33.94,35.0,194300
2000-10-31,34.94,35.25,34.31,35.13,230400
2000-11-01,35.13,35.25,34.5,34.81,65000
2000-11-02,34.94,34.94,34.5,34.81,70300
2000-11-03,34.88,35.0,34.31,34.94,59700
