,open,high,low,close,volume
2000-01-03,22.12,23.19,22.0,23.0,2485700
2000-01-04,22.88,24.0,22.44,23.38,3354800
2000-01-05,23.56,25.0,23.0,24.94,3932800
2000-01-06,25.13,25.88,25.06,25.75,2527500
2000-01-07,25.75,25.75,24.5,24.81,3008900
2000-01-10,24.25,24.63,23.5,24.0,1905800
2000-01-11,23.88,24.0,23.5,23.69,1850000
2000-01-12,23.75,23.75,22.69,22.88,1287200
2000-01-13,22.5,22.94,22.19,22.69,2833300
2000-01-14,22.69,23.44,22.25,23.0,2946900
2000-01-18,22.69,23.25,22.38,23.25,1424700
2000-01-19,23.19,23.19,22.13,22.69,2602100
2000-01-20,22.25,22.31,21.06,21.13,2468700
2000-01-21,21.38,21.38,20.5,20.69,2771700
2000-01-24,21.13,21.69,20.88,21.13,1965200
2000-01-25,21.13,21.38,20.69,20.81,1075700
2000-01-26,20.88,21.38,20.63,21.19,1271600
2000-01-27,21.44,21.44,20.81,21.13,1191000
2000-01-28,20.88,21.44,20.69,20.88,1107900
2000-01-31,20.81,20.88,20.25,20.75,1592500
2000-02-01,20.75,20.75,20.0,20.38,958000
2000-02-02,20.38,21.75,20.38,21.0,2018700
2000-02-03,20.25,20.5,19.5,19.94,2588900
2000-02-04,19.56,19.88,19.5,19.5,2279000
2000-02-07,19.5,19.75,19.0,19.13,2208600
2000-02-08,19.25,19.38,18.56,19.25,2141200
2000-02-09,19.69,21.31,19.13,21.06,6467200
2000-02-10,20.88,21.19,19.5,19.94,4065900
2000-02-11,19.56,19.81,18.94,19.0,2577400
2000-02-14,19.0,19.44,19.0,19.38,2345000
2000-02-15,19.38,19.63,19.19,19.63,1983500
2000-02-16,19.44,19.5,18.88,19.0,2156300
2000-02-17,18.94,19.63,18.63,19.63,2247100
2000-02-18,19.25,19.5,19.06,19.25,1875700
2000-02-22,19.25,19.56,19.0,19.44,1202900
2000-02-23,19.25,19.38,18.88,19.0,1610100
2000-02-24,19.0,19.13,18.06,18.63,1967100
2000-02-25,18.88,18.88,17.81,17.88,1947600
2000-02-28,18.13,18.44,17.75,18.0,891600
2000-02-29,18.0,18.31,17.75,18.25,1186500
2000-03-01,18.13,18.19,17.63,17.9,1683300
2000-03-02,18.06,18.06,17.75,17.81,775400
2000-03-03,18.0,18.63,17.75,18.0,1138800
2000-03-06,18.5,18.81,18.38,18.75,1285700
2000-03-07,18.81,18.88,18.0,18.06,1026400
2000-03-08,18.38,19.13,18.31,19.13,1579600
2000-03-09,19.69,21.75,19.25,21.31,5195600
2000-03-10,21.94,22.19,20.88,21.38,3980700
2000-03-13,20.81,21.44,20.5,20.94,1388600
2000-03-14,21.0,21.31,20.69,20.69,1279100
2000-03-15,21.19,21.38,20.88,21.31,1610300
2000-03-16,22.0,24.75,21.5,24.75,2213300
2000-03-17,22.88,23.0,21.38,23.0,2118500
2000-03-20,22.69,22.69,21.56,21.94,1440200
2000-03-21,21.94,21.94,21.19,21.69,1137300
2000-03-22,21.94,22.19,21.38,22.06,1244400
2000-03-23,21.56,22.19,21.13,22.06,1339900
2000-03-24,21.75,22.38,21.31,22.31,1530100
2000-03-27,22.31,22.44,21.81,21.94,656400
2000-03-28,21.75,21.75,21.19,21.38,1161200
2000-03-29,21.38,21.38,20.56,20.94,1146400
2000-03-30,21.0,21.06,20.06,20.25,1394000
2000-03-31,20.88,21.31,20.31,21.31,1247700
2000-04-03,20.94,21.25,20.5,20.69,1277100
2000-04-04,20.88,21.63,19.38,21.13,2418200
2000-04-05,19.88,21.19,19.88,21.0,1359500
2000-04-06,21.25,21.44,20.94,21.25,937200
2000-04-07,21.25,21.38,20.88,21.0,616200
2000-04-10,20.75,21.44,20.69,21.13,770300
2000-04-11,21.0,21.44,20.75,21.06,1424100
2000-04-12,21.06,22.06,21.06,21.81,2324300
2000-04-13,21.81,23.5,21.75,22.5,2854300
2000-04-14,22.0,23.19,21.06,21.75,2025700
2000-04-17,20.94,21.38,20.63,21.13,1319100
2000-04-18,20.56,23.5,20.25,23.06,2308300
2000-04-19,23.75,25.75,23.75,25.25,6408600
2000-04-20,25.38,26.0,24.06,24.31,2362100
2000-04-24,24.06,25.63,23.88,25.38,2310800
2000-04-25,25.56,28.0,25.56,27.88,4011900
2000-04-26,27.94,27.94,26.81,27.25,1438600
2000-04-27,26.06,27.0,26.06,27.0,1518100
2000-04-28,26.75,26.88,26.0,26.5,995400
2000-05-01,26.0,26.75,25.88,26.56,1287100
2000-05-02,25.69,27.75,25.63,27.5,2444300
2000-05-03,27.44,27.44,26.69,26.94,1307600
2000-05-04,26.94,26.94,25.81,26.31,1207900
2000-05-05,26.88,27.0,26.19,26.56,1171200
2000-05-08,26.0,27.5,26.0,27.38,1185200
2000-05-09,27.38,29.19,27.0,28.31,3523600
2000-05-10,28.06,28.06,26.5,26.69,1666700
2000-05-11,27.0,27.56,24.75,25.25,3163700
2000-05-12,25.25,25.25,23.63,24.06,3570700
2000-05-15,24.06,25.38,23.88,25.13,1923600
2000-05-16,25.31,25.31,24.56,25.0,1601200
2000-05-17,24.38,25.63,24.31,25.31,886600
2000-05-18,25.44,26.88,25.25,26.25,4008800
2000-05-19,25.31,26.25,24.81,25.94,2205400
2000-05-22,26.19,26.19,24.75,25.0,1330300
2000-05-23,25.0,25.19,24.63,24.75,626100
2000-05-24,24.56,24.88,24.06,24.75,880500
2000-05-25,24.5,26.44,23.94,25.81,2557200
2000-05-26,25.88,25.94,24.81,25.06,915200
2000-05-30,25.13,26.44,25.13,26.13,1479500
