,open,high,low,close,volume
2000-01-03,40.63,40.63,38.56,38.69,84400
2000-01-04,38.94,39.38,38.63,38.69,76700
2000-01-05,38.88,39.44,38.75,38.88,53500
2000-01-06,38.88,38.94,38.25,38.38,88300
2000-01-07,38.44,39.5,38.44,39.44,403600
2000-01-10,39.5,39.75,38.81,39.0,111200
2000-01-11,39.0,39.5,38.88,38.88,250500
2000-01-12,38.94,39.25,38.75,38.81,86800
2000-01-13,39.06,39.19,38.94,39.06,75300
2000-01-14,39.13,39.25,38.75,38.75,108100
2000-01-18,38.88,38.88,37.81,38.06,113100
2000-01-19,38.0,38.19,37.25,37.63,105400
2000-01-20,37.81,37.94,37.38,37.44,137000
2000-01-21,37.5,37.88,37.38,37.38,188500
2000-01-24,37.88,37.88,36.5,36.56,216700
2000-01-25,36.63,36.63,35.19,35.69,173300
2000-01-26,35.56,36.0,35.25,35.5,95500
2000-01-27,35.5,35.75,34.5,34.75,125700
2000-01-28,34.56,34.56,33.56,33.81,127700
2000-01-31,34.0,34.63,33.31,33.63,182500
2000-02-01,33.88,33.88,31.25,32.44,448300
2000-02-02,32.75,33.13,32.25,32.5,264000
2000-02-03,33.0,34.0,32.88,33.5,205300
2000-02-04,33.75,34.13,33.0,33.13,71800
2000-02-07,33.0,33.13,32.56,32.69,84100
2000-02-08,32.88,33.5,32.5,33.0,224200
2000-02-09,33.0,33.5,33.0,33.31,188700
2000-02-10,33.06,34.06,33.06,33.63,271100
2000-02-11,33.88,34.06,33.31,33.31,181900
2000-02-14,33.25,34.0,33.06,33.69,209500
2000-02-15,33.81,34.13,33.31,34.0,168100
2000-02-16,33.88,33.94,32.94,33.0,147900
2000-02-17,33.13,33.13,32.13,32.19,157500
2000-02-18,32.44,32.44,31.44,31.44,142200
2000-02-22,31.5,31.5,31.06,31.5,128000
2000-02-23,31.44,31.44,30.75,31.0,112700
2000-02-24,30.75,30.84,29.75,30.06,116400
2000-02-25,30.31,31.0,29.75,31.0,194500
2000-02-28,30.94,31.19,30.13,31.06,96300
2000-02-29,31.0,32.0,30.56,32.0,137400
2000-03-01,31.88,32.69,31.5,32.5,108100
2000-03-02,32.25,33.19,32.25,33.0,123000
2000-03-03,33.25,33.25,32.5,32.63,104400
2000-03-06,32.88,33.5,32.5,32.69,94700
2000-03-07,32.69,32.81,31.88,31.94,131600
2000-03-08,32.0,32.19,31.25,31.31,141900
2000-03-09,31.31,31.31,30.81,31.0,187400
2000-03-10,31.0,32.38,31.0,31.75,111900
2000-03-13,31.0,33.13,31.0,32.44,191100
2000-03-14,32.5,33.69,32.25,32.56,190400
2000-03-15,32.56,33.75,32.5,33.25,250700
2000-03-16,33.63,35.19,33.63,34.75,174900
2000-03-17,34.56,36.63,34.56,36.5,193600
2000-03-20,35.75,37.25,35.75,36.19,278300
2000-03-21,36.25,37.0,36.25,36.75,89100
2000-03-22,36.75,36.94,36.5,36.56,116600
2000-03-23,36.56,37.25,36.56,37.25,129700
2000-03-24,37.5,37.69,36.0,36.88,225200
2000-03-27,36.88,36.88,36.06,36.19,105000
2000-03-28,36.31,36.44,36.0,36.06,88100
2000-03-29,36.06,36.06,35.06,35.13,269000
2000-03-30,35.13,36.38,35.13,36.31,173900
2000-03-31,36.63,39.38,36.5,39.38,260800
2000-04-03,39.38,39.38,37.63,37.94,105700
2000-04-04,38.25,38.94,37.0,37.25,127000
2000-04-05,37.0,38.81,37.0,38.63,79100
2000-04-06,38.81,39.63,38.81,39.25,122400
2000-04-07,39.38,39.44,39.06,39.31,95400
2000-04-10,39.5,40.5,39.5,39.63,138000
2000-04-11,39.63,40.0,38.88,40.0,110400
2000-04-12,40.13,41.88,39.88,41.63,255100
2000-04-13,41.38,41.38,40.31,40.88,168000
2000-04-14,41.0,41.0,38.75,38.94,109000
