,open,high,low,close,volume
2000-01-03,31.12,31.12,30.5,30.69,59900
2000-01-04,30.69,30.75,30.13,30.19,95800
2000-01-05,30.31,30.44,30.13,30.38,101000
2000-01-06,30.56,31.13,30.31,31.0,143100
2000-01-07,30.94,32.25,30.94,32.13,139000
2000-01-10,32.13,32.44,31.94,32.38,189100
2000-01-11,32.38,32.44,31.88,32.06,85300
2000-01-12,32.19,32.19,31.44,31.56,61100
2000-01-13,31.56,31.81,31.5,31.75,40800
2000-01-14,31.63,31.88,31.25,31.56,64400
2000-01-18,31.63,31.63,31.13,31.25,73000
2000-01-19,31.13,31.38,31.0,31.25,100500
2000-01-20,31.06,31.31,30.81,30.88,158700
2000-01-21,30.88,31.0,30.25,30.56,272300
2000-01-24,30.75,31.0,30.44,30.44,117100
2000-01-25,30.69,30.75,30.44,30.56,135300
2000-01-26,30.5,31.0,30.5,30.69,119700
2000-01-27,30.63,30.69,30.5,30.56,118600
2000-01-28,30.56,30.69,30.13,30.44,228200
2000-01-31,30.5,30.5,30.0,30.0,127900
2000-02-01,30.13,30.44,29.0,29.81,2240200
2000-02-02,30.13,30.13,29.75,29.94,428800
2000-02-03,30.0,30.25,29.94,30.19,149400
2000-02-04,29.94,30.56,29.88,29.94,506300
2000-02-07,29.88,30.19,29.63,30.0,105800
2000-02-08,30.0,30.56,29.94,30.56,76500
2000-02-09,30.31,30.94,30.31,30.56,91700
2000-02-10,30.44,30.56,30.25,30.31,68600
2000-02-11,30.44,30.63,29.94,30.06,84900
2000-02-14,30.13,30.31,30.0,30.13,124600
2000-02-15,30.38,30.38,29.94,30.0,153100
2000-02-16,30.0,30.19,30.0,30.19,102300
2000-02-17,30.25,30.63,30.25,30.5,144900
2000-02-18,30.25,30.44,29.88,30.13,80000
2000-02-22,29.94,30.19,29.88,30.06,93400
2000-02-23,30.19,30.38,30.0,30.38,73300
2000-02-24,30.38,30.5,30.38,30.44,45500
2000-02-25,30.5,30.63,30.38,30.5,113900
2000-02-28,30.5,30.5,30.31,30.38,83000
2000-02-29,30.5,30.56,30.31,30.31,105900
2000-03-01,30.5,30.5,30.31,30.38,84800
2000-03-02,30.31,30.5,30.31,30.38,64200
2000-03-03,30.38,30.5,30.38,30.38,160000
2000-03-06,30.31,30.5,30.25,30.31,60600
2000-03-07,30.13,30.31,29.56,29.88,97100
2000-03-08,29.69,30.13,29.69,30.0,49100
2000-03-09,30.19,30.69,30.19,30.44,113500
2000-03-10,30.44,30.5,30.13,30.38,132000
2000-03-13,29.94,30.13,29.75,30.0,53100
2000-03-14,30.0,30.38,30.0,30.38,51900
2000-03-15,30.44,30.75,30.13,30.63,337200
2000-03-16,30.5,31.0,30.5,30.88,102900
2000-03-17,30.75,31.13,30.63,31.0,84200
2000-03-20,31.0,31.25,30.94,31.25,149400
2000-03-21,31.44,31.44,31.06,31.25,124400
2000-03-22,31.25,31.38,31.13,31.25,107100
2000-03-23,31.19,31.56,31.13,31.25,142700
2000-03-24,31.38,31.38,31.06,31.25,119900
2000-03-27,31.38,31.44,31.19,31.31,87100
2000-03-28,31.25,31.5,31.25,31.44,188000
2000-03-29,31.0,31.31,31.0,31.25,34700
2000-03-30,31.5,31.63,31.25,31.5,218000
2000-03-31,31.5,31.81,31.44,31.81,156600
2000-04-03,31.69,32.06,31.5,31.75,272400
2000-04-04,31.94,32.25,31.81,32.0,324600
2000-04-05,32.0,32.5,32.0,32.44,243100
2000-04-06,32.56,34.44,32.56,34.13,224400
2000-04-07,34.06,34.31,33.56,34.25,180000
2000-04-10,34.25,34.44,34.06,34.44,91000
2000-04-11,34.63,34.63,34.25,34.31,125100
2000-04-12,34.19,34.5,34.19,34.5,141900
2000-04-13,34.5,34.75,34.0,34.38,325400
2000-04-14,34.5,34.5,33.88,34.0,185600
2000-04-17,33.81,34.25,33.81,34.0,139400
2000-04-18,34.0,34.13,33.81,34.13,141200
2000-04-19,34.13,34.25,33.94,34.19,185500
2000-04-20,34.13,34.31,34.13,34.19,52700
2000-04-24,34.19,34.38,34.13,34.38,115100
2000-04-25,34.75,34.75,34.19,34.31,161800
2000-04-26,34.63,35.19,34.56,35.0,349100
2000-04-27,35.0,35.13,34.81,35.0,112500
2000-04-28,35.0,35.19,34.88,34.88,189400
2000-05-01,35.0,35.44,34.56,35.38,259100
2000-05-02,35.38,36.75,35.38,36.19,558200
2000-05-03,36.13,36.25,35.94,36.0,349500
2000-05-04,36.13,36.19,35.56,36.0,258500
2000-05-05,35.94,36.25,35.88,36.13,266000
2000-05-08,36.06,36.31,35.94,36.31,181500
2000-05-09,36.19,36.5,36.0,36.38,315900
2000-05-10,36.19,36.44,36.19,36.31,136700
2000-05-11,36.5,36.5,36.25,36.44,138100
2000-05-12,36.38,36.69,36.38,36.63,128700
2000-05-15,36.63,36.69,36.13,36.25,389400
2000-05-16,36.19,36.25,36.06,36.19,154500
2000-05-17,36.13,36.44,36.13,36.44,167100
2000-05-18,36.31,36.5,36.19,36.38,126300
2000-05-19,36.19,36.63,36.06,36.56,71300
2000-05-22,36.5,36.5,35.94,36.38,158100
2000-05-23,36.38,36.5,36.0,36.19,90800
2000-05-24,36.25,36.25,35.56,35.63,233100
2000-05-25,35.63,35.75,35.38,35.44,109100
2000-05-26,35.5,35.5,35.25,35.44,128800
2000-05-30,35.5,35.5,35.0,35.0,237700
2000-05-31,35.13,35.19,34.94,35.0,175800
2000-06-01,35.0,35.0,34.5,34.88,223700
2000-06-02,34.88,35.5,34.88,35.44,123300
2000-06-05,35.69,35.69,35.13,35.25,89300
2000-06-06,35.25,35.63,35.06,35.56,79500
2000-06-07,35.63,36.19,35.44,36.13,82300
2000-06-08,36.0,36.5,35.88,36.5,105300
2000-06-09,36.38,36.5,36.06,36.31,66200
2000-06-12,36.38,36.69,36.19,36.59,208200
2000-06-13,36.69,36.75,36.56,36.69,114000
2000-06-14,36.75,38.31,36.69,37.69,195400
2000-06-15,37.88,37.88,36.69,37.13,197400
2000-06-16,37.19,37.19,36.81,37.06,276000
2000-06-19,37.25,37.25,36.88,37.06,60100
2000-06-20,37.0,37.88,37.0,37.88,100000
2000-06-21,37.81,37.81,37.19,37.5,98100
2000-06-22,37.25,37.31,37.13,37.13,82800
2000-06-23,37.0,37.44,37.0,37.31,86100
2000-06-26,37.38,37.63,37.31,37.44,161900
