,open,high,low,close,volume
2000-01-03,55.63,55.63,52.0,53.0,12614250
2000-01-04,52.0,52.19,49.75,49.75,18024000
2000-01-05,50.88,52.0,49.5,51.75,13068750
2000-01-06,51.31,54.69,51.25,54.25,13974000
2000-01-07,54.0,54.94,52.81,54.0,10458750
2000-01-10,54.94,54.94,53.56,53.81,6377250
2000-01-11,53.38,54.38,52.88,53.13,7474500
2000-01-12,53.56,55.0,53.44,55.0,8592750
2000-01-13,55.0,56.06,54.69,55.63,9284250
2000-01-14,56.5,58.56,56.44,58.0,16690500
2000-01-18,58.06,58.94,57.19,58.5,11787750
2000-01-19,58.0,60.13,57.88,59.75,14664000
2000-01-20,59.88,60.06,57.19,58.61,10186500
2000-01-21,58.19,58.5,55.88,56.44,11609250
2000-01-24,57.0,57.0,54.63,55.19,8574000
2000-01-25,56.81,57.5,55.13,55.88,11563500
2000-01-26,56.5,58.56,56.31,58.13,10007250
2000-01-27,58.63,59.5,57.75,59.0,10868250
2000-01-28,57.5,58.5,56.0,56.13,9053250
2000-01-31,56.63,57.94,56.25,57.0,10203000
2000-02-01,57.56,58.5,57.44,58.25,8980500
2000-02-02,58.31,58.63,57.0,57.75,9891750
2000-02-03,57.81,58.0,55.0,56.31,14251500
2000-02-04,56.88,57.75,54.19,54.75,10996500
2000-02-07,55.31,56.19,54.19,54.38,9330750
2000-02-08,55.31,56.19,55.13,56.0,9903750
2000-02-09,55.13,55.75,53.94,54.19,9489000
2000-02-10,54.5,55.19,53.0,53.69,8432250
2000-02-11,54.19,55.19,52.88,54.0,9947250
2000-02-14,54.25,54.56,52.06,54.0,8652750
2000-02-15,52.88,54.94,52.69,54.88,10523250
2000-02-16,54.13,54.88,53.06,53.63,6827250
2000-02-17,54.25,54.75,52.19,52.5,9655500
2000-02-18,52.44,52.69,49.94,51.44,15293250
2000-02-22,51.38,52.38,50.0,51.0,14605500
2000-02-23,50.88,51.69,50.5,50.94,11664750
2000-02-24,50.0,50.38,48.0,49.25,23674500
2000-02-25,49.38,50.69,47.13,48.0,14136750
2000-02-28,49.5,50.63,49.0,49.0,24188250
2000-02-29,50.5,52.13,50.31,51.75,19107750
2000-03-01,53.25,53.25,51.25,51.63,12539250
2000-03-02,51.94,52.0,50.0,51.5,8709750
2000-03-03,53.5,53.81,52.88,53.44,13884750
2000-03-06,54.0,54.25,51.06,52.19,9312750
2000-03-07,52.81,52.88,50.38,50.38,8590500
2000-03-08,50.75,50.94,49.19,50.5,8855250
2000-03-09,49.06,50.38,48.5,50.38,11304750
2000-03-10,49.81,50.69,48.75,49.0,9203250
2000-03-13,47.94,49.94,47.75,49.94,14466000
2000-03-14,50.13,50.38,49.25,49.75,8940750
2000-03-15,49.31,52.25,48.88,52.25,17850000
2000-03-16,53.63,57.0,52.75,56.13,25743000
2000-03-17,56.56,57.75,56.13,57.0,14703000
2000-03-20,56.13,57.44,55.31,56.19,10260000
2000-03-21,56.31,58.19,55.63,58.06,15505500
2000-03-22,58.25,59.0,57.63,58.75,11173500
2000-03-23,58.75,61.81,58.13,61.69,16413750
2000-03-24,61.81,62.38,59.63,60.56,13773000
2000-03-27,60.56,61.69,58.31,60.06,9654750
2000-03-28,59.13,61.88,59.06,61.0,10744500
2000-03-29,61.0,61.38,59.5,60.75,8457750
2000-03-30,60.13,61.0,58.69,61.0,8744250
2000-03-31,60.06,60.75,59.13,59.88,8743500
2000-04-03,60.0,62.44,59.88,62.0,12267000
2000-04-04,62.0,63.19,56.0,59.0,17784000
2000-04-05,58.75,59.5,58.0,58.69,9321750
2000-04-06,59.5,59.88,58.81,59.31,6380250
2000-04-07,59.75,60.0,58.81,59.0,7097250
2000-04-10,59.0,62.63,58.88,62.25,11776500
2000-04-11,62.13,63.44,61.38,63.44,11481000
2000-04-12,64.19,65.44,62.56,63.0,15852000
2000-04-13,63.0,63.0,61.5,62.56,10857750
2000-04-14,60.94,60.94,57.06,58.0,16262250
2000-04-17,57.25,59.81,56.75,59.25,14929500
2000-04-18,59.63,63.0,59.31,62.13,11214750
2000-04-19,62.06,62.13,57.56,59.63,17874750
2000-04-20,60.88,61.25,59.75,61.25,7788000
2000-04-24,60.63,62.13,60.5,61.81,8076750
2000-04-25,62.31,64.5,62.25,64.5,9528750
2000-04-26,63.44,64.13,62.0,62.5,8420250
2000-04-27,61.38,61.94,60.19,61.5,8393250
2000-04-28,62.63,62.69,58.94,59.0,8301000
2000-05-01,60.19,62.0,59.06,60.31,6715500
2000-05-02,60.38,61.75,59.81,61.13,6216750
2000-05-03,60.81,62.63,59.75,60.13,8917500
2000-05-04,59.81,60.38,58.06,58.63,9378000
2000-05-05,57.94,59.94,57.94,59.56,6004500
2000-05-08,59.31,60.44,59.0,59.75,7297500
2000-05-09,60.38,60.88,58.88,59.5,7103250
2000-05-10,58.44,59.19,56.38,56.44,9642000
2000-05-11,57.69,59.44,57.0,58.88,8346750
2000-05-12,58.88,60.94,58.31,60.19,8757750
