,open,high,low,close,volume
2000-01-03,22.5,22.94,21.94,22.88,1663700
2000-01-04,22.25,22.63,22.19,22.44,2176900
2000-01-05,22.38,22.5,22.0,22.06,1195100
2000-01-06,22.0,22.75,21.88,22.69,1544600
2000-01-07,23.69,23.88,23.0,23.19,1326400
2000-01-10,23.19,23.81,22.75,23.0,926100
2000-01-11,22.63,23.94,22.63,23.75,1294200
2000-01-12,23.56,24.44,23.56,23.81,1401700
2000-01-13,23.56,23.69,23.0,23.13,744800
2000-01-14,22.88,22.94,22.25,22.38,1624800
2000-01-18,22.38,22.63,22.06,22.44,1496800
2000-01-19,22.19,22.81,22.19,22.75,1374400
2000-01-20,22.63,23.19,22.5,23.06,1663400
2000-01-21,23.19,23.5,22.69,23.13,1556200
2000-01-24,23.06,23.25,22.38,22.5,787700
2000-01-25,22.25,22.63,21.94,21.94,1230800
2000-01-26,21.75,22.06,21.0,21.25,1752700
2000-01-27,21.75,21.88,20.94,21.06,992600
2000-01-28,21.06,21.06,20.38,20.69,987800
2000-01-31,20.69,21.75,20.06,21.44,1008200
2000-02-01,21.13,21.25,20.69,21.06,1002000
2000-02-02,20.81,21.0,20.13,20.25,1327000
2000-02-03,20.25,20.88,19.88,20.56,1678500
2000-02-04,20.56,21.06,20.38,21.0,1440900
2000-02-07,21.0,21.0,20.19,20.5,897400
2000-02-08,20.5,20.56,20.19,20.56,671600
2000-02-09,20.5,20.56,19.81,19.88,1535300
2000-02-10,19.88,20.31,18.94,19.06,1704900
2000-02-11,19.31,19.5,18.56,18.88,1340700
2000-02-14,19.0,19.19,18.31,18.56,880200
2000-02-15,18.56,19.13,18.19,18.56,2080700
2000-02-16,18.56,18.69,17.88,18.25,2976500
2000-02-17,18.63,18.69,17.75,17.88,1549300
2000-02-18,17.5,18.0,17.38,17.88,2963900
2000-02-22,17.0,18.13,17.0,17.88,1328700
2000-02-23,17.69,17.81,16.81,16.88,1226400
2000-02-24,16.88,16.94,15.88,16.38,1940800
2000-02-25,16.94,16.94,16.0,16.13,1325500
2000-02-28,16.13,16.69,16.06,16.44,1137300
2000-02-29,16.38,16.88,16.06,16.38,1539900
2000-03-01,16.63,17.0,16.44,16.75,2300300
2000-03-02,16.75,16.88,16.0,16.13,3144700
2000-03-03,16.13,16.75,16.06,16.25,2658600
2000-03-06,16.19,16.25,15.69,16.0,2590700
2000-03-07,15.88,16.0,15.19,15.5,4455000
2000-03-08,15.25,16.0,15.25,15.81,1720000
2000-03-09,15.88,15.94,15.5,15.81,1391500
2000-03-10,15.63,15.94,15.25,15.63,1814700
2000-03-13,15.75,15.75,15.13,15.5,1265500
2000-03-14,15.63,15.69,15.38,15.63,1369000
2000-03-15,15.38,15.75,15.06,15.63,3302300
2000-03-16,15.81,17.5,15.81,17.06,2801700
2000-03-17,17.56,17.56,17.0,17.0,1847900
2000-03-20,17.25,17.56,17.06,17.5,1238000
2000-03-21,17.31,17.94,17.31,17.69,1343700
2000-03-22,17.5,18.25,17.38,17.75,1841200
2000-03-23,17.5,18.0,17.25,17.25,3387200
2000-03-24,17.25,17.38,16.25,16.44,2993500
2000-03-27,16.56,16.56,15.81,16.0,1793500
2000-03-28,16.0,16.0,15.25,15.75,2877800
2000-03-29,16.0,16.75,15.88,16.63,1387200
2000-03-30,17.38,18.75,17.31,18.25,2730300
2000-03-31,19.0,19.0,18.13,18.13,2535300
2000-04-03,18.13,18.81,18.13,18.63,1238200
2000-04-04,18.94,19.31,18.31,18.94,1406100
2000-04-05,18.75,19.5,18.75,19.06,1154700
2000-04-06,19.06,19.31,18.56,18.81,689500
2000-04-07,18.44,18.88,18.38,18.75,1312400
2000-04-10,18.94,18.94,18.31,18.44,1652300
2000-04-11,18.56,19.63,18.5,19.38,1444300
2000-04-12,19.0,20.19,19.0,19.88,1432600
2000-04-13,19.88,20.44,19.38,20.0,1226600
2000-04-14,20.19,20.19,19.06,19.19,1497400
2000-04-17,19.06,19.63,19.06,19.38,1499500
2000-04-18,19.5,19.69,19.31,19.44,761400
2000-04-19,19.38,19.5,18.81,19.0,880400
2000-04-20,19.0,19.19,18.59,18.94,797000
2000-04-24,18.81,19.81,18.81,19.81,1783500
2000-04-25,19.69,20.06,19.44,19.88,1309000
2000-04-26,19.56,19.94,19.5,19.81,1300700
2000-04-27,19.56,19.69,19.31,19.44,1047700
2000-04-28,19.19,19.44,18.81,18.88,1185000
2000-05-01,18.88,20.0,18.88,19.69,1150300
2000-05-02,19.56,19.69,19.31,19.44,1235600
2000-05-03,19.75,20.81,19.75,20.44,1906400
2000-05-04,20.44,20.81,20.13,20.75,983500
2000-05-05,20.5,20.88,20.38,20.56,763300
2000-05-08,20.75,21.06,20.5,20.94,1245700
2000-05-09,21.13,21.81,20.94,21.69,1798100
2000-05-10,21.5,21.69,21.31,21.44,917000
2000-05-11,21.69,21.69,21.38,21.38,585800
2000-05-12,21.63,21.69,21.31,21.69,698500
2000-05-15,21.81,22.0,21.38,21.44,826700
2000-05-16,21.56,21.81,21.38,21.75,649300
2000-05-17,21.44,21.5,20.81,21.38,1198700
2000-05-18,21.31,21.5,21.0,21.31,702800
2000-05-19,21.44,21.63,21.0,21.38,898400
2000-05-22,21.38,22.25,21.06,22.19,1008400
2000-05-23,22.0,22.5,21.94,22.44,1452200
2000-05-24,22.25,22.88,22.19,22.81,952100
2000-05-25,22.94,22.94,22.38,22.81,882200
2000-05-26,22.81,23.25,22.63,22.94,844600
2000-05-30,23.06,23.44,22.56,23.44,1090500
2000-05-31,23.44,23.44,22.75,22.81,901200
2000-06-01,23.0,23.69,22.88,23.13,1182100
2000-06-02,23.5,23.63,21.94,22.0,1554100
2000-06-05,22.19,22.56,21.81,21.94,1104100
2000-06-06,21.25,21.69,21.0,21.38,1752700
2000-06-07,21.69,22.13,21.56,21.81,903500
2000-06-08,21.5,21.75,21.19,21.69,1298400
2000-06-09,21.69,21.69,21.44,21.5,445500
2000-06-12,21.56,22.0,21.5,21.63,742100
2000-06-13,21.63,22.0,21.38,21.56,857500
2000-06-14,21.56,21.81,21.38,21.69,730500
2000-06-15,21.88,22.0,21.56,21.56,617400
2000-06-16,21.63,21.81,21.06,21.19,942900
2000-06-19,21.31,21.56,20.75,21.0,914000
2000-06-20,20.75,20.75,20.0,20.31,2253300
2000-06-21,20.25,20.38,19.69,19.88,1450200
2000-06-22,19.94,20.19,19.69,19.88,1267300
2000-06-23,20.13,20.19,18.25,18.5,3691900
2000-06-26,19.25,19.81,19.25,19.75,2424700
2000-06-27,19.81,20.31,19.69,19.88,1745500
2000-06-28,20.06,20.13,19.75,19.83,1006600
2000-06-29,19.81,19.88,19.56,19.63,954000
2000-06-30,19.69,19.88,19.05,19.06,2073100
2000-07-03,19.25,19.5,19.19,19.5,569200
2000-07-05,19.75,20.44,19.56,20.31,1201000
2000-07-06,20.5,21.38,20.44,21.38,3428100
2000-07-07,21.38,21.44,20.75,21.25,1491100
2000-07-10,21.31,21.5,21.06,21.06,1290500
2000-07-11,21.06,21.5,21.06,21.25,1506800
2000-07-12,21.13,21.31,20.94,20.94,1102300
2000-07-13,21.0,21.44,21.0,21.13,1137000
2000-07-14,21.13,21.5,20.94,21.0,941600
2000-07-17,21.0,21.06,20.81,20.81,868900
2000-07-18,20.81,21.38,20.75,21.25,721600
2000-07-19,21.38,21.63,21.19,21.25,1128100
2000-07-20,21.31,21.69,21.25,21.5,900000
2000-07-21,21.63,21.69,21.38,21.38,907000
2000-07-24,21.38,21.44,21.19,21.25,557600
2000-07-25,21.19,21.38,21.19,21.25,775900
2000-07-26,21.19,21.25,20.88,20.94,1145400
2000-07-27,20.69,21.13,20.63,20.88,670500
2000-07-28,20.75,20.81,20.44,20.63,621900
2000-07-31,20.63,21.0,20.38,20.44,929200
2000-08-01,20.69,21.25,20.56,21.13,975100
2000-08-02,21.38,21.56,21.25,21.56,944300
2000-08-03,21.56,21.75,21.56,21.69,1082100
2000-08-04,21.44,21.5,21.0,21.06,1050900
2000-08-07,21.0,21.06,20.63,20.69,691200
2000-08-08,20.69,20.69,20.19,20.44,1067400
2000-08-09,20.0,20.44,19.88,20.25,1223500
2000-08-10,20.25,20.25,19.88,19.94,1463500
2000-08-11,19.94,20.13,19.75,20.06,1714800
2000-08-14,20.06,20.06,19.56,19.75,1624700
2000-08-15,19.75,19.75,19.38,19.38,1652400
