,open,high,low,close,volume
2005-08-11,16.25,16.55,16.0,16.2,15334300
2005-08-12,16.25,18.0,16.25,17.93,5822700
2005-08-15,17.75,17.85,17.26,17.3,2119300
2005-08-16,16.9,17.3,16.9,17.15,1028200
2005-08-17,17.15,17.2,16.8,16.85,1284700
2005-08-18,16.95,16.98,16.25,16.35,2545400
2005-08-19,16.49,16.69,16.25,16.6,605900
2005-08-22,16.65,17.02,16.41,17.0,581900
2005-08-23,17.5,17.94,17.3,17.56,2693200
2005-08-24,17.5,17.75,17.33,17.5,616600
2005-08-25,17.7,17.74,17.4,17.46,933400
2005-08-26,17.55,17.61,17.4,17.47,540800
2005-08-29,16.9,17.18,16.84,17.0,1091600
2005-08-30,17.11,17.39,16.95,17.03,516200
2005-08-31,17.06,17.06,16.61,16.79,600900
2005-09-01,16.85,16.85,15.53,16.25,2493700
2005-09-02,16.41,16.58,16.01,16.07,1149700
2005-09-06,16.2,16.45,16.17,16.4,545300
2005-09-07,16.41,16.43,16.02,16.19,728700
2005-09-08,16.25,16.52,16.25,16.32,511700
2005-09-09,16.55,16.6,16.42,16.57,493700
2005-09-12,16.45,16.52,16.01,16.09,660100
2005-09-13,16.12,16.12,15.7,15.88,759700
2005-09-14,15.75,15.87,15.65,15.72,411100
2005-09-15,15.75,15.81,15.03,15.1,1200800
2005-09-16,15.06,15.34,14.55,15.32,1911000
2005-09-19,15.25,15.95,15.19,15.5,1111800
2005-09-20,15.5,16.03,15.45,15.8,835600
2005-09-21,15.7,15.7,14.7,15.0,1662700
2005-09-22,15.0,15.07,14.5,14.51,1436800
2005-09-23,14.5,15.7,14.48,15.59,966100
2005-09-26,15.6,15.8,15.25,15.5,1565300
2005-09-27,15.45,15.56,15.34,15.46,901000
2005-09-28,15.38,15.38,14.98,15.15,611000
2005-09-29,15.19,15.5,14.82,15.0,1228200
2005-09-30,15.05,15.1,14.66,14.81,2421800
2005-10-03,14.85,14.85,14.35,14.5,855800
2005-10-04,14.45,14.5,14.03,14.07,400400
2005-10-05,14.0,14.0,12.825,13.15,2165200
2005-10-06,13.2,13.49,13.1,13.41,824200
2005-10-07,13.8,13.8,13.46,13.5,434900
2005-10-10,13.57,13.64,12.44,12.55,488600
