,open,high,low,close,volume
2000-01-03,27.06,27.19,25.25,26.0,119867
2000-01-04,26.0,26.19,25.19,25.38,136067
2000-01-05,25.5,25.75,25.25,25.44,127800
2000-01-06,25.38,26.38,25.25,26.25,161667
2000-01-07,26.25,27.25,26.25,27.25,78400
2000-01-10,27.38,27.44,26.56,26.88,51067
2000-01-11,27.0,27.13,26.44,26.63,99867
2000-01-12,26.69,26.88,25.94,26.13,69200
2000-01-13,26.63,27.38,26.13,27.31,89067
2000-01-14,27.25,27.75,27.0,27.06,93667
2000-01-18,26.94,26.94,25.25,26.19,87467
2000-01-19,26.06,26.13,25.5,25.88,47800
2000-01-20,26.0,26.13,25.44,25.75,46667
2000-01-21,25.81,25.81,24.75,24.81,90600
2000-01-24,24.81,25.06,23.94,24.31,105867
2000-01-25,24.25,24.5,21.75,22.88,232600
2000-01-26,23.13,23.38,23.0,23.31,69600
2000-01-27,23.75,23.94,22.88,22.94,97467
2000-01-28,23.13,23.38,22.13,22.19,99400
2000-01-31,22.25,22.63,21.69,22.06,104600
2000-02-01,22.19,22.19,20.56,20.56,197867
2000-02-02,20.75,21.81,20.75,21.25,125467
2000-02-03,21.5,21.81,20.44,20.69,121667
2000-02-04,20.81,20.88,19.81,20.25,108400
2000-02-07,20.0,20.13,19.38,19.38,207667
2000-02-08,19.0,19.69,17.0,18.25,388267
2000-02-09,18.0,18.0,15.25,16.44,886000
2000-02-10,16.5,17.25,15.75,16.38,532067
2000-02-11,16.38,16.75,15.63,15.94,240667
2000-02-14,16.31,16.81,16.19,16.81,260000
2000-02-15,17.06,18.5,17.06,18.5,243867
2000-02-16,18.38,19.69,17.38,18.06,241200
2000-02-17,18.19,18.31,17.5,18.06,100800
2000-02-18,17.88,18.31,17.0,17.06,141467
2000-02-22,16.94,17.56,16.69,17.19,106800
2000-02-23,17.63,17.63,17.25,17.31,139267
2000-02-24,17.25,17.5,16.81,16.88,123200
2000-02-25,16.81,17.0,16.56,16.63,86667
2000-02-28,16.75,17.38,16.31,17.19,170067
2000-02-29,17.13,17.63,17.06,17.06,241667
2000-03-01,17.06,17.5,16.88,17.06,112800
2000-03-02,17.06,17.31,16.81,16.94,104467
2000-03-03,16.88,17.63,16.88,17.63,327600
2000-03-06,17.88,18.13,17.56,17.88,174200
2000-03-07,17.75,17.81,17.0,17.13,174667
2000-03-08,17.13,17.63,16.81,16.81,168267
2000-03-09,16.94,17.44,16.88,16.94,141600
2000-03-10,16.44,16.63,14.94,14.94,318400
2000-03-13,15.0,15.5,14.69,15.0,273200
2000-03-14,15.0,15.38,14.75,14.81,270067
2000-03-15,14.94,15.44,14.69,15.19,292800
2000-03-16,15.31,16.5,15.25,15.75,403667
2000-03-17,15.38,16.13,15.25,15.31,258467
2000-03-20,15.25,16.06,14.75,16.0,458000
2000-03-21,15.88,15.94,15.38,15.94,141200
2000-03-22,15.88,16.0,15.63,15.81,64267
2000-03-23,15.75,16.63,15.69,16.13,124400
2000-03-24,16.19,16.31,15.31,15.38,158467
2000-03-27,15.5,15.63,15.25,15.25,84200
2000-03-28,15.38,15.38,15.0,15.0,249600
2000-03-29,15.13,15.38,15.0,15.06,101800
2000-03-30,15.19,16.88,15.19,16.44,209200
2000-03-31,16.5,17.5,16.31,17.19,306800
2000-04-03,17.19,17.88,16.56,17.88,122867
2000-04-04,17.88,17.94,16.69,17.06,109400
2000-04-05,16.88,17.38,16.75,17.06,77400
2000-04-06,17.0,17.19,16.63,16.69,54800
2000-04-07,16.63,16.69,16.38,16.5,99467
2000-04-10,16.63,17.25,16.63,17.0,85467
2000-04-11,17.25,17.25,16.69,16.81,58200
2000-04-12,16.94,17.38,16.5,16.63,219067
2000-04-13,16.75,17.25,16.63,17.13,107800
2000-04-14,17.06,17.06,16.06,16.38,201600
2000-04-17,16.56,17.13,16.38,16.75,214000
2000-04-18,16.69,16.69,16.25,16.63,84467
2000-04-19,16.56,16.56,16.0,16.38,127467
2000-04-20,16.38,17.0,16.25,16.75,76000
2000-04-24,16.63,17.06,16.5,16.88,85667
2000-04-25,16.81,16.81,16.13,16.13,115267
2000-04-26,16.13,16.75,16.0,16.69,79467
2000-04-27,16.31,16.81,16.06,16.81,73267
2000-04-28,17.06,18.38,17.06,17.88,223600
2000-05-01,17.94,19.06,17.88,18.88,170200
2000-05-02,18.63,19.06,18.38,19.0,78867
2000-05-03,19.0,19.0,18.56,18.81,47267
2000-05-04,18.88,19.5,18.88,19.19,87000
2000-05-05,19.13,19.69,19.06,19.63,70800
2000-05-08,19.63,19.63,18.94,19.19,85800
2000-05-09,19.38,19.38,18.63,19.06,124067
2000-05-10,19.0,19.0,18.38,18.94,80867
2000-05-11,19.06,19.19,18.81,19.19,72867
2000-05-12,19.25,19.25,18.13,18.19,92667
2000-05-15,18.19,18.56,17.81,18.56,112067
2000-05-16,18.75,18.88,18.06,18.44,75200
2000-05-17,18.44,18.5,18.13,18.25,35800
2000-05-18,18.19,18.38,18.06,18.25,41200
2000-05-19,18.13,18.19,17.56,17.88,56200
2000-05-22,17.75,17.94,17.5,17.81,44000
2000-05-23,17.81,18.0,17.56,17.63,37667
2000-05-24,17.69,18.44,17.63,18.19,53000
2000-05-25,18.19,18.56,17.5,17.5,75667
2000-05-26,17.56,17.88,17.44,17.69,31000
2000-05-30,17.56,18.13,17.56,17.94,33800
2000-05-31,17.94,18.0,17.81,17.94,80400
2000-06-01,18.13,19.5,18.13,19.0,112667
2000-06-02,19.13,19.5,18.75,18.94,47867
2000-06-05,18.5,18.75,18.31,18.5,39467
2000-06-06,18.38,19.0,18.38,18.44,43400
2000-06-07,18.56,18.94,18.25,18.38,44200
2000-06-08,18.44,18.63,18.06,18.44,67067
2000-06-09,18.44,18.63,18.31,18.56,74067
2000-06-12,18.69,19.0,18.38,19.0,72800
2000-06-13,19.0,19.44,18.75,19.44,79467
2000-06-14,19.44,19.44,19.0,19.19,37000
2000-06-15,19.25,20.5,19.13,20.38,142400
2000-06-16,20.5,20.88,19.44,19.44,204200
2000-06-19,19.19,19.56,19.0,19.56,54067
2000-06-20,19.81,19.81,19.38,19.69,78067
2000-06-21,19.75,19.88,19.56,19.63,46067
2000-06-22,19.63,19.63,18.81,18.88,85467
2000-06-23,18.69,18.94,18.25,18.56,136667
2000-06-26,18.56,19.38,18.44,19.38,56800
2000-06-27,19.38,19.63,18.81,19.0,75667
