,open,high,low,close,volume
2000-01-03,40.0,40.0,38.88,39.12,257400
2000-01-04,38.5,38.5,37.81,37.81,201400
2000-01-05,37.5,37.75,37.5,37.63,202400
2000-01-06,37.0,37.5,37.0,37.5,267700
2000-01-07,37.56,38.0,37.19,38.0,138700
2000-01-10,38.25,39.88,38.0,39.69,75200
2000-01-11,39.5,39.88,38.81,39.06,61900
2000-01-12,39.13,39.88,39.0,39.38,120700
2000-01-13,39.25,39.88,39.25,39.75,30700
2000-01-14,39.5,40.13,39.44,40.0,76000
2000-01-18,39.81,40.0,39.63,39.69,52000
2000-01-19,39.56,40.94,39.5,40.88,88300
2000-01-20,40.81,40.81,40.19,40.44,65600
2000-01-21,40.41,40.41,39.25,39.31,134500
2000-01-24,39.5,41.38,39.25,41.19,151500
2000-01-25,41.13,42.06,40.19,40.5,281700
2000-01-26,40.88,40.88,39.56,40.75,198700
2000-01-27,40.75,40.75,39.88,39.94,27900
2000-01-28,39.88,41.5,39.75,41.5,122100
2000-01-31,41.06,42.13,40.0,40.69,94000
2000-02-01,40.75,41.25,39.38,41.25,102800
2000-02-02,40.78,43.0,40.5,42.5,198400
2000-02-03,42.56,42.63,42.0,42.5,46000
2000-02-04,42.5,43.06,42.31,42.81,72600
2000-02-07,42.63,43.5,42.05,43.5,105600
2000-02-08,43.5,45.25,43.44,44.19,171500
2000-02-09,44.25,49.0,44.25,47.88,367800
2000-02-10,48.25,48.38,47.13,47.19,174000
2000-02-11,47.63,47.63,43.56,43.56,243200
2000-02-14,44.13,44.25,41.75,43.25,121100
2000-02-15,43.25,43.5,41.13,41.75,179500
2000-02-16,42.25,42.88,42.23,42.5,66700
2000-02-17,42.72,42.94,41.88,42.13,70600
2000-02-18,42.5,42.5,40.75,40.75,56000
2000-02-22,40.63,42.13,40.0,41.5,122200
2000-02-23,44.5,46.25,43.88,44.69,682000
2000-02-24,44.5,46.5,44.38,45.25,365800
2000-02-25,45.38,46.38,45.25,45.91,234600
2000-02-28,46.0,50.13,45.56,49.5,336900
2000-02-29,49.5,51.38,48.88,51.0,2922200
2000-03-01,50.41,50.56,49.81,50.25,808500
2000-03-02,50.38,50.44,49.63,49.66,600400
2000-03-03,50.0,50.05,49.56,49.63,476500
2000-03-06,49.69,49.69,49.5,49.56,178700
2000-03-07,49.5,50.94,49.38,50.94,214800
2000-03-08,50.38,51.88,50.38,50.88,203000
2000-03-09,51.25,51.25,50.38,50.38,84600
2000-03-10,50.38,50.44,49.38,49.44,122000
2000-03-13,49.25,49.25,47.5,48.63,140100
2000-03-14,48.63,48.88,43.38,46.06,405500
2000-03-15,46.25,46.5,45.38,45.44,589600
2000-03-16,45.63,46.0,42.88,44.06,253100
2000-03-17,42.22,43.06,41.69,41.69,240100
2000-03-20,43.38,43.5,40.0,40.13,244100
2000-03-21,40.63,41.13,39.31,41.06,151200
2000-03-22,41.56,42.06,41.13,42.06,143700
2000-03-23,42.0,42.25,41.69,42.06,265000
2000-03-24,42.5,42.5,42.0,42.0,143400
2000-03-27,42.38,42.38,41.44,41.88,57000
2000-03-28,41.97,42.06,41.88,41.88,122900
2000-03-29,41.88,42.13,40.25,40.5,106400
2000-03-30,40.63,42.13,39.5,39.56,137800
2000-03-31,40.13,40.88,37.25,37.25,533300
2000-04-03,38.0,38.25,34.31,35.0,177900
2000-04-04,35.56,43.38,35.0,40.38,812000
2000-04-05,39.75,41.38,38.75,39.38,727600
2000-04-06,39.5,42.13,39.06,40.38,135000
2000-04-07,41.06,43.81,40.63,43.44,190800
2000-04-10,42.88,44.0,41.69,41.69,192900
2000-04-11,41.56,45.13,40.63,42.13,109600
2000-04-12,42.13,46.25,42.13,46.0,159900
2000-04-13,46.0,46.13,43.88,44.06,178300
2000-04-14,43.81,43.81,38.75,41.25,77100
2000-04-17,41.0,42.0,38.44,41.31,251000
2000-04-18,41.25,47.5,41.06,45.0,395100
2000-04-19,45.69,47.0,43.75,46.91,149800
2000-04-20,47.0,49.19,45.94,48.0,257500
2000-04-24,48.0,49.94,47.44,48.88,181100
2000-04-25,49.25,49.56,47.5,49.44,74800
2000-04-26,49.75,49.75,48.0,48.19,64200
2000-04-27,47.75,49.69,46.75,49.25,96100
2000-04-28,49.44,50.13,48.88,50.0,163600
2000-05-01,49.75,51.0,49.75,50.38,261300
2000-05-02,50.0,50.69,49.75,50.63,136800
2000-05-03,50.5,50.75,46.0,47.38,127100
2000-05-04,48.13,50.75,47.5,48.38,356100
2000-05-05,48.63,52.25,48.38,51.88,385900
2000-05-08,52.19,52.19,50.75,51.63,141000
2000-05-09,51.63,53.0,50.88,51.81,431900
2000-05-10,52.0,52.75,51.25,51.44,142100
2000-05-11,51.56,52.25,51.44,51.75,225500
2000-05-12,51.75,52.38,51.5,51.72,110100
2000-05-15,51.5,51.69,50.69,51.69,56600
2000-05-16,51.75,52.5,48.75,48.75,119300
2000-05-17,49.13,49.19,45.19,45.69,160000
2000-05-18,46.13,46.13,43.38,44.38,135000
2000-05-19,43.0,44.13,42.63,44.13,99600
2000-05-22,43.56,44.63,39.88,44.44,218100
2000-05-23,44.75,49.56,42.5,47.63,331800
2000-05-24,47.13,48.0,46.39,47.31,123800
2000-05-25,48.31,48.5,45.75,46.0,232100
2000-05-26,45.88,46.75,45.81,46.0,254400
2000-05-30,46.63,46.63,44.13,45.38,149500
2000-05-31,45.38,45.75,44.94,45.69,93200
2000-06-01,45.38,48.19,45.25,47.81,59200
2000-06-02,48.38,48.75,46.0,46.0,100100
2000-06-05,46.31,46.38,44.06,45.56,183200
2000-06-06,45.28,46.31,44.81,45.03,176000
2000-06-07,45.25,45.38,44.5,44.88,179600
