,open,high,low,close,volume
2000-01-03,30.88,30.91,30.25,30.53,323000
2000-01-04,30.13,30.5,29.75,30.5,472100
2000-01-05,30.38,31.19,30.38,30.88,333000
2000-01-06,30.75,31.52,30.69,31.0,574200
2000-01-07,31.06,31.63,31.0,31.63,302900
2000-01-10,31.5,31.69,30.75,30.75,352500
2000-01-11,30.88,31.0,30.13,30.5,296200
2000-01-12,30.38,31.5,30.13,30.75,754500
2000-01-13,30.91,31.25,30.06,31.13,156400
2000-01-14,31.13,31.63,30.38,30.38,251600
2000-01-18,30.38,30.75,29.31,29.5,367300
2000-01-19,29.69,30.63,29.5,29.88,775700
2000-01-20,29.69,30.19,28.94,28.94,342900
2000-01-21,30.0,30.31,29.63,30.06,664600
2000-01-24,30.25,30.25,29.63,29.72,384000
2000-01-25,29.63,30.13,29.44,29.56,266300
2000-01-26,29.63,30.44,29.63,30.31,397200
2000-01-27,30.25,30.44,29.0,29.13,194200
2000-01-28,29.0,29.0,27.38,27.63,268800
2000-01-31,27.66,29.5,27.5,28.75,303200
2000-02-01,28.75,30.13,28.25,29.06,449100
2000-02-02,28.81,28.81,27.75,28.56,259700
2000-02-03,28.63,30.0,28.38,29.5,392800
2000-02-04,29.44,30.5,29.38,29.88,659700
2000-02-07,29.88,30.03,28.75,28.81,761500
2000-02-08,28.75,29.75,28.75,28.75,414800
2000-02-09,28.63,30.0,28.63,29.28,559100
2000-02-10,29.09,29.13,28.81,28.97,474400
2000-02-11,29.06,29.06,28.56,28.88,294200
2000-02-14,28.88,29.06,28.69,28.72,373100
2000-02-15,28.88,30.19,28.69,30.19,543000
2000-02-16,30.13,30.44,29.94,30.31,465800
2000-02-17,30.34,31.06,30.25,30.75,329600
2000-02-18,30.81,30.88,30.0,30.69,590500
2000-02-22,30.5,31.5,30.31,30.56,401500
2000-02-23,30.56,31.31,30.5,30.88,536300
2000-02-24,30.81,31.0,30.19,30.19,389600
2000-02-25,30.19,30.75,29.75,29.75,309100
2000-02-28,29.91,30.69,29.88,29.94,297800
2000-02-29,29.91,30.31,29.88,29.88,347700
2000-03-01,29.88,30.38,29.69,30.38,543600
2000-03-02,30.13,32.25,30.0,31.75,771800
2000-03-03,32.06,32.25,31.0,31.81,284200
2000-03-06,31.69,31.94,29.0,29.38,408600
2000-03-07,29.56,29.59,27.5,28.06,431600
2000-03-08,28.25,28.36,26.25,26.69,361000
2000-03-09,26.69,28.13,26.19,28.13,690200
2000-03-10,28.0,28.0,26.88,26.88,526000
2000-03-13,26.38,27.56,26.38,27.38,408600
2000-03-14,27.38,27.5,26.5,27.22,306900
2000-03-15,27.19,28.88,27.13,28.75,347400
2000-03-16,28.84,32.25,28.75,32.19,592900
2000-03-17,32.0,32.5,30.81,31.0,818600
2000-03-20,30.63,32.38,30.63,31.94,434100
2000-03-21,31.97,33.88,31.81,32.56,348700
2000-03-22,32.56,32.75,31.75,32.06,316100
2000-03-23,31.94,32.63,31.25,32.56,381300
2000-03-24,32.37,34.12,32.0,34.0,201400
2000-03-27,33.5,34.0,31.81,32.13,196700
2000-03-28,32.13,33.38,31.13,33.0,376600
2000-03-29,32.5,33.5,32.44,33.48,514900
2000-03-30,33.19,35.5,33.13,35.19,427500
2000-03-31,35.13,37.98,35.0,37.63,700400
2000-04-03,37.47,39.63,37.31,38.94,1405400
2000-04-04,38.63,39.44,38.52,39.03,809400
2000-04-05,38.94,40.0,38.63,39.94,493000
2000-04-06,39.88,40.06,39.75,39.94,866600
2000-04-07,39.88,40.0,39.44,40.0,431300
2000-04-10,39.69,40.75,39.56,40.31,1528200
2000-04-11,40.0,40.75,39.88,40.31,488700
2000-04-12,40.06,40.38,39.88,39.94,362300
2000-04-13,40.06,40.88,39.88,40.64,508000
2000-04-14,40.06,40.13,38.63,38.88,250000
2000-04-17,38.88,40.5,38.5,40.02,393700
2000-04-18,40.06,40.75,39.75,40.5,386900
2000-04-19,40.28,40.44,38.63,39.5,173800
2000-04-20,39.36,40.25,38.19,40.13,239700
2000-04-24,39.91,40.75,39.81,40.72,236400
2000-04-25,40.34,42.44,40.31,42.0,781500
2000-04-26,41.88,42.13,40.94,40.94,822000
2000-04-27,40.5,40.5,39.38,39.56,407000
2000-04-28,39.66,40.69,39.13,40.31,424900
2000-05-01,40.13,41.88,39.88,41.56,550800
2000-05-02,41.63,43.31,40.38,42.88,1093600
2000-05-03,42.38,42.38,39.06,39.63,645500
2000-05-04,39.56,40.13,39.25,39.63,372400
2000-05-05,40.06,40.5,39.25,39.94,146900
2000-05-08,39.69,40.19,38.94,39.25,434100
2000-05-09,39.38,39.38,38.25,39.25,551000
2000-05-10,39.25,39.88,38.13,38.31,245500
2000-05-11,38.95,39.0,37.5,38.44,397900
2000-05-12,37.75,39.38,37.75,39.38,185900
2000-05-15,38.75,40.25,38.75,40.25,610300
2000-05-16,40.06,41.53,39.5,41.38,1974500
2000-05-17,40.84,41.0,39.63,39.69,622600
2000-05-18,39.81,40.88,39.75,40.31,234800
2000-05-19,39.63,39.75,38.19,38.69,450300
2000-05-22,38.59,40.38,38.31,40.13,272200
2000-05-23,39.56,39.73,38.88,39.38,297800
2000-05-24,39.5,40.56,39.31,40.38,490400
2000-05-25,40.13,40.19,38.44,39.06,193900
2000-05-26,38.88,40.31,38.75,40.0,414700
2000-05-30,40.0,41.06,39.81,40.75,336400
2000-05-31,40.88,41.0,39.88,40.0,409100
2000-06-01,40.19,40.31,39.75,40.25,334400
2000-06-02,40.5,40.75,40.25,40.5,190600
2000-06-05,40.56,40.75,38.25,39.31,167000
2000-06-06,39.06,39.13,37.06,37.56,227900
2000-06-07,36.25,39.69,36.0,39.31,329100
2000-06-08,38.94,39.06,37.0,37.69,252200
2000-06-09,38.0,38.38,37.81,37.88,253100
2000-06-12,37.81,37.81,36.19,36.31,182000
2000-06-13,36.16,37.25,35.75,37.13,152300
2000-06-14,36.97,37.94,34.81,35.19,180700
2000-06-15,35.19,36.75,35.13,36.06,910200
2000-06-16,36.5,36.63,34.63,35.31,734800
2000-06-19,35.19,35.69,34.75,34.75,775800
2000-06-20,34.75,35.5,32.63,32.88,392500
2000-06-21,32.88,34.06,32.75,33.75,699500
2000-06-22,33.69,33.94,33.56,33.75,360300
2000-06-23,33.81,34.63,33.5,34.25,126000
2000-06-26,34.25,35.0,34.06,34.81,777900
2000-06-27,34.66,35.31,33.88,33.94,320000
2000-06-28,33.94,35.5,33.94,35.0,264300
2000-06-29,34.88,36.75,33.19,33.19,387200
2000-06-30,33.94,33.97,31.0,31.44,639300
2000-07-03,31.44,32.56,31.44,32.06,213300
2000-07-05,32.25,33.38,32.0,32.88,213100
2000-07-06,32.88,32.94,32.75,32.88,672100
2000-07-07,33.16,33.44,32.81,33.13,195700
2000-07-10,33.06,33.44,32.63,33.25,191900
2000-07-11,33.34,34.44,33.13,34.44,320800
2000-07-12,34.59,35.31,34.38,35.25,382000
2000-07-13,35.06,35.75,35.06,35.56,379300
2000-07-14,35.63,36.25,35.5,36.13,291600
2000-07-17,36.0,36.0,34.75,35.75,286000
2000-07-18,35.5,35.56,34.5,35.0,253700
2000-07-19,34.97,35.5,34.38,34.5,158100
2000-07-20,34.56,36.56,34.56,36.05,223300
2000-07-21,35.75,36.38,34.19,34.31,269200
2000-07-24,34.19,35.63,34.13,34.69,190400
2000-07-25,34.94,37.25,34.63,36.5,537600
2000-07-26,36.53,37.75,36.44,36.44,557500
2000-07-27,37.17,38.0,36.81,38.0,380000
2000-07-28,37.94,38.31,36.63,37.25,336100
2000-07-31,37.0,38.13,36.56,37.75,411900
2000-08-01,37.75,39.38,37.63,39.31,632600
2000-08-02,39.19,39.25,38.94,39.13,854400
2000-08-03,39.06,40.0,38.88,39.94,640200
2000-08-04,39.88,40.06,38.75,40.0,442700
2000-08-07,39.84,39.84,38.94,39.69,268000
2000-08-08,39.59,39.81,39.0,39.69,259200
2000-08-09,39.56,39.56,37.88,38.63,106000
2000-08-10,38.81,39.31,38.31,38.81,169500
2000-08-11,39.13,40.06,39.09,40.0,385300
2000-08-14,39.94,39.98,39.5,39.94,181200
2000-08-15,39.53,39.55,38.0,38.81,420400
2000-08-16,39.25,39.88,39.0,39.38,294400
2000-08-17,39.25,39.94,38.38,39.88,210900
2000-08-18,39.59,40.06,38.86,39.69,395900
2000-08-21,39.69,40.06,39.31,39.94,220500
2000-08-22,39.88,39.94,39.56,39.56,249600
2000-08-23,39.63,39.69,38.75,39.25,224400
2000-08-24,39.22,39.31,37.88,38.19,126500
2000-08-25,38.19,38.5,37.56,37.56,252800
2000-08-28,37.66,38.83,37.25,38.13,133100
2000-08-29,38.13,38.31,37.13,37.5,91200
2000-08-30,37.47,39.0,37.47,38.63,192900
2000-08-31,38.56,39.0,38.06,38.88,237700
2000-09-01,38.84,38.88,37.31,38.13,358100
2000-09-05,38.16,39.69,37.63,39.39,343700
2000-09-06,39.25,39.81,38.81,39.44,236500
2000-09-07,39.31,39.41,38.19,38.88,166000
2000-09-08,38.81,39.69,38.13,39.44,178700
2000-09-11,39.41,40.06,39.38,40.06,382100
2000-09-12,39.94,40.63,39.69,40.19,418800
2000-09-13,40.44,40.44,39.69,39.94,201200
2000-09-14,39.84,39.94,39.31,39.5,125100
2000-09-15,38.56,39.0,37.69,38.31,702700
2000-09-18,38.38,38.38,35.7,36.94,429000
2000-09-19,37.06,39.19,37.06,38.61,237000
2000-09-20,38.56,38.56,37.19,37.92,243200
2000-09-21,37.88,38.25,36.88,38.06,119200
2000-09-22,37.78,38.25,37.0,37.94,235700
2000-09-25,37.69,37.75,36.75,37.0,191000
2000-09-26,36.88,37.19,36.5,36.81,453900
2000-09-27,35.25,35.75,33.88,35.13,948800
2000-09-28,35.13,36.13,34.94,35.72,359300
2000-09-29,35.88,36.75,35.44,35.5,296000
2000-10-02,35.41,36.0,34.0,35.88,230800
2000-10-03,35.78,35.81,34.5,34.75,291500
2000-10-04,34.88,35.06,33.81,34.06,458400
2000-10-05,34.5,34.69,34.0,34.5,777800
2000-10-06,34.94,35.5,34.69,34.94,496100
2000-10-09,34.75,34.92,33.94,34.02,180700
2000-10-10,34.44,34.44,33.38,33.63,257100
2000-10-11,33.63,34.19,32.81,33.25,323300
2000-10-12,33.28,33.44,32.56,33.25,334200
2000-10-13,33.44,33.88,33.19,33.69,393100
2000-10-16,33.81,34.25,32.88,34.25,465200
2000-10-17,33.81,34.06,33.63,33.94,369500
2000-10-18,33.56,34.19,33.38,33.89,269900
2000-10-19,34.0,35.98,33.94,35.44,515000
2000-10-20,34.88,35.88,34.75,34.94,283000
2000-10-23,35.19,35.38,34.38,34.5,538500
2000-10-24,34.59,36.38,34.56,35.94,382400
2000-10-25,36.06,36.63,35.63,35.94,208800
2000-10-26,35.84,37.06,35.0,35.56,278300
2000-10-27,35.47,37.19,35.31,36.75,232300
2000-10-30,36.69,38.13,36.69,37.94,411900
2000-10-31,37.84,37.84,36.75,36.75,301800
2000-11-01,36.53,38.17,36.5,37.56,205600
2000-11-02,37.5,38.75,37.5,38.19,328900
2000-11-03,38.03,38.06,37.38,37.69,389500
2000-11-06,37.69,37.88,37.25,37.56,125700
2000-11-07,37.63,37.69,35.97,36.5,437500
2000-11-08,35.63,37.19,35.5,36.19,173900
2000-11-09,36.13,36.69,35.88,36.0,266100
2000-11-10,36.06,37.19,36.0,36.5,260400
2000-11-13,36.06,36.94,35.25,35.5,203000
2000-11-14,35.52,36.44,35.47,36.17,217800
2000-11-15,36.13,36.63,35.63,36.5,228500
2000-11-16,36.31,36.88,35.56,36.75,209500
2000-11-17,36.53,36.88,36.19,36.69,181700
2000-11-20,36.38,36.5,35.19,35.94,163600
2000-11-21,36.25,36.44,35.13,35.94,177500
2000-11-22,35.5,36.13,35.25,35.25,176700
2000-11-24,35.13,35.31,34.95,35.13,69700
2000-11-27,35.06,35.06,34.44,34.48,188900
2000-11-28,34.69,35.63,34.38,35.13,298800
2000-11-29,35.56,37.0,35.38,36.23,399200
2000-11-30,36.09,36.75,35.75,36.56,639700
2000-12-01,36.34,37.66,36.13,37.44,295500
2000-12-04,37.23,38.06,37.19,37.81,393700
2000-12-05,38.38,39.0,38.0,38.73,299500
2000-12-06,38.31,39.63,38.25,39.63,328600
2000-12-07,39.34,39.63,39.19,39.44,271600
2000-12-08,39.47,40.13,39.44,39.8,970600
2000-12-11,39.75,40.06,39.38,40.06,456800
2000-12-12,40.0,40.38,39.31,39.86,400000
2000-12-13,39.78,39.86,38.94,39.06,259100
2000-12-14,39.09,39.13,37.63,37.63,470400
2000-12-15,37.06,37.88,36.81,37.19,911600
2000-12-18,37.44,38.38,37.25,38.19,459400
2000-12-19,38.25,39.25,38.19,38.75,496900
2000-12-20,38.69,39.31,38.25,39.0,374100
2000-12-21,38.94,39.13,38.5,38.94,449600
2000-12-22,39.0,39.05,38.63,39.05,264900
2000-12-26,39.06,39.13,38.62,38.94,246100
2000-12-27,38.94,39.31,38.63,39.13,224500
2000-12-28,39.06,39.75,38.0,39.63,313600
2000-12-29,39.69,40.13,39.31,39.56,358000
2001-01-02,39.56,39.94,39.38,39.63,669700
2001-01-03,39.5,41.25,39.5,41.13,886000
2001-01-04,41.06,41.13,39.75,39.94,1126000
2001-01-05,39.94,40.38,39.13,39.81,533700
2001-01-08,39.5,40.44,39.5,40.19,364600
2001-01-09,40.19,40.25,39.25,39.94,455800
2001-01-10,39.69,40.55,39.63,39.88,366200
2001-01-11,39.84,39.94,38.38,39.0,508900
2001-01-12,38.91,39.19,37.25,37.81,533400
2001-01-16,37.38,38.25,37.38,38.0,688100
2001-01-17,38.0,38.0,37.44,37.56,256800
2001-01-18,37.34,37.5,37.0,37.06,561500
2001-01-19,36.94,36.94,36.0,36.13,734700
2001-01-22,35.94,37.69,35.88,37.13,839700
2001-01-23,37.06,37.31,36.44,36.94,669600
2001-01-24,36.94,37.0,36.56,36.88,590200
2001-01-25,37.0,37.44,36.75,37.0,418800
