,open,high,low,close,volume
2000-01-03,64.0,64.0,62.0,62.25,1217400
2000-01-04,61.25,61.94,60.5,60.63,1179200
2000-01-05,60.75,61.25,58.5,58.63,1584700
2000-01-06,58.0,60.0,57.88,58.44,2901100
2000-01-07,59.13,62.31,58.0,61.94,2785100
2000-01-10,63.5,63.63,61.75,63.63,1524800
2000-01-11,63.0,64.81,62.94,63.94,1925400
2000-01-12,63.25,64.44,62.81,64.38,1166300
2000-01-13,64.13,65.69,63.81,64.81,1321500
2000-01-14,66.0,66.75,62.06,63.31,2347900
2000-01-18,63.06,63.63,62.06,63.0,1451000
2000-01-19,63.0,63.25,61.13,61.5,1235100
2000-01-20,61.38,63.75,60.5,61.94,1541000
2000-01-21,63.25,63.25,60.38,61.31,1821100
2000-01-24,62.75,63.0,60.5,60.69,1512400
2000-01-25,61.75,61.81,59.25,59.63,964500
2000-01-26,59.75,60.63,58.94,60.19,684000
2000-01-27,59.75,61.31,59.75,60.31,1037600
2000-01-28,60.56,61.13,58.5,59.5,1569200
2000-01-31,58.75,59.69,58.5,59.25,1705900
2000-02-01,59.25,60.19,58.44,59.63,1545400
2000-02-02,60.5,61.56,59.75,61.31,1505200
2000-02-03,61.0,61.75,58.38,60.0,2134300
2000-02-04,56.25,59.56,55.0,56.25,3248900
2000-02-07,56.25,56.81,53.56,56.38,2953100
2000-02-08,56.38,59.38,56.38,58.69,2727800
2000-02-09,59.75,59.75,57.5,58.19,2217700
2000-02-10,58.25,58.5,57.38,57.5,1222200
2000-02-11,57.63,57.63,55.63,55.88,1650600
2000-02-14,55.94,55.94,53.0,54.0,1981000
2000-02-15,54.75,55.81,53.81,55.69,2154600
2000-02-16,55.88,56.75,55.13,55.38,1533000
2000-02-17,55.63,56.0,53.5,53.94,1341100
2000-02-18,52.5,54.88,52.0,53.06,2094800
2000-02-22,53.06,53.94,50.69,52.38,1555500
2000-02-23,51.88,51.94,50.94,51.38,1531400
2000-02-24,50.75,51.63,47.88,49.06,2476700
2000-02-25,49.19,49.75,48.0,48.25,2965600
2000-02-28,48.88,51.31,48.0,51.0,2658700
2000-02-29,51.25,53.5,50.63,52.19,2485900
2000-03-01,52.25,53.63,51.5,53.0,1744800
2000-03-02,53.25,53.38,52.5,52.63,1545200
2000-03-03,52.63,55.13,52.56,54.88,1433100
2000-03-06,55.0,55.0,52.63,52.81,1119800
2000-03-07,46.0,49.75,45.75,46.75,8371600
2000-03-08,47.13,47.88,42.38,43.94,7935900
2000-03-09,43.75,44.38,43.0,44.0,2620200
2000-03-10,44.0,44.0,40.88,42.75,4007100
2000-03-13,40.5,44.19,40.5,43.38,2873000
2000-03-14,42.25,43.56,42.0,43.19,1592700
2000-03-15,43.88,54.0,43.75,51.81,5907900
2000-03-16,51.81,52.38,49.75,51.25,4772700
2000-03-17,50.25,51.94,49.81,49.94,2542400
2000-03-20,49.94,51.0,49.13,50.25,1862500
2000-03-21,49.88,51.5,49.75,50.31,2091200
2000-03-22,49.88,50.94,48.5,50.56,2494200
2000-03-23,50.19,54.0,50.0,53.13,2958700
2000-03-24,53.19,56.0,53.19,54.38,2321500
2000-03-27,55.0,55.5,53.94,54.19,1674300
2000-03-28,53.38,56.88,53.38,56.88,2148100
2000-03-29,57.0,57.63,55.69,56.44,2174600
2000-03-30,55.25,56.44,54.56,56.19,2882500
2000-03-31,56.38,58.38,55.94,56.38,2154000
2000-04-03,56.63,60.88,56.44,60.5,1881800
2000-04-04,60.0,61.63,59.25,60.69,2891700
2000-04-05,60.38,61.75,58.25,58.44,1709800
2000-04-06,58.56,60.0,57.0,59.0,1534000
2000-04-07,59.0,60.0,58.75,59.31,1256000
2000-04-10,58.0,60.88,57.88,60.25,2181300
2000-04-11,60.88,62.88,60.75,62.63,2503300
2000-04-12,62.63,65.25,61.88,62.0,3077400
2000-04-13,61.0,61.5,57.81,59.0,2924500
2000-04-14,55.75,57.38,54.44,55.75,2513300
2000-04-17,55.0,57.63,54.56,57.63,2263200
2000-04-18,57.0,57.0,54.63,55.25,2307000
2000-04-19,56.0,56.0,52.81,55.69,3994400
2000-04-20,55.25,57.38,54.63,57.13,2760700
2000-04-24,56.94,58.75,56.75,58.63,1969800
2000-04-25,58.56,60.0,58.13,59.19,2634000
2000-04-26,59.5,59.5,56.94,57.69,1662700
2000-04-27,56.88,59.88,56.38,58.69,2284700
2000-04-28,56.5,57.75,54.88,57.13,1998300
2000-05-01,56.0,56.5,55.13,55.13,1296600
2000-05-02,55.13,56.81,54.94,56.13,1276800
2000-05-03,56.19,57.81,55.31,55.5,1077900
2000-05-04,55.75,56.06,55.25,55.94,1003600
2000-05-05,56.25,58.06,55.75,57.13,1157400
2000-05-08,57.5,59.5,56.94,57.63,1074600
2000-05-09,57.75,59.44,57.69,59.0,1778100
2000-05-10,58.25,59.75,58.0,58.19,1895800
2000-05-11,59.0,60.75,58.63,60.19,2023300
2000-05-12,60.19,60.19,57.88,58.84,975100
2000-05-15,58.75,59.75,58.63,59.25,1052100
2000-05-16,59.06,59.06,57.63,58.06,1190400
2000-05-17,58.13,58.88,57.44,58.56,857600
2000-05-18,57.25,59.5,57.25,59.06,915800
2000-05-19,58.88,58.88,56.44,56.94,1310400
2000-05-22,57.0,57.63,56.0,56.56,941400
2000-05-23,56.56,57.38,55.69,55.94,1540600
2000-05-24,55.69,57.0,55.69,56.63,1759100
2000-05-25,56.0,56.5,55.63,56.0,1625000
2000-05-26,56.19,57.0,55.25,55.75,814000
2000-05-30,56.13,56.25,53.81,54.13,1355500
2000-05-31,53.5,54.0,51.56,52.63,3700100
2000-06-01,54.13,54.94,52.5,53.31,2565000
2000-06-02,54.25,54.88,53.94,54.5,1285700
2000-06-05,54.63,54.63,53.06,53.06,1061200
2000-06-06,52.0,54.75,52.0,54.56,1213700
2000-06-07,55.0,58.13,54.94,57.0,2166600
2000-06-08,55.75,56.81,54.5,56.5,1903800
2000-06-09,56.88,57.56,56.75,56.88,871800
2000-06-12,57.0,58.56,57.0,57.44,921200
2000-06-13,57.44,57.5,54.75,55.56,1828800
2000-06-14,55.56,57.63,55.44,57.13,1810200
2000-06-15,57.31,58.81,57.31,58.5,1502500
2000-06-16,58.0,58.25,57.31,57.88,2148800
2000-06-19,57.75,58.25,57.19,57.63,985800
2000-06-20,56.75,57.81,55.88,57.38,1550100
2000-06-21,57.25,57.56,55.56,57.0,1188000
2000-06-22,57.0,57.0,55.63,56.0,1412000
2000-06-23,56.0,56.06,55.0,55.56,1227200
2000-06-26,55.63,56.88,55.56,56.5,1254600
2000-06-27,56.5,57.44,56.25,56.94,1895500
2000-06-28,57.0,57.5,55.5,56.61,1240300
2000-06-29,56.56,57.44,56.06,56.75,1762000
2000-06-30,56.63,59.98,56.63,59.88,2184000
2000-07-03,59.63,60.0,58.63,59.88,864500
2000-07-05,59.0,59.81,58.88,59.31,1610600
2000-07-06,59.88,60.25,58.75,58.81,1355900
2000-07-07,57.5,57.94,56.88,57.19,2124900
2000-07-10,57.25,57.88,55.5,55.69,1475400
2000-07-11,55.75,55.94,53.56,54.63,3540900
2000-07-12,54.63,54.63,52.69,53.0,3512600
2000-07-13,53.0,53.38,51.0,53.06,5609200
2000-07-14,53.19,54.63,52.38,54.25,3388200
2000-07-17,53.38,55.63,52.69,54.94,2348800
2000-07-18,55.5,55.5,54.69,54.94,1753600
2000-07-19,55.0,55.19,53.06,54.5,2038800
2000-07-20,55.13,56.0,54.0,55.38,2373900
2000-07-21,56.13,57.25,55.38,56.63,2003900
2000-07-24,56.56,56.94,55.63,56.0,1098500
2000-07-25,56.75,57.06,55.75,56.31,1701800
2000-07-26,56.56,56.63,55.13,55.56,1497200
2000-07-27,55.81,56.63,54.75,56.38,1282100
2000-07-28,57.25,57.5,55.31,56.0,1309900
2000-07-31,56.0,57.63,55.69,55.69,1108500
2000-08-01,55.63,57.75,55.31,56.88,2134600
2000-08-02,57.13,57.38,55.38,56.56,951800
2000-08-03,56.5,57.5,56.13,56.38,1179500
2000-08-04,56.38,56.38,54.5,55.0,936800
2000-08-07,55.25,55.94,52.63,53.56,2127700
2000-08-08,53.75,53.75,51.63,52.88,2667400
2000-08-09,52.88,53.63,51.56,52.13,1357800
2000-08-10,53.31,54.06,53.19,53.63,1165600
2000-08-11,54.38,54.44,52.56,53.38,1133600
2000-08-14,54.25,54.25,52.75,53.94,784300
2000-08-15,54.19,54.88,53.81,54.0,1175100
2000-08-16,54.13,54.63,53.63,54.0,1108400
2000-08-17,53.94,53.94,51.63,52.75,1669000
2000-08-18,52.88,52.94,51.69,52.38,1764400
2000-08-21,53.0,53.5,52.19,52.69,1184800
2000-08-22,51.88,52.63,50.56,50.94,1757200
2000-08-23,52.0,53.38,52.0,53.06,2005300
2000-08-24,52.0,53.06,51.88,52.81,1225000
2000-08-25,52.0,53.25,51.06,53.0,1303800
