,open,high,low,close,volume
2002-12-06,39.0,43.2,38.9,42.9,5510200
2002-12-09,42.7,42.8,41.14,42.02,629900
2002-12-10,42.05,43.3,41.65,42.75,344600
2002-12-11,42.7,45.5,42.3,45.06,509800
2002-12-12,45.06,45.06,43.6,43.91,271100
2002-12-13,43.91,43.97,43.25,43.65,197500
2002-12-16,43.5,43.75,42.95,43.1,159600
2002-12-17,43.0,44.0,42.8,43.27,329200
2002-12-18,43.2,43.2,42.55,42.67,148400
2002-12-19,42.55,42.7,42.17,42.3,136800
2002-12-20,42.4,44.6,42.0,44.45,180900
2002-12-23,44.35,44.55,43.35,43.4,127700
2002-12-24,43.6,43.6,42.96,43.05,43600
2002-12-26,43.1,43.15,42.55,42.6,65000
2002-12-27,42.5,42.5,41.75,42.0,166100
2002-12-30,42.3,42.85,42.1,42.32,215300
2002-12-31,42.27,43.8,42.27,43.66,355600
2003-01-02,43.66,43.95,43.45,43.72,63000
2003-01-03,43.72,45.8,43.52,45.8,172300
2003-01-06,45.03,48.35,45.03,48.1,374900
2003-01-07,48.0,48.6,47.25,48.02,276600
2003-01-08,48.03,48.27,47.67,48.01,82200
2003-01-09,48.1,49.2,47.66,49.05,129800
2003-01-10,48.85,49.35,48.71,48.99,168800
2003-01-13,49.0,49.68,48.87,49.62,162000
2003-01-14,49.62,50.0,49.07,49.1,110800
2003-01-15,48.4,48.4,46.76,47.05,291800
2003-01-16,47.0,47.0,45.27,45.38,145000
2003-01-17,45.25,45.52,44.8,45.02,118100
2003-01-21,45.05,45.2,44.26,44.45,93600
2003-01-22,44.3,44.4,44.1,44.15,32700
2003-01-23,44.2,45.75,44.13,45.43,95200
2003-01-24,45.35,47.1,45.0,46.99,137000
2003-01-27,46.79,46.9,46.2,46.25,41800
2003-01-28,46.3,46.58,46.0,46.01,72900
2003-01-29,46.3,46.58,46.0,46.01,80300
2003-01-30,46.5,46.59,43.8,44.2,147000
2003-01-31,44.0,44.05,42.01,42.5,577200
2003-02-03,42.45,42.9,42.16,42.35,156000
2003-02-04,42.2,42.2,41.55,42.0,148000
2003-02-05,41.95,42.0,41.35,41.74,231800
2003-02-06,41.7,42.02,41.45,41.5,215500
2003-02-07,41.6,42.15,41.55,42.11,148900
2003-02-10,42.11,43.4,42.05,43.0,55700
2003-02-11,43.0,43.53,42.9,42.91,44500
2003-02-12,42.75,42.95,42.48,42.91,71100
2003-02-13,42.85,43.72,42.82,43.5,53100
2003-02-14,43.7,44.8,43.7,44.5,191600
2003-02-18,44.75,44.8,44.15,44.52,150700
2003-02-19,44.53,45.0,44.4,44.77,84100
2003-02-20,44.8,45.1,44.7,45.03,31800
2003-02-21,45.04,45.66,45.0,45.36,41200
2003-02-24,45.0,45.8,45.0,45.54,36500
2003-02-25,45.5,45.8,45.35,45.72,28900
2003-02-26,45.74,46.0,45.1,45.34,42800
2003-02-27,45.24,45.25,43.3,43.3,189000
2003-02-28,43.25,43.8,42.87,43.05,113000
2003-03-03,43.06,43.56,43.0,43.13,42200
2003-03-04,43.1,43.24,42.82,42.82,30200
2003-03-05,42.83,42.96,42.2,42.25,53900
2003-03-06,42.11,42.65,42.11,42.34,70500
2003-03-07,42.35,42.74,42.21,42.33,35100
2003-03-10,42.28,42.66,42.27,42.36,32600
2003-03-11,42.37,42.7,42.17,42.27,20900
2003-03-12,42.4,42.55,41.9,42.38,62400
2003-03-13,42.5,42.7,42.41,42.52,40800
2003-03-14,42.5,43.4,42.5,43.2,94300
2003-03-17,43.2,46.19,43.2,45.95,121400
2003-03-18,45.97,46.83,45.7,46.05,95700
2003-03-19,46.1,46.95,46.1,46.95,29900
2003-03-20,46.96,46.96,45.55,45.55,114200
2003-03-21,45.7,47.13,45.7,47.1,126500
2003-03-24,47.0,48.21,46.73,48.0,222400
2003-03-25,47.95,48.55,47.95,48.43,109100
2003-03-26,48.4,48.91,48.4,48.5,215200
2003-03-27,48.4,48.9,47.8,48.9,155500
2003-03-28,48.8,48.8,48.4,48.65,61300
2003-03-31,48.55,48.55,47.76,48.15,87000
2003-04-01,48.16,48.19,47.58,47.97,46400
2003-04-02,47.37,48.3,47.23,48.16,107200
2003-04-03,48.2,49.2,48.2,48.28,126600
2003-04-04,48.35,48.8,48.26,48.4,64300
2003-04-07,48.7,48.85,46.67,46.7,221900
2003-04-08,46.6,46.77,46.15,46.46,79600
2003-04-09,46.55,46.9,46.25,46.75,78000
2003-04-10,46.8,47.15,46.55,47.12,44900
2003-04-11,47.2,47.2,46.63,46.77,35700
2003-04-14,46.77,47.6,46.7,47.51,42500
2003-04-15,47.47,47.67,47.43,47.5,39700
2003-04-16,47.55,47.91,47.52,47.61,56000
2003-04-17,48.61,49.67,48.54,49.04,213500
2003-04-21,48.84,48.89,48.27,48.72,48700
2003-04-22,49.01,50.55,48.18,49.79,321400
2003-04-23,50.29,51.25,50.0,50.5,308000
2003-04-24,50.5,51.6,50.5,51.6,128800
2003-04-25,51.6,52.7,51.6,52.45,181000
2003-04-28,52.65,56.19,52.65,55.4,543500
2003-04-29,55.41,56.12,54.78,55.65,291000
2003-04-30,55.6,56.75,55.12,56.54,177100
2003-05-01,56.54,56.8,55.78,55.78,231300
2003-05-02,55.65,57.49,55.65,57.0,148100
2003-05-05,57.05,58.0,56.66,56.8,138600
2003-05-06,56.8,56.8,56.03,56.5,132200
2003-05-07,56.3,56.6,55.3,55.6,140900
2003-05-08,55.4,55.58,54.95,55.38,141400
2003-05-09,55.5,56.3,55.05,55.72,92200
2003-05-12,55.65,57.25,55.5,56.7,91500
2003-05-13,56.6,59.0,56.6,58.6,216700
2003-05-14,58.54,59.24,58.34,58.49,152600
2003-05-15,58.45,58.87,58.2,58.62,55900
2003-05-16,58.57,60.0,58.1,60.0,99600
2003-05-19,59.4,59.49,58.37,58.55,109500
2003-05-20,58.45,59.3,58.45,58.54,92300
2003-05-21,58.45,59.2,58.06,59.17,71000
2003-05-22,59.42,60.2,59.3,59.7,116600
2003-05-23,59.75,60.23,59.72,60.18,32200
2003-05-27,59.65,59.65,59.2,59.53,81800
2003-05-28,59.53,60.65,59.53,60.45,101300
2003-05-29,60.45,60.62,59.87,60.24,171300
2003-05-30,60.24,61.8,60.2,61.48,164000
2003-06-02,61.55,62.78,61.55,62.05,140900
2003-06-03,61.85,62.55,61.85,62.32,148200
2003-06-04,62.35,63.46,62.32,63.2,109400
2003-06-05,63.2,63.61,62.85,63.01,72600
2003-06-06,62.87,62.87,61.0,61.0,205600
2003-06-09,60.85,62.19,60.78,62.0,367300
2003-06-10,62.05,62.75,61.5,62.2,241200
2003-06-11,62.1,62.56,62.1,62.35,239500
2003-06-12,62.5,64.5,62.29,64.14,199800
2003-06-13,64.14,64.8,64.14,64.52,144700
2003-06-16,64.7,65.85,64.7,65.62,219700
2003-06-17,65.77,69.5,65.7,69.4,466400
2003-06-18,69.3,69.91,68.55,69.6,406700
2003-06-19,69.6,70.0,67.63,68.0,878500
2003-06-20,68.15,68.19,66.05,66.27,439200
2003-06-23,66.25,66.35,65.28,66.01,242000
2003-06-24,66.01,68.9,66.01,68.47,343500
2003-06-25,68.48,68.48,67.0,67.01,197600
2003-06-26,67.05,69.18,67.05,69.15,177500
2003-06-27,68.75,69.6,68.62,69.6,211900
2003-06-30,69.7,70.04,69.26,69.63,398800
2003-07-01,70.2,74.8,70.0,74.57,860500
2003-07-02,74.57,74.65,73.16,74.65,304900
2003-07-03,74.0,74.1,73.12,73.85,205600
2003-07-07,74.2,74.48,73.8,74.25,128000
2003-07-08,74.1,75.85,74.07,74.41,202200
2003-07-09,74.35,76.82,74.35,76.52,164800
2003-07-10,76.5,77.5,75.8,77.5,228400
2003-07-11,77.75,78.08,75.08,75.71,160200
2003-07-14,75.95,77.8,75.95,77.35,140600
2003-07-15,77.6,78.2,77.13,77.83,160200
2003-07-16,77.9,77.98,76.15,76.5,123200
2003-07-17,76.4,76.42,74.1,74.45,163900
2003-07-18,74.5,75.41,74.36,74.8,84100
2003-07-21,74.75,74.8,73.61,73.62,126200
2003-07-22,75.0,77.84,75.0,77.72,528000
2003-07-23,77.72,78.98,77.21,78.98,209500
2003-07-24,79.08,79.3,75.8,75.91,231300
2003-07-25,75.91,78.58,75.91,78.49,100300
2003-07-28,78.48,78.48,77.7,77.9,124400
2003-07-29,78.03,78.12,75.92,76.35,94500
2003-07-30,76.39,76.48,75.15,75.38,145400
2003-07-31,75.38,75.77,73.65,73.65,246100
2003-08-01,73.55,73.55,70.77,71.85,659100
2003-08-04,71.82,73.4,71.0,73.15,191300
2003-08-05,73.25,74.75,73.25,74.68,187000
2003-08-06,74.74,74.98,73.91,74.98,117200
2003-08-07,74.97,75.05,74.31,75.05,129200
2003-08-08,75.15,75.3,74.8,75.05,31800
2003-08-11,75.1,75.4,74.9,75.15,61000
2003-08-12,75.35,75.52,74.93,75.5,77400
2003-08-13,75.6,77.58,75.6,76.98,168400
2003-08-14,77.05,78.39,77.05,78.21,88100
2003-08-15,78.25,78.5,78.0,78.5,35600
2003-08-18,78.5,78.6,77.6,77.92,131800
2003-08-19,77.0,77.0,71.5,71.6,1168400
2003-08-20,72.5,74.34,72.24,73.4,538500
2003-08-21,73.4,73.6,68.3,71.9,1191100
2003-08-22,70.23,71.66,68.25,68.25,619700
2003-08-25,68.26,68.26,65.55,66.41,541300
2003-08-26,68.0,70.38,67.67,70.31,742000
2003-08-27,70.5,72.98,70.4,72.85,450700
2003-08-28,72.84,72.95,71.42,71.43,292800
2003-08-29,71.0,71.0,70.0,70.39,198200
2003-09-02,70.25,70.4,69.2,69.6,392400
2003-09-03,69.7,71.35,68.7,70.98,277400
