,open,high,low,close,volume
2000-01-03,47.94,48.13,46.0,47.31,193000
2000-01-04,47.25,47.25,45.5,46.0,166900
2000-01-05,46.0,46.88,45.38,46.06,214400
2000-01-06,44.5,48.0,41.63,47.69,768000
2000-01-07,47.69,50.0,47.5,48.94,501500
2000-01-10,48.69,49.88,47.81,49.63,253700
2000-01-11,49.25,49.25,46.38,46.81,192300
2000-01-12,46.81,47.88,46.5,47.0,169400
2000-01-13,47.25,49.0,47.19,47.81,152100
2000-01-14,48.06,48.25,46.69,46.69,110800
2000-01-18,46.19,46.56,45.5,46.25,127800
2000-01-19,46.25,46.25,45.06,45.19,286700
2000-01-20,45.44,45.44,43.88,44.19,143100
2000-01-21,44.44,45.0,42.31,43.0,269900
2000-01-24,43.19,43.25,41.13,41.69,258600
2000-01-25,41.5,41.69,40.19,40.56,314700
2000-01-26,40.81,41.19,40.0,40.69,561300
2000-01-27,40.44,40.44,39.0,39.81,311700
2000-01-28,40.5,40.63,38.0,38.63,422500
2000-01-31,38.38,38.94,37.75,38.25,300700
2000-02-01,37.5,38.25,37.19,37.25,262000
2000-02-02,37.25,37.81,36.56,36.56,244900
2000-02-03,37.06,37.69,36.56,37.38,621900
2000-02-04,37.38,37.81,37.38,37.56,298500
2000-02-07,37.63,37.94,36.38,37.13,336200
2000-02-08,37.38,38.0,36.63,36.94,292500
2000-02-09,37.0,37.38,36.56,36.56,227400
2000-02-10,36.56,36.94,36.25,36.63,395200
2000-02-11,37.0,37.0,34.88,35.06,319700
2000-02-14,35.13,35.88,35.0,35.38,314300
2000-02-15,35.38,36.31,35.38,35.94,478700
2000-02-16,37.0,37.06,36.44,37.06,448000
2000-02-17,36.0,36.38,35.63,36.06,264700
2000-02-18,36.63,42.0,36.19,40.75,608700
2000-02-22,40.5,40.69,38.56,40.69,514600
2000-02-23,40.63,40.63,38.25,38.25,180000
2000-02-24,38.19,38.19,34.75,35.0,518900
2000-02-25,34.25,34.75,33.75,34.63,538300
2000-02-28,34.06,34.06,33.13,33.63,293200
2000-02-29,33.88,33.88,33.0,33.31,339500
2000-03-01,33.56,34.5,33.38,33.88,249100
2000-03-02,33.0,33.25,32.38,32.94,296400
2000-03-03,33.19,34.69,32.81,34.63,272600
2000-03-06,34.13,34.38,33.0,33.0,212400
2000-03-07,33.56,33.63,31.25,31.31,213100
2000-03-08,31.81,32.0,30.12,31.06,274100
2000-03-09,31.44,32.25,30.75,32.0,162900
2000-03-10,31.0,32.25,30.81,32.0,281000
2000-03-13,31.5,31.5,30.56,31.44,177300
2000-03-14,31.69,32.44,31.25,31.5,255200
2000-03-15,31.06,34.0,31.0,33.5,375300
2000-03-16,33.94,37.25,33.81,37.19,414800
2000-03-17,37.19,37.19,34.81,35.56,356700
2000-03-20,36.5,37.06,35.81,35.94,339700
2000-03-21,36.44,38.0,35.88,37.25,281000
2000-03-22,37.25,37.25,36.19,36.75,209800
2000-03-23,36.5,38.5,36.5,38.25,279400
2000-03-24,38.25,39.06,37.56,38.13,316900
2000-03-27,38.5,39.0,37.38,38.44,312500
2000-03-28,38.69,38.75,36.5,37.25,294300
2000-03-29,37.31,38.63,37.0,37.63,319400
2000-03-30,37.38,37.38,35.81,36.31,452100
2000-03-31,35.81,38.0,35.75,37.56,497500
2000-04-03,38.06,38.06,36.5,37.25,194200
2000-04-04,37.94,39.94,37.56,38.38,465100
2000-04-05,39.0,39.0,37.63,37.81,255500
2000-04-06,37.81,38.31,36.75,36.75,334800
2000-04-07,37.0,37.13,36.06,36.44,177300
2000-04-10,36.38,37.13,35.88,36.13,135500
2000-04-11,36.38,36.75,35.81,36.19,222400
2000-04-12,35.94,37.5,35.5,35.63,350100
2000-04-13,37.19,39.75,36.69,38.63,515900
2000-04-14,37.75,38.0,36.5,36.63,516400
2000-04-17,36.63,38.81,36.63,36.69,290100
2000-04-18,36.75,38.31,36.0,37.44,288200
2000-04-19,37.19,37.31,35.69,36.19,179400
2000-04-20,35.63,36.81,35.63,36.13,161000
2000-04-24,36.13,36.88,35.88,36.31,92400
2000-04-25,35.81,37.0,35.5,36.75,172100
2000-04-26,37.0,37.56,35.44,36.19,220200
2000-04-27,36.31,36.69,35.63,35.75,103000
2000-04-28,35.56,35.75,35.06,35.56,213600
2000-05-01,35.44,36.0,33.75,35.44,264300
2000-05-02,34.75,35.19,34.13,34.69,206200
2000-05-03,34.63,34.63,33.75,33.94,73100
2000-05-04,34.0,34.31,33.44,33.81,120100
2000-05-05,33.88,34.38,33.56,34.13,136000
2000-05-08,33.88,34.69,33.5,34.0,154500
2000-05-09,34.38,34.44,33.06,33.81,160100
2000-05-10,33.31,33.69,32.81,33.69,121000
2000-05-11,34.13,35.38,33.75,34.63,213400
2000-05-12,34.25,34.94,34.0,34.75,156200
2000-05-15,35.75,35.75,33.75,34.19,132600
2000-05-16,34.19,35.44,34.06,34.44,218300
2000-05-17,33.94,34.5,33.88,34.19,206400
2000-05-18,34.94,35.5,34.13,34.25,126800
2000-05-19,34.0,34.44,33.75,34.06,169300
2000-05-22,33.81,34.25,32.81,33.69,182500
2000-05-23,33.94,33.94,33.0,33.25,137100
2000-05-24,33.88,34.81,33.63,33.91,136600
2000-05-25,34.0,34.31,32.5,32.97,197300
2000-05-26,33.38,33.69,32.31,32.63,89300
2000-05-30,32.38,33.25,32.06,33.03,117300
2000-05-31,33.31,33.31,32.44,32.53,106100
2000-06-01,32.63,33.5,32.31,33.34,181900
2000-06-02,33.75,34.0,32.81,33.5,134200
2000-06-05,33.63,34.19,32.94,33.25,250300
2000-06-06,33.5,33.63,32.81,32.94,171000
2000-06-07,33.38,33.38,32.25,32.38,186300
2000-06-08,32.13,32.31,31.37,31.62,164800
2000-06-09,31.81,32.38,31.81,32.0,85300
2000-06-12,32.25,32.81,31.62,32.06,163200
2000-06-13,32.06,32.19,31.31,31.81,116400
2000-06-14,31.87,33.0,31.75,32.38,264100
2000-06-15,32.44,33.13,32.31,33.13,304800
2000-06-16,33.25,33.31,32.31,32.66,177700
2000-06-19,32.88,33.0,31.44,31.5,170000
2000-06-20,31.56,31.56,30.87,31.12,217900
2000-06-21,31.12,31.44,30.87,30.94,213700
2000-06-22,31.0,31.0,30.06,30.37,171200
2000-06-23,30.12,30.62,29.81,29.94,167400
2000-06-26,30.25,30.44,29.56,30.06,314100
2000-06-27,29.69,30.37,29.69,29.94,503900
2000-06-28,30.0,30.0,28.75,29.41,402100
2000-06-29,29.75,29.87,29.06,29.19,520900
2000-06-30,29.5,29.5,27.23,27.23,789100
2000-07-03,27.69,28.5,27.56,28.31,311700
2000-07-05,27.75,28.25,27.62,27.81,369500
2000-07-06,27.87,28.94,27.81,28.56,468000
2000-07-07,28.31,28.75,27.31,27.31,449300
2000-07-10,27.94,28.5,27.56,27.94,334700
2000-07-11,27.81,30.0,27.06,30.0,384300
2000-07-12,27.69,28.94,27.5,28.5,509100
2000-07-13,28.75,30.0,28.0,29.56,578200
2000-07-14,30.37,30.62,29.75,30.56,463800
2000-07-17,34.88,36.25,34.63,36.03,1797200
2000-07-18,36.44,37.38,35.06,36.25,876300
2000-07-19,35.44,35.75,34.19,34.5,438000
2000-07-20,34.94,34.94,33.0,33.13,1084700
2000-07-21,33.06,34.0,32.63,32.63,340000
2000-07-24,32.88,33.5,32.75,33.0,404800
2000-07-25,33.13,33.38,32.19,32.38,349500
2000-07-26,32.63,32.63,31.37,31.5,510500
2000-07-27,31.31,32.19,31.25,31.94,290000
2000-07-28,32.0,32.38,31.44,31.53,243400
2000-07-31,32.13,33.69,31.87,31.97,447500
2000-08-01,32.25,33.25,32.19,33.06,220900
2000-08-02,33.44,33.75,32.5,32.69,276700
2000-08-03,32.81,32.88,32.06,32.63,290000
2000-08-04,32.5,32.81,32.44,32.5,304900
2000-08-07,32.5,34.0,32.5,33.06,322100
2000-08-08,33.31,34.69,33.31,34.44,430000
2000-08-09,34.56,34.75,33.81,33.94,423800
2000-08-10,33.94,34.31,33.56,34.0,145400
