,open,high,low,close,volume
2000-01-03,16.06,16.06,14.62,14.81,108867
2000-01-04,14.69,14.69,14.31,14.38,27867
2000-01-05,14.25,14.63,14.25,14.63,30267
2000-01-06,14.56,15.25,14.5,14.94,44867
2000-01-07,14.94,15.56,14.94,15.56,32400
2000-01-10,15.69,15.88,15.0,15.0,63867
2000-01-11,14.94,14.94,14.44,14.44,60267
2000-01-12,14.44,14.44,14.19,14.19,45600
2000-01-13,14.25,14.25,14.06,14.25,161667
2000-01-14,14.25,14.5,14.19,14.5,91667
2000-01-18,14.5,15.5,14.5,15.25,163067
2000-01-19,15.31,15.5,15.06,15.19,223600
2000-01-20,15.13,15.25,15.0,15.25,124467
2000-01-21,15.0,15.69,15.0,15.31,110067
2000-01-24,15.31,15.38,14.75,14.75,73867
2000-01-25,14.75,14.88,14.63,14.75,37867
2000-01-26,14.88,16.69,14.88,15.75,153267
2000-01-27,15.75,15.81,15.0,15.06,65667
2000-01-28,15.0,15.19,14.88,15.0,65000
2000-01-31,14.94,15.0,14.38,14.75,42267
2000-02-01,14.88,15.38,14.88,15.31,56867
2000-02-02,15.38,15.44,15.06,15.31,29800
2000-02-03,15.44,15.94,15.44,15.75,72467
2000-02-04,15.69,15.88,15.69,15.69,111067
2000-02-07,15.69,15.81,15.5,15.69,26667
2000-02-08,15.44,15.69,15.31,15.38,50200
2000-02-09,15.25,15.44,15.19,15.19,23467
2000-02-10,15.19,15.56,14.88,15.56,84067
2000-02-11,15.56,15.56,15.25,15.25,26400
2000-02-14,15.31,15.38,15.06,15.13,51067
2000-02-15,15.19,15.38,15.0,15.19,153467
2000-02-16,15.25,15.25,15.0,15.19,137067
2000-02-17,15.13,15.19,14.75,14.88,74667
2000-02-18,14.88,14.88,14.5,14.5,46800
2000-02-22,14.5,14.63,14.13,14.31,113400
2000-02-23,14.31,14.31,14.06,14.19,32000
2000-02-24,14.13,14.75,14.13,14.44,30000
2000-02-25,14.31,14.94,14.19,14.81,111400
2000-02-28,14.38,15.06,14.19,15.06,41800
2000-02-29,15.0,15.81,14.75,15.81,50467
2000-03-01,15.81,16.25,15.81,16.25,248400
2000-03-02,16.38,16.94,16.38,16.75,122000
2000-03-03,16.81,17.19,16.81,16.94,80400
2000-03-06,16.94,17.25,16.94,17.19,410600
2000-03-07,17.25,18.19,17.06,17.88,126667
2000-03-08,17.88,18.13,17.56,17.56,367600
2000-03-09,17.5,17.5,17.0,17.25,160267
2000-03-10,17.31,17.69,17.13,17.25,239467
2000-03-13,17.13,17.75,17.13,17.44,75200
2000-03-14,17.44,17.75,17.31,17.56,64000
2000-03-15,17.44,17.53,17.0,17.06,43800
2000-03-16,17.25,17.38,17.06,17.19,99400
2000-03-17,17.0,17.38,17.0,17.25,23800
2000-03-20,17.19,17.25,16.81,16.81,62067
2000-03-21,16.88,17.56,16.81,17.44,52400
2000-03-22,17.5,17.69,17.5,17.63,82400
2000-03-23,17.69,17.75,17.31,17.31,67667
2000-03-24,17.31,17.63,17.31,17.31,36000
2000-03-27,17.31,17.31,16.69,16.88,167600
2000-03-28,16.75,16.81,16.5,16.69,104400
2000-03-29,16.25,17.5,16.25,17.5,421400
2000-03-30,17.63,18.0,17.31,18.0,117467
2000-03-31,18.0,18.44,17.88,18.06,177600
2000-04-03,18.13,18.19,17.97,18.13,62800
2000-04-04,18.25,18.25,16.75,16.75,102000
2000-04-05,16.75,17.25,16.31,17.25,114600
2000-04-06,17.38,17.81,17.38,17.5,68067
2000-04-07,17.5,17.5,16.88,17.13,57067
2000-04-10,17.25,17.25,16.88,16.88,41000
2000-04-11,17.0,17.31,16.75,17.13,60600
2000-04-12,18.0,18.0,17.25,17.88,227800
2000-04-13,17.75,18.0,17.25,18.0,254000
2000-04-14,18.0,18.0,16.56,17.5,148467
2000-04-17,17.38,17.75,17.38,17.56,92800
2000-04-18,17.69,18.19,17.69,17.88,67067
2000-04-19,17.81,17.81,17.19,17.5,117600
2000-04-20,17.5,18.0,17.38,17.94,158467
2000-04-24,18.0,18.06,17.63,18.0,141467
2000-04-25,18.0,18.69,18.0,18.69,128400
2000-04-26,18.69,18.69,18.19,18.38,124400
2000-04-27,18.31,19.13,18.13,18.81,167467
2000-04-28,18.94,18.94,18.44,18.56,103267
2000-05-01,18.44,19.63,18.44,19.19,111667
2000-05-02,18.94,19.19,18.56,18.88,166000
2000-05-03,18.69,18.75,18.38,18.44,96467
