,open,high,low,close,volume
2000-01-03,46.5,46.63,45.25,45.31,931100
2000-01-04,44.88,45.25,44.19,44.44,736400
2000-01-05,44.69,44.94,43.19,43.63,2037950
2000-01-06,43.75,45.63,43.25,45.13,1359900
2000-01-07,45.5,45.81,45.0,45.13,881350
2000-01-10,45.31,45.31,44.56,45.0,752300
2000-01-11,45.0,45.25,44.5,44.94,556950
2000-01-12,44.69,44.88,43.88,44.06,1126550
2000-01-13,44.63,44.69,44.0,44.13,968850
2000-01-14,44.13,44.13,43.0,43.75,554850
2000-01-18,43.56,44.5,43.56,44.44,768700
2000-01-19,44.81,44.81,43.63,44.06,738100
2000-01-20,43.88,43.88,42.38,42.81,610350
2000-01-21,43.19,43.69,42.25,42.69,1663600
2000-01-24,43.06,43.19,41.5,41.75,1152500
2000-01-25,42.06,42.56,41.19,42.25,750050
2000-01-26,42.5,42.5,40.75,41.19,1185300
2000-01-27,41.19,41.19,39.94,40.5,710850
2000-01-28,40.44,40.69,39.25,39.88,686950
2000-01-31,39.75,41.0,39.25,40.88,1030250
2000-02-01,40.88,41.13,39.94,40.69,843600
2000-02-02,40.5,41.38,39.81,40.13,632900
2000-02-03,40.13,40.38,39.31,39.38,1637200
2000-02-04,39.13,39.31,38.44,39.0,952200
2000-02-07,40.0,40.13,39.56,40.0,1630000
2000-02-08,40.56,40.56,38.63,39.0,1091650
2000-02-09,39.75,39.75,37.88,38.13,1006750
2000-02-10,38.19,39.38,37.81,38.0,1462600
2000-02-11,38.25,38.31,37.06,37.44,750600
2000-02-14,37.5,38.13,36.94,37.63,1309250
2000-02-15,37.88,38.44,37.75,38.25,1276350
2000-02-16,37.88,39.63,37.69,39.5,1147250
2000-02-17,39.31,39.75,39.13,39.5,996650
2000-02-18,40.5,40.5,38.06,38.75,1304300
2000-02-22,38.63,39.31,38.38,39.06,1376300
2000-02-23,38.94,38.94,37.25,37.56,725900
2000-02-24,37.31,37.5,36.06,36.25,714000
2000-02-25,36.75,37.31,35.94,36.88,683000
2000-02-28,37.25,37.88,36.31,37.13,889500
2000-02-29,36.25,38.44,36.25,38.13,1129950
2000-03-01,38.25,38.69,37.0,38.69,974350
2000-03-02,38.44,38.94,37.38,38.06,1173900
2000-03-03,38.25,38.25,37.44,38.13,1435050
2000-03-06,38.06,38.5,37.44,38.5,698500
2000-03-07,38.75,40.56,38.25,40.5,1645900
2000-03-08,40.25,41.19,39.19,40.44,1290250
2000-03-09,40.63,40.75,39.25,40.25,718550
2000-03-10,40.5,41.25,39.63,39.75,1058850
2000-03-13,39.5,40.44,39.31,39.44,857600
2000-03-14,39.44,39.44,37.81,39.44,1264150
2000-03-15,39.75,40.0,38.25,40.0,1226650
2000-03-16,42.5,43.81,41.56,43.13,2583800
2000-03-17,43.0,43.38,41.06,41.44,1376850
2000-03-20,41.69,41.81,40.69,41.56,1073550
2000-03-21,42.0,43.5,41.88,43.5,1129800
2000-03-22,43.5,43.94,42.25,42.56,1419050
2000-03-23,42.81,43.0,42.5,42.63,730650
2000-03-24,43.88,44.13,42.81,42.94,951700
2000-03-27,42.75,43.38,41.44,43.0,1023150
2000-03-28,42.75,43.56,42.75,43.13,1012000
2000-03-29,43.0,44.75,42.94,44.44,993150
2000-03-30,44.5,46.06,44.38,45.63,994050
2000-03-31,45.56,47.13,45.25,46.25,1189900
2000-04-03,46.13,47.0,46.06,46.5,884650
2000-04-04,46.25,47.06,45.5,46.13,1314500
2000-04-05,45.88,46.5,45.5,45.63,737200
2000-04-06,45.69,46.81,45.56,46.56,626100
2000-04-07,46.81,46.81,45.75,46.06,646450
2000-04-10,46.0,46.19,45.56,45.69,824700
2000-04-11,45.69,47.13,45.56,46.88,690000
2000-04-12,47.25,48.75,47.25,47.94,831000
2000-04-13,47.88,49.0,47.5,48.0,1015950
2000-04-14,48.0,48.94,47.69,48.94,885700
2000-04-17,48.75,48.75,46.75,47.06,1702400
2000-04-18,47.0,47.63,46.75,46.94,1450300
2000-04-19,46.94,48.13,46.94,47.69,849900
2000-04-20,47.44,47.63,47.0,47.56,623100
2000-04-24,47.81,49.0,47.75,49.0,750050
2000-04-25,49.31,49.88,49.13,49.5,1234900
2000-04-26,49.5,49.5,49.13,49.5,1108300
2000-04-27,49.13,49.44,48.75,48.94,1006750
2000-04-28,49.25,49.25,47.44,47.44,1562600
2000-05-01,47.75,48.88,47.69,48.44,1176250
