,open,high,low,close,volume
2000-01-03,43.12,43.94,34.62,39.0,117100
2000-01-04,37.13,37.25,33.38,34.13,168900
2000-01-05,34.25,35.13,33.63,34.0,184200
2000-01-06,33.88,34.88,30.88,31.5,165500
2000-01-07,31.56,35.63,31.44,35.13,54000
2000-01-10,35.75,36.25,34.94,35.63,101800
2000-01-11,35.38,35.63,34.19,34.19,49700
2000-01-12,35.13,35.13,34.0,34.25,296000
2000-01-13,34.88,34.88,34.0,34.63,82200
2000-01-14,34.63,35.13,34.5,35.06,191100
2000-01-18,35.13,35.38,35.0,35.31,173000
2000-01-19,35.28,37.13,35.13,36.13,201100
2000-01-20,37.25,39.38,37.0,39.31,168500
2000-01-21,39.5,39.81,37.94,39.0,167900
2000-01-24,38.19,39.5,38.13,38.94,131800
2000-01-25,20.0,20.0,15.5,19.53,107633
2000-01-26,18.25,19.0,17.0,18.0,241667
2000-01-27,18.97,19.0,16.38,17.75,120067
2000-01-28,17.75,18.38,17.63,18.09,69000
2000-01-31,18.16,18.19,16.25,17.0,221800
2000-02-01,17.75,18.38,17.25,17.5,92467
2000-02-02,18.0,18.5,17.75,18.19,56400
2000-02-03,18.44,19.0,18.0,18.88,155467
2000-02-04,18.88,18.88,18.5,18.88,242000
2000-02-07,19.25,19.38,18.94,19.38,149467
2000-02-08,19.5,19.81,19.25,19.31,178267
2000-02-09,19.34,20.25,19.31,20.0,140000
2000-02-10,19.94,22.06,19.88,22.06,435067
2000-02-11,22.09,22.13,20.5,20.81,471067
2000-02-14,20.78,21.5,20.5,21.38,442400
2000-02-15,21.63,21.63,21.19,21.38,153200
2000-02-16,21.28,21.75,21.25,21.59,85400
2000-02-17,21.72,21.88,20.94,21.25,210267
2000-02-18,21.22,21.25,20.88,21.0,188000
2000-02-22,20.88,21.38,20.38,21.38,416000
2000-02-23,21.38,21.44,20.5,20.84,182867
2000-02-24,20.75,21.0,19.0,20.0,282400
2000-02-25,20.38,20.38,19.38,19.69,154400
2000-02-28,23.0,23.75,20.06,21.75,576400
2000-02-29,22.25,22.75,19.0,21.03,312867
2000-03-01,20.91,21.31,20.5,20.97,280800
2000-03-02,20.13,21.0,17.5,18.75,400067
2000-03-03,18.91,19.0,17.0,17.28,399067
2000-03-06,17.25,17.75,15.0,16.88,1276267
2000-03-07,17.25,17.25,16.06,16.5,311200
2000-03-08,16.56,18.38,16.56,17.63,186667
2000-03-09,17.63,17.75,16.88,17.5,136800
2000-03-10,17.5,17.88,16.94,16.94,193667
2000-03-13,17.0,18.63,16.75,18.0,168200
2000-03-14,18.25,18.25,16.94,17.44,229000
2000-03-15,17.31,17.38,16.0,16.69,214267
2000-03-16,17.06,17.5,15.75,17.5,169867
2000-03-17,15.0,18.0,15.0,17.81,159467
2000-03-20,17.75,18.5,17.63,18.25,574600
2000-03-21,18.44,19.38,18.19,19.38,381200
2000-03-22,19.19,19.56,18.44,19.0,129600
2000-03-23,18.97,19.0,18.0,18.38,343867
2000-03-24,18.13,19.37,17.69,17.69,467600
2000-03-27,17.97,18.31,17.75,17.81,172067
2000-03-28,17.84,18.0,17.75,17.81,84067
2000-03-29,17.84,18.98,17.69,17.69,117200
2000-03-30,17.75,17.94,16.94,17.0,170067
2000-03-31,17.56,17.88,17.25,17.5,168467
2000-04-03,17.75,18.5,17.31,18.25,111667
2000-04-04,17.84,19.0,16.38,17.94,168467
2000-04-05,18.0,18.25,17.0,17.44,74600
2000-04-06,17.38,19.5,17.38,18.63,154267
2000-04-07,19.13,19.5,18.88,19.0,201600
2000-04-10,19.13,19.19,18.5,18.69,83000
2000-04-11,18.13,18.56,17.88,18.34,67800
2000-04-12,18.63,19.5,18.38,19.0,106000
2000-04-13,18.63,19.5,18.63,18.88,143667
2000-04-14,19.31,19.34,17.75,18.44,192467
2000-04-17,17.88,18.06,17.38,18.0,244200
2000-04-18,18.0,19.0,17.13,17.69,141200
2000-04-19,18.06,18.25,17.5,17.5,95600
2000-04-20,17.5,17.94,17.0,17.44,101467
2000-04-24,17.0,17.38,16.5,16.56,108067
2000-04-25,17.44,18.25,16.56,18.25,58267
2000-04-26,17.78,18.13,17.5,17.5,58267
2000-04-27,17.94,17.94,17.44,17.5,61867
2000-04-28,17.88,18.25,17.13,17.25,87600
2000-05-01,17.06,18.0,17.06,18.0,32400
2000-05-02,18.0,18.25,17.0,17.0,113067
2000-05-03,18.13,18.19,17.0,17.75,93400
2000-05-04,17.5,18.0,17.38,18.0,62200
2000-05-05,17.38,18.38,17.19,18.19,34200
2000-05-08,18.0,18.0,17.13,17.25,100000
2000-05-09,17.5,18.0,17.38,18.0,53600
2000-05-10,17.25,17.88,17.0,17.63,48467
2000-05-11,17.38,18.06,17.38,18.06,64600
2000-05-12,17.38,18.0,17.06,17.25,67267
2000-05-15,17.56,18.13,17.31,18.13,54667
2000-05-16,18.13,19.0,17.25,17.63,210200
2000-05-17,17.88,17.88,17.13,17.31,290867
2000-05-18,17.56,17.63,17.13,17.25,37600
2000-05-19,17.13,17.31,17.13,17.13,36667
2000-05-22,17.13,17.28,16.63,17.0,61000
2000-05-23,16.94,17.38,16.63,17.13,148067
2000-05-24,17.0,17.63,17.0,17.44,678667
2000-05-25,17.41,17.81,17.38,17.44,219600
2000-05-26,17.31,17.44,17.13,17.25,99067
2000-05-30,17.63,17.63,17.06,17.38,95067
2000-05-31,17.5,17.75,17.31,17.75,131000
2000-06-01,17.56,18.06,17.38,18.0,127400
2000-06-02,17.69,18.25,17.5,17.75,405067
2000-06-05,17.75,18.0,17.5,17.94,578400
2000-06-06,17.94,18.25,17.88,17.88,177667
2000-06-07,17.88,18.25,17.75,18.0,430600
2000-06-08,18.0,20.0,17.94,18.81,487067
2000-06-09,18.91,18.94,18.19,18.63,126067
2000-06-12,18.63,18.69,18.25,18.25,53000
2000-06-13,18.25,18.31,17.13,18.06,110067
2000-06-14,18.25,18.25,17.56,17.81,51267
2000-06-15,17.88,18.19,17.25,18.19,106600
2000-06-16,18.5,18.5,17.56,17.94,111467
2000-06-19,17.78,17.81,16.75,17.13,138067
2000-06-20,16.94,17.75,16.63,17.38,149467
2000-06-21,17.06,17.31,16.63,17.0,122400
2000-06-22,16.84,17.25,16.25,16.25,173667
2000-06-23,16.5,16.88,15.75,16.13,154667
2000-06-26,16.25,16.75,16.0,16.63,56800
2000-06-27,16.75,17.0,16.44,16.69,80267
2000-06-28,16.84,17.5,16.38,17.5,169467
2000-06-29,16.88,17.63,15.5,15.56,51667
2000-06-30,16.44,16.69,15.75,16.0,112600
2000-07-03,16.0,16.38,15.25,15.5,157267
2000-07-05,15.63,15.63,15.13,15.13,361467
2000-07-06,15.25,15.63,14.63,15.0,283667
2000-07-07,15.0,15.0,14.25,14.63,194800
2000-07-10,14.56,14.59,13.44,13.63,145800
2000-07-11,13.81,13.88,12.56,13.38,1378867
2000-07-12,14.38,15.38,13.75,14.81,667400
2000-07-13,14.88,14.94,14.25,14.56,244600
2000-07-14,14.53,14.81,14.31,14.31,134200
2000-07-17,14.44,14.63,14.31,14.5,246867
2000-07-18,14.5,14.56,13.94,13.94,108667
2000-07-19,14.5,14.5,13.75,13.88,155667
2000-07-20,14.31,14.5,13.75,13.88,184800
2000-07-21,14.06,14.31,13.75,13.75,106000
2000-07-24,14.0,14.0,13.38,13.38,60267
2000-07-25,13.56,13.56,12.5,12.81,224400
2000-07-26,13.0,13.69,12.5,13.63,1047867
2000-07-27,13.63,13.75,12.5,12.94,152067
2000-07-28,13.44,13.5,13.0,13.25,97800
2000-07-31,13.25,14.0,12.38,13.25,607200
2000-08-01,13.56,14.38,13.13,14.25,274800
2000-08-02,14.06,14.5,13.88,14.0,139067
2000-08-03,12.88,14.5,12.88,14.25,203867
2000-08-04,14.63,14.94,14.0,14.38,154000
2000-08-07,14.75,15.31,14.63,15.31,135200
2000-08-08,15.31,15.88,15.31,15.75,147267
2000-08-09,15.88,15.88,15.56,15.56,140467
2000-08-10,15.56,15.63,15.56,15.56,104400
2000-08-11,15.5,15.75,15.5,15.75,88800
2000-08-14,15.69,16.0,15.63,16.0,105667
2000-08-15,15.88,16.06,15.75,15.94,35867
2000-08-16,15.94,16.5,15.94,16.13,125200
2000-08-17,15.88,16.25,15.88,16.06,64800
2000-08-18,16.19,16.63,15.94,16.19,247800
2000-08-21,16.06,16.56,16.0,16.13,55067
2000-08-22,16.72,16.72,15.63,15.63,225867
2000-08-23,15.63,16.06,15.63,15.94,119600
2000-08-24,15.97,16.38,15.94,16.0,102067
2000-08-25,16.31,16.38,15.75,15.88,22267
2000-08-28,16.19,16.25,15.63,16.06,267000
2000-08-29,16.0,17.0,15.88,17.0,120067
2000-08-30,17.0,17.13,16.63,16.94,134800
2000-08-31,17.03,17.19,16.44,16.94,185800
2000-09-01,17.22,17.25,16.88,16.94,207400
2000-09-05,17.0,17.06,16.75,16.94,128667
2000-09-06,16.75,16.88,16.0,16.88,65800
2000-09-07,17.0,17.25,15.94,17.13,106467
2000-09-08,16.88,17.0,16.44,16.5,24000
