,open,high,low,close,volume
2000-01-03,110.25,111.0,83.0,96.0,82400
2000-01-04,94.06,98.13,89.13,92.75,61900
2000-01-05,89.63,94.13,81.0,92.69,59100
2000-01-06,97.5,98.0,92.88,92.88,23900
2000-01-07,92.13,94.0,86.0,94.0,27600
2000-01-10,99.0,106.6,95.0,95.81,58100
2000-01-11,96.0,100.8,93.75,94.81,43000
2000-01-12,94.44,94.88,88.19,90.75,14400
2000-01-13,91.38,94.0,90.38,94.0,18900
2000-01-14,98.0,99.44,90.0,91.25,29100
2000-01-18,90.5,94.5,80.0,81.38,48000
2000-01-19,81.38,90.75,80.88,87.88,29400
2000-01-20,90.0,94.0,83.75,84.94,47800
2000-01-21,83.94,85.63,79.63,82.0,42300
2000-01-24,80.75,90.0,80.75,87.75,59000
2000-01-25,87.94,89.94,85.88,89.75,19100
2000-01-26,90.0,101.8,89.69,91.0,53700
2000-01-27,93.44,97.25,91.0,91.0,19000
2000-01-28,94.5,94.5,89.13,89.63,6200
2000-01-31,87.69,93.0,73.0,75.25,114400
2000-02-01,79.38,90.0,76.0,88.0,63700
2000-02-02,91.0,94.0,89.25,92.0,26100
2000-02-03,92.38,95.0,88.5,93.25,41400
2000-02-04,97.75,97.75,93.13,96.75,22900
2000-02-07,96.63,109.0,96.63,108.6,104400
2000-02-08,118.2,128.6,112.3,123.6,212800
2000-02-09,126.0,126.0,116.0,122.3,78900
2000-02-10,121.0,124.7,116.1,123.8,51100
2000-02-11,123.8,131.8,118.8,130.0,207800
2000-02-14,134.8,134.9,124.0,129.1,104600
2000-02-15,131.0,131.0,124.0,127.6,26500
2000-02-16,126.8,128.0,124.0,124.0,35600
2000-02-17,125.0,127.5,120.0,122.9,118900
2000-02-18,122.9,122.9,115.6,115.6,51600
2000-02-22,115.5,117.1,111.0,115.1,52000
2000-02-23,115.0,115.4,113.8,113.9,60700
2000-02-24,114.0,114.8,109.0,109.0,54800
2000-02-25,110.0,114.8,109.5,113.0,52200
2000-02-28,113.9,115.6,107.9,107.9,42800
2000-02-29,110.8,111.3,106.1,109.1,30000
2000-03-01,110.0,110.0,106.0,108.3,36700
2000-03-02,112.5,122.0,111.3,118.4,199800
2000-03-03,119.0,125.0,118.6,121.1,117200
2000-03-06,128.3,129.0,123.0,126.4,126900
2000-03-07,128.0,130.4,122.5,122.5,35600
2000-03-08,124.5,124.5,115.1,122.7,39800
2000-03-09,121.0,134.0,117.9,131.3,42000
2000-03-10,132.6,134.0,119.5,122.9,44100
2000-03-13,119.5,130.4,117.6,120.0,44200
2000-03-14,127.0,127.0,108.5,112.0,84100
2000-03-15,113.2,113.2,90.06,100.9,126200
2000-03-16,98.81,102.5,95.75,98.0,120800
2000-03-17,49.0,57.5,48.75,56.25,78300
2000-03-20,56.5,61.97,55.5,56.81,105700
2000-03-21,55.0,60.0,53.75,59.69,128700
2000-03-22,60.94,62.5,60.0,61.92,67100
2000-03-23,64.88,69.75,63.0,64.88,259500
2000-03-24,65.25,70.0,64.75,66.56,101900
2000-03-27,69.38,72.13,66.0,68.75,81400
2000-03-28,70.88,72.0,68.0,69.88,84400
2000-03-29,70.22,70.44,56.5,66.0,193200
2000-03-30,63.5,65.0,58.19,59.63,89800
2000-03-31,61.0,63.31,57.38,62.5,62300
2000-04-03,61.09,62.5,52.94,54.0,71400
2000-04-04,54.0,57.5,41.0,56.31,142800
2000-04-05,49.63,53.0,48.88,52.0,72900
2000-04-06,52.0,57.0,50.88,53.94,32200
2000-04-07,54.13,57.0,50.0,52.25,90000
2000-04-10,52.03,52.19,45.19,45.19,86900
2000-04-11,44.63,50.0,42.63,47.0,69300
2000-04-12,46.13,47.25,42.0,44.0,67500
2000-04-13,44.0,44.56,41.88,42.78,77200
2000-04-14,41.75,42.0,30.94,34.88,109600
2000-04-17,24.25,36.06,24.25,36.0,169900
2000-04-18,36.13,41.0,30.0,38.25,101800
2000-04-19,39.69,42.13,39.44,42.13,145200
2000-04-20,42.13,45.5,42.13,44.88,41600
2000-04-24,43.63,44.25,38.38,44.25,134800
2000-04-25,43.75,48.0,43.75,45.81,75800
2000-04-26,45.75,47.19,42.38,44.06,50600
2000-04-27,39.88,45.0,39.19,43.88,75600
2000-04-28,45.0,46.0,44.94,45.88,34500
2000-05-01,48.31,56.5,46.69,53.02,62100
2000-05-02,54.75,56.5,53.0,54.31,110300
2000-05-03,54.38,54.38,48.14,50.31,70600
2000-05-04,50.13,56.5,49.0,55.5,78800
2000-05-05,54.25,58.86,53.25,57.06,77700
2000-05-08,57.06,60.25,57.06,59.5,90000
2000-05-09,60.0,60.19,58.25,59.69,81600
2000-05-10,59.75,59.75,57.0,57.13,80700
2000-05-11,57.25,58.88,53.88,56.75,73600
2000-05-12,55.13,58.56,55.13,56.63,18600
2000-05-15,57.0,60.75,56.19,60.75,38800
2000-05-16,63.0,63.0,60.63,61.25,109600
2000-05-17,60.94,64.0,59.13,62.88,72400
2000-05-18,62.44,63.94,62.31,63.0,27300
2000-05-19,63.75,64.0,60.75,60.75,126400
2000-05-22,60.44,65.0,52.0,63.38,68800
2000-05-23,63.5,64.25,57.13,57.5,63000
2000-05-24,57.25,60.0,50.75,58.0,68100
2000-05-25,57.94,57.94,53.25,54.25,110000
2000-05-26,54.25,54.75,51.06,53.88,29200
2000-05-30,54.63,54.75,48.81,52.13,70600
2000-05-31,52.06,58.22,51.44,56.0,37200
2000-06-01,54.88,58.0,53.0,56.5,91800
2000-06-02,57.38,60.0,56.5,57.53,25700
2000-06-05,55.5,58.56,55.5,55.63,50500
2000-06-06,55.88,57.0,54.81,54.81,32100
2000-06-07,55.25,55.25,53.0,53.63,49200
2000-06-08,53.63,54.31,53.38,53.75,37600
2000-06-09,53.72,53.94,52.5,53.5,22500
2000-06-12,53.41,53.63,49.38,50.31,34500
2000-06-13,48.75,50.5,48.06,49.5,54600
2000-06-14,50.13,50.13,48.5,48.88,63700
2000-06-15,49.0,49.56,43.89,45.0,52900
2000-06-16,46.13,47.5,44.25,47.25,71800
2000-06-19,47.25,47.56,45.0,46.0,54900
2000-06-20,46.0,49.0,43.88,48.25,131600
2000-06-21,46.06,47.5,45.5,46.73,29700
2000-06-22,46.0,46.75,41.5,41.63,96700
2000-06-23,41.5,44.06,41.13,43.0,166200
2000-06-26,45.25,45.25,42.0,42.63,126900
2000-06-27,42.13,42.5,39.75,40.69,190700
2000-06-28,40.69,40.75,39.0,39.0,249300
2000-06-29,39.0,39.5,37.31,37.88,165000
2000-06-30,38.0,38.0,32.5,33.19,385500
2000-07-03,33.25,34.88,32.88,33.75,178600
2000-07-05,34.13,34.5,32.0,32.38,133600
2000-07-06,32.13,39.5,30.94,35.75,205300
2000-07-07,35.75,39.0,35.75,38.63,125000
2000-07-10,38.38,42.0,38.19,39.0,108200
2000-07-11,38.94,40.5,38.94,39.0,83100
2000-07-12,39.63,40.5,37.0,37.94,111800
2000-07-13,37.25,37.94,36.75,37.5,146700
2000-07-14,37.88,44.5,37.5,44.5,281500
2000-07-17,44.88,45.0,41.88,43.75,43100
2000-07-18,44.25,48.88,43.13,46.88,133500
2000-07-19,46.69,49.0,43.0,43.44,199600
2000-07-20,43.5,45.5,43.0,44.44,76100
2000-07-21,44.0,45.75,43.63,44.13,52600
2000-07-24,44.75,45.0,38.13,42.98,98800
2000-07-25,41.75,47.0,37.25,46.61,85300
2000-07-26,44.81,48.0,41.63,47.38,129800
2000-07-27,47.0,47.75,44.75,46.88,69500
2000-07-28,46.25,46.88,41.63,41.63,36200
2000-07-31,41.5,44.0,40.75,41.13,124900
2000-08-01,41.0,41.13,39.25,39.5,80500
2000-08-02,39.25,43.75,39.25,42.0,35600
2000-08-03,40.06,45.13,40.0,44.13,40200
2000-08-04,44.0,46.25,44.0,46.13,79300
2000-08-07,46.41,46.41,42.0,42.63,19200
2000-08-08,43.03,44.0,41.0,41.0,19000
2000-08-09,41.5,41.75,39.38,40.25,30700
2000-08-10,40.0,43.69,40.0,40.75,27700
2000-08-11,40.5,43.0,40.5,42.63,15200
2000-08-14,42.25,43.0,41.88,42.0,10400
2000-08-15,42.31,43.48,40.13,40.19,30100
2000-08-16,40.88,43.0,40.63,42.75,28200
2000-08-17,41.94,43.5,41.94,42.86,9900
2000-08-18,43.44,43.88,42.5,42.81,8700
2000-08-21,43.25,43.25,41.38,43.0,21800
2000-08-22,43.13,44.31,43.0,44.13,43400
2000-08-23,44.25,44.5,42.13,42.63,49600
2000-08-24,42.38,43.5,42.38,43.06,32900
2000-08-25,43.75,43.75,40.0,41.94,41500
2000-08-28,41.69,43.13,41.5,41.88,52100
2000-08-29,43.06,43.06,40.5,40.5,58300
2000-08-30,40.5,43.38,40.5,43.31,31400
2000-08-31,43.69,44.69,42.25,42.75,28800
2000-09-01,43.0,43.25,36.69,38.38,280600
2000-09-05,37.38,38.38,37.0,37.56,91700
2000-09-06,37.0,37.38,31.5,31.5,288300
2000-09-07,34.13,36.0,33.88,35.38,393100
2000-09-08,36.38,36.5,34.75,35.75,99100
2000-09-11,35.94,37.44,35.13,37.06,72300
2000-09-12,37.41,38.19,36.88,36.88,71700
2000-09-13,37.31,37.69,35.5,36.98,77900
2000-09-14,37.05,37.38,36.0,36.56,39900
2000-09-15,36.88,38.13,35.75,37.63,39600
2000-09-18,37.5,38.0,35.81,37.63,74600
2000-09-19,36.81,39.75,36.38,39.38,88300
2000-09-20,38.69,40.81,37.69,40.63,53100
2000-09-21,40.16,42.0,39.56,41.25,92300
2000-09-22,38.0,41.38,38.0,41.31,55600
2000-09-25,41.19,43.0,41.19,42.88,82800
2000-09-26,40.56,40.75,38.38,39.84,38400
2000-09-27,40.06,40.63,37.06,37.75,39900
2000-09-28,37.94,39.25,34.5,39.25,68500
2000-09-29,37.38,40.0,37.25,39.0,80100
2000-10-02,38.81,40.0,38.38,38.94,93500
2000-10-03,39.0,39.13,36.31,36.63,41800
2000-10-04,36.5,36.69,35.75,36.0,89400
2000-10-05,35.97,37.69,35.81,35.94,40900
2000-10-06,35.75,36.69,34.25,35.06,138900
2000-10-09,35.13,35.13,33.5,33.88,197400
2000-10-10,33.75,34.94,33.38,34.5,74700
2000-10-11,33.75,35.88,33.75,35.5,53800
2000-10-12,35.44,35.75,33.94,34.13,58900
2000-10-13,33.75,35.69,33.75,35.13,145400
2000-10-16,35.0,36.0,34.25,35.06,112400
2000-10-17,36.56,38.0,35.5,36.56,271300
2000-10-18,35.88,37.25,35.88,37.0,53500
2000-10-19,37.38,39.88,37.13,39.13,103000
2000-10-20,38.44,40.13,38.25,39.02,29400
2000-10-23,39.0,39.0,35.0,38.69,140500
2000-10-24,37.75,38.81,37.73,38.5,44500
2000-10-25,37.88,40.5,37.88,39.75,40300
2000-10-26,39.88,40.0,36.63,39.88,68800
2000-10-27,39.69,41.0,39.25,39.63,40500
2000-10-30,39.38,39.39,37.25,38.5,28300
2000-10-31,38.5,41.0,38.5,41.0,85300
2000-11-01,40.25,40.25,38.69,39.38,38800
2000-11-02,39.25,39.94,39.08,39.94,27500
2000-11-03,40.73,42.5,39.25,41.94,55300
2000-11-06,42.5,42.5,40.5,41.5,52600
2000-11-07,40.63,45.0,40.5,44.75,62800
2000-11-08,44.81,44.88,42.0,42.0,54900
2000-11-09,42.06,43.5,41.75,42.5,117900
2000-11-10,42.0,42.88,40.06,40.94,54500
2000-11-13,39.75,40.0,37.5,38.5,80400
2000-11-14,38.75,42.69,38.75,42.56,296300
2000-11-15,42.75,44.38,42.0,42.88,278300
2000-11-16,42.5,42.5,40.0,40.25,61900
2000-11-17,40.88,40.88,39.88,40.13,77700
2000-11-20,39.88,40.13,38.5,39.63,38000
2000-11-21,39.0,40.63,39.0,39.88,74800
2000-11-22,39.75,39.75,39.0,39.19,94400
2000-11-24,39.25,39.67,38.88,38.88,80800
2000-11-27,39.38,40.13,38.38,38.44,60200
2000-11-28,38.38,38.63,37.38,37.63,227000
2000-11-29,37.25,38.0,36.5,37.0,208900
2000-11-30,36.38,37.38,35.88,37.0,154700
2000-12-01,37.13,39.75,37.0,38.63,31300
2000-12-04,38.56,39.13,38.38,38.75,22500
2000-12-05,38.75,44.38,38.75,44.38,78800
2000-12-06,43.5,44.0,41.88,41.88,45200
2000-12-07,41.5,43.38,39.25,39.38,81500
2000-12-08,40.38,40.56,39.52,40.19,102900
2000-12-11,40.5,40.88,39.56,40.48,38400
2000-12-12,40.88,40.88,39.38,39.5,21500
2000-12-13,40.0,40.0,36.88,37.94,150000
2000-12-14,37.94,38.38,37.0,38.0,45600
2000-12-15,38.0,38.0,36.63,37.06,87600
2000-12-18,37.5,37.5,36.83,36.88,138700
2000-12-19,36.63,37.13,36.5,36.56,12800
2000-12-20,36.13,36.13,33.5,34.13,77300
2000-12-21,33.88,34.25,33.0,34.0,104600
2000-12-22,33.94,34.61,33.44,34.61,88000
2000-12-26,34.31,34.37,32.63,32.87,222800
2000-12-27,32.94,32.94,28.88,30.88,193500
2000-12-28,30.88,34.75,30.56,34.63,94200
2000-12-29,35.5,37.0,32.0,36.31,282700
2001-01-02,36.47,36.5,32.5,33.13,63400
2001-01-03,33.13,39.25,32.75,39.25,70500
2001-01-04,38.38,40.0,38.38,39.69,72700
2001-01-05,39.72,39.72,31.5,34.75,121900
2001-01-08,35.13,35.31,33.13,33.38,29900
2001-01-09,34.0,36.0,34.0,35.81,28500
2001-01-10,36.0,36.0,34.88,35.63,51500
2001-01-11,35.75,38.5,35.75,38.5,24000
2001-01-12,38.25,40.25,37.94,39.88,55700
2001-01-16,40.13,45.0,39.38,44.44,133000
2001-01-17,44.88,46.5,44.31,46.0,101900
2001-01-18,46.0,48.31,45.0,47.38,38400
2001-01-19,47.5,49.0,46.75,48.89,46500
2001-01-22,49.0,49.0,44.0,47.56,66100
2001-01-23,47.0,53.75,46.25,49.81,122200
2001-01-24,50.25,50.25,47.25,50.25,109000
2001-01-25,50.0,50.13,47.5,50.13,37300
2001-01-26,48.75,50.75,47.0,47.25,42700
2001-01-29,48.06,49.5,44.52,48.75,48300
2001-01-30,48.38,50.13,48.19,50.13,24800
2001-01-31,49.75,50.19,49.13,49.25,29400
2001-02-01,48.69,49.94,47.58,49.63,18200
2001-02-02,49.55,49.75,45.44,47.0,43500
2001-02-05,47.19,47.25,45.69,46.5,34300
2001-02-06,47.63,49.5,47.06,47.88,140000
2001-02-07,48.38,48.38,45.63,46.06,55900
2001-02-08,46.69,47.13,45.63,45.63,28300
2001-02-09,46.13,46.63,44.88,44.94,54800
2001-02-12,44.69,44.94,42.69,44.13,65300
2001-02-13,44.13,45.5,42.0,42.5,31300
2001-02-14,42.44,42.88,40.25,40.25,39600
2001-02-15,40.5,41.81,40.31,41.81,49400
2001-02-16,41.13,42.0,40.5,41.13,34100
2001-02-20,41.44,44.0,40.0,44.0,58700
2001-02-21,41.88,44.5,41.88,43.28,61500
2001-02-22,43.0,43.0,39.81,41.0,68100
2001-02-23,41.25,41.5,38.44,41.5,81500
2001-02-26,41.63,42.63,41.38,42.0,34000
2001-02-27,42.0,42.88,41.5,41.63,31300
2001-02-28,41.66,42.0,41.13,42.0,63500
2001-03-01,41.75,42.5,40.88,42.25,97000
2001-03-02,41.5,41.75,41.25,41.38,72100
2001-03-05,41.47,41.5,39.19,39.88,54000
2001-03-06,40.13,41.0,40.0,41.0,12000
2001-03-07,41.0,41.38,40.5,40.5,42500
2001-03-08,40.63,41.25,40.0,40.44,53100
2001-03-09,40.44,40.63,39.88,40.25,106500
2001-03-12,37.06,38.31,35.88,38.0,108800
2001-03-13,36.91,38.63,35.5,37.7,150500
2001-03-14,37.13,37.63,35.25,35.25,172500
2001-03-15,35.25,36.0,34.19,35.0,92300
2001-03-16,34.88,35.63,32.13,32.25,134400
2001-03-19,33.28,34.88,32.5,34.88,61600
2001-03-20,34.13,36.25,34.13,34.75,41300
2001-03-21,35.81,36.13,35.06,35.52,34300
2001-03-22,35.5,39.0,35.5,37.13,71000
2001-03-23,37.5,37.69,36.0,36.44,179900
2001-03-26,36.33,36.63,35.63,36.0,139400
2001-03-27,35.89,35.94,34.19,35.38,102000
2001-03-28,35.25,35.25,32.44,33.14,111300
2001-03-29,32.31,33.25,27.81,28.38,150800
2001-03-30,28.88,31.13,28.75,30.06,257400
2001-04-02,30.06,34.25,30.0,33.06,226400
2001-04-03,33.09,34.38,32.0,33.44,341100
2001-04-04,33.56,36.63,33.44,33.75,137300
2001-04-05,34.19,37.5,33.5,37.25,101800
2001-04-06,35.94,36.25,35.13,35.94,49300
2001-04-09,35.5,36.18,33.9,34.0,58900
2001-04-10,34.24,39.1,34.01,37.0,46000
2001-04-11,36.9,37.5,33.51,33.64,162500
2001-04-12,32.0,34.06,27.85,33.28,561900
2001-04-16,33.0,33.99,30.35,31.48,198000
2001-04-17,31.28,39.51,31.07,37.85,397900
2001-04-18,40.48,46.12,40.04,44.07,343900
2001-04-19,44.16,47.6,44.08,46.25,218600
2001-04-20,43.09,43.99,40.2,41.72,141100
2001-04-23,41.72,41.72,39.75,39.75,112900
2001-04-24,40.06,40.14,37.51,38.0,103900
2001-04-25,38.3,40.74,38.0,39.79,61500
2001-04-26,41.0,41.0,39.27,39.42,31700
2001-04-27,40.58,40.6,38.99,39.08,29000
2001-04-30,40.15,44.09,39.04,42.28,226200
2001-05-01,42.2,43.04,41.0,42.98,55700
2001-05-02,42.84,44.0,42.3,43.3,178600
2001-05-03,43.3,43.3,42.0,43.28,48400
2001-05-04,42.85,42.94,41.82,42.65,27000
2001-05-07,43.88,44.5,41.5,41.83,53300
2001-05-08,42.3,42.3,41.06,41.43,6300
2001-05-09,42.0,42.0,38.65,40.02,59800
