,open,high,low,close,volume
2000-01-03,85.88,85.88,82.56,83.63,2193800
2000-01-04,82.94,84.13,82.5,83.63,1851200
2000-01-05,83.06,86.56,83.06,85.44,2783800
2000-01-06,85.31,89.19,85.31,88.75,2176700
2000-01-07,90.0,90.88,89.0,90.31,2243700
2000-01-10,90.06,90.06,87.69,87.88,1052400
2000-01-11,87.88,88.88,86.94,87.06,1395600
2000-01-12,87.06,87.63,85.88,86.75,1496300
2000-01-13,86.5,89.25,86.13,87.56,1626700
2000-01-14,85.81,87.44,85.56,87.0,1836500
2000-01-18,87.5,89.5,86.94,89.31,2158700
2000-01-19,89.0,89.0,87.75,87.94,2513500
2000-01-20,88.19,88.19,86.81,87.5,1709900
2000-01-21,87.88,89.88,87.81,88.56,1973900
2000-01-24,89.5,90.38,87.94,88.81,1768300
2000-01-25,88.81,90.5,87.63,88.56,1927300
2000-01-26,89.25,89.75,86.5,87.75,1340500
2000-01-27,87.31,87.63,83.56,84.31,1775400
2000-01-28,83.56,83.69,81.88,82.56,2033000
2000-01-31,82.06,83.94,80.75,83.63,1830300
2000-02-01,83.38,84.44,82.5,83.19,1305800
2000-02-02,82.69,83.94,82.44,82.63,1709400
2000-02-03,82.13,82.5,80.63,81.44,1756400
2000-02-04,81.25,81.25,78.38,78.56,2112100
2000-02-07,79.13,80.0,78.44,79.06,1567800
2000-02-08,80.13,80.69,78.31,78.31,1783700
2000-02-09,78.44,78.69,74.94,75.0,2401200
2000-02-10,75.56,77.44,74.88,76.81,1916300
2000-02-11,77.38,77.63,72.19,74.0,2509900
2000-02-14,74.19,75.44,73.63,73.81,2519900
2000-02-15,74.44,77.69,74.44,77.5,3071700
2000-02-16,77.75,78.94,77.31,77.81,2374600
2000-02-17,78.13,78.19,76.56,77.75,1867900
2000-02-18,77.5,77.75,75.81,76.19,1785200
2000-02-22,75.06,76.19,74.25,75.69,1763200
2000-02-23,75.0,75.06,72.81,73.25,1885000
2000-02-24,73.31,73.56,71.38,71.44,2707800
2000-02-25,72.0,72.75,69.94,71.06,3226700
2000-02-28,71.06,74.94,70.88,74.56,2548900
2000-02-29,74.56,75.44,73.44,74.69,2148300
2000-03-01,74.56,75.63,72.63,75.25,2316700
2000-03-02,75.38,77.44,74.94,75.69,2025200
2000-03-03,74.56,75.38,73.56,74.56,2318800
2000-03-06,74.44,74.75,73.69,74.0,1407200
2000-03-07,74.56,82.0,74.5,81.0,2800000
2000-03-08,80.13,84.38,79.75,81.06,3631400
2000-03-09,80.31,84.0,79.75,83.25,2153600
2000-03-10,83.56,84.81,79.44,80.38,2692300
2000-03-13,80.94,83.75,79.75,79.81,2085400
2000-03-14,80.0,83.13,79.31,82.88,2104700
2000-03-15,82.88,84.0,80.88,83.94,1878100
2000-03-16,83.19,87.0,81.69,84.13,2597200
2000-03-17,83.94,84.0,82.31,83.31,2125500
2000-03-20,83.56,84.06,81.69,82.94,1140200
2000-03-21,83.0,86.5,83.0,86.0,1773000
2000-03-22,84.5,85.75,82.44,84.0,1397100
2000-03-23,83.0,85.81,82.25,84.63,2098900
2000-03-24,84.75,85.94,84.75,85.63,1407600
2000-03-27,84.19,85.88,82.44,84.56,1887100
2000-03-28,83.56,85.75,83.25,84.88,1630400
2000-03-29,84.81,89.0,84.69,88.5,2653100
2000-03-30,89.19,92.25,89.06,92.19,3911600
2000-03-31,92.25,94.25,91.88,92.44,3141000
2000-04-03,92.63,93.75,91.5,92.31,1788600
2000-04-04,92.56,93.25,89.38,89.81,3821700
2000-04-05,89.63,90.69,87.38,87.5,1479600
2000-04-06,88.0,89.81,87.31,88.94,1149500
2000-04-07,88.94,88.94,86.31,86.44,1438000
2000-04-10,85.44,87.44,85.13,86.06,1208800
2000-04-11,86.56,89.5,86.56,88.69,1721700
2000-04-12,89.31,90.44,88.44,89.0,1397700
2000-04-13,88.94,88.94,86.94,86.94,2506600
2000-04-14,87.0,87.06,85.44,85.69,1884700
2000-04-17,85.0,85.69,82.31,82.94,1991500
2000-04-18,82.75,84.94,82.31,84.56,1505200
2000-04-19,84.31,86.13,83.94,84.75,1513500
2000-04-20,83.13,86.31,83.13,86.31,1112600
2000-04-24,85.31,87.31,84.94,85.25,1499200
2000-04-25,85.38,86.19,84.06,84.81,1603000
2000-04-26,86.19,86.56,85.44,86.31,1027800
2000-04-27,86.31,89.0,86.31,88.44,1447800
2000-04-28,87.44,88.44,85.13,85.13,1405100
2000-05-01,85.5,88.5,85.5,86.31,1480600
2000-05-02,87.19,89.94,87.13,89.31,1778900
2000-05-03,89.44,89.44,87.31,87.31,1396900
2000-05-04,87.56,89.13,87.56,88.38,964100
2000-05-05,88.63,90.75,88.06,90.75,1204800
2000-05-08,91.06,92.94,90.75,91.81,1646000
2000-05-09,91.69,91.75,88.88,90.13,996000
2000-05-10,89.44,91.88,89.44,90.88,1337800
2000-05-11,90.88,93.44,90.88,93.38,1697500
2000-05-12,93.0,94.31,92.63,94.27,1660200
2000-05-15,93.81,94.75,93.44,94.0,1668800
2000-05-16,94.0,94.0,92.06,92.94,1539900
2000-05-17,90.75,91.69,90.06,91.31,1501600
2000-05-18,91.56,92.06,90.38,90.88,884200
2000-05-19,91.0,93.94,90.69,93.31,1383900
2000-05-22,93.81,94.88,93.31,94.06,1679800
2000-05-23,93.69,93.69,91.56,93.25,1218100
2000-05-24,93.38,94.44,92.75,94.25,1715300
