,open,high,low,close,volume
2000-01-03,43.62,43.81,42.56,42.88,1345600
2000-01-04,42.5,43.0,42.44,42.81,1685300
2000-01-05,42.94,44.31,42.44,44.25,3106900
2000-01-06,44.63,46.88,44.44,46.06,3040700
2000-01-07,46.06,47.44,45.69,46.0,2056500
2000-01-10,46.0,47.44,45.69,46.94,1578300
2000-01-11,46.44,47.38,46.38,46.94,1588200
2000-01-12,46.44,46.56,45.81,46.06,1506900
2000-01-13,46.31,47.06,45.81,46.25,1001400
2000-01-14,47.0,48.31,46.75,48.13,1494700
2000-01-18,47.69,47.69,45.44,47.13,1520200
2000-01-19,47.0,47.81,45.38,46.38,1002000
2000-01-20,46.63,46.75,45.13,45.56,1082300
2000-01-21,45.56,45.56,43.81,44.19,1329800
2000-01-24,44.25,44.88,43.81,44.88,826700
2000-01-25,44.88,45.31,42.88,44.5,1540200
2000-01-26,44.63,46.06,44.56,45.63,1232600
2000-01-27,45.75,46.0,45.25,45.81,733400
2000-01-28,45.38,45.44,44.0,44.75,1303000
2000-01-31,44.63,44.63,43.5,43.69,913200
2000-02-01,43.63,43.63,42.28,42.75,1569900
2000-02-02,43.75,44.5,42.56,42.63,1584300
2000-02-03,42.69,43.0,40.38,41.25,2030000
2000-02-04,40.5,41.0,39.81,40.88,1476800
2000-02-07,40.88,41.56,40.06,41.31,1008600
2000-02-08,41.75,41.81,36.25,40.06,5148000
2000-02-09,40.19,41.0,39.63,40.0,2049300
2000-02-10,40.0,40.19,37.13,37.5,1201000
2000-02-11,37.88,37.88,35.94,36.19,1504500
2000-02-14,36.31,39.13,35.69,39.0,1558900
2000-02-15,40.0,41.13,39.63,40.44,1310800
2000-02-16,40.69,41.63,39.0,39.31,1368400
2000-02-17,40.0,40.63,39.5,39.81,1014000
2000-02-18,39.56,40.38,38.0,38.5,587100
2000-02-22,38.25,40.5,38.0,40.0,943200
2000-02-23,39.5,39.88,38.25,38.5,654200
2000-02-24,38.25,38.31,36.19,37.0,734600
2000-02-25,36.75,39.06,36.5,36.94,1123200
2000-02-28,36.69,37.44,36.56,36.94,911300
2000-02-29,37.0,37.06,35.56,35.75,2050700
2000-03-01,35.88,37.25,34.81,37.0,1856300
2000-03-02,35.0,35.06,34.0,34.56,1790600
2000-03-03,34.44,35.5,33.94,34.88,2265400
2000-03-06,34.81,35.81,34.06,34.19,1241700
2000-03-07,34.19,34.19,30.31,30.38,3196500
2000-03-08,31.0,35.25,31.0,35.25,2891100
2000-03-09,35.5,35.69,34.88,35.69,1917700
