,open,high,low,close,volume
2005-07-08,15.5,15.75,14.75,15.3,4067600
2005-07-11,15.3,15.45,15.1,15.35,1382400
2005-07-12,15.7,16.3,15.6,16.15,1230200
2005-07-13,16.25,16.25,15.9,15.9,1233900
2005-07-14,16.0,16.0,15.8,15.9,2311600
2005-07-15,15.8,15.85,15.5,15.7,1099600
2005-07-18,15.55,15.55,14.85,14.9,3226300
2005-07-19,14.95,15.0,14.9,14.94,4084800
2005-07-20,14.95,14.95,14.85,14.85,3596000
2005-07-21,14.5,15.1,14.2,15.09,35754800
2005-07-22,15.05,15.25,14.9,14.99,30231100
2005-07-25,14.99,15.0,13.98,14.05,21772800
2005-07-26,14.05,14.1,13.74,14.0,20022300
2005-07-27,13.95,14.32,13.87,14.0,22497700
2005-07-28,14.0,14.38,13.97,14.25,18940200
2005-07-29,14.25,14.32,13.99,14.27,4637900
2005-08-01,14.16,14.4,13.99,14.04,5177400
2005-08-02,13.92,14.03,13.51,13.98,13416000
2005-08-03,13.8,14.23,13.69,14.23,5212900
2005-08-04,13.91,14.25,13.89,14.16,7530700
2005-08-05,14.06,14.16,13.9,14.1,6118800
2005-08-08,13.9,14.2,13.85,14.05,3862300
2005-08-09,14.06,14.08,13.86,13.97,6048500
2005-08-10,13.95,14.18,13.93,14.11,18739600
2005-08-11,14.28,15.02,14.28,14.59,20197200
2005-08-12,14.66,14.78,14.5,14.69,10717900
2005-08-15,14.66,15.3,14.6,15.14,9547000
2005-08-16,15.3,15.76,15.02,15.2,10397300
2005-08-17,15.25,15.34,15.06,15.1,5430100
2005-08-18,15.03,15.12,14.96,15.02,2128800
2005-08-19,15.0,15.34,15.0,15.21,3334300
2005-08-22,15.17,15.65,15.17,15.5,2465800
2005-08-23,15.65,15.9,15.38,15.68,3480500
2005-08-24,15.52,16.05,15.52,15.83,3172100
2005-08-25,15.9,15.9,15.34,15.75,1850000
2005-08-26,15.78,15.89,15.15,15.58,2740600
2005-08-29,15.5,15.62,15.24,15.38,1647400
2005-08-30,15.1,15.5,15.0,15.32,4993100
2005-08-31,15.39,15.39,15.05,15.14,3908900
2005-09-01,15.05,15.17,14.99,15.16,3671100
2005-09-02,15.02,15.15,14.92,15.15,2594600
2005-09-06,15.05,15.25,15.05,15.21,3185200
2005-09-07,15.16,15.23,15.1,15.22,2635900
2005-09-08,15.3,15.45,15.08,15.1,4694100
2005-09-09,15.1,15.11,14.97,15.0,4586800
2005-09-12,14.95,15.1,14.92,14.97,1582000
2005-09-13,15.12,15.2,14.68,14.84,3541200
2005-09-14,14.69,15.0,14.68,14.92,1935100
2005-09-15,14.85,15.13,14.85,15.0,2120800
2005-09-16,14.97,15.07,14.93,15.0,1846600
2005-09-19,15.09,15.25,14.99,15.05,1469100
2005-09-20,15.05,15.31,14.98,15.04,2708900
2005-09-21,15.12,15.15,14.75,14.79,1879100
2005-09-22,14.75,14.87,14.64,14.7,4361000
2005-09-23,14.7,14.72,14.45,14.63,1635900
2005-09-26,14.65,14.69,14.55,14.58,1940600
2005-09-27,14.54,14.67,14.45,14.57,2011200
2005-09-28,14.65,14.67,14.35,14.41,3413800
2005-09-29,14.37,14.45,14.2,14.25,5842000
2005-09-30,14.2,14.65,14.16,14.43,5600300
2005-10-03,14.42,14.55,14.41,14.53,2488100
2005-10-04,14.5,14.55,13.96,14.02,3947700
2005-10-05,14.0,14.1,13.8,13.9,7917800
2005-10-06,13.86,14.0,13.74,13.81,2722800
2005-10-07,13.77,14.0,13.77,13.98,1999100
2005-10-10,13.92,14.15,13.9,13.97,2586600
2005-10-11,13.95,14.15,13.9,14.05,6034800
2005-10-12,13.97,14.07,13.95,14.02,2211600
2005-10-13,14.01,14.35,13.99,14.25,4118900
2005-10-14,14.21,14.61,14.2,14.49,6107600
2005-10-17,14.45,14.5,14.0,14.23,4428700
2005-10-18,14.21,14.32,14.09,14.17,1647800
2005-10-19,14.08,14.13,13.85,14.01,3595000
2005-10-20,13.98,14.02,13.82,13.88,4582700
2005-10-21,13.85,14.43,13.85,14.08,7583000
2005-10-24,14.04,14.28,14.04,14.24,1481400
2005-10-25,14.15,14.27,13.98,14.04,2449800
2005-10-26,13.91,14.02,13.91,13.98,4059800
2005-10-27,13.92,14.15,13.69,13.74,6880600
2005-10-28,13.8,14.26,13.7,14.19,4094000
2005-10-31,14.19,14.3,13.96,14.09,2894000
2005-11-01,14.01,14.47,14.0,14.22,2646300
2005-11-02,14.29,14.42,14.15,14.38,1660500
2005-11-03,14.38,14.56,14.03,14.2,1930800
2005-11-04,14.18,14.2,13.97,14.11,1462100
2005-11-07,14.11,14.31,13.98,14.15,1046600
2005-11-08,14.06,14.41,14.05,14.35,1198100
2005-11-09,14.24,14.38,13.78,14.34,4621800
2005-11-10,14.2,14.83,14.19,14.79,2188700
2005-11-11,14.8,15.3,14.62,15.26,4716200
2005-11-14,15.35,15.35,15.03,15.31,2459600
2005-11-15,15.4,15.44,15.19,15.31,2704600
2005-11-16,15.39,15.39,14.91,15.0,2409800
2005-11-17,15.0,15.08,14.67,14.89,1340300
2005-11-18,14.85,15.34,14.85,15.24,6269100
2005-11-21,15.41,15.74,15.15,15.6,3017700
2005-11-22,15.65,15.75,15.4,15.75,3117500
2005-11-23,15.67,15.88,15.5,15.81,1682400
2005-11-25,15.75,15.96,15.71,15.84,511400
2005-11-28,15.84,15.84,15.64,15.75,3811500
2005-11-29,15.6,15.81,15.46,15.75,3856300
2005-11-30,15.72,15.74,15.53,15.61,2658000
2005-12-01,15.67,15.76,15.5,15.64,1751900
2005-12-02,15.75,15.77,15.49,15.6,1087300
2005-12-05,15.7,15.77,15.33,15.49,2376000
2005-12-06,15.45,15.5,15.09,15.11,2424900
2005-12-07,15.07,15.72,15.07,15.29,1890700
2005-12-08,15.35,15.6,15.24,15.49,837600
2005-12-09,15.49,15.61,15.29,15.48,1036000
2005-12-12,15.75,16.23,15.68,15.8,7388300
2005-12-13,15.88,16.0,15.82,15.98,3618900
2005-12-14,15.9,16.12,15.89,16.0,3021600
2005-12-15,15.97,16.05,15.42,15.55,4391700
2005-12-16,15.69,16.11,15.51,16.05,21100200
2005-12-19,15.95,15.95,15.45,15.63,4158600
2005-12-20,15.58,15.99,15.42,15.49,3369000
2005-12-21,15.5,15.76,15.29,15.34,1557800
2005-12-22,15.28,15.56,15.26,15.28,1340200
2005-12-23,15.26,15.61,15.19,15.42,1257800
2005-12-27,15.4,15.64,15.17,15.31,1605900
2005-12-28,15.23,15.34,15.2,15.21,1186900
2005-12-29,15.32,15.47,15.21,15.25,1961100
2005-12-30,15.19,15.39,15.12,15.15,3111200
2006-01-03,15.12,15.29,15.06,15.1,4513200
2006-01-04,15.1,15.31,15.06,15.3,4394800
2006-01-05,15.35,15.35,15.25,15.3,2186000
2006-01-06,15.46,15.49,15.21,15.35,1792800
2006-01-09,15.29,15.35,15.15,15.3,2336300
2006-01-10,15.19,15.33,15.19,15.33,3887400
2006-01-11,15.23,15.31,15.2,15.28,2184000
2006-01-12,15.24,15.33,15.22,15.26,2153100
2006-01-13,15.32,15.32,15.17,15.22,2422600
2006-01-17,15.18,15.48,15.18,15.46,3049000
2006-01-18,15.46,15.51,15.25,15.46,1442300
2006-01-19,15.43,15.55,15.23,15.51,3354100
2006-01-20,15.41,15.6,15.24,15.32,1867000
2006-01-23,15.29,15.45,15.19,15.41,1275600
2006-01-24,15.38,15.43,15.36,15.41,1255200
2006-01-25,15.37,15.39,15.21,15.33,1783800
2006-01-26,15.5,15.5,15.33,15.4,1444300
2006-01-27,15.39,15.59,15.39,15.51,1253700
2006-01-30,15.6,15.65,15.27,15.35,1028200
2006-01-31,15.41,15.41,15.09,15.16,3007300
2006-02-01,15.05,15.18,14.93,15.0,2234300
2006-02-02,14.98,15.04,14.52,14.58,1970300
2006-02-03,14.47,14.59,14.38,14.57,2440200
2006-02-06,14.51,14.57,14.4,14.55,947800
2006-02-07,14.48,14.57,14.41,14.44,1429600
2006-02-08,14.57,14.96,14.45,14.95,2285800
2006-02-09,14.92,15.02,14.61,14.8,2121400
2006-02-10,14.75,14.8,14.44,14.5,1904600
2006-02-13,14.45,14.63,14.42,14.48,1118000
2006-02-14,14.48,14.54,14.39,14.45,1943300
2006-02-15,14.42,14.6,14.32,14.48,1777700
2006-02-16,14.46,14.76,14.46,14.66,1674000
2006-02-17,14.61,14.69,14.47,14.51,1348000
2006-02-21,14.5,14.65,14.37,14.47,1456200
2006-02-22,14.46,14.73,14.46,14.53,2750000
2006-02-23,14.47,14.6,14.32,14.52,1505100
2006-02-24,14.5,14.53,14.34,14.42,2006300
2006-02-27,14.43,14.85,14.43,14.84,2056200
2006-02-28,14.72,14.82,14.5,14.6,2485800
2006-03-01,14.68,14.89,14.58,14.74,1687100
2006-03-02,14.66,14.66,14.45,14.51,1124700
2006-03-03,14.5,14.67,14.37,14.47,1250300
2006-03-06,14.45,14.57,14.35,14.46,1285700
2006-03-07,14.5,14.61,14.35,14.37,696100
2006-03-08,14.36,14.42,14.08,14.23,2395000
2006-03-09,14.21,14.28,14.01,14.24,2036800
2006-03-10,14.21,14.68,14.17,14.35,1679900
2006-03-13,14.34,14.61,14.22,14.52,1315300
2006-03-14,14.5,14.88,14.5,14.76,1319200
2006-03-15,14.73,14.97,14.56,14.95,1287100
2006-03-16,14.92,14.97,14.6,14.69,1049100
2006-03-17,14.75,14.82,14.45,14.59,1941700
2006-03-20,14.55,14.59,14.4,14.49,1273200
2006-03-21,14.52,14.64,14.41,14.47,2441900
2006-03-22,14.42,14.48,14.18,14.37,1455600
2006-03-23,14.3,14.69,14.12,14.67,1518400
2006-03-24,14.05,14.64,13.88,14.47,11071300
2006-03-27,14.42,14.59,14.33,14.55,3934500
2006-03-28,14.58,14.6,14.49,14.55,2888500
2006-03-29,14.5,14.95,14.48,14.89,4552000
2006-03-30,14.83,15.03,14.78,14.95,3010500
2006-03-31,15.02,15.11,14.87,15.0,6562000
2006-04-03,15.16,15.16,14.9,14.96,5485700
2006-04-04,15.07,15.16,14.91,15.12,3711500
2006-04-05,15.07,15.15,14.94,15.03,3850400
2006-04-06,14.97,15.18,14.85,15.03,1596300
2006-04-07,15.08,15.17,14.8,14.99,1712400
2006-04-10,14.97,15.06,14.69,14.84,1799300
2006-04-11,14.95,14.99,14.6,14.73,2190700
2006-04-12,14.7,14.82,14.66,14.77,1281400
2006-04-13,14.79,14.79,14.52,14.58,2239200
