,open,high,low,close,volume
2008-09-18,12.8,18.5,12.8,16.0,11602600
2008-09-19,15.25,20.0,15.25,16.7,1527800
2008-09-22,16.88,17.04,15.6,16.87,3424400
2008-09-23,16.51,17.41,16.0,16.62,1825800
2008-09-24,16.22,17.0,15.16,15.85,1491200
2008-09-25,15.81,16.95,15.11,16.07,2778000
2008-09-26,15.5,16.0,15.32,15.5,1332000
2008-09-29,15.03,15.35,13.09,14.62,3593200
2008-09-30,13.7,14.49,13.52,14.16,3073400
2008-10-01,13.16,14.32,13.16,14.31,2559400
2008-10-02,14.13,14.3,13.01,13.4,2456000
2008-10-03,13.33,13.64,12.55,12.99,3083800
2008-10-06,12.37,12.94,11.56,12.465,2274800
2008-10-07,12.75,13.21,11.36,11.8,2858400
2008-10-08,8.78,11.75,8.78,11.21,2802400
2008-10-09,11.49,12.0,10.4,10.88,1761400
2008-10-10,9.01,11.13,8.5,10.44,2022400
2008-10-13,10.05,12.42,10.05,12.24,1231000
2008-10-14,10.34,13.16,10.14,13.1,2461200
2008-10-15,13.49,13.62,11.77,12.27,1320200
2008-10-16,12.5,13.51,10.11,11.89,2503000
2008-10-17,11.76,13.598,10.98,12.4,1276000
2008-10-20,12.35,12.82,12.14,12.74,1134200
2008-10-21,12.34,13.09,12.13,12.56,1563800
2008-10-22,12.05,12.51,11.5,11.8,1920400
2008-10-23,11.92,12.13,10.38,11.38,1868000
2008-10-24,10.03,10.36,9.25,9.79,1790600
2008-10-27,9.76,10.55,9.57,10.0,1894000
2008-10-28,10.38,10.62,9.7,10.55,839200
2008-10-29,10.39,11.97,9.52,11.62,1747200
2008-10-30,11.96,12.6,11.6,12.59,1119600
2008-10-31,12.45,13.55,12.45,13.32,1434200
2008-11-03,13.07,13.32,12.86,13.05,2848200
2008-11-04,13.54,13.88,13.26,13.58,1728600
2008-11-05,13.88,13.88,13.015,13.26,1215800
2008-11-06,12.88,13.7,11.35,11.35,897000
2008-11-07,11.19,13.58,11.19,13.51,3255600
2008-11-10,13.5,14.24,13.28,13.35,666200
2008-11-11,13.08,13.64,12.22,13.14,711400
2008-11-12,12.99,13.07,11.46,11.86,802000
2008-11-13,12.03,12.99,11.4201,12.99,1103000
2008-11-14,12.82,13.92,12.5,13.46,691000
2008-11-17,13.4,13.76,12.56,12.58,546000
2008-11-18,12.26,12.81,11.36,11.86,889000
2008-11-19,11.71,12.5,11.57,11.75,1273400
2008-11-20,11.68,12.6499,11.44,11.96,2633000
2008-11-21,12.12,12.4,10.87,12.33,1883400
2008-11-24,12.47,13.27,12.47,13.17,874000
2008-11-25,13.43,13.43,12.37,12.72,1585800
2008-11-26,12.44,13.64,12.37,13.34,740400
2008-11-28,13.4,15.25,13.37,15.13,783800
2008-12-01,13.19,14.7399,13.14,13.17,1380400
2008-12-02,13.28,13.65,12.97,13.1,1086000
2008-12-03,12.66,13.5,12.66,13.5,879600
2008-12-04,13.15,13.43,12.05,12.39,1500000
2008-12-05,12.54,13.29,11.83,13.29,1368000
2008-12-08,13.52,14.36,13.4501,14.22,2114000
2008-12-09,14.46,14.46,12.43,13.12,3537800
2008-12-10,13.12,13.64,12.62,12.93,3992800
2008-12-11,12.68,13.48,11.72,12.01,5460800
2008-12-12,11.79,12.65,11.77,12.51,2127000
2008-12-15,12.49,12.94,12.158,12.18,1023400
2008-12-16,12.18,12.56,11.83,12.44,1723600
2008-12-17,12.14,12.68,11.99,12.51,3902200
2008-12-18,13.29,13.46,12.5,13.38,1360000
2008-12-19,13.705,13.9125,12.52,13.84,2043600
2008-12-22,13.99,13.99,12.78,13.22,617800
2008-12-23,13.71,13.71,12.88,13.16,563400
2008-12-24,13.07,13.22,13.04,13.09,138400
2008-12-26,13.04,13.38,12.9,13.13,403600
2008-12-29,13.28,13.34,12.76,13.14,685000
2008-12-30,13.09,13.35,12.57,13.29,553400
2008-12-31,13.4,13.46,12.85,13.39,583200
2009-01-02,13.27,13.79,13.27,13.78,994200
2009-01-05,13.69,14.18,13.67,14.08,598400
2009-01-06,14.35,14.52,13.64,14.45,705000
2009-01-07,14.06,14.14,13.7,13.8,433000
2009-01-08,13.89,14.24,13.42,14.24,1464800
2009-01-09,14.11,14.51,13.8,14.41,969200
2009-01-12,14.43,14.43,14.08,14.38,1245400
2009-01-13,14.73,14.93,14.44,14.79,837800
2009-01-14,14.7,14.8,14.12,14.59,465200
2009-01-15,14.72,14.9195,13.83,14.47,687800
2009-01-16,14.9,15.08,14.06,14.52,502800
2009-01-20,14.52,14.52,13.42,13.42,516600
2009-01-21,13.5,14.46,13.38,14.36,751000
2009-01-22,14.15,14.75,14.03,14.4,467800
2009-01-23,14.2,14.65,14.2,14.39,546800
2009-01-26,14.32,14.79,13.935,14.19,758600
2009-01-27,14.36,14.58,14.18,14.56,671600
2009-01-28,14.9,14.9,14.28,14.6,659400
2009-01-29,14.53,14.56,14.07,14.14,318600
2009-01-30,14.31,14.5,13.82,14.38,1207800
2009-02-02,14.25,14.54,13.8,14.42,552200
2009-02-03,14.4,14.4,13.92,14.18,1507600
2009-02-04,14.28,14.45,13.55,13.6,679600
2009-02-05,13.41,13.5,13.11,13.37,796600
2009-02-06,13.31,13.91,13.31,13.76,620400
2009-02-09,13.66,13.94,13.66,13.76,331200
2009-02-10,13.59,13.84,13.27,13.39,766400
2009-02-11,13.34,13.76,13.34,13.56,399400
2009-02-12,13.24,13.9,13.24,13.81,339800
2009-02-13,13.9,13.91,13.54,13.78,432000
2009-02-17,13.48,13.8,12.99,13.2,1149800
2009-02-18,13.38,13.51,12.77,12.99,852800
2009-02-19,13.055,13.11,12.58,12.63,779000
2009-02-20,12.5,12.62,12.09,12.26,433200
2009-02-23,12.27,12.66,12.03,12.1,808800
2009-02-24,12.17,12.78,12.04,12.68,1301800
2009-02-25,13.82,14.58,13.65,14.13,1066400
2009-02-26,14.3,14.75,13.9,14.04,795000
2009-02-27,13.88,14.8,13.88,14.68,1430800
2009-03-02,14.32,14.9,14.32,14.51,884000
2009-03-03,14.82,15.01,14.49,14.81,809200
2009-03-04,14.95,15.05,14.01,14.5,2074600
2009-03-05,14.18,14.99,14.14,14.26,701800
2009-03-06,14.32,14.58,13.63,13.98,1812400
2009-03-09,13.76,14.08,13.24,13.3,1816000
2009-03-10,13.53,14.11,13.29,14.01,1325600
2009-03-11,14.15,14.33,13.87,14.25,1011400
2009-03-12,14.13,15.25,14.01,15.2,1309400
2009-03-13,15.25,15.44,14.81,15.37,755200
2009-03-16,15.44,15.675,15.11,15.25,520400
2009-03-17,15.37,15.37,14.88,15.25,610000
2009-03-18,15.05,15.37,15.0,15.26,832400
2009-03-19,15.28,15.35,14.67,14.83,1144400
2009-03-20,14.9,14.92,14.41,14.5,432600
2009-03-23,14.73,15.2,14.4,15.18,619600
2009-03-24,14.94,15.19,14.76,14.84,293600
2009-03-25,14.81,14.81,14.27,14.77,1420400
2009-03-26,14.77,15.21,14.77,15.05,1320400
2009-03-27,14.92,15.15,14.14,14.79,991800
2009-03-30,14.52,14.69,13.98,14.62,575800
2009-03-31,14.61,14.98,14.47,14.65,1000400
2009-04-01,14.41,15.62,14.41,15.53,2333800
2009-04-02,15.59,16.54,15.59,16.35,1269200
2009-04-03,16.44,16.64,16.02,16.63,1647800
2009-04-06,16.35,16.48,16.13,16.47,1113200
2009-04-07,16.05,16.05,15.23,15.36,1842600
2009-04-08,15.45,15.88,15.25,15.66,1013000
2009-04-09,15.84,16.48,15.84,16.27,1237800
2009-04-13,16.3,16.32,15.9,16.15,276400
2009-04-14,16.1,16.3,15.66,15.71,682600
2009-04-15,15.51,15.94,15.4001,15.82,506600
2009-04-16,15.84,16.94,15.84,16.71,417600
2009-04-17,16.64,16.9,16.51,16.79,691200
2009-04-20,16.46,16.69,16.344,16.51,394400
2009-04-21,16.66,16.89,16.19,16.84,401000
2009-04-22,16.55,17.59,16.55,17.22,388000
2009-04-23,17.24,17.37,16.46,16.63,433600
2009-04-24,16.6,16.99,16.56,16.82,437800
2009-04-27,16.58,17.385,16.56,17.06,704400
2009-04-28,16.96,17.35,16.89,17.02,367800
2009-04-29,17.24,18.299,17.24,18.13,1196200
2009-04-30,18.26,18.61,17.45,17.52,706400
2009-05-01,17.61,17.61,16.8,17.29,284400
2009-05-04,17.55,19.01,17.55,18.8,1677400
2009-05-05,18.62,19.94,18.39,19.89,1181800
2009-05-06,19.96,20.14,19.41,19.74,495200
2009-05-07,19.67,19.82,18.84,18.96,1086400
2009-05-08,19.24,19.24,18.59,18.93,390400
2009-05-11,18.78,19.29,18.55,19.0,578000
2009-05-12,18.96,19.75,17.82,18.18,566800
2009-05-13,17.8,18.06,17.63,17.91,402400
2009-05-14,17.82,18.22,17.62,18.07,317400
2009-05-15,18.2,18.52,17.91,18.09,303000
2009-05-18,18.14,18.79,17.76,18.77,357600
2009-05-19,18.88,19.38,18.6601,19.27,281400
2009-05-20,19.26,20.7,19.26,20.41,930200
2009-05-21,20.22,20.22,19.42,20.01,763200
2009-05-22,20.21,20.3857,19.94,20.19,336200
2009-05-26,20.19,20.44,20.07,20.25,1364800
2009-05-27,20.21,20.29,19.93,20.07,1390600
2009-05-28,20.0,20.5,19.75,20.43,541200
2009-05-29,20.24,20.84,20.24,20.84,1559200
