,open,high,low,close,volume
2000-01-03,18.0,18.06,17.25,17.31,269200
2000-01-04,17.31,17.56,17.0,17.19,185667
2000-01-05,17.06,18.06,17.06,17.81,266400
2000-01-06,17.69,18.19,17.63,17.63,133200
2000-01-07,17.75,18.25,17.38,17.38,446600
2000-01-10,17.31,17.69,17.31,17.5,190800
2000-01-11,17.5,18.31,17.5,18.19,278267
2000-01-12,18.13,18.19,17.38,17.56,774867
2000-01-13,17.75,18.75,17.63,18.63,647600
2000-01-14,18.63,19.0,18.63,18.88,237267
2000-01-18,18.75,19.0,18.38,18.63,274667
2000-01-19,18.63,18.69,18.13,18.31,554867
2000-01-20,18.19,18.25,17.5,17.63,463467
2000-01-21,17.88,17.88,17.56,17.56,469867
2000-01-24,17.81,17.81,17.0,17.13,471400
2000-01-25,16.94,17.0,16.56,16.63,519667
2000-01-26,16.81,16.81,16.38,16.56,602867
2000-01-27,16.56,16.69,16.25,16.5,376200
2000-01-28,16.38,16.38,15.69,15.75,798000
2000-01-31,15.75,16.06,15.56,15.88,385000
2000-02-01,15.88,16.0,15.25,15.38,425667
2000-02-02,15.38,15.81,14.25,15.81,2485067
2000-02-03,15.88,16.19,15.63,16.19,376267
2000-02-04,16.12,16.75,16.12,16.75,1167267
2000-02-07,16.69,16.75,15.94,16.06,411200
2000-02-08,16.25,16.5,16.13,16.38,592600
2000-02-09,16.25,16.31,15.75,15.81,392667
2000-02-10,15.69,16.06,15.5,15.88,449667
2000-02-11,16.0,16.06,15.44,15.56,366400
2000-02-14,15.5,15.56,15.06,15.13,287200
2000-02-15,15.06,15.44,14.94,15.38,644200
2000-02-16,15.38,15.44,14.63,14.69,455667
2000-02-17,14.88,14.94,14.56,14.75,351400
2000-02-18,14.5,14.63,14.25,14.44,653800
2000-02-22,14.5,14.75,14.25,14.38,355200
2000-02-23,14.31,14.72,14.13,14.13,755267
2000-02-24,14.0,14.13,13.31,13.69,585467
2000-02-25,13.69,13.88,13.5,13.56,250067
2000-02-28,13.81,13.94,13.44,13.5,328867
2000-02-29,13.5,13.69,13.13,13.19,522000
2000-03-01,13.31,13.75,13.25,13.63,515667
2000-03-02,13.63,13.88,13.38,13.44,316267
2000-03-03,13.44,13.75,13.38,13.56,413200
2000-03-06,13.5,13.75,13.38,13.56,376067
2000-03-07,13.5,13.69,12.44,12.63,518467
2000-03-08,12.44,13.0,12.44,12.56,382800
2000-03-09,12.63,12.88,12.44,12.81,498467
2000-03-10,12.75,13.25,12.63,12.94,264467
2000-03-13,12.81,13.25,12.75,12.81,461600
2000-03-14,12.75,13.0,12.69,12.81,250600
2000-03-15,12.81,13.75,12.81,13.56,351200
2000-03-16,13.63,14.56,13.63,14.25,391267
2000-03-17,14.19,14.31,13.81,13.94,482867
2000-03-20,13.81,14.38,13.81,14.25,280267
2000-03-21,14.25,14.75,14.13,14.56,321800
2000-03-22,14.81,15.38,14.38,14.38,344800
2000-03-23,14.44,14.75,13.69,14.69,535200
2000-03-24,15.75,16.19,15.06,15.13,1114200
2000-03-27,15.0,15.56,15.0,15.25,793600
2000-03-28,15.38,17.0,15.38,16.5,985267
2000-03-29,17.5,17.5,17.0,17.19,886200
2000-03-30,17.44,17.63,17.13,17.63,324800
2000-03-31,17.38,17.88,17.13,17.81,573200
2000-04-03,17.94,18.25,17.75,17.75,379067
2000-04-04,17.94,18.75,17.5,18.25,563867
2000-04-05,18.13,18.75,18.06,18.69,437267
2000-04-06,18.81,18.81,18.13,18.13,410467
2000-04-07,18.0,18.25,17.94,18.0,386400
2000-04-10,18.25,18.5,17.81,18.5,446600
2000-04-11,18.5,18.56,18.19,18.56,302067
2000-04-12,18.31,19.44,18.31,18.81,264067
2000-04-13,18.63,18.63,18.06,18.06,396600
2000-04-14,18.13,18.13,17.0,17.31,612000
2000-04-17,17.31,17.75,17.31,17.56,352000
2000-04-18,17.44,17.69,17.13,17.44,284467
2000-04-19,17.25,18.38,17.25,17.88,488400
2000-04-20,17.88,19.19,17.88,19.0,294667
2000-04-24,18.88,19.0,18.56,18.88,447000
2000-04-25,18.81,19.25,18.63,19.25,255267
2000-04-26,19.13,19.25,18.94,19.25,414400
2000-04-27,19.0,19.06,18.5,18.63,534867
2000-04-28,18.56,18.56,18.06,18.5,325067
2000-05-01,18.13,18.56,17.5,18.25,392067
2000-05-02,18.44,18.44,17.88,18.0,336267
2000-05-03,18.13,18.13,17.0,17.19,261000
2000-05-04,17.69,17.69,17.19,17.25,277000
2000-05-05,17.25,18.44,17.25,18.13,451667
2000-05-08,18.06,18.06,17.47,17.69,256000
2000-05-09,17.81,18.06,17.5,18.0,270200
2000-05-10,18.0,18.44,17.94,18.06,287600
2000-05-11,18.25,18.63,18.19,18.63,426400
2000-05-12,18.56,18.88,18.5,18.56,179667
2000-05-15,18.5,18.75,18.44,18.44,216067
2000-05-16,18.38,19.25,18.31,19.13,160000
2000-05-17,19.0,19.06,18.38,18.69,477067
2000-05-18,18.69,18.88,18.5,18.69,187667
2000-05-19,18.56,18.69,18.06,18.31,401800
2000-05-22,18.31,18.38,18.0,18.31,300867
2000-05-23,18.31,18.94,18.25,18.75,388800
2000-05-24,18.88,19.25,18.75,19.19,489267
2000-05-25,19.0,19.0,18.25,18.56,652400
2000-05-26,18.63,18.88,18.56,18.88,362667
2000-05-30,18.88,18.88,18.25,18.38,246867
2000-05-31,18.13,18.25,17.5,17.5,596867
2000-06-01,17.13,17.19,16.88,17.0,558467
