,open,high,low,close,volume
2000-01-03,6.75,6.94,6.5,6.88,342467
2000-01-04,6.75,6.81,6.38,6.75,172800
2000-01-05,6.62,6.62,6.19,6.19,600000
2000-01-06,6.13,6.19,5.87,6.0,853200
2000-01-07,6.0,6.62,5.94,6.62,717667
2000-01-10,7.0,7.06,6.75,6.75,404267
2000-01-11,6.69,7.0,6.62,6.69,261000
2000-01-12,6.81,7.0,6.56,6.62,257400
2000-01-13,6.69,6.94,6.69,6.94,536067
2000-01-14,7.06,7.63,7.06,7.19,789867
2000-01-18,7.0,7.5,6.81,7.19,321067
2000-01-19,6.62,6.62,4.75,4.88,3521867
2000-01-20,4.94,5.38,4.88,5.31,1926200
2000-01-21,5.38,5.87,5.31,5.75,2028200
2000-01-24,5.69,5.75,5.0,5.0,1192067
2000-01-25,5.12,5.38,4.94,4.94,617800
2000-01-26,5.0,5.25,4.94,4.94,515400
2000-01-27,5.0,5.0,4.69,4.75,664600
2000-01-28,4.75,4.75,4.56,4.56,442800
2000-01-31,4.63,4.75,4.5,4.63,349667
2000-02-01,4.75,4.75,4.56,4.56,794600
2000-02-02,4.63,4.81,4.63,4.69,481867
2000-02-03,4.69,4.69,4.44,4.56,1662200
2000-02-04,4.5,4.56,4.37,4.37,973067
2000-02-07,4.37,4.5,4.25,4.37,485200
2000-02-08,4.44,4.5,4.31,4.37,291000
2000-02-09,4.37,4.44,4.19,4.25,508267
2000-02-10,4.25,4.31,3.81,4.0,596600
2000-02-11,4.0,4.19,3.94,4.06,842400
2000-02-14,4.06,4.19,3.69,3.75,937000
2000-02-15,3.75,4.0,3.75,3.88,783600
2000-02-16,3.94,4.0,3.88,3.88,351800
2000-02-17,3.94,4.0,3.88,3.94,903000
2000-02-18,3.81,3.94,3.81,3.81,354467
2000-02-22,3.81,3.94,3.75,3.81,329400
2000-02-23,3.94,4.0,3.88,3.88,296200
2000-02-24,3.94,3.94,3.75,3.88,303467
2000-02-25,3.94,3.94,3.5,3.5,795600
2000-02-28,3.5,3.5,2.75,3.13,1654600
2000-02-29,3.25,3.38,2.87,3.0,698400
2000-03-01,3.0,3.13,2.87,2.87,828800
2000-03-02,2.5,3.13,2.06,3.13,4200800
2000-03-03,3.19,3.25,2.87,3.0,726867
2000-03-06,3.25,3.75,3.25,3.5,798867
