,open,high,low,close,volume
2000-01-03,85.0,115.1,83.38,101.1,2260200
2000-01-04,95.0,98.0,89.25,89.38,1582800
2000-01-05,88.0,97.5,86.06,86.19,1268000
2000-01-06,88.25,90.5,79.38,80.0,1602100
2000-01-07,84.06,86.63,81.25,82.38,1364100
2000-01-10,85.13,100.0,85.0,96.13,2446500
2000-01-11,94.0,107.1,93.25,95.0,1689900
2000-01-12,97.06,97.94,88.63,90.0,1153100
2000-01-13,93.0,95.19,88.88,92.81,1290000
2000-01-14,94.0,94.13,84.13,84.81,1167100
2000-01-18,84.31,84.38,77.0,78.31,3105400
2000-01-19,77.44,77.94,76.25,76.88,1157400
2000-01-20,81.88,81.88,75.0,76.56,1424000
2000-01-21,78.0,79.0,68.63,69.0,2030300
2000-01-24,71.0,75.0,69.94,71.06,2485400
2000-01-25,73.31,79.25,68.5,75.94,1365400
2000-01-26,75.25,77.75,67.88,73.06,3539700
2000-01-27,73.19,77.56,68.5,73.13,1295200
2000-01-28,73.38,77.81,71.0,71.06,1663400
2000-01-31,72.56,82.0,70.0,81.75,1319400
2000-02-01,81.88,83.94,75.0,82.44,1094900
2000-02-02,82.75,90.44,79.0,87.75,1472300
2000-02-03,88.06,92.36,83.94,92.0,977400
2000-02-04,91.13,91.13,85.5,85.94,655700
2000-02-07,86.38,88.13,79.63,81.88,820900
2000-02-08,81.63,88.56,81.5,88.13,853600
2000-02-09,88.69,88.75,80.5,80.75,470900
2000-02-10,83.5,86.0,81.88,85.94,666300
2000-02-11,85.25,85.69,80.0,81.75,624000
2000-02-14,82.5,84.38,81.25,83.88,278100
2000-02-15,81.88,86.63,79.75,85.31,650800
2000-02-16,84.75,90.5,83.5,85.0,760900
2000-02-17,85.94,88.75,84.33,88.0,628900
2000-02-18,89.75,92.5,86.88,90.5,1444000
2000-02-22,88.75,89.0,81.0,86.13,1246800
2000-02-23,86.25,88.81,83.63,88.44,1210200
2000-02-24,88.75,92.88,83.63,91.13,757000
2000-02-25,89.63,89.75,83.75,83.75,633100
2000-02-28,83.69,89.5,80.38,87.88,880100
2000-02-29,87.63,102.3,87.5,100.0,1611100
2000-03-01,95.0,96.5,91.75,94.94,1582500
2000-03-02,95.0,96.63,94.38,95.0,930000
2000-03-03,96.13,103.4,95.56,102.2,803400
2000-03-06,102.0,102.0,87.0,90.94,2071000
2000-03-07,91.45,98.75,90.31,94.0,2316000
2000-03-08,94.06,98.69,88.0,96.06,1609000
2000-03-09,96.0,99.5,93.0,99.06,778300
2000-03-10,98.81,104.5,91.63,92.81,1421900
2000-03-13,91.92,91.94,86.19,86.75,1298000
2000-03-14,80.56,81.5,74.75,75.0,4351300
2000-03-15,76.19,79.5,74.5,77.25,2843700
2000-03-16,77.56,82.0,76.56,81.19,1446600
2000-03-17,81.88,85.5,78.13,80.56,2280400
2000-03-20,81.31,83.19,76.25,78.0,971600
2000-03-21,78.06,79.5,75.0,77.2,1188300
2000-03-22,78.75,84.25,78.06,81.75,912900
2000-03-23,81.81,83.25,77.0,81.38,957100
2000-03-24,81.12,81.12,75.06,76.38,1769600
2000-03-27,77.13,79.75,74.94,76.38,772400
2000-03-28,77.63,78.88,74.63,75.06,512200
2000-03-29,75.63,76.13,70.13,70.5,1379700
2000-03-30,69.0,73.0,68.25,70.31,1392200
2000-03-31,70.63,72.38,68.63,71.19,1100800
2000-04-03,72.0,72.0,65.95,66.69,1006400
2000-04-04,67.75,70.13,57.5,65.81,1818300
2000-04-05,64.5,72.0,64.0,68.19,1627200
2000-04-06,67.94,72.13,67.25,70.81,879600
2000-04-07,68.44,68.75,63.0,63.69,3240900
2000-04-10,64.31,64.38,56.06,59.75,2053900
2000-04-11,58.5,63.88,58.13,60.06,1675900
2000-04-12,59.94,62.63,55.81,55.81,1210600
2000-04-13,57.5,62.56,56.0,58.5,2069500
2000-04-14,58.13,60.19,55.88,56.64,1056100
2000-04-17,56.06,57.5,50.69,56.13,1268700
2000-04-18,55.88,60.0,55.88,59.75,1528800
2000-04-19,60.75,60.75,56.0,56.0,478100
2000-04-20,56.81,58.81,54.5,58.81,774800
2000-04-24,57.5,58.5,50.75,53.25,945300
2000-04-25,55.13,57.25,52.88,53.19,1863200
2000-04-26,53.81,61.63,53.5,60.31,2150500
2000-04-27,57.69,64.25,54.0,61.5,2053800
2000-04-28,62.13,63.5,58.08,60.5,1258200
2000-05-01,60.0,60.13,57.63,58.88,1881700
2000-05-02,59.06,59.13,51.56,53.38,2491700
2000-05-03,53.69,56.0,51.5,54.06,1519400
2000-05-04,49.5,59.94,49.0,55.19,4209400
2000-05-05,55.56,65.63,55.13,61.69,3024600
2000-05-08,59.63,65.75,57.44,58.5,1953400
2000-05-09,59.5,59.5,54.75,58.25,1268100
2000-05-10,58.06,60.0,55.63,57.06,1224100
2000-05-11,58.0,66.81,54.0,65.81,1919500
2000-05-12,65.0,67.88,60.25,60.38,1079500
2000-05-15,60.56,64.63,58.7,64.0,1180500
2000-05-16,63.38,67.0,63.31,66.56,846600
2000-05-17,66.22,66.25,63.25,64.25,979300
2000-05-18,65.19,66.75,60.5,61.75,774100
2000-05-19,63.5,64.25,57.94,57.94,1133800
2000-05-22,58.25,58.25,50.19,57.38,1379700
2000-05-23,56.06,58.0,54.0,54.31,656200
2000-05-24,53.88,62.88,53.81,61.75,1937500
2000-05-25,61.63,62.25,58.13,59.0,962800
2000-05-26,60.69,60.75,56.0,58.0,663700
2000-05-30,58.88,63.38,58.44,62.75,1391400
2000-05-31,63.38,67.0,63.06,63.94,1512500
2000-06-01,64.31,70.0,63.0,69.06,1326800
2000-06-02,72.5,75.0,71.0,71.69,1036300
2000-06-05,71.69,74.0,69.75,70.94,819000
2000-06-06,70.88,75.75,68.0,68.06,1911700
2000-06-07,68.75,72.0,67.13,71.75,1244600
2000-06-08,68.91,71.13,68.0,68.5,598700
2000-06-09,70.7,70.75,64.25,66.88,840600
2000-06-12,67.63,68.13,63.06,63.44,484100
2000-06-13,62.5,64.88,61.63,64.5,652800
2000-06-14,63.75,64.45,61.13,62.25,1066200
2000-06-15,63.44,65.5,60.06,65.19,856700
2000-06-16,66.94,67.75,65.5,66.31,973200
2000-06-19,66.31,72.38,65.75,70.63,681400
2000-06-20,69.77,72.75,68.5,70.75,1008400
2000-06-21,69.94,74.0,68.88,72.63,562400
2000-06-22,72.5,80.75,70.88,77.13,1927400
2000-06-23,76.5,77.94,72.94,74.94,1112600
2000-06-26,75.69,76.88,73.63,76.13,533700
2000-06-27,77.0,77.88,75.75,76.94,732000
2000-06-28,76.94,80.13,76.0,77.69,722700
2000-06-29,77.44,80.0,76.5,78.31,801300
2000-06-30,77.81,79.13,72.94,72.94,789800
2000-07-03,72.88,77.5,72.81,75.38,309500
2000-07-05,76.94,79.13,73.38,74.94,733400
2000-07-06,75.06,80.19,74.81,79.69,638600
2000-07-07,80.19,85.0,80.13,83.06,672600
2000-07-10,82.19,84.5,80.5,81.75,618300
2000-07-11,81.44,83.19,79.63,81.88,1011000
2000-07-12,81.94,83.56,80.25,81.06,853400
2000-07-13,81.0,81.75,79.25,80.0,792000
2000-07-14,80.47,80.86,78.75,79.88,359000
2000-07-17,80.19,84.25,78.75,83.06,550700
2000-07-18,82.75,85.0,81.63,82.88,708400
2000-07-19,83.38,88.25,82.88,85.94,854500
2000-07-20,85.94,88.88,84.52,87.0,718600
2000-07-21,86.63,87.69,83.13,83.19,558400
2000-07-24,83.0,86.75,80.75,80.8,517900
2000-07-25,80.69,81.0,75.81,76.81,891500
2000-07-26,76.5,88.5,75.88,86.63,2706800
2000-07-27,86.56,95.25,82.13,93.0,1565100
2000-07-28,92.63,92.88,86.19,90.31,1062900
2000-07-31,90.0,90.5,84.5,88.44,803800
2000-08-01,87.38,88.63,84.0,84.0,561700
2000-08-02,84.56,87.94,83.19,83.38,860200
2000-08-03,83.13,85.5,78.0,85.38,813300
2000-08-04,86.5,86.5,83.5,85.94,907900
2000-08-07,87.72,88.88,86.69,88.63,763500
2000-08-08,89.09,89.13,85.88,86.0,735700
2000-08-09,86.5,86.88,83.5,84.25,629900
2000-08-10,86.19,86.88,83.75,84.25,557700
2000-08-11,84.75,86.5,83.56,85.94,223300
2000-08-14,86.0,89.75,86.0,89.56,681200
2000-08-15,91.0,93.25,90.0,91.5,1047200
2000-08-16,92.38,93.0,90.06,90.13,787600
2000-08-17,90.56,92.0,89.25,92.0,741300
2000-08-18,92.75,92.94,90.06,90.44,1335000
2000-08-21,90.88,92.25,90.13,90.88,695100
2000-08-22,90.94,96.88,90.81,94.75,881300
2000-08-23,95.38,96.38,93.38,95.25,488100
2000-08-24,95.25,101.3,95.25,99.44,1266300
2000-08-25,99.38,107.5,98.88,105.9,1363600
2000-08-28,100.9,104.0,100.9,102.6,1095300
2000-08-29,102.4,105.9,100.6,105.0,855700
2000-08-30,105.1,108.1,104.8,107.2,502600
2000-08-31,107.4,108.5,104.0,107.9,686900
2000-09-01,110.0,110.0,105.6,108.9,588100
2000-09-05,109.4,109.6,108.1,108.8,435800
