Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,31.25,31.25,29.75,30.625,12.847870826721191,356400
1997-01-02,30.625,30.75,29.875,30.5,12.795429229736328,369200
1997-01-03,30.5,31.25,30.25,31.25,13.110067367553711,546100
1997-01-06,31.25,31.75,30.875,31.375,13.16250991821289,256500
1997-01-07,31.25,31.625,30.5,31.625,13.2673921585083,445600
1997-01-08,31.625,31.875,31.375,31.625,13.2673921585083,149200
1997-01-09,31.5,31.75,31.5,31.75,13.319828033447266,131400
1997-01-10,31.375,32.375,31.125,32.375,13.58203125,453700
1997-01-13,32.375,32.5,32.0,32.25,13.529593467712402,419700
1997-01-14,32.25,32.625,31.75,32.25,13.529593467712402,483000
1997-01-15,32.125,32.25,31.625,31.875,13.372274398803711,378000
1997-01-16,31.625,32.125,31.625,32.0,13.424711227416992,289200
1997-01-17,31.625,32.25,31.625,32.125,13.477157592773438,124900
1997-01-20,32.0,32.75,32.0,32.375,13.58203125,708400
1997-01-21,32.0,32.25,31.75,32.125,13.477157592773438,253700
1997-01-22,31.875,32.125,31.75,31.75,13.319828033447266,380200
1997-01-23,31.875,31.875,30.875,31.25,13.110067367553711,453900
1997-01-24,31.125,31.25,30.75,31.125,13.057628631591797,347500
1997-01-27,31.125,31.125,29.375,29.375,12.323468208312988,406000
1997-01-28,29.75,30.0,29.375,29.875,12.533225059509277,372500
1997-01-29,29.75,29.75,28.625,29.5,12.37590503692627,359700
1997-01-30,29.5,32.0,29.5,32.0,13.424711227416992,992100
1997-01-31,31.75,31.875,31.125,31.5,13.21495246887207,1213200
1997-02-03,31.5,33.5,31.5,33.25,13.949112892150879,555900
1997-02-04,33.0,33.25,32.625,32.75,13.739348411560059,404100
1997-02-05,32.75,33.5,32.75,33.25,13.949112892150879,373400
1997-02-06,33.25,33.625,32.125,32.625,13.686909675598145,503500
1997-02-07,32.625,32.75,32.0,32.125,13.477157592773438,232700
1997-02-10,32.125,32.75,32.125,32.125,13.477157592773438,317400
1997-02-11,32.375,32.375,31.5,31.75,13.319828033447266,159500
1997-02-12,31.875,32.125,31.5,31.875,13.372274398803711,211800
1997-02-13,31.875,32.0,31.25,31.375,13.16250991821289,487800
1997-02-14,31.25,31.625,31.125,31.125,13.057628631591797,239500
1997-02-18,31.125,31.25,30.625,30.75,12.900310516357422,218600
1997-02-19,30.75,30.75,29.0,29.875,12.566736221313477,582200
1997-02-20,30.0,30.0,29.5,29.75,12.514155387878418,401300
1997-02-21,29.875,30.75,29.75,30.625,12.882223129272461,261800
1997-02-24,30.125,30.125,28.875,29.875,12.566736221313477,678100
1997-02-25,30.125,30.125,29.375,29.5,12.408995628356934,133500
1997-02-26,29.625,29.75,29.25,29.5,12.408995628356934,190600
1997-02-27,29.5,30.25,29.375,29.75,12.514155387878418,328600
1997-02-28,29.875,30.0,29.75,29.75,12.514155387878418,475300
1997-03-03,29.625,29.875,29.125,29.25,12.30383586883545,144700
1997-03-04,29.125,29.375,28.875,28.875,12.14609432220459,160700
1997-03-05,28.75,29.75,28.75,29.5,12.408995628356934,205900
1997-03-06,29.5,30.125,29.5,30.0,12.6193208694458,309800
1997-03-07,30.125,30.75,30.0,30.5,12.829641342163086,279100
1997-03-10,30.375,31.375,30.125,31.25,13.145120620727539,442100
1997-03-11,31.25,31.625,30.875,31.25,13.145120620727539,296200
1997-03-12,31.375,31.5,30.625,30.875,12.987382888793945,191700
1997-03-13,30.625,30.75,29.875,30.0,12.6193208694458,150400
1997-03-14,30.25,30.5,30.25,30.25,12.724480628967285,154300
1997-03-17,30.375,30.375,29.875,30.0,12.6193208694458,112000
1997-03-18,30.0,30.0,29.0,29.5,12.408995628356934,249400
1997-03-19,29.625,30.0,29.5,29.75,12.514155387878418,218400
1997-03-20,29.625,29.875,29.5,29.75,12.514155387878418,163500
1997-03-21,29.875,30.0,29.625,29.875,12.566736221313477,179500
1997-03-24,29.875,29.875,29.0,29.375,12.35641860961914,266200
1997-03-25,29.625,29.625,27.5,28.125,11.830615043640137,688300
1997-03-26,28.125,29.125,28.0,28.625,12.040937423706055,327600
1997-03-27,28.75,29.0,28.375,28.5,11.988353729248047,357500
1997-03-31,28.5,28.5,26.75,27.125,11.40996265411377,568000
1997-04-01,27.375,27.5,26.5,27.0,11.357389450073242,519300
1997-04-02,27.0,27.0,26.75,26.875,11.304808616638184,320600
1997-04-03,26.75,27.25,26.5,26.75,11.25222396850586,234200
1997-04-04,26.875,28.375,26.625,27.875,11.725449562072754,372700
1997-04-07,27.625,28.75,27.625,27.875,11.725449562072754,222300
1997-04-08,27.75,28.0,27.5,27.875,11.725449562072754,145500
1997-04-09,28.0,29.125,27.75,28.25,11.88319206237793,675800
1997-04-10,28.125,28.625,28.0,28.375,11.935768127441406,187500
1997-04-11,28.375,28.5,27.875,27.875,11.725449562072754,243300
1997-04-14,27.875,28.125,27.625,27.875,11.725449562072754,251000
