Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.0625,26.375,26.0625,26.1875,14.410612106323242,16138200
2000-01-03,25.5,25.5625,24.8125,25.0625,13.935209274291992,755000
2000-01-04,24.875,25.625,24.875,25.3125,14.074214935302734,715400
2000-01-05,25.9375,27.5,25.8125,26.9375,14.977747917175293,1330000
2000-01-06,26.6875,26.875,26.125,26.875,14.94299030303955,1210100
2000-01-07,27.0,28.0,27.0,28.0,15.568516731262207,2816800
2000-01-10,27.9375,28.0625,27.625,28.0,15.568516731262207,912200
2000-01-11,28.0,28.0625,27.75,27.875,15.499017715454102,960100
2000-01-12,27.8125,28.1875,27.8125,27.9375,15.533768653869629,618300
2000-01-13,27.8125,28.0,27.6875,27.75,15.429512977600098,848500
2000-01-14,27.5,27.625,27.25,27.5,15.29050064086914,712800
2000-01-18,27.25,27.5,26.75,27.0,15.012493133544922,1032700
2000-01-19,26.5625,27.375,26.5625,27.25,15.151498794555664,1014000
2000-01-20,26.875,26.9375,26.6875,26.8125,14.908242225646973,787500
2000-01-21,27.0,27.5,26.875,27.4375,15.255756378173828,1016200
2000-01-24,27.625,29.3125,27.5625,28.5,15.846526145935059,1592700
2000-01-25,28.5,29.0625,28.5,28.875,16.05502700805664,2807400
2000-01-26,28.9375,29.0625,28.8125,29.0,16.12453269958496,896900
2000-01-27,28.8125,29.5625,28.6875,29.0,16.12453269958496,1649600
2000-01-28,29.0,29.0,28.25,28.25,15.707511901855469,869500
2000-01-31,28.3125,29.125,28.0,29.125,16.194040298461914,965200
2000-02-01,29.375,29.375,28.125,28.625,15.916022300720215,1351400
2000-02-02,28.5625,28.6875,28.375,28.5625,15.881275177001953,943300
2000-02-03,28.5,30.0,28.5,29.5,16.402536392211914,1030100
2000-02-04,29.4375,29.5,28.125,28.375,15.777020454406738,838100
2000-02-07,28.125,28.375,27.875,28.375,15.777020454406738,855100
2000-02-08,28.1875,28.1875,27.625,27.875,15.499017715454102,1400500
2000-02-09,27.8125,28.125,27.5,28.0,15.568516731262207,1100700
2000-02-10,27.6875,28.375,27.5,27.5,15.29050064086914,756100
2000-02-11,27.5625,28.25,27.5625,27.75,15.429512977600098,487000
2000-02-14,27.75,28.25,27.6875,27.9375,15.533768653869629,624800
2000-02-15,28.0,28.125,27.875,28.0,15.568516731262207,524600
2000-02-16,28.0625,28.5,28.0,28.375,15.777020454406738,600200
2000-02-17,28.3125,28.4375,27.9375,28.0625,15.60326099395752,381000
2000-02-18,28.0625,28.125,27.125,27.25,15.151498794555664,929100
2000-02-22,27.25,27.4375,26.875,27.3125,15.186249732971191,570400
2000-02-23,27.4375,27.4375,26.625,26.6875,14.83874225616455,629800
2000-02-24,26.125,26.125,25.0,25.3125,14.074214935302734,1181500
2000-02-25,25.5625,25.8125,25.3125,25.75,14.317477226257324,838700
2000-02-28,25.75,26.8125,25.625,26.5,14.73448371887207,1114200
2000-02-29,26.375,26.375,25.625,26.25,14.595483779907227,715300
2000-03-01,26.0,26.1875,25.25,25.75,14.317477226257324,683600
2000-03-02,25.375,25.75,25.375,25.625,14.247967720031738,747300
