,open,high,low,close,volume
2000-01-03,56.88,57.56,56.63,57.56,1123400
2000-01-04,57.5,57.56,56.81,56.88,854100
2000-01-05,56.88,58.25,56.81,58.06,1095100
2000-01-06,57.5,60.0,57.38,59.56,1296600
2000-01-07,60.5,62.69,59.75,62.25,1331600
2000-01-10,62.0,62.06,58.63,59.0,1278500
2000-01-11,58.75,60.0,58.63,58.88,947500
2000-01-12,59.06,60.38,59.0,59.69,680600
2000-01-13,59.94,62.19,59.75,61.5,1065900
2000-01-14,61.38,61.75,60.88,60.94,1343800
2000-01-18,60.69,60.75,59.38,60.19,1050800
2000-01-19,60.44,62.38,60.38,61.69,1161800
2000-01-20,61.88,62.38,60.31,60.44,1172500
2000-01-21,59.75,60.56,59.63,60.06,1234300
2000-01-24,60.31,60.31,57.75,58.13,1251900
2000-01-25,57.63,58.0,57.13,57.19,958700
2000-01-26,57.44,57.5,55.81,56.5,1277500
2000-01-27,56.5,57.5,55.25,55.69,1328500
2000-01-28,55.63,57.0,55.25,56.0,1634000
2000-01-31,55.5,56.06,55.06,55.06,997100
2000-02-01,55.13,55.44,54.38,54.63,1176500
2000-02-02,54.88,54.94,53.5,53.5,1823800
2000-02-03,52.63,55.44,52.63,54.13,1564900
2000-02-04,53.25,53.75,51.44,51.75,2395800
2000-02-07,50.25,51.06,49.31,49.94,2126900
2000-02-08,50.0,50.88,49.56,49.88,2127500
2000-02-09,49.63,49.81,47.94,48.0,1615000
2000-02-10,48.06,48.44,46.06,46.69,2082600
2000-02-11,46.94,47.44,46.19,46.38,1693000
2000-02-14,46.63,46.75,45.69,46.38,1228500
2000-02-15,46.13,48.44,45.75,47.88,2253500
2000-02-16,47.69,49.31,47.13,48.88,1480000
2000-02-17,49.5,49.56,48.5,49.38,2082800
2000-02-18,49.44,51.13,49.06,50.0,1929500
2000-02-22,49.25,50.63,49.06,49.63,1466300
2000-02-23,49.5,49.69,48.38,48.56,1555900
2000-02-24,48.5,49.25,47.5,48.44,1332600
2000-02-25,50.0,50.06,47.56,47.63,1348400
2000-02-28,47.63,48.0,46.5,46.5,1353000
2000-02-29,46.5,46.94,45.31,45.56,1924400
2000-03-01,45.0,45.44,44.19,44.63,2437500
2000-03-02,44.13,44.75,43.63,44.06,1743100
2000-03-03,44.06,44.94,43.06,43.63,1892100
2000-03-06,43.56,43.63,41.5,42.0,2085500
2000-03-07,42.25,42.75,41.5,41.88,1475300
2000-03-08,42.13,42.75,41.31,42.25,1996200
2000-03-09,42.06,42.25,41.0,41.5,1404600
2000-03-10,41.63,42.56,40.94,41.13,1535200
2000-03-13,40.63,42.69,40.5,42.5,1238500
2000-03-14,42.56,42.94,41.56,42.31,1424100
2000-03-15,42.06,43.56,41.19,43.31,2400000
2000-03-16,43.63,46.0,43.25,45.75,3160300
2000-03-17,45.5,48.0,45.0,45.0,2886200
2000-03-20,46.0,47.75,45.75,46.94,2487000
2000-03-21,46.5,47.06,45.06,46.13,1839400
2000-03-22,45.75,45.94,44.69,45.38,2044800
2000-03-23,44.88,47.0,44.25,46.81,1781000
2000-03-24,46.75,49.13,46.63,47.25,1969200
2000-03-27,46.75,47.69,46.25,47.0,1214800
2000-03-28,46.81,47.63,46.81,47.19,1191600
2000-03-29,47.13,49.13,47.13,48.69,1407700
2000-03-30,50.0,54.25,49.75,53.25,2748800
2000-03-31,55.0,55.0,52.88,53.13,2390500
2000-04-03,53.0,53.38,51.31,53.0,1299800
2000-04-04,54.75,56.75,54.13,55.38,3148900
2000-04-05,55.0,55.44,54.06,54.63,1638700
2000-04-06,54.06,55.5,54.06,55.0,1119600
2000-04-07,55.0,55.5,54.63,54.81,814300
2000-04-10,54.63,55.19,54.0,54.88,1045900
2000-04-11,55.0,57.75,54.75,57.0,1589200
2000-04-12,57.13,58.13,55.88,56.5,1555300
2000-04-13,57.13,57.88,56.13,57.0,1225700
2000-04-14,56.25,57.13,53.75,54.31,1088200
2000-04-17,54.56,55.13,52.25,55.06,1797000
2000-04-18,54.88,55.0,52.5,54.13,1192200
2000-04-19,53.25,53.38,51.13,52.31,1407400
2000-04-20,52.38,52.81,51.56,52.56,1382900
2000-04-24,51.88,54.19,51.81,53.88,1856200
2000-04-25,54.25,56.81,53.56,56.19,1158000
2000-04-26,55.38,56.0,54.0,54.44,748500
2000-04-27,53.44,55.38,53.44,54.63,1035900
2000-04-28,54.63,55.5,54.25,54.88,1419600
2000-05-01,54.63,56.06,54.56,55.75,1050700
2000-05-02,55.81,56.94,55.44,55.44,1244700
2000-05-03,54.81,55.06,53.06,53.69,1276700
2000-05-04,53.88,55.5,53.63,54.25,907700
2000-05-05,54.25,55.19,54.13,54.44,696700
2000-05-08,54.0,55.38,53.81,55.19,643700
2000-05-09,54.56,56.19,54.5,55.75,890700
2000-05-10,55.25,56.31,54.63,54.94,1309800
2000-05-11,55.5,56.31,55.13,55.81,825700
2000-05-12,55.38,56.31,53.94,56.06,1195900
2000-05-15,56.81,58.19,56.13,56.94,1766700
2000-05-16,59.13,59.5,57.94,58.13,1686700
2000-05-17,57.25,58.0,56.31,56.88,1427900
2000-05-18,56.63,57.31,56.63,57.06,818200
2000-05-19,56.81,57.63,56.44,57.13,641100
2000-05-22,57.13,57.31,56.44,57.13,1172700
2000-05-23,57.0,58.31,57.0,58.0,1743100
2000-05-24,58.06,59.19,58.0,59.13,1559400
2000-05-25,60.0,60.56,59.63,59.88,1946100
2000-05-26,59.63,59.75,59.06,59.13,835200
2000-05-30,59.25,59.63,59.0,59.25,1429200
2000-05-31,59.38,59.44,59.0,59.13,992200
2000-06-01,59.0,61.31,59.0,61.0,1332600
2000-06-02,63.0,63.25,61.25,62.5,1598100
2000-06-05,62.25,62.69,60.0,60.0,1009300
2000-06-06,60.19,60.38,59.38,60.13,1014600
2000-06-07,59.88,61.0,59.75,59.94,808500
2000-06-08,59.5,59.56,58.31,58.88,762900
2000-06-09,58.88,59.25,58.56,59.06,942300
2000-06-12,59.0,60.56,58.81,59.0,707400
2000-06-13,59.25,61.13,59.19,60.06,763500
2000-06-14,60.0,60.25,58.13,58.13,898800
2000-06-15,58.06,58.44,57.31,57.38,1425500
2000-06-16,57.38,58.38,57.25,57.5,1445300
2000-06-19,57.63,58.75,57.38,58.13,1655600
2000-06-20,62.25,62.25,58.88,59.75,4672800
2000-06-21,59.63,60.13,59.06,59.38,3147600
