,open,high,low,close,volume
2000-01-03,17.19,17.38,15.0,15.5,992800
2000-01-04,15.0,15.63,14.75,15.5,1350700
2000-01-05,15.25,15.5,15.06,15.13,899500
2000-01-06,15.06,16.5,14.94,16.31,989000
2000-01-07,16.5,16.75,15.94,16.13,689100
2000-01-10,15.88,16.25,15.63,16.25,499700
2000-01-11,16.0,16.63,16.0,16.38,697100
2000-01-12,16.31,16.56,16.06,16.38,519800
2000-01-13,16.5,16.94,16.44,16.69,1074100
2000-01-14,16.94,17.13,16.56,17.0,1274800
2000-01-18,17.25,17.94,16.69,17.06,926700
2000-01-19,17.31,17.81,17.13,17.13,415600
2000-01-20,17.06,17.13,16.0,16.75,1060200
2000-01-21,16.94,17.31,16.13,16.25,1940000
2000-01-24,16.0,16.19,15.44,15.88,1364600
2000-01-25,15.88,16.19,15.56,15.63,1333000
2000-01-26,15.69,16.25,15.69,15.81,1141600
2000-01-27,15.88,16.13,15.25,15.44,651300
2000-01-28,15.44,15.69,15.19,15.25,574500
2000-01-31,15.5,15.94,15.06,15.88,770700
2000-02-01,15.75,16.19,15.63,16.0,691000
2000-02-02,16.25,16.69,16.25,16.5,1025300
2000-02-03,16.63,16.81,16.13,16.13,854800
2000-02-04,16.06,16.56,15.25,15.69,647300
2000-02-07,15.94,16.13,15.44,15.56,780200
2000-02-08,15.69,15.88,15.31,15.5,590400
2000-02-09,15.63,15.88,14.88,15.06,946600
2000-02-10,15.06,15.88,15.06,15.88,909200
2000-02-11,15.94,15.94,15.25,15.63,760900
2000-02-14,15.63,15.88,15.31,15.75,516800
2000-02-15,15.75,16.5,15.69,16.25,669900
2000-02-16,16.38,16.56,16.0,16.0,616900
2000-02-17,16.06,16.19,15.88,16.19,1147700
2000-02-18,16.19,16.25,15.69,15.69,698800
2000-02-22,15.63,15.81,15.19,15.5,338600
2000-02-23,15.38,15.75,14.69,14.75,707400
2000-02-24,14.94,14.94,13.75,14.0,1261700
2000-02-25,14.06,14.25,13.69,13.88,1356600
2000-02-28,14.06,14.5,13.81,14.19,785300
2000-02-29,14.19,15.25,14.13,15.25,2159400
2000-03-01,15.5,15.75,15.25,15.63,1553600
2000-03-02,16.0,17.88,16.0,17.75,2177200
2000-03-03,17.75,18.13,16.63,17.31,1538800
2000-03-06,17.13,17.88,17.0,17.38,478100
2000-03-07,18.13,18.94,17.63,18.69,1006900
2000-03-08,18.63,19.44,18.13,18.88,1744600
2000-03-09,19.0,19.13,18.38,18.75,674700
2000-03-10,18.44,19.13,18.0,18.56,1203900
2000-03-13,18.31,18.94,18.19,18.25,392500
2000-03-14,18.31,18.81,18.13,18.5,668800
2000-03-15,18.75,18.88,17.88,18.31,619600
2000-03-16,18.31,19.38,18.25,18.75,893700
2000-03-17,18.75,19.0,18.31,18.5,359700
2000-03-20,18.31,18.44,17.75,18.38,610400
2000-03-21,18.38,18.88,18.19,18.69,829600
2000-03-22,19.13,19.69,18.38,18.94,1959400
2000-03-23,19.0,19.06,18.75,19.0,701500
2000-03-24,18.94,19.13,18.38,18.44,925000
2000-03-27,18.38,18.88,18.25,18.44,777700
2000-03-28,18.69,19.88,18.69,19.31,933400
2000-03-29,19.38,21.69,19.38,21.1,1458400
2000-03-30,21.69,24.06,21.5,23.0,2824000
2000-03-31,22.94,23.75,21.19,21.19,1536200
2000-04-03,22.0,23.38,21.75,23.25,1105400
2000-04-04,23.88,24.06,21.94,22.69,2204600
2000-04-05,23.13,23.5,21.88,22.31,1058800
2000-04-06,22.56,23.38,22.44,23.25,545200
2000-04-07,23.19,23.81,23.0,23.63,572000
2000-04-10,23.56,23.63,22.06,22.5,865500
2000-04-11,22.56,23.88,22.56,23.44,813900
2000-04-12,23.88,24.94,23.81,24.31,1681100
