Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,13.125,13.375,13.125,13.125,6.5155510902404785,667900
1997-01-02,13.0,13.375,12.875,13.125,6.5155510902404785,559400
1997-01-03,13.375,13.5,13.375,13.5,6.701708793640137,234600
1997-01-06,13.5,13.875,13.375,13.75,6.825814247131348,646800
1997-01-07,13.75,14.25,13.625,14.125,7.011971950531006,751000
1997-01-08,14.0,14.125,13.75,14.0,6.949918270111084,458000
1997-01-09,13.875,14.0,13.875,13.875,6.887864589691162,337400
1997-01-10,13.75,14.0,13.625,14.0,6.949918270111084,363500
1997-01-13,13.875,14.125,13.875,14.0,6.949918270111084,497500
1997-01-14,14.125,14.125,13.875,13.875,6.887864589691162,152800
1997-01-15,13.875,13.875,13.5,13.5,6.701708793640137,287400
1997-01-16,13.5,14.0,13.5,13.75,6.825814247131348,362100
1997-01-17,13.75,14.0,13.625,13.875,6.887864589691162,314400
1997-01-20,13.75,13.75,13.25,13.375,6.639657497406006,692900
1997-01-21,12.875,13.125,12.5,13.0,6.45349645614624,1182300
1997-01-22,13.0,13.25,12.875,13.125,6.5155510902404785,492000
1997-01-23,13.125,13.375,13.0,13.0,6.45349645614624,892700
1997-01-24,12.875,12.875,12.625,12.625,6.26733922958374,506500
1997-01-27,12.75,12.875,12.75,12.75,6.329391956329346,595400
1997-01-28,12.75,12.875,12.375,12.375,6.143231391906738,202600
1997-01-29,12.5,12.5,12.125,12.25,6.081181526184082,359300
1997-01-30,12.125,12.375,12.0,12.375,6.143231391906738,943000
1997-01-31,12.375,13.125,12.375,13.125,6.5155510902404785,574700
1997-02-03,13.0,13.125,13.0,13.0,6.45349645614624,236700
1997-02-04,13.0,13.5,13.0,13.375,6.639657497406006,320400
1997-02-05,13.375,13.625,13.25,13.375,6.639657497406006,1163900
1997-02-06,13.375,13.625,13.375,13.625,6.763760566711426,203200
1997-02-07,13.625,13.625,13.375,13.5,6.701708793640137,220200
1997-02-10,13.5,13.625,13.375,13.375,6.639657497406006,266300
1997-02-11,13.375,13.5,13.375,13.375,6.639657497406006,137000
1997-02-12,13.375,13.5,13.0,13.0,6.45349645614624,425000
1997-02-13,13.0,13.0,12.5,12.5,6.205284118652344,1853800
1997-02-14,12.5,12.5,12.125,12.25,6.081181526184082,928300
1997-02-18,12.375,12.375,12.0,12.125,6.019127368927002,1119100
1997-02-19,12.125,12.25,11.875,12.0,5.957073211669922,809400
1997-02-20,12.0,12.0,11.875,12.0,5.957073211669922,729700
1997-02-21,12.0,12.25,11.875,12.125,6.019127368927002,432600
1997-02-24,12.25,12.25,12.125,12.125,6.019127368927002,218400
1997-02-25,12.125,12.375,12.125,12.375,6.143231391906738,352600
1997-02-26,12.125,12.25,12.0,12.125,6.143232822418213,1395900
1997-02-27,12.125,12.125,11.625,11.625,5.889903545379639,1096900
1997-02-28,11.625,11.625,10.25,10.375,5.256579875946045,4415300
1997-03-03,9.75,9.875,9.25,9.625,4.876585960388184,2339700
1997-03-04,9.5,9.625,9.375,9.5,4.813253879547119,1484700
1997-03-05,9.625,9.875,9.5,9.875,5.003251075744629,1031800
1997-03-06,9.875,10.0,9.75,9.875,5.003251075744629,674300
1997-03-07,9.875,10.0,9.75,10.0,5.066583156585693,1031600
1997-03-10,10.0,10.375,9.875,10.25,5.19325065612793,1520000
1997-03-11,10.375,10.625,10.125,10.25,5.19325065612793,524100
1997-03-12,10.25,10.25,9.625,9.75,4.9399189949035645,580000
1997-03-13,9.75,9.75,9.5,9.625,4.876585960388184,517300
1997-03-14,9.625,9.75,9.125,9.125,4.623260021209717,621000
1997-03-17,9.375,9.375,9.125,9.25,4.686589241027832,504700
1997-03-18,9.375,9.375,9.125,9.25,4.686589241027832,187600
1997-03-19,9.375,9.375,9.25,9.25,4.686589241027832,314600
1997-03-20,9.25,9.375,8.75,8.875,4.496592998504639,600600
1997-03-21,8.75,9.125,8.5,9.0,4.559925556182861,1028900
1997-03-24,9.125,9.375,9.0,9.375,4.749922275543213,557900
1997-03-25,8.75,9.0,8.5,8.875,4.496592998504639,1453200
1997-03-26,8.625,8.75,8.25,8.375,4.243261814117432,3355700
1997-03-27,8.25,8.375,8.0,8.0,4.05326509475708,1013500
1997-03-31,7.875,8.0,7.625,7.875,3.989933967590332,1121400
1997-04-01,7.875,8.25,7.875,8.25,4.179931640625,649700
1997-04-02,8.125,8.25,8.0,8.25,4.179931640625,797400
