,open,high,low,close,volume
2000-03-27,15.25,16.62,15.25,16.5,918900
2000-03-28,16.5,16.5,16.0,16.06,269400
2000-03-29,16.0,16.12,15.81,16.0,109300
2000-03-30,16.0,16.0,15.38,15.38,470900
2000-03-31,14.94,14.94,13.56,13.56,1982900
2000-04-03,14.0,14.81,13.75,13.75,2871700
2000-04-04,14.13,14.31,12.38,14.0,3284200
2000-04-05,13.88,14.25,13.81,13.94,1587400
2000-04-06,14.0,14.38,13.88,14.31,1795300
2000-04-07,14.38,15.25,14.38,14.44,3476200
2000-04-10,14.75,15.0,14.5,14.56,1320200
2000-04-11,14.31,14.63,14.25,14.31,1647500
2000-04-12,14.19,14.56,14.13,14.31,2136600
2000-04-13,14.31,14.63,14.31,14.45,1718600
2000-04-14,14.44,14.5,14.13,14.44,656500
2000-04-17,14.31,14.44,14.06,14.25,748000
2000-04-18,14.44,14.5,13.94,14.06,724000
2000-04-19,14.25,14.63,14.25,14.38,1165600
2000-04-20,14.31,14.75,14.25,14.63,1139700
2000-04-24,14.38,14.63,14.13,14.25,953800
2000-04-25,14.31,15.13,13.88,15.06,1158900
2000-04-26,15.13,16.5,15.0,15.31,1330300
2000-04-27,15.06,15.06,14.56,14.81,1021300
2000-04-28,14.75,15.0,14.5,15.0,884800
2000-05-01,15.0,15.0,14.44,14.75,1077500
2000-05-02,14.63,14.75,14.44,14.56,671100
2000-05-03,14.19,14.56,14.06,14.25,1041100
2000-05-04,14.38,14.75,14.25,14.75,902600
2000-05-05,14.88,15.38,14.88,15.13,427700
2000-05-08,15.38,15.63,15.19,15.25,358900
2000-05-09,15.44,15.5,15.0,15.0,335900
2000-05-10,15.0,15.38,14.88,15.19,193800
2000-05-11,15.19,15.5,14.75,14.94,571800
2000-05-12,14.94,15.69,14.94,15.69,192100
2000-05-15,15.5,16.88,15.5,16.38,332100
2000-05-16,16.5,16.94,16.31,16.5,315900
2000-05-17,16.5,16.5,15.81,16.0,629300
2000-05-18,16.0,16.13,15.44,15.56,519700
2000-05-19,15.56,15.63,15.31,15.31,157600
2000-05-22,15.44,15.69,15.31,15.56,157400
2000-05-23,15.5,16.0,15.5,15.63,216800
2000-05-24,15.63,16.75,15.63,16.44,566400
2000-05-25,16.31,17.63,16.31,17.31,753800
2000-05-26,17.44,18.13,17.31,18.0,573500
2000-05-30,18.0,19.81,18.0,19.75,952200
2000-05-31,19.75,20.63,19.75,20.31,815000
2000-06-01,20.06,20.25,19.38,19.88,359800
2000-06-02,19.88,20.13,18.56,19.19,332000
2000-06-05,18.94,18.94,18.06,18.13,503200
2000-06-06,18.25,18.25,16.81,17.13,977200
2000-06-07,17.5,18.63,17.5,18.5,590600
2000-06-08,18.25,18.5,18.19,18.5,347400
2000-06-09,18.38,19.0,18.31,18.5,314800
2000-06-12,18.63,18.94,18.38,18.63,207200
2000-06-13,18.5,18.56,18.19,18.38,229300
2000-06-14,18.63,18.63,18.19,18.44,377900
2000-06-15,18.44,18.63,18.31,18.31,179800
2000-06-16,18.38,18.44,17.88,18.0,265500
2000-06-19,17.56,18.38,17.5,18.13,350200
2000-06-20,18.0,18.06,17.63,17.81,450000
2000-06-21,17.94,19.0,17.81,19.0,253400
2000-06-22,18.75,20.63,18.31,19.44,394000
2000-06-23,19.56,20.31,19.56,19.88,764600
2000-06-26,20.0,20.25,19.25,19.88,524100
2000-06-27,19.88,20.03,18.75,19.13,575800
2000-06-28,18.75,20.5,18.13,20.44,491700
2000-06-29,20.56,21.0,20.25,20.25,362600
2000-06-30,20.31,20.5,18.48,18.52,957700
2000-07-03,18.88,20.75,18.88,20.56,258800
2000-07-05,20.56,20.75,19.63,19.69,166400
2000-07-06,19.81,20.44,19.81,20.25,165000
2000-07-07,20.5,20.63,20.0,20.5,262100
2000-07-10,20.56,21.38,20.56,21.25,430900
2000-07-11,21.44,22.31,21.38,22.0,580800
2000-07-12,22.25,23.25,21.81,22.13,325600
2000-07-13,22.0,23.75,22.0,23.25,574100
2000-07-14,23.5,23.56,22.69,22.94,370100
2000-07-17,23.19,23.25,22.56,22.81,266600
2000-07-18,23.25,24.0,23.25,23.88,447300
2000-07-19,24.13,25.5,24.0,24.19,475400
2000-07-20,24.38,24.5,23.75,24.06,183600
2000-07-21,23.94,25.0,23.63,24.88,382900
2000-07-24,24.94,24.94,24.5,24.75,224000
