,open,high,low,close,volume
2000-01-03,52.75,53.19,52.13,52.38,2582177
2000-01-04,51.81,52.25,50.31,50.63,4660980
2000-01-05,51.0,51.5,50.75,50.81,3207002
2000-01-06,51.0,51.81,50.38,50.88,2892998
2000-01-07,52.5,55.0,52.13,54.63,5898154
2000-01-10,54.75,55.19,53.0,53.63,3154679
2000-01-11,52.5,53.5,51.75,52.19,2693253
2000-01-12,52.44,54.5,52.44,53.69,3131190
2000-01-13,54.38,54.38,52.88,53.06,2500700
2000-01-14,52.56,52.94,51.13,51.75,4756652
2000-01-18,53.75,55.0,53.13,54.25,4948822
2000-01-19,54.5,54.88,52.81,53.44,2874602
2000-01-20,53.5,53.69,51.5,52.22,4339465
2000-01-21,51.94,52.0,50.31,50.44,5732018
2000-01-24,51.81,51.94,50.38,51.13,5042648
2000-01-25,51.19,51.25,49.13,50.13,4154997
2000-01-26,49.13,49.25,47.31,48.0,9246849
2000-01-27,49.31,50.0,48.69,49.94,6861680
2000-01-28,49.13,49.88,48.81,49.0,3837810
2000-01-31,49.81,50.19,49.13,49.75,3154933
2000-02-01,49.63,50.0,48.5,49.81,4719605
2000-02-02,49.94,50.56,47.94,48.63,6361362
2000-02-03,47.88,48.88,47.81,48.75,4003883
2000-02-04,48.88,49.0,48.0,48.06,2743730
2000-02-07,48.5,48.5,47.19,47.94,2376066
2000-02-08,48.38,48.88,48.0,48.13,3339656
2000-02-09,47.63,47.75,47.13,47.19,2872820
2000-02-10,47.06,47.25,46.06,47.0,3694398
2000-02-11,47.19,47.19,45.19,46.13,3372693
2000-02-14,46.0,47.13,45.0,47.06,3634755
2000-02-15,46.88,46.88,45.44,46.38,2931254
2000-02-16,45.69,46.44,45.25,46.31,3760471
2000-02-17,45.81,46.63,45.25,45.88,3883705
2000-02-18,45.19,45.44,43.38,43.38,5795544
2000-02-22,44.38,44.88,43.5,44.06,4673838
2000-02-23,44.19,44.25,43.0,43.0,2420051
2000-02-24,43.0,43.25,41.19,42.5,5534118
2000-02-25,42.38,44.25,42.25,42.94,5209102
2000-02-28,44.25,44.25,42.56,42.69,5844621
2000-02-29,43.25,43.31,41.19,41.63,4875302
2000-03-01,41.88,42.19,41.06,41.59,6130681
2000-03-02,41.5,41.81,41.13,41.38,3418396
2000-03-03,41.38,43.19,41.31,42.69,5297008
2000-03-06,42.88,43.63,41.5,41.94,4476894
2000-03-07,42.0,42.44,40.63,41.13,4395417
2000-03-08,41.13,42.63,40.25,42.56,4986887
2000-03-09,42.06,42.19,40.81,41.63,3761171
2000-03-10,40.81,41.81,40.63,41.06,3830490
2000-03-13,40.56,42.63,40.5,42.56,3779758
2000-03-14,41.94,41.94,40.25,41.0,6227435
2000-03-15,41.0,44.06,40.88,44.06,9524825
2000-03-16,44.0,44.38,42.75,43.81,9314831
2000-03-17,44.44,46.0,44.25,44.63,7679376
2000-03-20,44.06,44.25,43.13,43.75,4907320
2000-03-21,43.06,45.94,42.75,45.81,5762699
2000-03-22,44.75,45.25,43.25,44.0,5892043
2000-03-23,43.81,45.25,43.69,44.5,7906174
2000-03-24,44.0,45.25,44.0,44.63,4064036
2000-03-27,44.19,45.06,43.94,44.19,3644876
2000-03-28,43.88,44.75,43.69,44.5,3293762
2000-03-29,44.69,45.75,44.69,44.81,3824507
2000-03-30,45.75,46.63,45.19,46.63,6263272
2000-03-31,46.56,46.69,45.69,45.94,3244621
2000-04-03,46.75,48.0,46.75,47.0,5916932
2000-04-04,48.75,49.81,46.69,49.06,8764799
2000-04-05,48.69,49.63,48.0,49.31,5010567
2000-04-06,49.88,50.31,49.63,49.94,5195290
2000-04-07,50.19,50.38,48.13,48.38,2851687
2000-04-10,49.75,52.0,49.5,51.06,6476321
2000-04-11,50.69,52.81,50.63,51.94,5240356
2000-04-12,52.94,54.69,52.81,53.63,6503692
2000-04-13,53.75,54.94,52.5,54.44,6497454
2000-04-14,55.0,56.0,50.25,52.25,12108339
2000-04-17,53.88,57.25,52.0,57.06,13683004
2000-04-18,56.0,56.13,54.38,55.38,6083641
2000-04-19,54.94,55.44,54.25,55.0,4113686
2000-04-20,55.0,55.13,54.75,55.13,4661044
2000-04-24,54.69,55.63,54.38,55.31,3536155
2000-04-25,55.38,55.44,54.69,55.0,3686824
2000-04-26,55.06,55.5,54.13,55.0,4501591
2000-04-27,54.81,55.13,53.5,55.13,5189052
2000-04-28,55.0,55.0,54.0,54.75,3631636
2000-05-01,54.94,54.94,53.5,54.06,3136028
2000-05-02,53.5,53.94,52.88,53.25,2866009
2000-05-03,53.0,53.38,52.19,53.06,3874857
2000-05-04,52.75,53.25,52.38,52.63,3778103
2000-05-05,52.5,54.0,52.44,52.88,3468619
2000-05-08,52.75,53.88,52.63,53.56,3067091
2000-05-09,53.56,54.0,52.94,53.06,4832336
2000-05-10,53.25,53.69,51.56,52.25,4197136
2000-05-11,52.69,53.63,52.5,52.94,2059516
2000-05-12,53.19,53.69,53.13,53.38,2684978
2000-05-15,53.31,53.31,51.75,52.38,4155761
2000-05-16,52.94,53.75,52.63,53.19,3484723
2000-05-17,52.81,52.81,52.0,52.38,3204901
2000-05-18,53.19,53.81,52.81,53.63,4467664
2000-05-19,52.94,54.63,52.94,53.44,4034882
2000-05-22,52.88,52.94,50.94,51.25,4833673
2000-05-23,51.25,51.38,50.44,51.38,3546085
2000-05-24,51.5,52.88,51.44,51.94,3424316
2000-05-25,51.81,51.81,50.0,50.69,3218460
2000-05-26,50.81,51.0,47.75,48.19,5863399
2000-05-30,48.94,49.25,48.0,49.06,3520051
2000-05-31,49.19,50.0,48.38,48.56,2535519
2000-06-01,48.38,49.75,47.63,49.5,5392362
2000-06-02,49.75,50.69,47.75,48.38,5069446
2000-06-05,48.75,51.56,48.69,50.88,4029472
2000-06-06,50.88,50.88,49.81,50.0,4038892
2000-06-07,50.0,50.0,49.0,49.44,2684850
2000-06-08,49.31,49.88,48.44,49.0,3375557
2000-06-09,49.44,49.88,48.94,49.88,2503947
2000-06-12,49.69,50.63,49.63,50.13,2213813
2000-06-13,49.63,50.44,49.38,49.94,1989752
2000-06-14,49.5,49.69,47.94,48.25,4684341
2000-06-15,48.0,48.13,45.75,46.0,5364036
2000-06-16,46.0,46.44,44.94,45.0,5296690
2000-06-19,45.06,45.75,44.5,44.63,3843730
2000-06-20,43.5,43.88,42.56,43.0,5633164
2000-06-21,42.5,43.94,42.5,43.69,4467346
2000-06-22,44.19,44.25,43.56,43.69,2896626
2000-06-23,43.75,44.44,43.69,44.44,1532145
2000-06-26,44.44,44.88,42.56,42.88,3089624
2000-06-27,43.06,44.31,42.56,42.88,4433291
2000-06-28,42.88,44.0,42.88,44.0,3104838
2000-06-29,42.0,44.0,42.0,43.25,4087842
2000-06-30,42.69,43.56,42.56,43.0,4355188
2000-07-03,43.13,44.25,43.13,43.94,1591598
2000-07-05,43.63,45.5,43.56,44.81,4467537
2000-07-06,45.25,47.19,45.13,46.31,5563526
2000-07-07,46.25,46.5,45.69,46.25,3366582
2000-07-10,46.88,47.13,46.25,46.75,2573520
2000-07-11,46.75,47.94,46.75,47.81,2804519
2000-07-12,47.69,48.38,47.0,48.31,2977976
2000-07-13,48.13,48.31,47.56,48.19,2762763
2000-07-14,48.19,48.25,47.25,47.5,2636283
2000-07-17,47.5,47.5,45.75,46.34,3118205
2000-07-18,46.63,47.5,45.88,46.94,3332081
2000-07-19,46.81,48.63,46.81,47.44,4150414
2000-07-20,47.56,48.0,47.25,47.38,2741630
2000-07-21,47.5,47.81,47.25,47.38,3118205
2000-07-24,46.88,47.31,46.25,46.81,5293444
2000-07-25,46.88,47.88,46.88,47.31,3193762
2000-07-26,47.31,47.31,46.06,46.75,6506620
2000-07-27,46.81,47.19,46.38,47.0,3948186
2000-07-28,46.56,46.69,45.94,46.13,2412603
2000-07-31,46.06,46.75,46.0,46.56,3448122
2000-08-01,46.63,46.88,46.56,46.88,4003628
2000-08-02,47.0,47.0,45.81,46.56,2448886
2000-08-03,26.5,29.5,26.5,29.25,2911012
2000-08-04,29.25,30.0,28.62,29.12,3573300
2000-08-07,28.75,29.19,28.25,29.19,2227500
2000-08-08,29.19,29.56,29.0,29.5,2360400
2000-08-09,29.81,29.88,29.25,29.5,11234400
2000-08-10,29.5,29.5,28.69,29.5,8441500
2000-08-11,29.44,29.5,28.81,29.13,5898500
2000-08-14,29.25,29.44,28.94,29.0,7885100
2000-08-15,29.06,29.06,28.25,28.44,12569900
2000-08-16,28.5,28.88,28.13,28.31,8555500
2000-08-17,27.88,27.94,26.94,27.06,8040300
2000-08-18,27.31,27.75,27.31,27.75,6111000
