,open,high,low,close,volume
2000-01-03,22.44,22.5,21.88,22.06,532500
2000-01-04,22.0,22.38,21.88,22.06,887800
2000-01-05,22.13,23.0,22.13,22.94,532000
2000-01-06,22.88,23.06,22.81,22.94,359000
2000-01-07,22.94,23.19,22.88,23.06,378100
2000-01-10,23.06,23.38,22.94,23.13,407000
2000-01-11,23.0,23.38,23.0,23.38,479900
2000-01-12,23.13,23.5,23.13,23.44,935600
2000-01-13,23.56,23.56,23.38,23.38,581400
2000-01-14,23.56,23.56,23.19,23.25,835800
2000-01-18,23.13,23.25,22.81,22.88,561300
2000-01-19,22.81,23.0,22.5,22.81,638200
2000-01-20,22.75,22.88,22.56,22.75,410400
2000-01-21,22.75,23.0,22.56,23.0,819800
2000-01-24,23.0,23.38,22.94,23.13,556700
2000-01-25,23.06,23.31,22.69,22.81,673400
2000-01-26,22.81,23.31,22.81,23.13,1349700
2000-01-27,23.13,23.25,23.0,23.13,808900
2000-01-28,23.13,23.19,22.5,22.69,909000
2000-01-31,22.75,23.06,22.69,22.75,523000
2000-02-01,22.81,23.13,22.75,22.94,289500
2000-02-02,22.88,23.13,22.81,22.88,3666600
2000-02-03,22.75,23.13,22.69,22.88,618100
2000-02-04,22.94,22.94,22.19,22.31,688000
2000-02-07,22.13,22.25,22.0,22.0,311400
2000-02-08,22.0,22.31,22.0,22.13,202500
2000-02-09,22.13,22.38,22.13,22.31,523800
2000-02-10,22.31,22.38,21.88,22.0,439900
2000-02-11,22.0,22.19,21.56,21.69,940600
2000-02-14,21.69,21.75,21.5,21.63,625700
2000-02-15,21.63,21.94,21.56,21.63,392500
2000-02-16,21.63,21.88,21.44,21.69,460400
2000-02-17,21.56,21.63,21.0,21.0,910200
2000-02-18,20.88,20.94,20.44,20.44,1194200
2000-02-22,20.44,20.5,19.88,20.06,714900
2000-02-23,20.0,20.31,20.0,20.13,503600
2000-02-24,20.13,20.13,19.38,19.56,398500
2000-02-25,19.25,19.5,18.88,19.0,1887500
2000-02-28,19.0,19.31,18.94,19.19,877100
2000-02-29,19.13,19.31,18.5,18.5,822800
2000-03-01,19.75,19.75,18.88,19.0,880200
2000-03-02,19.19,19.25,18.81,18.94,534300
2000-03-03,18.88,19.5,18.88,19.19,820100
2000-03-06,19.06,19.31,18.38,18.5,1076700
2000-03-07,18.5,18.5,18.13,18.19,712500
2000-03-08,18.0,18.38,18.0,18.19,605300
2000-03-09,18.19,18.5,18.0,18.5,392100
2000-03-10,18.5,18.5,18.19,18.31,264600
2000-03-13,18.19,18.38,18.0,18.19,384900
2000-03-14,18.19,18.5,18.13,18.38,535700
2000-03-15,18.31,19.38,18.31,19.06,614400
2000-03-16,18.94,20.31,18.94,20.13,491300
2000-03-17,20.13,20.13,19.5,19.5,812400
2000-03-20,19.56,19.75,19.38,19.56,575300
2000-03-21,19.56,20.13,19.56,19.81,543800
2000-03-22,19.75,19.81,19.25,19.5,797400
2000-03-23,19.31,19.88,19.19,19.5,524400
2000-03-24,19.5,20.0,19.44,19.94,546000
2000-03-27,20.0,20.25,19.94,20.06,319300
2000-03-28,19.81,20.06,19.63,19.81,495200
2000-03-29,19.75,20.25,19.69,20.13,499700
2000-03-30,20.38,20.69,20.25,20.56,449000
2000-03-31,20.38,20.88,20.19,20.63,563100
2000-04-03,20.63,21.06,20.56,21.06,676400
2000-04-04,21.0,21.69,21.0,21.44,495500
2000-04-05,21.56,22.19,21.44,22.0,765000
2000-04-06,22.06,22.19,21.63,21.88,809900
2000-04-07,21.88,21.94,21.5,21.63,568600
2000-04-10,21.63,22.06,21.56,21.81,974500
2000-04-11,21.69,22.25,21.69,22.25,750800
2000-04-12,22.5,23.25,22.38,23.0,750700
2000-04-13,23.13,24.5,23.0,24.38,761000
2000-04-14,24.13,25.0,24.0,24.19,1194700
2000-04-17,24.0,24.88,23.88,24.81,1449800
2000-04-18,25.0,25.63,25.0,25.19,705800
2000-04-19,25.19,25.19,24.13,24.69,391400
2000-04-20,24.75,24.81,24.19,24.44,568900
2000-04-24,24.5,25.75,24.38,25.75,939500
2000-04-25,25.75,26.31,25.56,26.19,867900
2000-04-26,25.88,26.88,25.88,26.75,427400
2000-04-27,26.56,26.56,25.63,25.81,727800
2000-04-28,25.94,25.94,25.19,25.44,455900
2000-05-01,25.5,25.69,25.19,25.25,503300
2000-05-02,25.06,25.13,24.5,25.06,1164100
2000-05-03,24.44,24.75,24.13,24.5,1272700
2000-05-04,24.5,24.81,23.75,24.38,988300
2000-05-05,24.31,24.31,23.81,23.94,409600
2000-05-08,24.06,25.0,23.75,24.44,693500
2000-05-09,24.38,24.56,24.19,24.38,444700
