,open,high,low,close,volume
2000-01-03,52.12,52.12,49.0,49.06,962800
2000-01-04,51.0,51.81,50.38,51.13,1324800
2000-01-05,52.0,55.25,51.88,55.0,1737400
2000-01-06,54.63,55.56,54.0,54.81,1448500
2000-01-07,55.25,57.56,55.19,56.25,1136700
2000-01-10,56.63,57.25,55.25,55.75,1218800
2000-01-11,55.5,55.56,54.63,55.0,399200
2000-01-12,54.38,54.56,52.75,53.0,1352400
2000-01-13,54.0,54.38,52.13,53.0,616500
2000-01-14,53.5,54.38,52.06,53.38,635100
2000-01-18,51.63,53.19,51.5,51.81,923000
2000-01-19,51.25,51.63,50.13,50.75,674400
2000-01-20,50.5,50.56,48.69,49.32,913600
2000-01-21,49.63,49.75,49.25,49.38,870200
2000-01-24,49.63,50.0,45.75,46.44,840800
2000-01-25,46.44,47.38,45.38,47.06,1225000
2000-01-26,47.31,47.81,45.69,46.94,1419300
2000-01-27,48.94,49.0,46.81,47.0,1052700
2000-01-28,47.25,48.0,46.63,47.25,1147300
2000-01-31,47.13,47.31,46.0,47.13,404400
2000-02-01,47.25,48.44,46.44,48.31,566800
2000-02-02,49.13,49.44,47.44,47.5,759900
2000-02-03,48.25,48.38,45.88,46.25,885200
2000-02-04,45.56,47.25,45.5,45.56,1124000
2000-02-07,46.06,46.13,42.25,44.5,2692900
2000-02-08,44.13,44.63,42.69,43.0,2071700
2000-02-09,42.5,42.5,40.94,41.75,1656900
2000-02-10,41.81,43.25,41.69,42.19,603600
2000-02-11,42.13,42.19,41.44,41.44,777000
2000-02-14,42.0,42.06,41.0,41.56,571500
2000-02-15,41.56,42.0,40.88,41.31,1165000
2000-02-16,42.0,42.31,41.25,41.69,650100
2000-02-17,41.63,43.38,41.44,43.13,1006500
2000-02-18,43.25,43.31,41.44,41.88,949900
2000-02-22,42.0,43.5,41.88,43.0,504000
2000-02-23,43.25,43.5,42.56,43.13,559200
2000-02-24,43.0,43.06,41.56,42.25,1318200
2000-02-25,42.19,43.44,42.13,42.94,495800
2000-02-28,43.19,43.44,42.38,43.06,367700
2000-02-29,43.0,43.94,42.75,43.25,578900
2000-03-01,43.25,43.25,42.19,42.38,752400
2000-03-02,42.25,42.31,40.81,41.13,863600
2000-03-03,41.13,41.13,38.75,38.88,1989300
2000-03-06,39.0,39.75,37.75,37.81,1386200
2000-03-07,37.0,37.56,36.25,37.0,889300
2000-03-08,37.63,39.69,37.38,37.5,2240600
2000-03-09,37.06,40.13,36.75,39.81,1137900
2000-03-10,39.88,40.0,37.25,39.31,1147800
2000-03-13,38.5,39.19,38.25,39.06,761600
2000-03-14,39.25,40.38,39.25,40.13,1138300
2000-03-15,41.13,45.0,40.69,43.38,1296600
2000-03-16,44.75,45.19,43.06,45.13,1436600
2000-03-17,45.13,46.63,45.06,45.75,1308000
2000-03-20,45.63,46.25,45.25,46.06,908100
2000-03-21,46.0,46.75,45.63,46.5,902900
2000-03-22,46.13,46.5,45.25,45.94,850900
2000-03-23,45.88,46.88,44.94,46.44,414500
2000-03-24,46.44,48.94,46.0,48.25,761600
2000-03-27,48.0,48.25,47.5,47.81,533100
2000-03-28,47.0,48.5,47.0,47.13,380300
2000-03-29,47.38,47.44,46.38,47.06,327500
2000-03-30,47.31,48.88,47.31,48.31,528600
2000-03-31,48.44,51.44,48.19,49.75,1085400
2000-04-03,50.0,51.25,49.06,50.88,680300
2000-04-04,50.69,53.88,50.25,51.94,1467900
2000-04-05,51.38,51.38,50.31,50.88,920200
2000-04-06,50.88,51.88,50.19,51.13,573700
2000-04-07,51.0,51.63,50.5,50.75,599800
2000-04-10,50.5,51.0,49.88,50.75,474100
2000-04-11,49.0,51.38,49.0,51.19,924400
2000-04-12,51.13,53.13,51.13,52.31,999800
2000-04-13,52.31,53.94,51.44,52.75,853700
2000-04-14,52.38,52.38,50.75,51.38,822200
2000-04-17,50.0,50.75,48.81,50.44,790100
2000-04-18,48.5,51.5,48.0,50.25,606900
2000-04-19,50.44,53.38,50.38,52.0,681800
2000-04-20,54.0,57.13,53.56,53.56,2007300
2000-04-24,53.31,58.13,53.31,58.0,1868600
2000-04-25,58.0,59.94,56.94,59.31,1885600
2000-04-26,59.25,59.63,56.13,56.88,2051300
2000-04-27,55.19,59.38,55.19,59.38,1940300
2000-04-28,58.75,58.94,57.44,58.5,1018200
2000-05-01,57.06,59.0,56.38,58.94,1691900
2000-05-02,57.81,58.31,57.0,57.19,668600
2000-05-03,56.94,57.13,55.63,55.81,450900
2000-05-04,55.5,56.63,54.88,55.81,655200
2000-05-05,55.69,57.81,55.31,57.0,326200
2000-05-08,56.75,57.06,55.88,56.06,346200
2000-05-09,56.0,57.81,55.38,57.5,646900
2000-05-10,56.63,57.88,55.5,55.75,615600
2000-05-11,56.0,57.19,55.94,56.5,283300
2000-05-12,55.81,57.75,55.81,56.44,455500
2000-05-15,56.19,57.44,56.19,56.94,840500
2000-05-16,56.94,57.94,56.13,56.25,943500
2000-05-17,54.63,55.56,54.56,54.63,975300
2000-05-18,54.81,56.56,54.81,55.69,799200
2000-05-19,55.5,57.0,55.44,56.81,821700
2000-05-22,56.56,57.13,55.63,56.19,624200
2000-05-23,55.94,57.38,55.94,56.94,455900
2000-05-24,57.19,60.0,57.13,58.31,1012900
2000-05-25,58.13,58.63,57.13,57.13,539100
2000-05-26,57.38,57.88,56.44,56.44,288200
2000-05-30,56.38,58.38,56.38,58.13,457100
2000-05-31,58.5,59.38,58.5,59.06,569900
2000-06-01,58.81,60.38,58.38,60.38,881400
2000-06-02,60.88,61.19,58.0,58.63,652100
2000-06-05,58.25,58.25,57.06,57.38,462500
2000-06-06,57.56,58.25,57.5,57.88,368300
2000-06-07,57.88,58.88,57.06,57.44,354000
2000-06-08,57.25,57.25,55.0,55.44,955200
2000-06-09,55.25,56.31,54.63,55.19,793500
2000-06-12,55.38,55.75,54.88,55.19,550800
2000-06-13,55.06,55.19,53.88,54.13,543900
2000-06-14,54.63,56.31,54.5,55.38,451500
2000-06-15,55.13,56.94,55.0,56.25,370300
2000-06-16,57.19,57.19,55.0,55.03,603700
2000-06-19,54.81,55.38,53.75,53.75,924900
2000-06-20,53.81,54.63,52.75,54.0,897800
2000-06-21,53.63,54.19,52.56,53.13,593000
2000-06-22,53.31,53.75,51.94,52.56,444500
2000-06-23,53.5,54.75,52.75,54.19,667600
2000-06-26,54.13,55.25,54.06,54.13,356100
2000-06-27,54.88,55.25,54.38,54.44,913900
2000-06-28,54.38,54.38,53.0,53.48,660500
2000-06-29,52.25,53.88,52.0,52.81,958800
2000-06-30,52.44,52.75,52.0,52.25,771700
2000-07-03,52.38,52.63,52.06,52.44,174400
2000-07-05,52.25,53.0,52.06,52.5,761300
2000-07-06,52.5,53.0,52.13,52.19,414400
2000-07-07,52.5,52.81,52.25,52.56,525800
2000-07-10,52.81,53.28,52.56,52.63,411400
2000-07-11,52.38,53.44,51.88,53.25,486000
2000-07-12,52.69,53.81,52.13,53.81,371900
2000-07-13,53.94,53.94,53.19,53.44,427500
2000-07-14,53.56,53.75,53.13,53.63,485300
2000-07-17,53.63,54.81,53.44,54.38,530300
