Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.4375,24.875,24.1875,24.8125,12.191975593566895,150500
2000-01-03,24.875,24.875,23.6875,24.0625,11.823460578918457,602300
2000-01-04,24.0,24.0625,23.5625,23.8125,11.700616836547852,397200
2000-01-05,23.8125,24.0,23.6875,23.6875,11.639191627502441,234900
2000-01-06,23.6875,24.0,23.5,23.6875,11.639191627502441,298400
2000-01-07,23.9375,25.375,23.9375,25.25,12.406947135925293,512400
2000-01-10,25.125,25.1875,24.25,24.9375,12.25339412689209,486800
2000-01-11,25.3125,25.375,24.375,24.5625,12.069143295288086,649500
2000-01-12,24.75,25.5,24.125,24.375,11.977004051208496,1105000
2000-01-13,24.4375,25.5625,24.125,24.9375,12.25339412689209,561900
2000-01-14,24.375,25.375,24.1875,24.75,12.161272048950195,510000
2000-01-18,24.875,25.1875,24.5625,24.8125,12.191975593566895,308400
2000-01-19,24.9375,25.5,24.6875,25.0625,12.314820289611816,321600
2000-01-20,25.125,25.125,24.0,24.3125,11.946293830871582,309400
2000-01-21,24.625,24.625,24.0625,24.1875,11.884879112243652,450800
2000-01-24,24.4375,24.75,24.0625,24.0625,11.823460578918457,250800
2000-01-25,24.125,24.625,23.625,23.6875,11.639191627502441,748600
2000-01-26,23.6875,23.6875,23.0,23.1875,11.393511772155762,849200
2000-01-27,23.3125,23.5,23.0,23.0,11.301377296447754,435400
2000-01-28,23.0625,23.25,22.6875,22.75,11.178542137145996,519100
2000-01-31,22.875,24.8125,22.8125,24.125,11.854166030883789,659400
2000-02-01,24.0,24.0625,22.75,23.0625,11.332086563110352,452300
2000-02-02,23.0625,23.25,22.8125,23.0,11.301377296447754,507000
2000-02-03,23.0,23.625,22.75,23.125,11.362801551818848,331000
2000-02-04,23.0625,23.3125,22.5,22.75,11.178542137145996,316800
2000-02-07,22.75,23.3125,22.5,22.9375,11.270670890808105,286700
2000-02-08,22.875,23.3125,22.75,22.75,11.178542137145996,352300
2000-02-09,22.75,22.9375,22.375,22.5,11.055694580078125,344900
2000-02-10,22.5,22.75,21.5625,22.125,10.87143611907959,523700
2000-02-11,22.125,22.5,21.375,21.625,10.625752449035645,439900
2000-02-14,21.6875,22.375,21.625,22.0625,10.840726852416992,425600
2000-02-15,22.1875,22.4375,21.8125,22.4375,11.024988174438477,363200
2000-02-16,22.375,22.625,22.25,22.3125,10.963566780090332,285200
2000-02-17,22.375,22.4375,22.25,22.3125,10.963566780090332,425800
2000-02-18,22.3125,22.4375,22.1875,22.375,10.994277000427246,582200
2000-02-22,22.5,22.6875,22.25,22.6875,11.147826194763184,409600
2000-02-23,22.4375,22.625,21.9375,22.0625,10.840726852416992,509900
2000-02-24,22.0625,22.125,21.5,21.8125,10.717883110046387,895500
2000-02-25,22.0,22.125,21.4375,21.75,10.687178611755371,449500
2000-02-28,22.0,22.25,21.5,22.0625,10.840726852416992,392200
2000-02-29,22.3125,22.6875,21.5625,22.5625,11.086405754089355,435100
2000-03-01,22.25,22.3125,21.25,21.9375,10.912311553955078,457500
2000-03-02,22.0,22.0625,21.3125,21.8125,10.850127220153809,562900
2000-03-03,21.625,22.0625,21.375,21.875,10.881217002868652,354100
2000-03-06,21.625,21.875,21.0,21.3125,10.601420402526855,569500
2000-03-07,21.0625,21.0625,20.125,20.3125,10.103988647460938,426200
2000-03-08,20.0625,20.9375,19.9375,20.75,10.321614265441895,505800
2000-03-09,20.75,20.75,20.5625,20.5625,10.228352546691895,415800
2000-03-10,20.5,20.9375,20.5,20.6875,10.29052734375,492500
2000-03-13,20.5,21.5,20.4375,21.0625,10.477057456970215,536500
2000-03-14,21.0,21.0625,20.25,20.375,10.135080337524414,801300
2000-03-15,20.625,22.1875,20.5625,22.0,10.94339656829834,582300
2000-03-16,22.25,23.875,22.0625,23.375,11.627363204956055,744100
2000-03-17,24.125,24.125,23.1875,23.75,11.813899040222168,857400
2000-03-20,23.75,23.75,23.0625,23.3125,11.596273422241211,333500
2000-03-21,23.5,23.5625,23.0625,23.5,11.68954086303711,382500
2000-03-22,23.5,23.75,23.125,23.390625,11.6351318359375,476900
2000-03-23,23.5,24.25,23.3125,23.671875,11.775033950805664,359600
2000-03-24,23.5,23.5625,23.1875,23.25,11.565174102783203,788300
2000-03-27,23.1875,23.75,23.125,23.5,11.68954086303711,352300
2000-03-28,23.1875,23.625,23.125,23.25,11.565174102783203,337900
2000-03-29,23.125,23.4375,23.0625,23.25,11.565174102783203,400700
2000-03-30,23.25,23.75,23.0625,23.5625,11.72062873840332,317000
2000-03-31,23.3125,23.9375,23.25,23.875,11.87607192993164,341900
2000-04-03,23.875,24.3125,23.5625,24.1875,12.031523704528809,368400
2000-04-04,24.75,24.8125,23.3125,24.3125,12.093696594238281,504700
2000-04-05,24.5,24.5,24.0625,24.3125,12.093696594238281,357200
2000-04-06,24.5625,24.75,24.0,24.5,12.186965942382812,267200
2000-04-07,24.125,24.8125,23.9375,24.0,11.938254356384277,264100
2000-04-10,24.25,24.75,23.9375,24.25,12.062609672546387,233100
2000-04-11,24.375,25.25,24.0,25.125,12.497852325439453,468300
2000-04-12,25.0,25.5,24.125,24.6875,12.280235290527344,715300
2000-04-13,24.625,25.1875,24.5,24.5625,12.218061447143555,535200
2000-04-14,24.3125,24.75,23.75,23.9375,11.907161712646484,644700
2000-04-17,24.0,24.75,23.9375,24.5625,12.218061447143555,582100
2000-04-18,24.5625,24.75,24.125,24.75,12.311326026916504,250700
2000-04-19,24.5625,25.0,24.25,24.6875,12.280235290527344,342100
2000-04-20,25.0,25.0625,24.6875,24.75,12.311326026916504,321200
2000-04-24,25.0,25.4375,24.75,25.25,12.560033798217773,241100
2000-04-25,25.125,26.3125,25.125,26.25,13.057461738586426,414500
2000-04-26,26.125,26.5,25.9375,26.3125,13.088553428649902,499200
2000-04-27,26.4375,26.4375,26.0,26.0625,12.964189529418945,533500
2000-04-28,26.0625,26.4375,25.9375,26.25,13.057461738586426,500600
2000-05-01,26.0625,26.6875,26.0,26.4375,13.150732040405273,278700
2000-05-02,26.4375,26.625,26.1875,26.25,13.057461738586426,230000
2000-05-03,26.3125,26.375,25.9375,26.0625,12.964189529418945,364500
2000-05-04,26.25,26.625,25.875,26.0,12.933106422424316,333900
2000-05-05,26.125,26.25,25.5625,25.5625,12.715482711791992,280500
2000-05-08,25.625,26.25,25.375,25.9375,12.902019500732422,180100
2000-05-09,26.1875,26.1875,25.25,25.75,12.808752059936523,211100
2000-05-10,25.5,26.0,25.0,25.4375,12.653306007385254,232600
2000-05-11,25.375,25.8125,25.375,25.5,12.684395790100098,270700
2000-05-12,25.5,25.75,25.0625,25.625,12.746567726135254,403900
2000-05-15,25.4375,25.6875,25.3125,25.4375,12.653306007385254,191900
2000-05-16,25.1875,26.25,25.1875,25.9375,12.902019500732422,240100
2000-05-17,25.6875,25.6875,25.0625,25.3125,12.591118812561035,235500
2000-05-18,25.25,25.6875,25.0,25.125,12.497852325439453,494800
2000-05-19,24.875,25.1875,24.75,25.125,12.497852325439453,465600
2000-05-22,25.1875,25.5,25.0,25.0625,12.46677017211914,293100
2000-05-23,25.0625,25.3125,25.0,25.0,12.435684204101562,229900
2000-05-24,25.25,25.8125,25.125,25.4375,12.653306007385254,437700
2000-05-25,25.1875,25.3125,24.75,25.125,12.497852325439453,376800
2000-05-26,24.875,25.0,24.125,24.3125,12.093696594238281,404300
2000-05-30,24.3125,24.8125,24.3125,24.625,12.249143600463867,375900
2000-05-31,24.75,24.75,23.875,23.875,11.87607192993164,705300
2000-06-01,23.875,24.3125,23.875,24.25,12.062609672546387,512200
2000-06-02,24.375,24.5625,24.125,24.25,12.062609672546387,396100
2000-06-05,24.125,24.625,24.0625,24.1875,12.031523704528809,331900
2000-06-06,23.8125,24.25,23.3125,23.8125,11.844987869262695,759400
2000-06-07,23.5,23.625,23.0625,23.1875,11.668850898742676,371200
2000-06-08,23.125,23.4375,23.0,23.125,11.63740062713623,582500
2000-06-09,23.0,23.25,22.875,23.0,11.574494361877441,310200
2000-06-12,23.0,23.1875,22.8125,22.9375,11.543041229248047,300700
2000-06-13,22.75,23.25,22.75,23.125,11.63740062713623,291700
2000-06-14,23.1875,23.6875,23.0,23.1875,11.668850898742676,286000
2000-06-15,22.9375,23.25,22.6875,22.75,11.448684692382812,370100
2000-06-16,22.75,22.8125,21.875,22.125,11.134160995483398,641600
2000-06-19,22.0,22.0625,21.5625,21.625,10.882543563842773,490800
2000-06-20,21.625,21.6875,21.125,21.375,10.756729125976562,433900
2000-06-21,21.5,21.6875,21.0625,21.3125,10.725279808044434,386900
2000-06-22,21.25,21.375,21.0,21.125,10.630919456481934,426700
2000-06-23,21.375,21.4375,21.0,21.1875,10.662375450134277,387000
2000-06-26,21.0,21.5,20.6875,21.0,10.568016052246094,353200
2000-06-27,20.875,21.4375,20.5625,21.1875,10.662375450134277,359500
2000-06-28,21.0625,21.5,20.9375,21.078125,10.60733413696289,1103400
2000-06-29,20.8125,21.125,20.5,20.75,10.442211151123047,807600
2000-06-30,20.8125,21.1875,19.984375,20.0,10.064773559570312,1061100
2000-07-03,20.25,21.25,20.25,21.0,10.568016052246094,386100
2000-07-05,20.75,21.1875,20.75,21.0625,10.599471092224121,1033400
2000-07-06,21.0625,21.375,20.5,21.0625,10.599471092224121,384000
2000-07-07,21.375,21.875,21.125,21.4375,10.788189888000488,1045200
2000-07-10,21.5,21.8125,21.3125,21.625,10.882543563842773,661200
2000-07-11,21.5625,22.1875,21.4375,21.9375,11.03980827331543,878100
2000-07-12,21.5625,22.0625,21.5,21.8125,10.976898193359375,229300
2000-07-13,21.75,21.9375,21.4375,21.8125,10.976898193359375,247700
2000-07-14,21.875,22.0,21.6875,21.875,11.008349418640137,197900
2000-07-17,21.5,21.5625,21.25,21.4375,10.788189888000488,370300
2000-07-18,21.25,21.5625,21.0,21.25,10.693828582763672,454800
2000-07-19,21.3125,21.34375,20.875,20.875,10.50511360168457,290500
2000-07-20,20.8125,21.0625,20.6875,20.8125,10.473658561706543,301800
2000-07-21,20.75,20.9375,20.5625,20.625,10.379302024841309,567400
2000-07-24,20.875,21.375,20.875,21.0625,10.599471092224121,315000
2000-07-25,21.4375,21.5,20.625,20.75,10.442211151123047,703300
2000-07-26,20.625,21.0625,20.625,20.8125,10.473658561706543,477100
2000-07-27,20.5625,20.875,20.375,20.5,10.316396713256836,717700
2000-07-28,20.25,20.5,20.0625,20.125,10.127684593200684,345900
2000-07-31,20.5625,20.625,20.0,20.0625,10.096229553222656,674800
2000-08-01,20.25,20.5,20.0625,20.3125,10.222038269042969,433500
2000-08-02,20.5,20.5625,20.25,20.5,10.316396713256836,424100
2000-08-03,20.5,20.75,20.3125,20.3125,10.222038269042969,557300
2000-08-04,20.25,20.75,20.1875,20.5,10.316396713256836,543100
2000-08-07,20.6875,20.6875,20.375,20.5625,10.347853660583496,472500
2000-08-08,20.6875,21.125,20.5625,20.9375,10.536559104919434,461400
2000-08-09,20.8125,21.0,20.75,20.8125,10.473658561706543,289100
2000-08-10,20.9375,21.1875,20.875,21.0,10.568016052246094,342900
2000-08-11,21.0625,21.8125,21.0625,21.5625,10.851091384887695,556200
2000-08-14,21.6875,21.9375,21.5,21.8125,10.976898193359375,573500
2000-08-15,21.75,21.8125,21.25,21.375,10.756729125976562,252400
2000-08-16,21.375,21.4375,20.8125,21.375,10.756729125976562,344500
2000-08-17,21.125,21.5,21.0625,21.4375,10.788189888000488,201700
2000-08-18,21.25,21.5,21.0625,21.1875,10.662375450134277,324500
2000-08-21,21.3125,21.5,21.0625,21.375,10.756729125976562,310400
2000-08-22,21.5625,21.6875,21.0,21.5,10.819634437561035,699700
2000-08-23,21.4375,21.4375,20.75,20.875,10.50511360168457,434400
2000-08-24,20.9375,21.25,20.9375,21.0,10.568016052246094,251000
2000-08-25,21.0,21.125,20.8125,20.875,10.50511360168457,585500
2000-08-28,20.875,21.0,20.75,20.8125,10.473658561706543,448300
2000-08-29,20.75,20.875,20.5,20.625,10.379302024841309,495500
2000-08-30,20.625,20.75,20.5,20.5625,10.347853660583496,390600
2000-08-31,20.625,20.75,20.5,20.5625,10.347853660583496,416900
2000-09-01,20.5625,20.75,20.3125,20.375,10.253490447998047,255800
2000-09-05,20.75,21.0,20.6875,20.875,10.50511360168457,888100
2000-09-06,20.8125,21.0625,20.75,21.0,10.709094047546387,636600
2000-09-07,21.1875,21.25,20.875,20.9375,10.67721939086914,327700
2000-09-08,21.0,21.125,20.5,20.6875,10.549729347229004,355900
2000-09-11,20.8125,21.0625,20.5625,20.9375,10.67721939086914,396100
2000-09-12,20.9375,21.125,20.5625,20.8125,10.613478660583496,410900
2000-09-13,20.5625,21.0625,20.4375,20.5625,10.485992431640625,414600
2000-09-14,20.4375,20.4375,20.0625,20.1875,10.294757843017578,501700
2000-09-15,20.375,20.4375,19.875,19.9375,10.167263984680176,875400
2000-09-18,19.875,19.875,19.5625,19.6875,10.039776802062988,727800
2000-09-19,19.5625,19.625,18.9375,19.25,9.816670417785645,703100
2000-09-20,19.125,19.25,18.875,18.9375,9.65730094909668,419300
2000-09-21,18.25,19.125,18.25,19.0625,9.721050262451172,849800
2000-09-22,19.125,19.1875,18.75,18.9375,9.65730094909668,484600
2000-09-25,18.9375,19.4375,18.6875,18.8125,9.593564987182617,413800
