,open,high,low,close,volume
2000-12-08,15.81,22.88,15.13,20.0,8574900
2000-12-11,22.69,22.75,19.88,21.19,1459600
2000-12-12,21.22,21.25,19.38,19.88,538700
2000-12-13,20.75,20.88,19.75,19.88,211200
2000-12-14,19.98,20.25,19.88,20.13,132700
2000-12-15,20.25,20.25,18.0,20.13,475100
2000-12-18,20.5,20.5,19.44,20.06,241800
2000-12-19,20.05,20.06,19.25,19.63,228700
2000-12-20,19.38,19.63,18.0,18.25,614400
2000-12-21,18.06,18.5,17.75,18.19,508700
2000-12-22,18.63,19.38,18.5,19.25,208000
2000-12-26,19.31,19.38,18.88,19.0,377000
2000-12-27,18.91,19.13,18.25,18.56,180700
2000-12-28,18.63,19.38,18.31,18.63,524300
2000-12-29,19.0,20.13,18.75,19.75,116400
2001-01-02,20.17,20.25,18.69,19.25,165200
2001-01-03,18.78,19.38,17.5,17.63,272700
2001-01-04,17.94,19.0,17.63,18.06,143800
2001-01-05,18.11,18.5,17.75,18.13,481000
2001-01-08,18.0,18.19,17.5,17.5,315500
2001-01-09,17.91,18.0,17.0,17.25,410900
2001-01-10,17.19,17.25,16.75,17.0,488400
2001-01-11,17.03,18.5,17.0,18.19,678500
2001-01-12,18.59,19.25,18.5,19.13,283100
2001-01-16,19.63,20.5,18.88,19.0,331600
2001-01-17,19.11,19.88,18.88,19.38,243000
2001-01-18,19.48,19.5,18.5,19.0,146400
2001-01-19,19.06,19.25,18.25,18.38,127100
2001-01-22,18.63,18.63,17.63,17.88,382300
2001-01-23,18.25,18.38,17.88,17.88,221300
2001-01-24,17.89,18.0,16.94,17.0,598600
2001-01-25,17.25,18.0,16.25,17.88,492900
2001-01-26,17.5,19.38,17.38,18.63,124500
2001-01-29,18.98,20.0,18.63,19.94,103300
2001-01-30,19.94,20.06,18.94,20.06,94400
2001-01-31,19.77,20.06,19.38,19.44,42100
2001-02-01,19.38,20.06,19.38,19.88,50300
2001-02-02,20.06,21.75,20.0,21.63,238600
2001-02-05,22.06,24.38,21.75,23.88,281200
2001-02-06,24.23,25.69,23.88,24.75,292800
2001-02-07,24.13,25.0,23.88,24.38,94700
2001-02-08,24.27,25.38,24.25,25.13,225700
2001-02-09,25.06,25.19,24.0,24.0,365100
2001-02-12,24.25,24.38,23.5,23.5,1181100
2001-02-13,23.81,24.63,23.38,24.38,114300
2001-02-14,24.5,24.63,21.38,22.25,681800
2001-02-15,22.75,23.0,20.75,21.25,179700
2001-02-16,21.19,22.38,20.13,21.38,132100
2001-02-20,22.0,22.0,19.13,19.63,195700
2001-02-21,19.27,20.13,18.88,19.63,98400
2001-02-22,19.61,19.63,18.56,18.56,98700
2001-02-23,18.5,20.56,18.38,20.5,61400
2001-02-26,20.5,21.5,20.45,21.22,59300
2001-02-27,21.5,22.0,21.38,22.0,135900
2001-02-28,22.13,22.13,21.81,21.88,71300
2001-03-01,21.75,21.88,18.88,20.0,116000
2001-03-02,20.19,20.25,19.25,20.13,83500
2001-03-05,20.5,21.13,20.19,20.88,55000
2001-03-06,21.0,21.38,20.0,20.0,128500
2001-03-07,20.72,20.88,20.06,20.63,87900
2001-03-08,20.75,20.75,19.5,19.88,68500
2001-03-09,19.97,20.5,19.5,19.63,70000
2001-03-12,19.25,19.63,18.13,18.13,127500
2001-03-13,18.38,19.0,18.19,18.88,114600
2001-03-14,18.5,20.25,18.25,19.81,92000
2001-03-15,19.94,20.5,19.88,20.25,28600
2001-03-16,20.38,20.38,19.69,19.69,37900
2001-03-19,19.69,19.75,18.88,19.38,60400
2001-03-20,19.5,20.5,19.13,19.13,154900
2001-03-21,19.13,20.13,19.13,19.94,37600
2001-03-22,20.11,20.13,19.25,19.63,63400
2001-03-23,20.0,20.63,19.63,20.0,169900
2001-03-26,20.0,20.63,19.88,20.25,245700
2001-03-27,19.88,20.25,19.75,19.75,115400
2001-03-28,19.63,19.88,18.0,18.75,86200
2001-03-29,18.75,19.13,18.13,19.06,64800
2001-03-30,19.0,20.0,19.0,19.88,48600
2001-04-02,19.38,20.0,19.38,19.75,62500
2001-04-03,20.0,20.13,18.5,18.5,112300
2001-04-04,18.88,20.25,18.38,20.06,95000
2001-04-05,20.25,20.38,19.94,20.25,54800
2001-04-06,20.13,20.13,19.0,19.13,69400
2001-04-09,18.92,18.92,17.95,18.25,400700
2001-04-10,18.65,18.75,18.45,18.55,244100
2001-04-11,18.9,18.9,18.26,18.32,173800
2001-04-12,18.21,18.5,18.1,18.1,60000
2001-04-16,18.1,18.44,17.9,18.05,74800
2001-04-17,18.16,18.5,18.16,18.4,40300
2001-04-18,18.55,19.0,17.8,18.0,299700
2001-04-19,18.08,18.14,18.0,18.0,129200
2001-04-20,18.5,18.62,18.19,18.56,195600
2001-04-23,18.5,18.5,18.35,18.47,75800
2001-04-24,18.3,18.5,18.26,18.4,67700
2001-04-25,18.34,18.6,18.13,18.2,183100
2001-04-26,18.16,18.75,18.15,18.65,175300
2001-04-27,18.75,20.05,18.7,20.05,478000
2001-04-30,20.75,23.05,19.39,21.0,653200
2001-05-01,21.0,21.7,21.0,21.54,196800
2001-05-02,21.65,22.0,20.91,21.0,377100
2001-05-03,21.0,21.2,20.9,21.06,256300
2001-05-04,21.08,22.14,21.0,21.85,94500
2001-05-07,22.0,22.0,21.53,21.8,38000
2001-05-08,22.15,23.09,21.9,23.02,122000
2001-05-09,23.05,23.5,23.0,23.41,54400
2001-05-10,23.75,24.6,23.69,24.47,153200
2001-05-11,24.46,24.7,23.8,23.9,224200
2001-05-14,23.9,23.9,22.8,22.8,139100
2001-05-15,23.0,23.85,22.61,23.55,187600
2001-05-16,23.88,23.89,22.7,23.08,105300
2001-05-17,23.4,24.79,23.0,24.68,174200
2001-05-18,24.7,24.7,24.0,24.26,167800
2001-05-21,24.11,24.11,23.45,23.65,91400
2001-05-22,23.51,23.9,22.9,23.0,168900
2001-05-23,23.0,23.41,22.93,22.93,48300
2001-05-24,23.1,23.3,23.0,23.3,226200
2001-05-25,23.3,23.3,22.95,23.07,171100
2001-05-29,23.05,23.2,22.01,22.05,365600
2001-05-30,21.74,21.8,19.9,20.3,323600
2001-05-31,19.75,20.13,19.16,20.01,415200
2001-06-01,19.95,20.1,19.82,20.01,285900
2001-06-04,19.92,20.08,19.25,19.88,308900
2001-06-05,19.63,21.8,19.63,20.85,662600
2001-06-06,20.86,22.4,20.65,21.31,845700
2001-06-07,21.48,22.45,21.12,22.1,187900
2001-06-08,22.56,22.93,22.15,22.6,218100
2001-06-11,22.51,22.6,21.8,21.96,137700
2001-06-12,22.06,22.29,21.9,22.15,106000
2001-06-13,22.37,22.65,21.75,22.0,148600
2001-06-14,22.1,22.2,21.9,22.0,89100
2001-06-15,21.9,22.59,21.9,22.55,77900
2001-06-18,22.55,22.6,22.2,22.25,42100
2001-06-19,22.41,22.55,21.91,22.25,105000
2001-06-20,22.2,22.5,22.0,22.45,92500
2001-06-21,22.3,22.35,21.9,22.08,81700
2001-06-22,22.11,22.57,22.06,22.5,197200
2001-06-25,22.45,22.67,22.4,22.41,136300
2001-06-26,22.54,22.54,22.35,22.35,105000
2001-06-27,22.35,23.0,22.3,22.99,158300
2001-06-28,23.0,23.3,22.65,22.99,155900
2001-06-29,23.02,23.25,22.6,22.85,141200
2001-07-02,23.11,23.25,23.0,23.16,77700
2001-07-03,23.24,23.3,23.0,23.16,37900
2001-07-05,23.16,23.3,23.05,23.2,77200
2001-07-06,23.15,23.41,23.15,23.34,181000
2001-07-09,23.26,23.32,23.2,23.3,90800
2001-07-10,23.3,23.45,23.2,23.36,173500
2001-07-11,23.15,23.35,22.4,22.41,90200
2001-07-12,22.46,22.75,22.46,22.75,155600
2001-07-13,22.75,22.85,22.65,22.75,72600
2001-07-16,22.8,22.9,22.45,22.6,26700
2001-07-17,22.9,22.9,22.45,22.63,50900
2001-07-18,22.65,22.67,22.38,22.4,59300
2001-07-19,22.4,22.95,22.35,22.7,90400
2001-07-20,22.66,22.9,22.66,22.85,44200
2001-07-23,22.76,22.9,22.6,22.7,83900
2001-07-24,22.63,22.65,20.92,21.2,143700
2001-07-25,21.35,21.35,20.5,20.82,64800
2001-07-26,20.61,21.2,20.2,21.0,203700
2001-07-27,21.1,22.16,21.0,21.99,45400
2001-07-30,21.77,22.1,21.76,22.0,109900
2001-07-31,21.8,22.05,21.5,21.8,53700
2001-08-01,22.16,22.5,20.2,20.56,738000
2001-08-02,20.6,20.6,19.65,19.72,512100
2001-08-03,19.81,19.85,18.75,19.19,265200
2001-08-06,19.34,19.82,19.16,19.82,416800
2001-08-07,19.92,19.92,19.76,19.79,68000
2001-08-08,19.84,19.84,19.4,19.55,71100
2001-08-09,19.74,19.75,19.21,19.4,245800
2001-08-10,19.55,19.55,19.42,19.5,92700
2001-08-13,19.3,19.5,19.06,19.06,988400
2001-08-14,19.06,19.5,18.95,19.1,503000
