,open,high,low,close,volume
2006-09-06,19.75,21.34,19.55,21.11,7646000
2006-09-07,21.12,22.84,20.55,22.1,5384800
2006-09-08,21.91,22.72,21.61,22.06,3904500
2006-09-11,21.51,21.97,21.5,21.74,5187900
2006-09-12,21.69,22.05,21.45,21.93,2288500
2006-09-13,22.01,23.2,22.01,22.55,3069700
2006-09-14,22.25,22.5,21.67,21.81,1378800
2006-09-15,21.71,21.84,21.2,21.27,2016000
2006-09-18,21.5,21.75,21.27,21.66,900400
2006-09-19,21.55,22.5,21.23,21.4,947200
2006-09-20,21.38,22.26,21.36,22.2,634200
2006-09-21,21.7,22.0,21.6665,21.75,691900
2006-09-22,21.77,22.22,21.66,22.14,362200
2006-09-25,21.92,22.51,21.85,22.27,801000
2006-09-26,22.4,22.5,22.3024,22.37,422500
2006-09-27,21.86,22.6901,21.8,22.6,1138100
2006-09-28,22.35,22.93,22.29,22.45,749900
2006-09-29,22.55,22.64,22.21,22.51,793300
2006-10-02,22.38,22.61,22.3,22.49,548500
2006-10-03,22.58,22.73,22.32,22.51,670100
2006-10-04,22.4,23.09,22.25,22.7,749700
2006-10-05,22.6,23.2699,22.6,23.15,1130800
2006-10-06,23.02,23.14,22.76,22.92,399800
2006-10-09,22.8,23.13,22.65,22.98,248400
2006-10-10,22.53,22.85,22.39,22.68,983000
2006-10-11,22.7,22.76,22.35,22.65,932800
2006-10-12,23.34,23.49,22.88,23.0,1523800
2006-10-13,23.08,23.4299,23.08,23.35,1009100
2006-10-16,23.34,23.34,23.0,23.0,474600
2006-10-17,23.0,23.05,22.79,22.8,510700
2006-10-18,22.89,23.05,22.73,22.99,709700
2006-10-19,23.0,23.1,22.75,23.0,343200
2006-10-20,23.01,23.38,23.01,23.24,180600
2006-10-23,23.24,23.68,23.24,23.55,547700
2006-10-24,23.3,23.81,23.11,23.81,484800
2006-10-25,23.7,24.15,23.6601,23.8,542600
2006-10-26,23.79,24.5,23.72,24.27,682400
2006-10-27,24.25,24.5,24.17,24.45,591500
2006-10-30,24.25,24.6,23.99,24.25,531700
2006-10-31,23.5,23.91,23.02,23.6,1326000
2006-11-01,23.37,23.43,22.89,23.02,585300
2006-11-02,23.0,23.62,22.5,23.55,640500
2006-11-03,23.3,23.5,22.85,22.97,649200
2006-11-06,22.8,23.0,22.705,22.8,814300
2006-11-07,22.67,22.92,22.21,22.33,715500
2006-11-08,22.0,22.36,21.7,22.13,830700
2006-11-09,22.08,22.23,21.99,22.14,717700
2006-11-10,22.35,22.55,22.0,22.53,584600
2006-11-13,22.53,22.84,22.41,22.56,372900
2006-11-14,22.5,23.61,22.5,23.48,638800
2006-11-15,24.0,24.02,23.4521,23.78,728000
2006-11-16,23.85,24.15,23.7,24.04,730400
2006-11-17,24.06,24.06,23.78,24.0,652700
2006-11-20,24.0,24.37,23.85,24.28,577900
2006-11-21,24.16,24.34,23.99,24.15,313600
2006-11-22,24.24,24.65,24.14,24.48,724100
2006-11-24,24.35,24.45,24.07,24.45,145300
2006-11-27,24.3,24.35,23.78,24.04,280200
2006-11-28,23.98,24.14,23.7,24.02,745200
2006-11-29,23.87,24.14,23.86,24.0,256300
2006-11-30,24.19,24.56,24.01,24.39,1263000
2006-12-01,24.42,24.77,24.15,24.71,576500
2006-12-04,24.06,24.07,23.58,23.88,1109000
2006-12-05,23.95,24.2199,23.9,24.08,238800
2006-12-06,24.17,24.18,23.76,23.93,455800
2006-12-07,23.93,24.26,23.75,23.85,443600
2006-12-08,23.8,24.1,23.49,23.71,479600
2006-12-11,23.65,24.0,23.26,23.97,550500
2006-12-12,22.0701,23.99,22.0701,23.81,290500
2006-12-13,23.75,24.09,23.67,24.05,247800
2006-12-14,24.19,24.25,23.79,23.91,893200
