,open,high,low,close,volume
2000-01-03,13.94,13.94,12.38,12.62,423400
2000-01-04,12.56,12.56,12.0,12.0,182000
2000-01-05,12.56,12.88,12.31,12.81,588000
2000-01-06,12.75,13.0,12.5,12.69,212200
2000-01-07,12.63,13.25,12.5,13.13,800700
2000-01-10,13.25,14.25,13.13,13.94,453100
2000-01-11,14.0,14.0,13.38,13.63,291800
2000-01-12,13.5,14.0,13.38,14.0,762200
2000-01-13,14.06,16.19,14.0,15.94,953900
2000-01-14,16.06,16.25,15.13,15.38,237100
2000-01-18,15.38,16.0,15.38,15.56,328900
2000-01-19,15.63,15.63,14.13,14.38,197100
2000-01-20,14.63,15.0,13.38,14.88,215000
2000-01-21,14.69,15.0,14.38,14.56,154200
2000-01-24,14.88,15.13,14.13,15.0,165400
2000-01-25,14.66,15.06,13.5,14.06,207900
2000-01-26,13.75,14.19,13.5,13.5,64300
2000-01-27,13.5,13.63,12.88,13.5,199600
2000-01-28,13.5,14.19,13.13,13.13,287300
2000-01-31,13.13,13.63,13.13,13.19,103800
2000-02-01,13.44,13.63,13.25,13.38,172300
2000-02-02,13.31,13.5,13.31,13.38,65800
2000-02-03,13.41,13.44,12.88,13.25,234200
2000-02-04,13.31,13.31,13.25,13.31,155400
2000-02-07,13.25,13.38,13.0,13.31,134400
2000-02-08,13.31,13.44,13.19,13.31,170600
2000-02-09,13.25,13.56,13.0,13.0,207600
2000-02-10,13.44,13.5,13.0,13.5,138200
2000-02-11,13.38,13.44,12.5,12.5,656300
2000-02-14,13.13,14.0,12.88,13.75,261600
2000-02-15,13.75,14.0,13.5,13.63,326400
2000-02-16,13.75,13.88,12.63,13.13,313600
2000-02-17,12.97,13.63,12.75,13.38,409600
2000-02-18,13.41,13.44,12.88,13.0,193200
2000-02-22,14.13,14.5,13.13,13.5,733900
2000-02-23,14.06,14.75,13.5,14.63,684000
2000-02-24,14.75,15.13,14.5,14.94,443700
2000-02-25,14.88,15.13,14.75,14.94,207200
2000-02-28,15.19,17.0,14.88,16.63,517100
2000-02-29,17.25,18.75,17.13,18.75,737400
2000-03-01,18.13,18.81,16.0,18.19,665500
2000-03-02,17.56,17.63,15.31,15.69,545900
2000-03-03,15.75,16.0,15.25,15.5,234800
2000-03-06,15.5,15.88,15.25,15.63,175300
2000-03-07,15.5,16.61,15.38,15.56,298800
2000-03-08,15.5,15.75,15.06,15.63,370400
2000-03-09,15.5,16.5,15.13,16.5,291400
2000-03-10,16.38,17.0,16.06,16.25,181600
2000-03-13,16.56,16.63,14.94,15.56,174200
2000-03-14,15.84,15.88,15.25,15.75,159600
2000-03-15,15.75,15.88,15.06,15.44,116400
2000-03-16,15.25,15.88,15.13,15.56,120900
2000-03-17,15.38,16.25,15.38,16.13,442700
2000-03-20,16.0,16.31,15.0,15.0,155800
2000-03-21,15.38,16.0,15.0,15.69,87400
2000-03-22,15.88,16.13,15.5,16.02,160600
2000-03-23,16.13,18.25,15.75,17.63,580100
2000-03-24,17.69,18.25,16.25,17.13,256200
2000-03-27,17.63,18.0,17.5,17.88,132600
2000-03-28,18.0,18.06,16.75,16.94,102300
2000-03-29,17.19,17.88,16.38,16.38,84600
2000-03-30,16.5,17.06,14.5,15.75,341000
2000-03-31,16.06,16.75,15.69,16.19,201100
2000-04-03,16.02,16.38,15.5,15.5,73600
2000-04-04,15.63,16.38,14.5,16.0,310900
2000-04-05,15.75,16.5,15.5,15.94,78100
2000-04-06,15.88,16.56,15.75,16.38,91300
2000-04-07,16.38,16.5,15.5,16.13,69700
2000-04-10,16.06,16.31,15.38,15.63,108600
2000-04-11,15.75,16.06,14.88,15.38,70800
2000-04-12,15.63,15.63,14.88,15.0,55500
2000-04-13,15.5,16.0,15.38,16.0,111900
2000-04-14,15.0,15.38,14.69,14.88,106100
2000-04-17,15.0,15.25,13.13,13.75,570300
2000-04-18,13.94,15.38,13.63,15.16,506700
2000-04-19,15.38,15.63,13.88,13.94,120500
2000-04-20,14.38,14.88,14.06,14.38,75900
2000-04-24,14.13,14.5,14.0,14.13,90300
2000-04-25,14.38,14.56,14.0,14.5,133900
2000-04-26,14.5,14.75,14.31,14.38,159600
2000-04-27,14.13,14.5,13.75,14.0,134900
2000-04-28,14.06,14.38,13.75,13.98,218400
2000-05-01,13.94,15.0,13.75,15.0,169800
2000-05-02,14.88,15.75,14.63,14.94,128500
2000-05-03,15.0,15.31,14.31,14.88,338500
2000-05-04,14.94,15.63,14.5,15.63,68500
2000-05-05,15.25,15.88,15.13,15.38,106400
2000-05-08,15.44,17.19,15.31,16.38,305200
2000-05-09,16.5,17.75,16.44,17.0,132200
2000-05-10,16.25,16.5,15.94,16.06,131900
2000-05-11,16.19,16.19,15.69,16.13,118600
2000-05-12,16.0,16.38,15.63,15.88,114600
2000-05-15,15.78,17.19,15.63,16.69,59200
2000-05-16,16.69,17.25,16.5,17.06,109300
2000-05-17,16.81,17.13,16.44,17.0,107000
2000-05-18,16.75,17.25,16.5,17.0,75400
2000-05-19,17.06,17.19,16.5,16.75,107900
2000-05-22,16.88,17.25,16.38,17.13,109400
2000-05-23,16.88,17.13,16.56,16.63,169700
2000-05-24,16.81,17.0,16.19,16.75,178300
2000-05-25,16.5,17.0,16.5,16.75,175500
2000-05-26,16.88,16.88,15.89,16.75,111100
2000-05-30,16.88,17.38,16.25,17.25,933200
2000-05-31,17.13,17.88,16.63,17.63,501800
2000-06-01,17.75,18.13,17.75,18.06,646600
2000-06-02,18.09,18.5,18.09,18.25,220100
2000-06-05,17.69,18.13,17.63,17.81,167000
2000-06-06,17.75,18.06,17.75,17.94,117600
2000-06-07,18.0,18.06,17.88,17.94,147500
2000-06-08,17.91,18.0,17.63,18.0,68900
2000-06-09,18.0,18.13,17.75,18.0,143200
2000-06-12,18.0,18.25,17.75,17.94,155800
2000-06-13,17.81,17.95,17.63,17.88,169300
2000-06-14,17.88,18.06,17.69,18.0,101900
2000-06-15,18.0,18.44,17.88,18.31,284500
2000-06-16,18.06,18.31,17.75,17.75,257700
2000-06-19,17.75,18.13,17.0,17.56,89300
2000-06-20,17.63,17.63,17.0,17.19,59300
2000-06-21,17.13,17.5,17.13,17.19,79300
2000-06-22,17.81,17.81,17.44,17.5,134100
2000-06-23,17.5,17.75,16.75,16.88,76100
2000-06-26,16.88,16.94,16.75,16.81,43200
2000-06-27,16.75,16.94,16.5,16.5,179300
2000-06-28,16.5,17.0,16.38,16.81,124400
2000-06-29,16.75,17.25,16.63,17.25,149600
2000-06-30,17.13,17.75,16.88,17.25,109600
2000-07-03,17.25,17.69,17.19,17.5,98000
2000-07-05,17.56,17.75,16.88,16.94,93300
2000-07-06,17.13,17.38,16.94,17.06,104300
2000-07-07,16.94,17.06,16.88,16.94,53100
2000-07-10,17.06,17.06,16.44,16.5,60200
2000-07-11,16.38,16.5,15.25,15.63,245700
2000-07-12,15.38,15.44,14.75,15.0,194100
2000-07-13,14.94,15.0,14.56,14.94,116100
2000-07-14,15.0,15.25,14.88,15.06,357000
2000-07-17,15.0,15.13,14.63,14.63,58200
2000-07-18,14.94,15.0,14.25,14.31,136100
2000-07-19,14.25,14.5,14.13,14.44,82500
2000-07-20,14.63,14.88,14.0,14.5,121500
2000-07-21,14.31,14.73,14.13,14.13,81000
2000-07-24,14.38,14.44,13.63,13.88,91700
2000-07-25,14.0,14.0,13.31,13.63,66000
2000-07-26,13.63,14.5,13.56,14.13,249400
2000-07-27,14.13,14.13,13.81,13.81,86000
2000-07-28,13.75,14.13,13.75,13.75,43500
2000-07-31,14.06,14.06,13.63,14.06,115300
2000-08-01,14.25,17.0,14.25,16.75,585900
2000-08-02,16.63,18.69,15.81,18.56,1871300
2000-08-03,17.75,20.63,17.63,19.0,1278200
2000-08-04,18.88,18.94,17.88,18.25,123300
2000-08-07,18.06,18.42,17.88,18.42,174400
2000-08-08,18.0,18.38,17.94,18.0,201900
2000-08-09,18.22,18.38,17.94,18.25,114400
2000-08-10,18.19,18.25,18.0,18.0,85400
2000-08-11,18.06,18.13,17.88,18.06,175700
2000-08-14,17.88,18.13,17.88,18.0,22100
2000-08-15,17.94,18.0,17.88,17.94,98400
2000-08-16,18.0,18.13,17.75,18.13,81200
2000-08-17,18.0,18.0,17.63,17.88,196800
2000-08-18,17.88,18.13,17.81,18.13,82800
2000-08-21,18.13,18.31,17.94,18.19,83600
2000-08-22,18.13,18.31,17.88,18.13,71900
2000-08-23,18.19,18.19,17.88,17.94,77800
2000-08-24,18.0,18.06,17.94,18.0,160900
2000-08-25,17.94,18.25,17.88,18.0,123700
2000-08-28,18.0,18.06,17.63,17.75,120400
2000-08-29,18.0,18.0,17.5,17.88,57600
2000-08-30,17.75,18.5,17.5,18.38,191300
2000-08-31,18.5,18.5,18.25,18.38,106600
2000-09-01,18.44,18.69,18.13,18.63,197800
2000-09-05,18.25,18.5,18.0,18.38,96200
2000-09-06,18.38,18.38,17.94,18.13,73800
2000-09-07,18.25,18.38,17.94,17.94,118900
2000-09-08,18.16,18.38,18.0,18.0,93600
2000-09-11,18.25,18.69,18.06,18.44,99200
2000-09-12,18.5,18.56,18.0,18.13,142100
2000-09-13,18.06,18.25,17.75,18.0,70200
2000-09-14,17.88,18.25,17.88,18.25,79500
2000-09-15,18.38,18.5,18.13,18.38,211300
2000-09-18,18.38,18.44,18.13,18.31,138900
2000-09-19,18.19,18.69,18.13,18.63,171900
2000-09-20,18.44,18.63,18.44,18.5,55000
2000-09-21,18.56,18.88,18.25,18.56,234400
2000-09-22,18.5,18.63,18.44,18.56,70500
2000-09-25,18.59,19.25,18.59,18.81,114300
2000-09-26,18.94,19.0,18.81,18.88,190400
2000-09-27,18.81,19.88,18.81,19.5,140300
2000-09-28,19.5,20.0,19.5,19.88,166500
2000-09-29,19.94,20.44,19.38,19.94,151500
2000-10-02,19.88,22.13,19.75,22.13,562400
2000-10-03,21.84,22.13,20.0,21.5,320100
2000-10-04,21.13,21.38,20.5,21.31,138000
2000-10-05,21.38,22.69,21.0,21.88,389900
2000-10-06,21.75,23.0,21.75,22.56,233000
2000-10-09,22.88,22.88,21.5,21.5,91300
2000-10-10,21.13,22.38,21.13,22.38,155700
2000-10-11,22.38,22.38,20.25,20.69,257700
2000-10-12,21.0,21.75,20.75,21.25,110400
2000-10-13,20.81,21.75,20.56,21.75,345400
2000-10-16,21.06,21.88,20.81,21.5,123000
2000-10-17,21.44,22.0,20.5,21.5,229400
2000-10-18,21.06,21.06,19.94,20.69,423600
2000-10-19,20.69,20.88,20.5,20.88,313100
2000-10-20,20.63,21.06,20.63,20.69,117100
2000-10-23,20.06,21.19,19.75,20.63,114000
2000-10-24,20.63,20.81,19.94,20.38,81700
2000-10-25,20.44,21.0,20.31,20.81,96900
2000-10-26,20.63,21.0,20.44,20.81,111700
2000-10-27,20.5,20.88,20.5,20.63,52000
2000-10-30,20.63,22.63,20.52,22.38,426300
2000-10-31,22.44,25.5,22.38,24.38,1313200
2000-11-01,24.19,25.06,24.13,24.88,1062300
2000-11-02,24.75,27.13,24.75,26.5,1587800
2000-11-03,26.0,26.44,25.5,25.5,513600
2000-11-06,25.5,25.88,24.5,25.0,293200
2000-11-07,24.63,26.0,24.63,25.38,448900
2000-11-08,25.13,27.88,25.13,26.63,751900
2000-11-09,26.5,26.56,25.88,26.44,334000
2000-11-10,26.0,26.25,25.63,25.88,188400
2000-11-13,26.13,26.13,24.0,24.63,229500
2000-11-14,24.56,26.5,24.56,26.19,538000
2000-11-15,26.38,26.63,25.5,26.19,193500
2000-11-16,26.25,26.25,25.13,25.25,141800
2000-11-17,25.44,25.88,25.31,25.56,161700
2000-11-20,25.25,25.61,23.5,24.25,220800
