,open,high,low,close,volume
2000-01-03,8.375,8.438,8.313,8.438,394700
2000-01-04,8.375,8.438,8.188,8.375,516400
2000-01-05,8.313,8.375,8.125,8.125,256600
2000-01-06,8.063,8.188,8.0,8.188,676400
2000-01-07,8.188,8.438,8.125,8.313,684000
2000-01-10,8.375,8.75,8.313,8.75,690800
2000-01-11,8.688,8.813,8.625,8.813,2059800
2000-01-12,8.813,8.875,8.688,8.875,504100
2000-01-13,8.813,8.938,8.75,8.875,1741300
2000-01-14,8.875,9.0,8.813,9.0,2214800
2000-01-18,9.0,9.313,8.938,9.063,1099300
2000-01-19,9.313,9.625,9.25,9.563,1435600
2000-01-20,9.5,9.563,9.313,9.375,1133300
2000-01-21,9.375,9.438,9.125,9.188,524700
2000-01-24,9.313,9.5,9.188,9.188,1226800
2000-01-25,9.313,9.5,9.063,9.313,711400
2000-01-26,9.25,9.438,9.25,9.313,362100
2000-01-27,9.313,9.438,9.125,9.25,1224800
2000-01-28,9.25,9.25,8.938,9.0,1186900
2000-01-31,9.0,9.0,8.75,8.875,459600
2000-02-01,9.0,9.188,8.875,9.125,266800
2000-02-02,9.125,9.188,9.0,9.125,479500
2000-02-03,9.125,9.188,9.063,9.188,276200
2000-02-04,9.19,9.25,9.12,9.19,843900
2000-02-07,9.188,9.5,9.188,9.313,544400
2000-02-08,9.375,9.5,9.313,9.438,431400
2000-02-09,9.375,9.5,9.375,9.438,678800
2000-02-10,9.375,9.563,9.313,9.375,366200
2000-02-11,9.313,9.375,9.063,9.125,372700
2000-02-14,9.125,9.25,9.0,9.188,964700
2000-02-15,9.125,9.25,9.063,9.188,483400
2000-02-16,9.125,9.313,9.063,9.25,1242500
2000-02-17,9.313,9.5,9.188,9.438,899100
2000-02-18,9.375,9.438,9.25,9.25,900200
2000-02-22,9.125,9.25,9.0,9.063,607000
2000-02-23,9.063,9.125,9.0,9.125,336800
2000-02-24,9.125,9.125,8.875,9.0,711300
2000-02-25,9.0,9.0,8.75,8.938,420300
2000-02-28,8.813,8.938,8.813,8.875,317600
2000-02-29,8.875,9.0,8.75,8.875,469400
2000-03-01,8.875,8.938,8.688,8.688,459900
2000-03-02,8.75,8.813,8.5,8.688,2714100
2000-03-03,8.625,8.688,8.563,8.625,329500
2000-03-06,8.625,8.875,8.563,8.875,1036200
2000-03-07,8.813,8.938,8.625,8.75,537900
2000-03-08,8.688,8.813,8.625,8.813,333300
2000-03-09,8.875,8.938,8.75,8.875,656000
2000-03-10,8.938,9.188,8.938,8.938,763000
2000-03-13,9.0,9.0,8.875,8.938,135300
2000-03-14,8.938,9.0,8.75,8.875,387200
2000-03-15,8.875,8.938,8.75,8.938,267000
2000-03-16,9.0,9.25,8.938,8.938,939500
2000-03-17,9.063,9.188,8.938,9.0,411300
2000-03-20,9.0,9.125,8.875,9.0,354600
2000-03-21,8.938,9.063,8.813,8.875,286400
2000-03-22,8.875,8.938,8.813,8.938,832900
2000-03-23,8.938,9.0,8.813,8.938,292700
2000-03-24,8.875,9.0,8.875,8.875,501000
2000-03-27,8.875,8.875,8.625,8.688,462400
2000-03-28,8.563,8.875,8.5,8.875,531500
2000-03-29,8.625,8.813,8.5,8.688,465700
2000-03-30,8.625,8.938,8.625,8.813,455300
2000-03-31,8.813,9.0,8.813,8.875,328900
2000-04-03,9.0,9.063,8.938,8.938,502500
2000-04-04,9.0,9.063,8.875,8.938,272600
2000-04-05,8.938,9.188,8.813,8.813,896500
2000-04-06,8.938,9.5,8.938,9.5,565100
2000-04-07,9.438,9.813,9.375,9.813,817500
2000-04-10,9.938,10.0,9.813,9.875,797800
2000-04-11,9.938,10.06,9.875,9.938,799800
2000-04-12,9.938,10.63,9.938,10.44,3580600
2000-04-13,10.44,10.56,10.19,10.31,1169200
2000-04-14,10.31,10.31,9.75,10.0,543700
2000-04-17,9.938,10.0,9.625,9.875,412000
2000-04-18,9.75,10.06,9.75,10.0,497900
2000-04-19,10.0,10.0,9.688,9.813,591000
2000-04-20,9.938,10.06,9.938,9.938,316200
2000-04-24,10.0,10.25,9.938,10.25,477700
2000-04-25,10.31,10.44,10.25,10.44,463200
2000-04-26,10.44,10.44,10.13,10.19,419800
2000-04-27,10.06,10.63,10.0,10.56,752300
2000-04-28,10.56,10.75,10.38,10.69,509300
2000-05-01,10.75,10.81,10.63,10.69,518900
2000-05-02,10.44,10.5,10.31,10.5,740800
2000-05-03,10.44,10.63,10.31,10.38,722500
2000-05-04,10.44,10.44,10.06,10.31,279300
2000-05-05,10.19,10.25,9.875,10.25,1351600
2000-05-08,10.25,10.25,9.938,10.0,483300
2000-05-09,9.938,10.0,9.938,9.938,174800
2000-05-10,10.0,10.13,9.938,10.13,553200
2000-05-11,10.06,10.13,9.938,10.06,502800
2000-05-12,10.06,10.06,9.938,10.06,575100
2000-05-15,10.13,10.13,10.0,10.13,1267200
2000-05-16,10.06,10.25,10.0,10.25,442400
2000-05-17,10.25,10.25,10.06,10.13,220600
2000-05-18,10.13,10.19,10.0,10.0,363400
2000-05-19,10.0,10.13,9.938,10.0,274600
2000-05-22,10.0,10.06,9.875,9.938,227300
2000-05-23,9.938,10.0,9.688,9.75,292600
2000-05-24,9.813,9.813,9.625,9.688,817300
2000-05-25,9.688,9.75,9.375,9.5,439700
2000-05-26,9.5,9.563,9.375,9.5,513400
2000-05-30,9.438,9.563,9.375,9.438,423700
2000-05-31,9.5,9.625,9.438,9.625,836900
2000-06-01,9.625,9.625,9.375,9.5,998100
2000-06-02,9.5,9.688,9.375,9.625,872300
2000-06-05,9.688,9.75,9.5,9.563,353800
2000-06-06,9.563,9.688,9.438,9.5,548500
2000-06-07,9.5,9.625,9.438,9.5,556200
2000-06-08,9.438,9.563,9.313,9.438,580500
2000-06-09,9.313,9.563,9.313,9.5,853000
2000-06-12,9.5,9.5,9.375,9.5,192800
2000-06-13,9.5,9.563,9.438,9.563,475000
2000-06-14,9.563,9.813,9.5,9.813,1015700
2000-06-15,9.813,9.813,9.625,9.625,279700
2000-06-16,9.688,9.813,9.5,9.813,745500
2000-06-19,9.688,9.813,9.688,9.813,266600
2000-06-20,9.75,9.75,9.688,9.75,225700
2000-06-21,9.75,9.875,9.688,9.75,1237100
2000-06-22,9.688,9.813,9.625,9.75,221700
2000-06-23,9.813,9.875,9.625,9.625,351200
2000-06-26,9.688,9.688,9.5,9.563,174600
2000-06-27,9.563,9.625,9.5,9.5,266900
2000-06-28,9.375,9.563,9.25,9.313,290800
2000-06-29,9.313,9.625,9.25,9.5,626500
2000-06-30,9.5,9.688,9.313,9.359,1017500
2000-07-03,9.5,9.625,9.438,9.563,167500
2000-07-05,9.438,9.75,9.438,9.688,263300
2000-07-06,9.75,10.0,9.625,10.0,528200
2000-07-07,9.938,10.19,9.813,10.06,581900
2000-07-10,10.0,10.25,10.0,10.25,398800
2000-07-11,10.31,10.31,10.13,10.25,241400
2000-07-12,10.25,10.5,10.25,10.44,411900
2000-07-13,10.44,10.44,10.19,10.31,262300
2000-07-14,10.25,10.31,9.938,9.938,405800
2000-07-17,10.06,10.25,10.0,10.25,275200
2000-07-18,10.19,10.19,9.938,10.06,523900
2000-07-19,10.06,10.44,10.0,10.44,782100
2000-07-20,10.44,10.5,10.31,10.5,579300
2000-07-21,10.56,10.63,10.31,10.31,657100
2000-07-24,10.38,10.5,10.31,10.44,508200
2000-07-25,10.5,10.56,10.44,10.5,738900
2000-07-26,10.5,10.81,10.5,10.75,928900
2000-07-27,10.75,11.25,10.69,11.06,815000
2000-07-28,11.38,11.75,11.31,11.38,1488600
2000-07-31,11.31,11.31,11.06,11.13,319100
2000-08-01,11.06,11.5,10.94,11.5,1179500
2000-08-02,11.5,11.75,11.31,11.44,863200
2000-08-03,11.56,11.63,11.19,11.25,419700
2000-08-04,11.31,11.31,10.94,11.0,514500
2000-08-07,11.0,11.13,10.81,10.94,391800
2000-08-08,10.88,11.06,10.75,11.0,360300
2000-08-09,11.0,11.31,11.0,11.25,327700
2000-08-10,11.25,11.44,11.0,11.13,498300
2000-08-11,11.13,11.44,11.13,11.31,512200
2000-08-14,11.38,11.38,11.13,11.25,661200
2000-08-15,11.25,11.25,11.0,11.13,702900
2000-08-16,11.06,11.13,10.81,11.13,510400
2000-08-17,11.0,11.0,10.81,10.94,378600
2000-08-18,10.94,11.0,10.88,10.94,271300
2000-08-21,11.0,11.0,10.81,10.88,530700
2000-08-22,10.88,11.06,10.81,11.0,178500
2000-08-23,10.94,11.0,10.75,10.81,500300
2000-08-24,10.75,10.81,10.75,10.75,222600
2000-08-25,10.75,10.88,10.69,10.88,242000
2000-08-28,10.88,10.94,10.88,10.88,322400
2000-08-29,10.94,10.94,10.69,10.75,124000
2000-08-30,10.69,10.75,10.63,10.75,198200
2000-08-31,10.75,10.75,10.69,10.69,178300
2000-09-01,10.75,10.75,10.69,10.75,95800
2000-09-05,10.75,10.75,10.63,10.75,137300
2000-09-06,10.75,10.75,10.69,10.69,80100
2000-09-07,10.75,10.88,10.75,10.88,185900
2000-09-08,10.88,10.88,10.81,10.88,160700
2000-09-11,10.81,11.19,10.81,11.13,187100
2000-09-12,11.06,11.25,11.06,11.13,196600
2000-09-13,11.19,11.25,11.13,11.19,234100
2000-09-14,11.13,11.25,11.06,11.13,212800
2000-09-15,11.06,11.25,11.06,11.19,130200
2000-09-18,11.13,11.25,10.94,11.0,572400
2000-09-19,10.88,10.88,10.56,10.75,255500
2000-09-20,10.81,10.94,10.75,10.75,204000
2000-09-21,10.75,10.88,10.75,10.75,120200
2000-09-22,10.69,10.75,10.5,10.63,449700
2000-09-25,10.88,10.94,10.5,10.69,470500
2000-09-26,10.69,11.0,10.69,10.94,407600
2000-09-27,10.81,10.81,10.69,10.75,372200
2000-09-28,10.75,11.19,10.75,11.06,335600
2000-09-29,11.19,11.5,11.13,11.25,902000
2000-10-02,11.25,11.31,11.06,11.13,339000
2000-10-03,11.13,11.25,11.0,11.13,260300
2000-10-04,11.13,11.16,10.94,10.94,315500
2000-10-05,10.94,11.06,10.88,10.94,374500
2000-10-06,10.94,10.94,10.75,10.81,249100
2000-10-09,10.81,10.94,10.63,10.94,253000
2000-10-10,10.94,11.19,10.81,11.19,185300
2000-10-11,11.06,11.31,11.06,11.25,569400
2000-10-12,11.19,11.25,10.06,10.38,925700
2000-10-13,10.38,10.5,10.13,10.5,182100
2000-10-16,10.56,10.63,10.25,10.44,422400
2000-10-17,10.56,10.63,10.13,10.31,1421200
2000-10-18,10.19,10.25,9.875,10.06,677700
2000-10-19,10.19,10.44,10.13,10.38,403500
2000-10-20,10.44,10.5,10.31,10.44,506300
2000-10-23,10.38,10.44,10.19,10.19,266600
2000-10-24,10.19,10.38,10.06,10.31,443100
2000-10-25,10.25,10.31,10.13,10.19,499500
2000-10-26,10.13,10.19,10.0,10.0,208000
2000-10-27,10.0,10.38,10.0,10.38,453600
2000-10-30,10.31,10.5,10.31,10.44,711300
2000-10-31,10.31,10.63,10.31,10.63,370300
2000-11-01,10.63,10.63,10.44,10.56,478500
2000-11-02,10.63,10.81,10.56,10.75,274700
2000-11-03,10.81,10.81,10.56,10.63,334500
2000-11-06,10.56,10.63,10.25,10.25,385100
2000-11-07,10.25,10.38,10.19,10.38,587900
2000-11-08,10.38,10.38,10.25,10.38,277500
2000-11-09,10.38,10.5,10.31,10.38,273700
2000-11-10,10.38,10.56,10.31,10.44,450100
2000-11-13,10.44,10.69,10.44,10.69,401700
2000-11-14,10.63,10.81,10.63,10.81,494700
2000-11-15,10.81,11.13,10.75,11.0,540700
2000-11-16,11.06,11.13,10.94,11.06,589000
2000-11-17,11.0,11.19,10.88,11.06,639800
2000-11-20,11.13,11.13,10.88,11.0,648700
2000-11-21,10.94,11.13,10.88,11.06,440600
2000-11-22,11.0,11.06,10.94,11.0,162100
2000-11-24,11.0,11.0,10.94,11.0,81900
2000-11-27,11.0,11.25,11.0,11.25,428700
2000-11-28,11.25,11.63,11.25,11.56,563100
2000-11-29,11.56,11.81,11.5,11.69,598900
2000-11-30,11.63,11.88,11.56,11.88,1158000
2000-12-01,11.75,11.75,11.5,11.5,819200
2000-12-04,11.38,11.44,11.06,11.19,696800
2000-12-05,11.25,11.63,11.25,11.63,401100
2000-12-06,11.5,12.0,11.5,11.88,384100
2000-12-07,11.88,11.88,11.75,11.81,191400
2000-12-08,11.75,11.94,11.69,11.88,634200
2000-12-11,11.75,11.94,11.75,11.94,578800
2000-12-12,11.88,12.13,11.81,12.13,781300
2000-12-13,12.19,12.31,12.06,12.31,296300
2000-12-14,12.31,12.38,12.0,12.19,312600
2000-12-15,12.13,12.31,12.0,12.31,345400
2000-12-18,12.31,12.56,12.31,12.56,647700
2000-12-19,12.63,12.63,12.38,12.56,281700
2000-12-20,12.56,12.69,12.44,12.5,305000
2000-12-21,12.38,12.63,12.38,12.5,179600
2000-12-22,12.5,12.69,12.5,12.56,318200
2000-12-26,12.63,12.87,12.56,12.81,231800
2000-12-27,12.63,12.75,12.56,12.75,202100
2000-12-28,12.75,12.88,12.63,12.88,279300
2000-12-29,12.88,12.94,12.75,12.94,327900
2001-01-02,12.88,13.0,12.75,12.81,652600
2001-01-03,12.81,13.31,12.81,13.13,443400
2001-01-04,13.19,13.31,13.06,13.31,362600
2001-01-05,13.31,13.38,13.0,13.06,558800
2001-01-08,13.06,13.19,12.94,13.0,368600
2001-01-09,13.0,13.38,12.97,13.25,368600
2001-01-10,13.19,13.31,12.81,12.94,384600
2001-01-11,12.94,13.0,12.63,12.94,568100
2001-01-12,13.0,13.0,12.69,12.75,239100
2001-01-16,12.88,13.31,12.88,13.25,505100
2001-01-17,13.25,13.31,13.0,13.31,419000
2001-01-18,13.25,13.25,12.94,13.0,371400
2001-01-19,13.06,13.19,12.81,13.19,530400
2001-01-22,13.19,13.31,13.13,13.31,230400
2001-01-23,13.31,13.63,13.25,13.56,654800
2001-01-24,13.56,13.63,13.38,13.44,508400
2001-01-25,13.56,13.63,13.44,13.63,297600
2001-01-26,13.63,13.75,13.5,13.75,293400
2001-01-29,13.65,13.77,13.49,13.62,345200
2001-01-30,13.72,13.87,13.6,13.65,380200
2001-01-31,13.6,13.61,13.2,13.42,624600
2001-02-01,13.42,13.49,13.26,13.33,272000
2001-02-02,12.75,12.86,12.65,12.82,2844900
2001-02-05,12.86,13.05,12.86,13.01,696800
2001-02-06,13.02,13.1,12.89,12.91,683300
2001-02-07,12.99,13.0,12.82,12.89,795900
2001-02-08,12.89,12.97,12.8,12.89,289200
2001-02-09,12.99,12.99,12.76,12.79,368000
2001-02-12,12.89,13.01,12.74,12.94,436500
2001-02-13,12.99,13.09,12.91,12.98,435000
2001-02-14,12.92,12.99,12.9,12.99,560200
2001-02-15,12.92,13.09,12.92,13.09,508400
2001-02-16,13.13,13.13,12.9,12.97,287300
2001-02-20,12.99,13.05,12.96,13.02,715100
2001-02-21,13.1,13.13,12.95,12.97,588900
2001-02-22,12.99,12.99,12.8,12.89,715500
2001-02-23,12.89,12.99,12.75,12.83,395100
2001-02-26,12.5,12.65,12.12,12.31,1895500
2001-02-27,12.3,12.5,12.3,12.44,640700
2001-02-28,12.4,12.62,12.25,12.62,1050800
2001-03-01,12.62,12.7,12.52,12.68,996300
2001-03-02,12.6,12.93,12.55,12.93,1035900
2001-03-05,12.93,12.93,12.51,12.56,670100
2001-03-06,12.8,12.85,12.13,12.33,997500
2001-03-07,12.25,12.29,12.0,12.11,2145200
2001-03-08,12.21,12.52,12.15,12.51,550700
2001-03-09,12.58,12.58,12.35,12.35,203600
2001-03-12,12.31,12.42,12.2,12.23,561300
2001-03-13,12.3,12.3,12.0,12.06,610300
2001-03-14,11.96,12.04,11.92,11.97,380400
2001-03-15,12.0,12.05,11.9,12.0,640800
2001-03-16,12.0,12.0,11.9,11.93,466800
2001-03-19,11.95,12.15,11.8,11.98,532500
2001-03-20,12.0,12.3,11.96,12.09,595000
2001-03-21,12.1,12.18,11.99,12.0,564300
2001-03-22,12.0,12.0,11.38,11.82,582900
2001-03-23,11.92,12.05,11.8,11.9,409500
2001-03-26,11.97,12.05,11.83,12.05,698100
2001-03-27,12.05,12.08,11.92,12.07,884900
2001-03-28,11.8,11.86,11.65,11.78,397400
2001-03-29,11.82,12.04,11.75,12.03,590600
2001-03-30,11.93,11.99,11.5,11.68,722000
2001-04-02,11.6,11.85,11.6,11.8,907900
2001-04-03,11.8,11.8,11.35,11.7,549400
2001-04-04,11.8,11.82,11.56,11.79,1058000
2001-04-05,11.8,12.11,11.8,12.11,581800
2001-04-06,12.01,12.05,11.87,11.96,320000
2001-04-09,12.0,12.22,11.91,12.01,308100
2001-04-10,12.08,12.08,11.75,11.76,922900
2001-04-11,11.76,11.79,11.35,11.46,1245600
2001-04-12,11.4,11.45,11.31,11.45,425200
2001-04-16,11.5,11.58,11.42,11.58,932000
2001-04-17,11.6,11.75,11.46,11.7,708500
2001-04-18,11.7,12.2,11.67,12.13,1323000
2001-04-19,12.09,12.41,11.95,12.39,754200
2001-04-20,12.41,12.5,12.29,12.48,807300
2001-04-23,12.38,12.44,12.3,12.35,461300
2001-04-24,12.4,12.5,12.25,12.5,558500
2001-04-25,12.42,12.49,12.31,12.38,503900
2001-04-26,12.48,12.83,12.45,12.67,889600
2001-04-27,12.8,12.8,12.6,12.75,875300
2001-04-30,12.8,12.89,12.7,12.89,619600
2001-05-01,12.8,12.99,12.7,12.99,411700
2001-05-02,13.0,13.08,12.71,13.01,1358700
2001-05-03,12.48,12.61,12.48,12.5,2858800
2001-05-04,12.5,12.64,12.42,12.51,830700
2001-05-07,12.75,12.79,12.55,12.71,464500
2001-05-08,12.75,12.75,12.53,12.63,277100
2001-05-09,12.95,12.99,12.67,12.94,824700
2001-05-10,12.98,13.0,12.92,12.97,913500
2001-05-11,13.0,13.08,12.98,13.0,901400
2001-05-14,13.07,13.28,13.0,13.0,1059800
2001-05-15,13.1,13.34,13.02,13.23,765900
2001-05-16,13.3,13.43,13.21,13.35,846700
2001-05-17,13.35,13.46,13.2,13.31,915400
2001-05-18,13.41,13.48,13.3,13.44,833700
2001-05-21,13.4,13.63,13.39,13.43,801900
2001-05-22,13.45,13.56,13.4,13.55,1294900
2001-05-23,13.65,13.9,13.52,13.85,801500
2001-05-24,13.83,13.9,13.67,13.86,796400
2001-05-25,13.9,13.95,13.7,13.89,446200
2001-05-29,13.79,13.9,13.71,13.71,661100
2001-05-30,13.0,13.1,12.9,12.96,4021400
2001-05-31,13.05,13.09,12.85,12.94,2168700
2001-06-01,12.95,12.98,12.81,12.9,688100
2001-06-04,12.9,12.9,12.49,12.6,1260600
2001-06-05,12.6,12.67,12.25,12.57,1357700
2001-06-06,12.67,12.86,12.59,12.71,1021300
2001-06-07,12.75,12.8,12.25,12.38,1347100
