Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.0625,8.1875,7.875,8.1875,7.521555423736572,724600
2000-01-03,8.3125,8.375,7.375,7.5625,6.947391986846924,1287300
2000-01-04,7.375,7.875,7.375,7.625,7.004806995391846,1238300
2000-01-05,7.5,7.875,7.5,7.8125,7.177057266235352,1096300
2000-01-06,7.75,8.25,7.5,8.125,7.464139938354492,1026700
2000-01-07,8.1875,9.125,8.0625,8.75,8.038304328918457,2419300
2000-01-10,8.875,8.9375,8.375,8.375,7.693806171417236,1276200
2000-01-11,8.375,8.75,8.25,8.25,7.578970432281494,693700
2000-01-12,8.375,8.6875,8.25,8.4375,7.751221656799316,764000
2000-01-13,8.5625,9.5,8.5625,9.25,8.497635841369629,1760600
2000-01-14,9.375,9.625,8.25,8.25,7.578970432281494,1429000
2000-01-18,9.0,9.0,8.375,8.625,7.923469066619873,776600
2000-01-19,8.6875,8.6875,8.0,8.0,7.349306583404541,1220100
2000-01-20,8.0,8.0625,7.6875,7.75,7.119639873504639,1744500
2000-01-21,7.75,8.0625,7.6875,7.8125,7.177057266235352,1670100
2000-01-24,7.9375,8.125,7.625,7.9375,7.2918901443481445,1001400
2000-01-25,7.5,7.8125,7.5,7.75,7.119639873504639,994500
2000-01-26,7.75,8.0625,7.75,7.875,7.234473705291748,821500
2000-01-27,8.0,8.0625,7.625,7.625,7.004806995391846,421200
2000-01-28,7.375,8.0625,7.125,7.625,7.004806995391846,1775700
2000-01-31,7.625,8.1875,7.625,8.0,7.349306583404541,858700
2000-02-01,8.0,8.375,8.0,8.25,7.578970432281494,783600
2000-02-02,8.3125,8.625,8.25,8.3125,7.636387825012207,597300
2000-02-03,8.3125,8.625,8.3125,8.4375,7.751221656799316,773500
2000-02-04,8.5625,8.75,8.375,8.375,7.693806171417236,481200
2000-02-07,8.5,8.625,8.3125,8.4375,7.751221656799316,574300
2000-02-08,8.4375,8.5625,8.0625,8.1875,7.521555423736572,713800
2000-02-09,7.8125,8.125,7.4375,7.5625,6.947391986846924,1495000
2000-02-10,7.4375,7.5,7.0,7.1875,6.60289192199707,1307800
2000-02-11,7.125,7.125,6.6875,6.875,6.315810203552246,983900
