,open,high,low,close,volume
2000-01-03,59.61,60.38,58.13,60.38,2535300
2000-01-04,57.13,62.13,56.69,60.88,3383200
2000-01-05,61.94,75.0,61.5,73.31,11276500
2000-01-06,73.38,75.94,70.0,70.0,4367000
2000-01-07,69.63,74.75,63.69,73.56,4268900
2000-01-10,75.0,90.0,73.25,85.13,4198700
2000-01-11,82.94,84.38,79.25,82.38,2847100
2000-01-12,81.75,81.81,66.38,71.13,4172000
2000-01-13,73.63,81.75,73.63,80.0,3891100
2000-01-14,82.81,85.88,77.63,81.38,2940400
2000-01-18,81.31,81.31,75.5,76.75,1760200
2000-01-19,77.0,78.13,73.94,74.5,1776800
2000-01-20,75.5,78.31,74.0,76.38,2210400
2000-01-21,79.0,79.25,74.13,75.63,3187200
2000-01-24,75.56,75.63,67.38,67.56,2228700
2000-01-25,70.0,72.25,68.13,70.31,2531700
2000-01-26,71.25,73.0,65.56,65.75,1467800
2000-01-27,67.06,70.94,60.44,64.0,3066100
2000-01-28,63.06,65.38,56.63,57.75,3572300
2000-01-31,56.88,61.06,55.5,60.31,3046200
2000-02-01,62.19,64.88,59.25,64.81,2240700
2000-02-02,65.69,71.0,65.5,67.75,3150100
2000-02-03,69.19,70.31,65.5,69.63,2576500
2000-02-04,70.98,72.25,68.25,69.25,1921500
2000-02-07,69.38,69.38,66.81,67.56,1439400
2000-02-08,69.94,72.0,68.63,69.0,2210100
2000-02-09,69.31,70.3,64.94,65.25,2581500
2000-02-10,64.38,64.69,61.0,63.75,3131100
2000-02-11,63.06,63.88,59.88,61.0,2728900
2000-02-14,61.38,61.38,59.0,59.75,1583100
2000-02-15,59.38,61.0,55.0,57.44,4472500
2000-02-16,59.0,63.0,58.25,61.06,3966400
2000-02-17,63.19,64.63,62.0,64.31,2265200
2000-02-18,65.75,65.75,59.88,61.19,2044500
2000-02-22,60.63,62.63,59.75,62.13,2361800
2000-02-23,61.69,68.06,61.63,67.56,3771200
2000-02-24,68.63,72.75,68.0,72.31,5310500
2000-02-25,63.0,63.5,57.0,58.56,21409100
2000-02-28,58.56,59.5,52.69,53.69,5619800
2000-02-29,54.75,54.88,51.25,52.5,5443000
2000-03-01,52.63,53.88,47.75,48.25,7782400
2000-03-02,48.69,49.63,45.5,46.56,5116900
2000-03-03,51.25,55.0,49.53,52.88,5869700
2000-03-06,55.5,57.25,53.81,55.06,4760300
2000-03-07,56.38,56.75,50.5,51.69,3240200
2000-03-08,53.5,53.88,50.75,51.38,2747700
2000-03-09,50.5,56.38,50.0,56.25,5311400
2000-03-10,55.25,59.63,54.94,58.44,4705900
2000-03-13,57.31,57.44,53.44,53.5,3263400
2000-03-14,55.25,56.0,51.0,51.06,2438800
2000-03-15,53.0,53.0,48.81,50.06,3043000
2000-03-16,51.75,53.02,46.25,51.94,5205400
2000-03-17,53.75,55.0,52.5,54.5,5378100
2000-03-20,54.38,54.88,50.25,51.0,2098400
2000-03-21,51.0,53.06,48.25,52.94,2488000
2000-03-22,52.38,52.88,51.0,52.44,2681400
2000-03-23,51.0,56.75,50.63,55.94,5408800
2000-03-24,56.88,61.12,56.75,59.75,9094800
2000-03-27,60.0,61.38,58.44,58.94,3272200
2000-03-28,58.63,58.63,55.94,56.06,1823000
2000-03-29,56.5,56.5,51.5,51.94,3596700
2000-03-30,51.13,53.69,50.5,50.94,2828900
2000-03-31,52.0,55.0,50.88,54.38,3161900
2000-04-03,53.0,53.75,49.0,49.31,2320900
2000-04-04,50.94,52.63,45.63,51.69,3025500
2000-04-05,50.0,52.25,48.56,49.63,2415900
2000-04-06,50.69,51.0,47.88,48.75,2283900
2000-04-07,49.19,50.94,48.88,50.31,2540600
2000-04-10,47.31,47.31,40.0,41.0,9390200
2000-04-11,41.19,41.19,37.5,39.5,7920400
2000-04-12,40.5,41.0,36.13,37.44,4924400
2000-04-13,37.56,40.13,35.25,35.63,4353500
2000-04-14,34.63,40.13,31.88,32.0,4225400
2000-04-17,31.75,35.0,30.5,33.88,4948800
2000-04-18,35.0,37.13,33.0,36.75,4493900
2000-04-19,37.5,37.5,34.44,34.94,3083500
2000-04-20,35.06,35.38,33.88,35.0,2649800
2000-04-24,34.44,34.5,30.0,31.75,2382400
2000-04-25,33.38,35.94,32.56,35.56,3660000
2000-04-26,35.75,40.25,35.5,37.13,4533800
2000-04-27,36.63,40.31,34.06,40.0,2992400
2000-04-28,40.63,40.75,35.5,35.94,3721800
2000-05-01,37.13,38.0,36.0,36.13,4091300
2000-05-02,36.5,37.0,34.13,34.5,1997400
2000-05-03,34.06,34.06,31.13,32.06,2143400
2000-05-04,33.0,34.38,32.13,33.5,1950700
2000-05-05,32.56,35.25,32.5,34.63,1633000
2000-05-08,34.69,34.81,31.94,32.0,1667900
2000-05-09,32.38,32.38,29.44,31.56,3554600
2000-05-10,31.38,32.13,29.5,30.19,1734300
2000-05-11,31.0,31.0,28.81,30.06,4518600
2000-05-12,30.31,30.38,28.31,28.56,4887200
2000-05-15,28.94,29.0,27.25,28.25,3632600
2000-05-16,28.5,28.69,27.56,28.38,3095700
2000-05-17,28.19,28.94,27.63,28.0,2776800
2000-05-18,28.25,28.31,25.75,26.13,2211300
2000-05-19,26.19,30.0,26.19,29.13,6165800
2000-05-22,29.63,29.75,26.5,28.31,8835500
2000-05-23,28.38,29.25,26.75,27.06,4149100
2000-05-24,29.61,36.0,28.88,35.06,13801200
2000-05-25,35.25,38.38,31.5,31.94,6623800
2000-05-26,32.5,33.5,31.88,33.31,3227700
2000-05-30,34.44,38.31,34.38,38.25,2725300
2000-05-31,37.63,38.0,36.13,36.5,1774900
2000-06-01,37.0,39.0,36.88,38.38,1834800
2000-06-02,40.5,41.5,39.38,40.94,3272800
2000-06-05,40.94,43.63,40.63,42.63,3683900
2000-06-06,41.69,41.81,38.63,38.88,3043400
2000-06-07,39.5,40.0,36.0,37.69,4628500
2000-06-08,38.44,38.5,37.13,37.25,2109900
2000-06-09,38.13,40.13,37.63,38.56,2812500
2000-06-12,38.88,38.94,36.38,36.44,1408300
2000-06-13,36.5,37.69,36.13,36.5,1868400
2000-06-14,36.63,37.5,36.56,36.94,2176700
2000-06-15,37.31,38.5,35.19,38.31,1844700
2000-06-16,37.75,38.75,37.38,38.2,2520100
2000-06-19,38.38,38.94,36.63,38.81,1527700
2000-06-20,38.81,38.88,37.38,37.81,1886100
2000-06-21,37.13,38.38,36.38,37.94,1951000
2000-06-22,37.94,40.06,37.56,37.75,1896100
2000-06-23,38.0,38.63,36.75,37.0,1471400
2000-06-26,37.75,38.88,36.38,38.81,2041800
2000-06-27,39.13,39.25,37.75,38.38,2574800
2000-06-28,38.75,39.5,37.5,38.81,3170300
2000-06-29,38.56,42.0,38.38,41.63,5502700
2000-06-30,42.0,42.0,39.94,41.38,2850600
2000-07-03,41.06,41.25,40.25,40.31,435500
