,open,high,low,close,volume
2000-06-16,9.06,9.25,9.0,9.12,115800
2000-06-19,9.12,9.25,9.0,9.0,302800
2000-06-20,9.03,9.81,7.88,9.38,261600
2000-06-21,10.0,11.12,9.62,11.0,520400
2000-06-22,11.06,11.12,9.53,9.88,190600
2000-06-23,10.19,10.62,10.0,10.38,136600
2000-06-26,10.5,10.62,9.75,10.0,101800
2000-06-27,10.0,10.44,9.0,9.5,136800
2000-06-28,9.62,9.88,9.12,9.62,184000
2000-06-29,9.88,9.88,9.0,9.0,185400
2000-06-30,9.31,9.62,9.12,9.44,191000
2000-07-03,9.75,9.75,9.5,9.62,32000
2000-07-05,9.75,10.0,9.5,10.0,138200
2000-07-06,10.0,10.06,9.44,9.75,129800
2000-07-07,10.03,11.62,9.56,10.25,793600
2000-07-10,11.06,13.25,10.44,12.56,629000
2000-07-11,13.56,14.25,11.88,12.75,1337000
2000-07-12,13.97,15.44,12.69,15.0,1094600
2000-07-13,18.0,18.12,16.12,16.75,1220200
2000-07-14,17.62,17.75,14.88,15.5,563800
2000-07-17,16.0,16.12,15.25,15.62,184400
2000-07-18,15.69,15.94,14.38,14.5,134200
2000-07-19,14.38,14.5,13.12,14.0,176200
2000-07-20,13.81,16.62,13.62,15.88,263200
2000-07-21,15.88,17.12,15.62,17.12,190600
2000-07-24,17.0,17.75,16.06,16.75,186200
2000-07-25,16.88,17.25,15.5,16.12,96600
2000-07-26,16.12,17.5,14.12,17.38,196400
2000-07-27,16.75,19.0,16.5,17.12,223200
2000-07-28,17.12,17.19,15.5,16.25,151400
2000-07-31,16.0,19.06,14.88,18.88,319600
2000-08-01,17.94,18.12,17.38,17.44,99200
2000-08-02,17.5,18.19,17.0,17.06,66200
2000-08-03,17.0,18.0,16.5,17.56,49000
2000-08-04,18.0,18.06,16.88,17.06,81400
2000-08-07,17.0,17.38,15.5,16.0,116000
2000-08-08,16.75,16.75,15.5,15.75,33000
2000-08-09,15.72,15.94,14.5,14.69,78800
2000-08-10,14.75,15.62,14.62,14.75,50200
2000-08-11,14.31,14.75,13.19,14.0,86200
2000-08-14,14.66,14.66,14.0,14.0,37200
2000-08-15,13.94,14.0,12.62,12.62,137000
2000-08-16,12.75,14.19,12.75,13.69,54000
2000-08-17,14.0,14.5,13.62,14.5,119400
2000-08-18,14.53,14.62,14.0,14.0,25800
2000-08-21,13.91,13.94,13.25,13.56,16400
