,open,high,low,close,volume
2000-01-03,39.75,39.94,37.13,37.38,27718000
2000-01-04,36.88,37.75,35.75,36.06,21152800
2000-01-05,36.19,36.25,34.5,35.31,25592400
2000-01-06,35.13,36.0,34.81,35.13,21321200
2000-01-07,35.0,35.75,34.06,35.63,15770400
2000-01-10,36.25,36.88,35.88,36.75,12923600
2000-01-11,36.94,36.94,34.13,34.31,22435600
2000-01-12,33.25,33.75,32.0,32.25,19673200
2000-01-13,33.25,34.38,32.56,34.38,18454000
2000-01-14,35.69,36.0,33.44,34.88,22944000
2000-01-18,36.25,40.13,35.75,40.0,44281600
2000-01-19,38.94,39.38,37.44,38.0,36460000
2000-01-20,38.25,38.38,37.0,37.88,16452000
2000-01-21,38.19,39.38,38.0,39.0,23904800
2000-01-24,39.38,39.44,37.88,37.88,20022400
2000-01-25,37.13,39.0,36.0,36.0,15426800
2000-01-26,37.94,39.5,37.38,39.38,31323200
2000-01-27,39.69,43.13,39.38,42.75,56377200
2000-01-28,42.75,43.88,41.25,42.0,40062400
2000-01-31,42.13,43.44,41.06,43.06,19953200
2000-02-01,42.38,42.5,41.0,41.69,24152800
2000-02-02,42.13,42.13,40.0,40.5,22174000
2000-02-03,41.06,41.56,40.31,40.88,13805600
2000-02-04,41.5,41.5,40.0,40.0,11888000
2000-02-07,39.94,40.0,38.25,39.13,17326000
2000-02-08,40.25,41.25,39.88,41.25,16819600
2000-02-09,41.0,41.75,40.63,41.06,17911600
2000-02-10,41.25,41.69,40.38,40.5,11180000
2000-02-11,40.63,40.63,38.94,39.63,9944000
2000-02-14,39.06,39.88,38.56,38.94,10647200
2000-02-15,38.75,39.0,37.94,38.63,15599200
2000-02-16,38.25,38.5,37.44,38.31,11429200
2000-02-17,38.38,40.0,37.56,39.69,36786000
2000-02-18,39.25,39.56,37.44,37.63,17070800
2000-02-22,38.0,38.44,37.63,38.25,9111200
2000-02-23,38.25,38.25,36.25,37.44,10110400
2000-02-24,37.31,38.0,35.63,37.75,17411200
2000-02-25,36.25,39.56,36.19,39.0,18385600
2000-02-28,39.0,39.44,37.5,39.19,13353200
2000-02-29,39.19,39.75,37.0,37.0,18341200
2000-03-01,38.5,40.5,37.0,37.0,30730800
2000-03-02,38.63,39.38,37.25,37.25,21835200
2000-03-03,39.0,40.75,38.63,40.25,39311200
2000-03-06,40.88,42.06,40.38,40.69,27140400
2000-03-07,40.94,41.25,38.75,39.25,27131600
2000-03-08,39.75,42.0,39.69,42.0,23225600
2000-03-09,41.5,45.81,41.5,44.63,46496800
2000-03-10,46.38,48.75,45.63,48.5,50430000
2000-03-13,45.38,48.0,45.31,46.0,26442800
2000-03-14,45.88,47.19,44.06,44.38,19106000
2000-03-15,44.56,46.44,43.38,46.44,18033200
2000-03-16,46.25,47.75,45.75,47.5,20424800
2000-03-17,46.88,48.44,46.81,47.25,17688800
2000-03-20,47.75,48.94,47.63,47.88,13528000
2000-03-21,48.0,48.19,46.75,48.0,13119200
2000-03-22,47.75,48.94,47.06,48.5,19777600
2000-03-23,49.25,50.25,48.94,49.38,19928000
2000-03-24,50.0,53.25,49.69,52.0,27358400
2000-03-27,51.5,51.56,50.5,50.56,16654800
2000-03-28,49.75,51.19,49.63,50.5,11349600
2000-03-29,50.56,51.06,49.25,49.88,14317200
2000-03-30,49.94,52.5,49.0,49.88,19978000
2000-03-31,51.0,51.44,49.88,50.13,10455600
2000-04-03,50.88,50.88,49.88,50.5,9589200
2000-04-04,50.25,50.44,43.38,47.31,29471600
2000-04-05,46.75,47.81,46.56,46.75,10089600
2000-04-06,47.19,48.88,47.13,47.75,8770800
2000-04-07,48.13,50.19,48.0,49.88,10924800
2000-04-10,49.88,50.25,48.69,49.63,11693200
2000-04-11,49.0,49.75,48.13,49.5,7208800
2000-04-12,49.0,49.88,46.0,46.56,14384800
2000-04-13,46.81,47.13,46.0,46.0,12630000
2000-04-14,45.0,45.13,42.75,43.5,17027200
2000-04-17,42.63,46.0,42.25,45.88,15468000
2000-04-18,45.5,45.63,42.06,43.75,28873600
2000-04-19,43.94,45.19,43.81,44.13,13858400
2000-04-20,44.38,46.06,44.31,44.88,11728000
2000-04-24,44.94,45.69,44.38,44.38,10722800
2000-04-25,45.5,48.5,45.31,48.13,13404000
2000-04-26,48.06,49.25,47.06,47.19,12022400
2000-04-27,47.13,47.75,46.81,47.13,6947200
2000-04-28,47.5,47.56,45.81,45.94,7688400
2000-05-01,45.94,48.5,45.75,47.81,9104800
2000-05-02,47.63,48.63,47.31,48.0,9314000
2000-05-03,47.63,48.75,46.38,46.75,8386800
2000-05-04,47.0,48.81,47.0,48.06,11780800
2000-05-05,48.0,49.94,47.81,49.38,13430400
2000-05-08,48.63,50.5,48.19,50.06,13285600
2000-05-09,50.5,50.94,49.5,49.5,14086400
2000-05-10,49.38,49.81,48.0,49.0,12849600
2000-05-11,49.38,49.69,47.56,48.69,9206800
2000-05-12,49.0,50.63,48.69,50.0,14390400
2000-05-15,50.38,51.38,49.81,50.75,10920800
2000-05-16,50.38,51.25,49.94,51.13,10618800
2000-05-17,50.63,50.88,50.0,50.56,7788800
2000-05-18,50.5,50.63,49.5,50.19,5898000
2000-05-19,47.75,49.0,47.44,47.52,19637600
2000-05-22,47.63,47.88,43.0,44.0,14110400
2000-05-23,44.0,44.31,41.0,42.0,38193200
2000-05-24,43.0,44.5,42.88,44.38,15159600
2000-05-25,44.81,47.25,44.75,45.44,12682800
2000-05-26,45.25,45.38,44.19,44.44,6565200
2000-05-30,44.69,46.88,44.69,46.56,9258400
2000-05-31,46.38,47.19,46.13,46.38,8938800
2000-06-01,47.38,49.31,47.25,48.56,12616800
