,open,high,low,close,volume
2000-01-03,34.06,34.06,33.75,33.88,53600
2000-01-04,33.88,33.88,33.25,33.56,119000
2000-01-05,33.5,34.0,33.25,33.94,112600
2000-01-06,33.63,35.0,33.63,34.75,159267
2000-01-07,34.94,35.5,34.94,35.31,177467
2000-01-10,35.5,35.88,35.44,35.88,149400
2000-01-11,35.75,35.81,35.38,35.44,50467
2000-01-12,35.94,35.94,35.0,35.13,347267
2000-01-13,35.25,35.5,35.06,35.5,143667
2000-01-14,35.63,35.88,35.63,35.63,62667
2000-01-18,35.69,35.75,34.63,35.63,121467
2000-01-19,35.75,35.75,35.19,35.69,160400
2000-01-20,35.75,36.0,35.56,35.56,87867
2000-01-21,35.63,35.88,35.25,35.38,68000
2000-01-24,35.63,36.0,35.25,35.25,45467
2000-01-25,35.31,35.5,34.81,35.19,89667
2000-01-26,35.19,35.94,35.19,35.56,155200
2000-01-27,35.5,35.75,35.44,35.56,173267
2000-01-28,35.63,35.63,35.5,35.56,45867
2000-01-31,35.5,35.56,35.13,35.25,67800
2000-02-01,35.25,35.56,34.94,34.94,55600
2000-02-02,34.94,35.13,34.75,35.13,98400
2000-02-03,35.13,35.69,35.0,35.5,90000
2000-02-04,35.38,35.69,35.0,35.19,88867
2000-02-07,34.94,35.13,34.88,35.13,135067
2000-02-08,34.94,35.19,34.69,35.13,87600
2000-02-09,35.13,35.13,34.25,34.81,222400
2000-02-10,34.81,34.94,34.13,34.31,134400
2000-02-11,34.19,34.63,34.06,34.38,105067
2000-02-14,34.06,34.13,33.5,33.75,118467
2000-02-15,33.63,34.38,33.38,33.88,85600
2000-02-16,33.75,34.38,33.69,34.06,59467
2000-02-17,34.0,34.5,34.0,34.38,103667
2000-02-18,34.5,34.75,33.81,33.94,159067
2000-02-22,33.75,33.94,33.56,33.69,93467
2000-02-23,33.94,34.19,33.06,33.44,65800
2000-02-24,33.63,34.0,33.44,33.56,52867
2000-02-25,33.5,33.69,32.75,33.06,214600
2000-02-28,33.0,33.38,33.0,33.19,58800
2000-02-29,33.06,34.5,33.0,34.44,136667
2000-03-01,34.19,34.25,33.94,34.0,95267
2000-03-02,34.06,34.75,34.0,34.63,81067
2000-03-03,34.38,34.5,34.0,34.5,109600
2000-03-06,34.31,34.38,33.81,34.06,66867
2000-03-07,34.0,34.25,33.88,34.25,123200
2000-03-08,34.25,34.44,34.0,34.06,112867
2000-03-09,34.0,34.63,33.88,34.31,190200
2000-03-10,34.5,34.63,34.5,34.5,43600
2000-03-13,34.13,34.63,34.13,34.25,66200
2000-03-14,34.0,34.75,34.0,34.69,79267
2000-03-15,34.63,35.38,34.5,35.38,95800
2000-03-16,35.75,36.56,35.31,36.38,154067
2000-03-17,36.25,36.25,35.88,36.25,76067
2000-03-20,36.13,36.75,36.0,36.69,58867
2000-03-21,36.69,37.0,36.5,36.75,49667
2000-03-22,36.75,37.0,36.5,36.81,58400
2000-03-23,36.25,37.19,36.25,36.94,78200
2000-03-24,37.0,37.0,36.63,36.81,48667
2000-03-27,36.63,37.06,36.63,36.88,59200
2000-03-28,36.63,37.0,36.13,36.63,78400
2000-03-29,36.81,37.25,36.63,37.19,259600
2000-03-30,37.13,37.5,36.75,37.25,106600
2000-03-31,37.25,37.5,36.88,37.5,191600
2000-04-03,36.94,37.31,36.81,37.06,66667
2000-04-04,36.88,37.0,36.25,36.63,50467
2000-04-05,36.81,37.81,36.63,37.81,107600
2000-04-06,37.81,38.0,37.75,37.88,66800
2000-04-07,37.94,38.25,37.81,38.25,80000
2000-04-10,38.25,38.88,38.06,38.56,42000
2000-04-11,38.75,39.56,38.63,39.38,79467
2000-04-12,39.44,39.81,39.0,39.38,98400
2000-04-13,39.25,39.44,39.0,39.31,54800
2000-04-14,39.06,39.69,39.0,39.25,190667
2000-04-17,39.13,39.31,38.75,39.31,160600
2000-04-18,39.56,39.56,39.06,39.5,65467
2000-04-19,39.25,39.75,39.19,39.75,47867
2000-04-20,39.63,39.88,39.44,39.56,54800
2000-04-24,39.56,40.06,39.56,40.06,56600
2000-04-25,40.31,40.38,39.88,40.0,44267
2000-04-26,40.13,40.13,39.69,39.94,65467
2000-04-27,39.81,39.88,39.63,39.81,80067
2000-04-28,39.69,39.94,39.63,39.81,91267
2000-05-01,39.75,40.31,39.75,40.31,306667
2000-05-02,40.88,41.75,40.38,41.44,151800
2000-05-03,41.44,42.25,41.44,41.5,140667
2000-05-04,41.75,41.88,40.75,40.88,122867
2000-05-05,40.81,41.06,40.5,40.69,84400
2000-05-08,40.94,40.94,40.19,40.5,111400
2000-05-09,40.63,41.19,40.56,40.94,84600
2000-05-10,40.81,40.88,40.44,40.5,64200
2000-05-11,40.5,40.75,40.38,40.56,92200
2000-05-12,40.75,40.75,40.5,40.56,87800
2000-05-15,40.5,40.88,40.0,40.75,97400
2000-05-16,41.0,41.13,40.56,41.0,50400
2000-05-17,41.0,41.06,40.75,40.81,79800
2000-05-18,40.88,41.0,40.69,40.69,102467
2000-05-19,40.63,40.88,40.5,40.88,44867
2000-05-22,40.94,41.0,40.56,40.81,44400
2000-05-23,40.81,41.5,40.75,41.13,46600
2000-05-24,40.94,41.13,40.81,40.94,54600
2000-05-25,40.94,40.94,40.69,40.69,77667
2000-05-26,40.56,40.88,40.5,40.63,43200
2000-05-30,40.56,40.94,40.5,40.56,65400
2000-05-31,40.56,40.75,40.5,40.63,38000
2000-06-01,40.5,40.63,40.31,40.31,89267
2000-06-02,40.31,40.75,40.31,40.56,87667
2000-06-05,40.5,40.56,40.25,40.31,29600
2000-06-06,40.38,40.56,40.25,40.5,45267
2000-06-07,40.63,40.75,40.44,40.5,138600
2000-06-08,40.5,40.56,40.38,40.5,79800
2000-06-09,40.38,40.69,40.38,40.38,48267
2000-06-12,40.5,40.5,40.25,40.31,95667
2000-06-13,40.31,40.31,40.19,40.31,165600
2000-06-14,40.31,42.5,40.25,42.19,332400
2000-06-15,42.38,42.69,41.06,41.06,85867
2000-06-16,41.19,41.25,41.0,41.13,46000
2000-06-19,41.38,41.75,41.06,41.5,46000
2000-06-20,41.5,41.94,41.38,41.94,43800
2000-06-21,41.81,41.88,41.44,41.75,62467
2000-06-22,41.94,42.0,41.5,42.0,67267
2000-06-23,41.88,41.88,41.38,41.75,38867
2000-06-26,41.94,41.94,41.25,41.5,51867
2000-06-27,41.5,42.25,41.5,42.13,104400
2000-06-28,42.0,42.25,41.81,42.0,264667
2000-06-29,42.13,42.38,42.0,42.19,242400
2000-06-30,42.19,42.19,40.75,41.02,247867
2000-07-03,40.31,41.5,40.31,41.44,55667
2000-07-05,41.56,41.75,41.5,41.75,92800
2000-07-06,41.63,42.19,41.63,42.19,325467
2000-07-07,42.13,42.13,42.0,42.03,400600
2000-07-10,42.13,42.69,42.13,42.53,51267
2000-07-11,42.31,42.75,42.25,42.41,101867
2000-07-12,42.44,42.5,41.81,41.84,355067
2000-07-13,41.75,42.38,41.75,42.16,98267
2000-07-14,42.25,42.44,42.13,42.22,75200
2000-07-17,42.25,42.31,42.06,42.16,58200
