,open,high,low,close,volume
2000-01-03,2.25,2.375,2.25,2.25,74100
2000-01-04,2.188,2.25,2.125,2.188,53500
2000-01-05,2.125,2.188,2.125,2.188,30800
2000-01-06,2.125,2.313,2.125,2.25,74500
2000-01-07,2.25,2.938,2.188,2.375,120300
2000-01-10,2.438,2.5,2.375,2.438,95600
2000-01-11,2.438,2.5,2.25,2.313,103000
2000-01-12,2.313,2.375,2.188,2.188,127200
2000-01-13,2.25,2.25,2.0,2.0,341900
2000-01-14,2.0,2.063,1.938,2.0,495000
2000-01-18,2.0,2.063,1.938,2.0,413600
2000-01-19,2.0,2.0,1.938,2.0,98100
2000-01-20,2.0,2.0,1.313,1.438,9948200
2000-01-21,1.5,1.563,1.438,1.563,1894700
2000-01-24,1.563,1.563,1.5,1.563,801000
2000-01-25,1.563,1.625,1.5,1.563,328800
2000-01-26,1.563,1.625,1.5,1.563,187600
2000-01-27,1.563,1.563,1.5,1.563,606000
2000-01-28,1.5,1.563,1.438,1.5,400000
2000-01-31,1.563,1.625,1.5,1.563,1002300
2000-02-01,1.625,1.75,1.563,1.688,653700
2000-02-02,1.688,1.75,1.625,1.688,369100
2000-02-03,1.75,1.813,1.625,1.625,567300
2000-02-04,1.688,1.75,1.625,1.688,418200
2000-02-07,1.75,1.813,1.688,1.75,568400
2000-02-08,1.75,1.813,1.688,1.688,667700
2000-02-09,1.75,1.75,1.563,1.625,525600
2000-02-10,1.625,1.625,1.5,1.563,477200
2000-02-11,1.563,1.563,1.375,1.5,691000
2000-02-14,1.563,1.563,1.438,1.5,551600
2000-02-15,1.5,1.563,1.5,1.563,314200
2000-02-16,1.563,1.563,1.5,1.5,459500
2000-02-17,1.563,1.563,1.5,1.5,206500
2000-02-18,1.563,1.625,1.5,1.625,343700
2000-02-22,1.625,1.625,1.563,1.625,212500
2000-02-23,1.625,1.625,1.563,1.625,227300
2000-02-24,1.625,1.625,1.563,1.625,322300
2000-02-25,1.625,1.625,1.563,1.625,238000
2000-02-28,1.625,1.688,1.563,1.625,270900
2000-02-29,1.625,1.688,1.563,1.625,358000
2000-03-01,1.625,1.688,1.563,1.625,267000
2000-03-02,1.625,1.688,1.563,1.688,305500
