,open,high,low,close,volume
2000-01-03,43.44,43.69,40.31,40.56,963500
2000-01-04,40.44,41.12,39.62,39.75,1200200
2000-01-05,39.62,39.94,39.19,39.19,435400
2000-01-06,40.06,40.06,37.88,38.56,1056900
2000-01-07,39.12,39.25,38.38,38.81,780800
2000-01-10,38.69,39.0,38.25,38.31,684400
2000-01-11,38.38,38.62,36.88,37.12,886300
2000-01-12,37.25,37.69,36.19,36.69,728800
2000-01-13,36.62,36.69,34.94,35.06,1146300
2000-01-14,34.62,36.19,34.62,35.12,1047200
2000-01-18,34.94,35.62,33.88,34.19,521100
2000-01-19,34.25,34.5,33.5,34.0,825500
2000-01-20,33.75,34.31,32.78,34.06,751400
2000-01-21,34.44,34.44,33.12,33.31,1265100
2000-01-24,33.31,33.31,31.81,32.75,541000
2000-01-25,32.38,33.12,32.31,32.56,1255600
2000-01-26,33.25,33.44,32.44,32.62,710600
2000-01-27,33.12,33.44,31.5,31.81,1500300
2000-01-28,31.88,31.94,30.19,30.5,1869600
2000-01-31,30.75,30.94,30.31,30.69,663200
2000-02-01,30.88,32.12,30.75,31.12,1524000
2000-02-02,32.0,35.0,31.62,33.25,1787500
2000-02-03,35.0,36.0,33.75,34.81,2328300
2000-02-04,35.06,35.56,34.56,35.5,1731100
2000-02-07,35.69,35.69,34.81,34.94,1334800
2000-02-08,35.5,35.62,34.88,35.5,1101200
2000-02-09,35.5,35.56,34.25,34.5,649000
2000-02-10,34.75,34.75,34.06,34.31,704800
2000-02-11,34.38,34.38,33.12,33.31,586800
2000-02-14,33.38,33.62,32.69,33.5,704000
2000-02-15,33.75,34.12,33.69,33.81,692500
2000-02-16,33.75,33.75,30.5,31.12,1295200
2000-02-17,31.38,31.81,30.62,30.69,926500
2000-02-18,30.44,30.88,30.19,30.62,702400
2000-02-22,31.5,31.69,30.69,31.44,703100
2000-02-23,31.69,32.25,30.5,30.69,1301200
2000-02-24,30.75,30.81,28.88,29.19,1571700
2000-02-25,29.12,30.25,29.12,30.12,1459100
2000-02-28,31.25,31.62,30.38,31.31,1195300
2000-02-29,32.0,34.0,31.62,34.0,1315700
2000-03-01,33.31,33.75,32.56,33.62,1276900
2000-03-02,33.62,33.81,33.06,33.62,1708600
2000-03-03,33.62,33.81,33.06,33.81,807900
2000-03-06,33.5,33.69,32.81,33.5,788500
2000-03-07,33.81,33.81,31.88,31.94,1159100
2000-03-08,32.38,32.44,31.56,32.25,883900
2000-03-09,32.0,34.0,32.0,34.0,962500
2000-03-10,34.0,34.06,33.44,34.0,613400
2000-03-13,33.88,33.88,32.88,33.44,612100
2000-03-14,33.44,33.75,32.81,33.38,780600
2000-03-15,33.19,36.44,33.19,35.69,960900
2000-03-16,35.69,39.56,35.69,39.5,1574800
2000-03-17,38.75,38.81,37.25,37.38,889100
2000-03-20,37.0,38.62,36.88,37.94,633100
2000-03-21,38.44,39.5,38.31,38.56,1386700
2000-03-22,38.5,38.5,37.5,38.25,1171100
2000-03-23,38.25,38.44,37.94,38.31,1021700
2000-03-24,38.31,38.94,38.12,38.69,317000
2000-03-27,38.44,39.56,38.31,39.38,867400
2000-03-28,39.75,39.88,38.38,38.56,603400
2000-03-29,38.69,39.31,38.62,39.31,356000
2000-03-30,39.44,41.38,39.06,41.31,1199400
2000-03-31,40.5,42.81,40.5,42.12,1330800
2000-04-03,42.19,43.88,42.19,43.44,1337200
2000-04-04,43.44,43.5,39.31,41.19,1442600
2000-04-05,40.88,41.94,40.56,41.69,656000
2000-04-06,45.0,47.5,43.88,46.81,3732500
2000-04-07,47.0,51.5,46.94,48.75,2805800
2000-04-10,48.62,49.5,47.31,48.81,1193400
2000-04-11,48.88,51.75,48.81,51.44,1572600
2000-04-12,50.5,50.75,47.81,47.81,863900
2000-04-13,48.0,49.5,46.88,46.88,691500
2000-04-14,46.56,46.81,44.0,44.19,885600
2000-04-17,44.19,44.75,41.88,42.94,1554300
2000-04-18,43.5,44.81,43.12,44.0,1088700
2000-04-19,43.75,44.94,43.75,44.75,744100
2000-04-20,44.5,44.75,43.06,43.94,817800
2000-04-24,43.38,46.62,43.38,46.25,924900
2000-04-25,47.0,47.38,46.06,46.69,900000
2000-04-26,46.81,47.75,46.25,46.69,1344000
2000-04-27,46.12,46.69,44.38,44.94,1468100
2000-04-28,45.0,45.81,44.88,45.19,971400
2000-05-01,45.44,48.69,45.38,48.62,1263100
2000-05-02,48.38,50.0,46.81,50.0,1418600
2000-05-03,46.56,47.31,44.12,44.5,1561700
2000-05-04,44.5,46.06,44.44,45.69,1146500
2000-05-05,45.44,47.38,45.12,47.38,1022000
2000-05-08,47.12,47.81,46.75,47.81,479400
2000-05-09,48.0,49.38,48.0,49.38,589900
2000-05-10,49.12,49.12,48.56,49.12,1314000
2000-05-11,49.12,49.38,48.62,49.38,437900
2000-05-12,49.88,50.0,49.44,49.62,508300
2000-05-15,47.5,50.12,47.5,50.12,1384700
2000-05-16,49.25,50.88,48.94,49.62,1140200
2000-05-17,49.62,49.62,47.19,48.44,1384100
2000-05-18,47.88,48.94,47.88,48.5,325500
2000-05-19,47.62,48.62,47.25,48.62,504300
2000-05-22,48.62,49.62,48.5,49.25,589700
2000-05-23,49.0,49.69,48.31,48.75,631600
2000-05-24,48.75,48.75,46.25,47.94,995900
2000-05-25,48.19,51.69,48.19,49.5,1859600
2000-05-26,49.31,50.0,47.06,47.38,2385100
2000-05-30,47.5,48.56,47.5,48.12,1171200
2000-05-31,24.0,24.44,23.81,24.12,806450
2000-06-01,24.31,24.38,23.25,23.62,1284100
2000-06-02,23.62,24.31,23.62,23.81,3052200
2000-06-05,23.88,24.5,23.69,24.25,1466400
2000-06-06,24.0,24.19,22.88,23.0,1467500
