,open,high,low,close,volume
2000-01-03,16.13,16.25,15.75,15.94,190300
2000-01-04,15.69,16.0,15.69,15.81,269500
2000-01-05,15.88,16.06,15.81,15.88,109500
2000-01-06,15.81,15.94,15.69,15.88,251300
2000-01-07,15.88,16.31,15.81,16.19,449500
2000-01-10,16.19,16.5,16.0,16.31,1035400
2000-01-11,16.38,16.38,16.0,16.0,285400
2000-01-12,16.25,16.56,15.75,16.13,446700
2000-01-13,16.38,16.75,16.38,16.5,153400
2000-01-14,16.63,17.0,16.56,16.56,197300
2000-01-18,16.63,16.69,16.44,16.44,335100
2000-01-19,16.06,16.63,16.06,16.31,221000
2000-01-20,16.31,16.5,16.25,16.44,333000
2000-01-21,16.38,16.5,16.13,16.31,546400
2000-01-24,16.31,16.5,16.25,16.31,538600
2000-01-25,16.38,16.44,16.13,16.19,524900
2000-01-26,16.31,16.31,16.06,16.13,659800
2000-01-27,16.13,16.38,16.06,16.19,402000
2000-01-28,16.31,16.31,15.75,15.75,319200
2000-01-31,16.0,16.13,15.88,15.94,223800
2000-02-01,16.0,16.13,15.94,16.0,314500
2000-02-02,16.0,16.06,16.0,16.0,153300
2000-02-03,16.06,17.0,16.0,16.38,316000
2000-02-04,16.44,16.75,16.31,16.63,1185600
2000-02-07,16.5,16.75,16.25,16.31,667200
2000-02-08,16.19,17.25,16.13,16.13,233600
2000-02-09,16.38,16.63,16.38,16.56,176900
2000-02-10,16.5,16.5,16.06,16.19,264700
2000-02-11,16.06,16.13,15.81,15.81,149300
2000-02-14,16.0,16.0,15.75,15.88,119700
2000-02-15,15.88,16.63,15.88,16.63,286400
2000-02-16,16.38,16.44,16.0,16.0,107000
2000-02-17,16.06,18.63,16.06,16.94,1420000
2000-02-18,17.13,17.5,16.38,16.63,461900
2000-02-22,16.75,16.88,16.31,16.31,260300
2000-02-23,16.31,16.38,15.75,15.94,591500
2000-02-24,16.19,16.19,15.25,15.75,408000
2000-02-25,15.75,15.75,15.56,15.63,130700
2000-02-28,15.56,15.94,15.44,15.94,116200
2000-02-29,15.69,16.5,15.69,16.5,137100
2000-03-01,16.44,16.88,16.31,16.88,157100
2000-03-02,16.88,17.13,16.81,16.88,129300
2000-03-03,17.13,17.5,17.0,17.06,163900
2000-03-06,17.06,17.38,16.63,16.94,157800
2000-03-07,16.69,17.06,16.25,16.25,94400
2000-03-08,16.38,16.69,16.38,16.56,167400
2000-03-09,16.25,16.88,16.25,16.88,114700
2000-03-10,16.88,17.13,16.63,16.88,177700
2000-03-13,16.5,17.06,16.5,16.81,119200
2000-03-14,16.69,17.19,16.69,16.88,101400
2000-03-15,16.88,18.44,16.69,18.0,379700
2000-03-16,18.06,19.88,18.06,19.13,624500
2000-03-17,19.75,20.75,19.63,20.75,632100
2000-03-20,20.63,21.25,20.31,21.25,347300
2000-03-21,21.31,21.31,20.5,20.88,468800
2000-03-22,20.81,20.94,20.44,20.5,382500
2000-03-23,20.5,21.19,20.5,21.13,477100
2000-03-24,21.13,21.19,20.38,21.06,387100
2000-03-27,21.0,21.0,20.63,20.88,176400
2000-03-28,20.88,20.94,20.5,20.63,256200
2000-03-29,20.63,20.69,20.5,20.56,156000
2000-03-30,20.56,21.44,20.5,20.94,553400
2000-03-31,21.0,21.75,20.94,21.69,279800
2000-04-03,21.5,21.56,20.06,20.63,490400
2000-04-04,21.13,21.13,19.63,19.63,307800
2000-04-05,19.38,20.88,19.38,20.5,460300
2000-04-06,20.69,20.88,20.44,20.44,195700
2000-04-07,20.5,20.81,20.44,20.5,286100
2000-04-10,20.38,20.69,20.25,20.25,280000
2000-04-11,20.31,20.31,19.88,19.94,255100
2000-04-12,20.0,21.06,20.0,20.5,261500
2000-04-13,20.69,20.94,20.56,20.56,123100
2000-04-14,20.69,20.69,18.94,19.06,292000
2000-04-17,18.81,19.0,18.38,18.63,320500
2000-04-18,18.63,19.63,18.31,19.63,265800
2000-04-19,19.38,19.63,19.25,19.44,143600
2000-04-20,19.38,19.88,19.13,19.63,158200
2000-04-24,19.63,19.69,19.0,19.0,127500
2000-04-25,19.25,19.5,19.0,19.31,302700
2000-04-26,19.25,19.25,18.75,18.81,135400
2000-04-27,19.0,19.0,18.75,18.94,149400
2000-04-28,19.0,19.06,18.19,18.63,305900
2000-05-01,18.75,19.19,18.75,18.88,92300
2000-05-02,18.63,18.81,18.25,18.31,177500
2000-05-03,18.13,18.88,17.88,18.38,356500
2000-05-04,18.25,18.88,18.25,18.5,157200
2000-05-05,18.25,18.81,18.25,18.81,265900
2000-05-08,18.69,18.69,17.94,18.0,178700
2000-05-09,18.13,18.69,18.0,18.13,435100
2000-05-10,18.31,18.31,17.5,17.5,218000
2000-05-11,17.75,18.88,17.75,18.5,255400
2000-05-12,18.63,19.13,18.19,18.75,155400
2000-05-15,18.5,18.94,18.19,18.94,114800
2000-05-16,18.94,19.31,18.63,19.25,193800
2000-05-17,19.0,19.31,18.75,19.0,237400
2000-05-18,18.88,19.19,18.63,18.63,155500
2000-05-19,18.0,18.19,17.5,18.0,246700
2000-05-22,18.25,18.25,17.38,18.0,111200
2000-05-23,17.75,17.88,17.44,17.75,95700
2000-05-24,17.94,18.94,17.75,18.69,329500
2000-05-25,18.94,19.31,18.63,18.63,441200
2000-05-26,18.88,18.88,18.06,18.31,89100
2000-05-30,18.56,19.06,18.5,19.0,98700
2000-05-31,18.88,19.06,18.81,19.06,141200
2000-06-01,19.25,19.31,17.88,18.0,184400
2000-06-02,18.5,19.94,18.5,19.69,629500
2000-06-05,19.69,19.69,19.0,19.31,234100
2000-06-06,19.13,19.56,19.13,19.5,246300
2000-06-07,19.38,19.38,18.81,19.0,154900
