,open,high,low,close,volume
2000-01-03,27.5,27.5,26.62,26.81,114700
2000-01-04,26.56,26.94,26.44,26.81,119800
2000-01-05,26.75,28.38,26.75,28.12,142100
2000-01-06,28.0,28.5,27.69,28.12,71400
2000-01-07,28.12,28.62,28.0,28.5,65200
2000-01-10,28.44,28.69,28.25,28.56,102900
2000-01-11,28.44,28.69,28.38,28.5,96700
2000-01-12,28.25,28.88,28.19,28.81,75100
2000-01-13,28.81,29.25,28.81,29.06,88500
2000-01-14,29.25,29.25,28.44,28.69,113200
2000-01-18,28.5,28.75,28.06,28.5,109900
2000-01-19,28.44,28.94,28.25,28.75,123900
2000-01-20,28.62,29.88,28.25,29.88,202600
2000-01-21,30.06,34.75,30.0,33.44,756600
2000-01-24,33.44,37.75,33.44,34.62,910600
2000-01-25,34.62,35.25,30.62,31.25,292200
2000-01-26,31.25,31.25,30.19,30.56,783400
2000-01-27,30.19,30.19,29.69,29.88,441300
2000-01-28,29.88,29.88,29.38,29.69,159500
2000-01-31,29.5,29.81,29.38,29.81,157800
2000-02-01,29.81,29.81,29.5,29.81,315500
2000-02-02,29.81,29.81,28.88,28.88,178100
2000-02-03,29.12,29.5,29.12,29.5,319100
2000-02-04,29.5,29.5,28.75,29.06,118700
2000-02-07,29.0,29.12,28.75,29.06,79800
2000-02-08,29.19,29.25,28.94,29.12,361500
2000-02-09,29.06,29.38,29.06,29.31,106500
2000-02-10,29.19,30.0,29.19,29.75,246300
2000-02-11,29.69,30.5,29.5,30.19,151500
2000-02-14,30.31,30.88,30.06,30.44,111400
2000-02-15,30.56,31.44,30.38,31.38,171800
2000-02-16,31.38,31.38,30.94,31.12,86300
2000-02-17,31.0,31.25,30.75,30.94,335400
2000-02-18,30.81,30.94,30.06,30.25,86600
2000-02-22,30.19,30.38,29.56,30.0,139600
2000-02-23,29.94,30.0,29.0,29.5,231200
2000-02-24,29.5,29.5,28.88,29.06,125100
2000-02-25,29.06,29.19,28.38,28.44,97400
2000-02-28,28.44,28.62,28.06,28.38,123700
2000-02-29,28.38,28.44,28.0,28.12,127200
2000-03-01,28.25,28.44,27.38,27.88,95300
2000-03-02,27.88,28.19,27.5,27.5,187400
2000-03-03,27.62,27.62,27.31,27.44,173500
2000-03-06,27.5,27.5,27.0,27.31,119900
2000-03-07,27.25,27.62,27.06,27.62,266300
2000-03-08,27.62,28.81,27.5,28.56,211700
2000-03-09,28.31,28.62,28.31,28.56,329400
2000-03-10,28.44,28.62,27.81,28.31,93700
2000-03-13,28.25,28.25,27.62,27.81,64900
2000-03-14,27.81,28.0,27.25,27.56,70900
2000-03-15,27.62,28.0,27.31,27.94,125900
2000-03-16,27.94,30.94,27.94,30.88,238100
2000-03-17,29.88,29.94,29.19,29.31,117300
2000-03-20,29.44,30.06,29.38,29.56,73300
2000-03-21,29.62,29.94,29.0,29.12,102100
2000-03-22,29.12,29.25,28.25,28.38,73500
2000-03-23,28.38,29.19,28.38,29.12,84700
2000-03-24,29.06,29.12,28.81,28.94,63800
2000-03-27,28.94,28.94,28.31,28.31,104400
2000-03-28,28.44,28.44,27.75,27.75,59300
2000-03-29,27.94,29.25,27.94,28.81,162300
2000-03-30,29.06,29.81,29.06,29.31,106500
2000-03-31,29.44,30.44,29.25,30.44,195400
2000-04-03,30.25,30.25,29.31,29.69,100800
2000-04-04,29.56,30.06,28.38,29.38,95500
2000-04-05,29.25,30.38,29.25,30.06,90300
2000-04-06,30.06,30.12,29.31,29.5,56300
2000-04-07,29.44,29.62,28.88,29.25,86600
2000-04-10,29.19,29.69,29.12,29.5,64300
2000-04-11,29.5,30.06,29.38,29.75,117200
2000-04-12,29.62,30.5,29.62,29.94,67900
2000-04-13,29.69,30.25,29.5,30.19,78600
2000-04-14,30.12,30.12,29.12,29.19,102800
2000-04-17,29.0,29.88,28.5,29.88,106600
2000-04-18,29.88,30.38,29.38,30.31,117200
2000-04-19,30.31,30.31,29.25,30.0,79700
2000-04-20,29.88,30.25,29.69,30.06,52000
2000-04-24,30.25,30.5,30.0,30.31,46500
2000-04-25,30.12,30.88,30.06,30.69,182700
2000-04-26,30.25,31.88,30.19,31.69,481900
2000-04-27,31.5,31.69,30.75,30.88,68900
2000-04-28,31.0,31.0,29.62,30.0,76100
2000-05-01,30.06,30.25,29.62,29.62,51900
2000-05-02,29.62,29.62,28.56,28.62,114500
2000-05-03,28.75,28.88,28.25,28.62,75800
2000-05-04,28.88,30.19,28.88,29.94,174600
2000-05-05,29.75,29.88,28.56,28.88,117500
2000-05-08,28.69,30.12,28.69,29.56,139000
2000-05-09,29.31,29.88,28.56,28.94,168300
2000-05-10,29.0,29.38,28.75,29.25,160300
2000-05-11,29.12,29.94,29.12,29.81,97200
2000-05-12,29.94,29.94,28.88,29.25,81100
2000-05-15,29.5,30.44,29.0,30.25,177600
2000-05-16,30.25,30.25,29.56,29.81,90000
2000-05-17,29.81,29.81,29.0,29.12,183800
2000-05-18,29.38,29.94,29.25,29.44,78700
2000-05-19,29.25,29.25,28.56,28.88,70600
2000-05-22,28.88,29.75,28.88,29.0,64500
2000-05-23,28.75,28.75,28.19,28.25,101900
2000-05-24,28.31,28.62,28.12,28.38,77600
2000-05-25,28.12,28.12,27.5,27.94,100400
2000-05-26,28.06,28.69,28.0,28.5,76400
2000-05-30,28.75,29.0,27.62,28.19,85800
2000-05-31,28.19,28.25,27.69,27.69,75900
2000-06-01,27.75,28.44,27.75,28.31,60400
2000-06-02,28.44,28.75,28.38,28.62,136800
2000-06-05,28.5,28.56,27.5,27.75,82700
2000-06-06,27.69,28.5,27.56,28.38,98600
2000-06-07,28.12,28.31,27.88,28.12,65700
2000-06-08,28.25,28.25,27.5,27.75,62700
2000-06-09,27.75,28.5,27.75,28.38,97000
2000-06-12,28.12,28.75,28.12,28.25,50800
2000-06-13,28.25,28.94,28.25,28.44,80300
2000-06-14,28.31,28.56,28.06,28.19,70500
2000-06-15,28.12,29.5,28.12,29.31,154600
2000-06-16,28.25,29.94,28.25,29.62,225100
2000-06-19,29.5,29.62,29.0,29.06,78300
2000-06-20,29.06,29.25,28.62,28.88,96200
2000-06-21,28.94,29.31,28.69,28.69,62600
2000-06-22,28.69,28.75,27.88,27.88,117000
2000-06-23,28.0,28.38,27.38,27.94,163100
2000-06-26,27.88,28.19,27.81,27.88,82300
2000-06-27,27.81,27.88,26.75,26.75,109900
2000-06-28,26.88,27.5,26.38,27.44,117500
2000-06-29,27.31,27.69,27.19,27.44,87300
2000-06-30,27.44,27.69,25.75,26.02,457900
2000-07-03,26.5,26.88,26.44,26.62,64500
2000-07-05,26.75,26.94,26.31,26.5,97300
2000-07-06,26.5,26.81,26.5,26.56,54700
2000-07-07,26.56,26.94,26.56,26.69,112800
2000-07-10,26.75,27.19,26.75,26.94,198000
2000-07-11,26.5,26.81,26.5,26.5,203400
2000-07-12,26.56,26.62,26.44,26.44,199800
2000-07-13,26.56,26.62,26.44,26.56,117300
2000-07-14,26.81,26.88,26.5,26.5,83700
2000-07-17,26.5,26.69,26.31,26.5,167600
2000-07-18,26.5,26.94,26.38,26.69,159300
2000-07-19,26.69,27.44,26.56,27.12,134300
2000-07-20,27.0,27.19,26.81,27.0,111300
2000-07-21,26.75,27.19,26.56,26.69,120600
2000-07-24,26.75,26.75,26.12,26.19,86300
2000-07-25,26.31,26.62,26.19,26.56,158800
2000-07-26,26.69,26.69,26.5,26.69,2296900
2000-07-27,26.5,26.88,26.5,26.88,390000
2000-07-28,26.75,26.81,26.19,26.62,73900
2000-07-31,26.5,26.69,26.19,26.31,56000
2000-08-01,26.25,26.88,26.25,26.81,61700
2000-08-02,26.69,27.25,26.62,27.25,119100
2000-08-03,27.19,28.0,27.19,27.58,157100
2000-08-04,27.62,27.94,27.12,27.44,109600
2000-08-07,27.69,28.19,27.62,28.02,144100
2000-08-08,27.94,29.19,27.94,28.81,226700
2000-08-09,28.81,29.5,28.69,28.88,266400
2000-08-10,29.0,29.25,28.88,29.2,131800
2000-08-11,29.12,29.81,29.12,29.69,126800
2000-08-14,29.69,29.69,29.06,29.25,79600
2000-08-15,29.44,29.56,28.88,28.88,61900
2000-08-16,29.12,29.25,28.88,29.12,80100
2000-08-17,29.19,29.5,28.88,29.19,104100
2000-08-18,29.06,29.44,29.0,29.44,72800
2000-08-21,29.38,29.38,28.56,28.69,73400
