,open,high,low,close,volume
2000-01-03,31.56,31.63,30.44,30.5,1239689
2000-01-04,30.31,30.75,30.06,30.31,512494
2000-01-05,30.31,31.06,30.31,30.94,475053
2000-01-06,30.88,31.25,30.69,31.25,439888
2000-01-07,31.25,32.31,31.25,32.13,551220
2000-01-10,33.0,34.75,32.88,33.81,1368975
2000-01-11,33.56,34.13,32.63,32.63,777693
2000-01-12,32.63,33.19,32.0,32.94,504778
2000-01-13,32.94,33.5,32.88,33.0,465755
2000-01-14,33.0,33.44,32.69,32.75,394781
2000-01-18,32.5,32.94,32.13,32.31,469761
2000-01-19,32.06,32.94,32.06,32.5,461749
2000-01-20,32.13,32.56,32.0,32.19,435437
2000-01-21,32.19,32.38,31.94,32.06,587325
2000-01-24,32.06,32.06,30.13,30.19,761767
2000-01-25,30.13,31.94,30.13,30.94,626398
2000-01-26,31.0,31.13,30.25,31.13,512395
2000-01-27,31.0,31.88,31.0,31.25,509378
2000-01-28,31.06,32.13,30.75,30.81,1012623
2000-01-31,31.0,31.19,30.44,31.06,523721
2000-02-01,31.0,32.63,30.94,31.94,477971
2000-02-02,31.69,32.25,31.38,31.44,379647
2000-02-03,31.44,32.5,31.38,32.25,779127
2000-02-04,32.13,33.94,32.0,33.88,723881
2000-02-07,33.44,33.88,32.5,33.25,658694
2000-02-08,33.25,33.94,32.88,33.5,965934
2000-02-09,33.13,33.69,32.63,32.69,853662
2000-02-10,32.81,32.81,31.94,32.06,890904
2000-02-11,32.06,33.25,31.81,32.69,419016
2000-02-14,32.75,33.38,31.81,32.25,538905
2000-02-15,32.63,33.44,32.13,32.81,362683
2000-02-16,33.0,33.44,31.38,32.69,608345
2000-02-17,32.44,32.63,30.75,31.63,629514
2000-02-18,31.38,31.94,30.56,30.75,349922
2000-02-22,30.75,30.75,29.63,30.31,382070
2000-02-23,30.31,30.31,29.63,29.69,493254
2000-02-24,29.75,29.75,26.81,27.38,849557
2000-02-25,28.0,29.19,27.88,27.88,773241
2000-02-28,27.25,28.19,27.19,28.0,995362
2000-02-29,28.0,28.13,27.19,27.56,955992
2000-03-01,27.44,27.69,27.25,27.5,572290
2000-03-02,27.38,27.56,27.13,27.38,433755
2000-03-03,27.06,27.38,26.81,27.19,634558
2000-03-06,27.13,27.5,26.56,26.69,866076
2000-03-07,26.69,27.31,26.56,26.63,1199380
2000-03-08,26.13,27.44,26.13,26.88,806725
2000-03-09,26.75,27.0,26.5,27.0,410658
2000-03-10,26.94,27.5,26.81,26.94,479851
2000-03-13,26.75,27.38,26.69,27.19,463826
2000-03-14,26.94,27.81,26.81,27.44,551962
2000-03-15,27.0,28.44,26.75,27.94,930620
2000-03-16,28.19,31.81,28.0,31.63,860141
2000-03-17,31.75,32.19,31.38,31.69,764833
2000-03-20,31.25,31.63,30.38,30.63,599987
2000-03-21,30.5,31.75,30.5,31.13,386819
2000-03-22,31.31,32.06,30.44,30.69,939621
2000-03-23,30.5,31.31,30.25,31.13,394386
2000-03-24,30.88,31.94,30.0,30.0,539449
2000-03-27,31.0,31.0,30.31,30.31,426485
2000-03-28,29.75,30.69,29.75,30.44,460611
2000-03-29,30.38,31.63,30.06,31.25,696283
2000-03-30,31.38,31.94,30.81,31.06,433310
2000-03-31,31.06,32.38,30.75,31.5,513978
2000-04-03,31.56,32.56,31.44,32.25,534701
2000-04-04,32.0,33.5,31.94,32.94,720518
2000-04-05,32.94,33.25,32.44,32.5,342058
2000-04-06,32.88,33.63,32.81,33.38,360259
2000-04-07,33.13,33.69,31.81,32.13,406602
2000-04-10,31.88,32.63,31.75,32.31,286071
2000-04-11,32.06,33.06,32.06,32.81,346460
2000-04-12,33.25,33.94,32.88,33.19,362188
2000-04-13,33.0,33.38,31.69,31.69,391121
2000-04-14,31.88,32.25,30.38,30.63,456704
2000-04-17,31.25,31.38,29.63,29.81,470058
2000-04-18,29.81,30.88,29.5,30.31,505322
2000-04-19,30.13,30.94,30.13,30.5,331820
2000-04-20,30.63,30.94,30.38,30.75,288989
