,open,high,low,close,volume
2000-04-05,14.5,15.75,14.31,15.5,68703000
2000-04-06,15.38,15.88,15.25,15.56,15301000
2000-04-07,15.38,15.56,15.13,15.31,13486200
2000-04-10,15.44,15.5,15.25,15.31,5637200
2000-04-11,15.31,15.38,15.06,15.13,5425900
2000-04-12,15.25,16.75,15.13,16.19,10846600
2000-04-13,16.25,17.25,15.94,17.0,10626100
2000-04-14,16.94,17.0,15.81,15.88,9500300
2000-04-17,16.0,16.44,16.0,16.13,3522200
2000-04-18,16.19,16.31,15.5,16.13,5422400
2000-04-19,16.19,16.19,15.75,16.0,5348800
2000-04-20,15.75,15.94,15.38,15.5,6912000
2000-04-24,15.5,16.0,15.44,15.94,3114800
2000-04-25,15.94,16.19,15.88,16.0,7407400
2000-04-26,15.94,16.06,15.88,16.06,5941700
2000-04-27,15.94,16.0,15.5,15.94,2484900
2000-04-28,15.94,16.88,15.38,16.56,6218800
2000-05-01,17.13,18.0,16.88,18.0,5887100
2000-05-02,17.63,17.94,17.38,17.81,3132600
2000-05-03,17.75,17.81,17.25,17.5,1981800
2000-05-04,17.38,17.5,16.19,17.5,3429800
2000-05-05,17.25,17.81,17.06,17.56,1821500
2000-05-08,17.88,18.56,17.81,18.0,2897500
2000-05-09,18.19,18.38,16.75,17.19,4234300
2000-05-10,17.0,17.81,17.0,17.56,3283500
2000-05-11,17.63,18.31,17.38,18.0,2997400
2000-05-12,18.13,18.56,18.06,18.44,1927200
2000-05-15,19.0,19.25,18.63,18.94,2696800
2000-05-16,19.0,19.56,18.81,19.06,4982700
2000-05-17,19.06,19.69,18.38,19.06,1577200
2000-05-18,19.0,19.13,18.69,18.94,2858600
2000-05-19,18.5,19.13,17.94,18.19,3832600
2000-05-22,18.25,19.13,17.38,18.25,1712700
2000-05-23,18.25,19.0,18.25,18.88,2093900
2000-05-24,18.88,19.5,18.63,19.38,1573100
2000-05-25,19.31,19.38,18.75,19.19,1732700
2000-05-26,19.13,19.81,18.94,19.75,2644600
2000-05-30,19.94,20.13,19.5,19.88,3229000
2000-05-31,19.88,20.5,19.38,20.5,3549600
2000-06-01,20.44,20.5,19.94,20.0,2878400
2000-06-02,21.0,21.06,20.38,21.0,3446100
2000-06-05,20.5,20.88,20.38,20.56,2376300
2000-06-06,20.88,20.88,20.38,20.44,2953900
2000-06-07,20.5,20.69,20.31,20.69,922400
2000-06-08,20.56,20.63,20.25,20.44,965300
2000-06-09,20.5,21.0,20.5,21.0,1196800
2000-06-12,20.75,20.81,19.69,20.44,1072600
2000-06-13,20.69,20.81,20.19,20.81,974900
2000-06-14,20.56,20.63,19.81,20.0,2310400
2000-06-15,20.0,20.25,19.88,20.0,2504400
2000-06-16,20.19,20.25,19.75,20.06,3202100
2000-06-19,20.0,20.13,19.75,20.0,1275500
2000-06-20,19.88,20.06,18.56,18.81,2922100
2000-06-21,18.81,19.13,18.13,18.5,2443500
2000-06-22,18.69,19.5,18.5,19.19,1963300
2000-06-23,19.0,19.5,18.75,19.31,2161600
2000-06-26,20.0,20.13,19.13,19.19,1691700
2000-06-27,19.44,20.5,19.19,19.88,2042300
2000-06-28,20.25,20.44,19.38,19.63,3522900
2000-06-29,19.88,21.56,19.63,21.31,4914700
2000-06-30,21.75,21.94,19.0,21.06,4415400
2000-07-03,20.75,21.5,20.69,21.38,822000
2000-07-05,21.25,21.25,20.5,21.13,2048000
2000-07-06,20.63,22.0,20.56,21.88,1572300
2000-07-07,21.75,22.06,21.69,21.88,1490500
2000-07-10,21.75,21.88,21.44,21.44,822700
2000-07-11,21.31,21.38,20.5,20.81,1453500
2000-07-12,20.75,20.88,20.06,20.44,1984300
2000-07-13,20.44,20.44,19.81,19.81,1893400
2000-07-14,19.81,21.13,19.81,20.88,1291500
2000-07-17,20.75,20.75,20.19,20.31,558300
2000-07-18,20.06,20.44,20.06,20.38,2396300
2000-07-19,20.44,20.81,20.13,20.44,1351900
2000-07-20,20.56,21.19,20.56,20.56,2199800
2000-07-21,20.75,21.0,20.56,20.75,793500
