,open,high,low,close,volume
2000-01-03,25.0,25.13,24.12,24.37,823644
2000-01-04,24.06,24.13,22.75,23.25,506267
2000-01-05,23.25,23.63,23.06,23.56,529378
2000-01-06,23.69,24.0,23.56,23.75,365200
2000-01-07,23.75,25.19,23.5,25.0,725200
2000-01-10,25.0,25.63,24.94,25.5,682000
2000-01-11,25.38,27.13,25.0,27.0,877600
2000-01-12,27.0,27.44,26.25,26.38,892978
2000-01-13,26.5,27.0,26.5,27.0,491867
2000-01-14,27.06,28.44,27.06,27.31,723644
2000-01-18,27.5,27.75,27.13,27.69,372267
2000-01-19,27.31,27.94,27.19,27.94,498000
2000-01-20,27.69,28.0,27.5,27.69,588000
2000-01-21,27.75,27.88,26.5,26.75,385600
2000-01-24,26.56,26.88,25.06,25.38,751200
2000-01-25,25.13,25.5,24.75,25.44,430800
2000-01-26,25.44,25.44,24.5,25.0,406400
2000-01-27,25.5,25.81,25.06,25.44,643644
2000-01-28,25.5,27.25,24.69,26.25,698800
2000-01-31,25.88,26.63,24.13,26.63,1007378
2000-02-01,26.63,26.63,25.25,25.69,377378
2000-02-02,25.88,26.13,25.31,25.44,342044
2000-02-03,25.5,25.63,25.19,25.44,212578
2000-02-04,25.5,25.5,24.88,25.06,416400
2000-02-07,25.25,25.5,25.0,25.5,263378
2000-02-08,25.38,25.5,25.19,25.38,608178
2000-02-09,25.38,25.5,24.88,24.94,453200
2000-02-10,24.94,25.0,24.5,24.69,461200
2000-02-11,24.63,24.88,24.0,24.38,356400
2000-02-14,24.31,24.31,23.94,24.19,380044
2000-02-15,24.25,24.88,23.75,23.81,384000
2000-02-16,23.56,23.88,23.31,23.38,503378
2000-02-17,23.31,24.31,23.0,24.31,869644
2000-02-18,24.5,25.5,24.44,24.44,957644
2000-02-22,25.0,25.13,23.0,23.13,498578
2000-02-23,23.38,23.81,23.13,23.13,426978
2000-02-24,23.56,24.56,23.25,23.69,758978
2000-02-25,23.88,24.69,23.19,23.31,371067
2000-02-28,23.19,23.25,22.5,22.69,397244
2000-02-29,22.88,23.94,22.88,23.0,682444
2000-03-01,22.75,23.44,22.56,22.81,366400
2000-03-02,22.75,25.13,22.69,24.13,1463244
2000-03-03,27.0,29.5,26.63,29.5,3009200
2000-03-06,29.5,29.5,27.13,27.81,1409467
2000-03-07,27.94,27.94,26.94,27.25,1000044
2000-03-08,27.5,28.69,27.5,27.94,522844
2000-03-09,28.0,28.5,27.56,28.5,1463378
2000-03-10,28.0,28.0,27.19,27.88,1264844
2000-03-13,27.38,27.5,26.75,27.38,579467
2000-03-14,27.38,27.44,26.0,26.81,521867
2000-03-15,26.69,27.75,26.38,27.69,1193778
2000-03-16,28.0,30.0,27.94,30.0,1824444
2000-03-17,30.0,30.0,29.19,29.31,1050667
2000-03-20,29.31,29.38,28.0,28.06,678267
2000-03-21,28.19,29.38,28.13,29.13,424844
2000-03-22,28.75,28.75,27.63,28.19,952000
2000-03-23,28.25,28.25,27.25,28.0,776178
2000-03-24,28.0,28.5,27.5,27.88,689644
2000-03-27,27.94,27.94,26.75,27.0,538844
2000-03-28,26.88,26.94,25.94,26.13,1012267
2000-03-29,26.06,26.63,25.88,26.13,613600
2000-03-30,26.19,26.88,25.88,26.06,691200
2000-03-31,26.19,28.0,26.19,27.5,929067
2000-04-03,27.25,27.69,27.13,27.25,398400
2000-04-04,27.5,29.0,27.0,28.31,1215867
2000-04-05,28.25,29.88,28.25,29.63,795378
2000-04-06,29.38,29.69,29.06,29.63,770800
2000-04-07,29.63,30.63,29.63,30.25,1382000
2000-04-10,30.0,30.69,29.81,30.25,854000
2000-04-11,30.13,30.13,29.5,29.81,867867
2000-04-12,29.88,29.94,29.19,29.44,458978
2000-04-13,29.56,29.56,28.81,29.56,410844
2000-04-14,29.19,29.38,27.81,28.88,541467
2000-04-17,28.25,28.31,27.19,27.75,741067
2000-04-18,27.63,28.88,27.44,28.63,455600
2000-04-19,28.88,30.06,28.63,29.56,488578
2000-04-20,29.56,29.56,28.44,28.88,258044
2000-04-24,28.63,29.25,28.31,29.25,367467
2000-04-25,29.13,29.88,28.0,28.0,561378
2000-04-26,28.13,28.5,27.44,27.81,655778
2000-04-27,27.63,27.81,27.38,27.75,238800
2000-04-28,27.5,28.44,27.38,28.38,225600
2000-05-01,28.38,29.31,28.06,28.75,276667
2000-05-02,29.13,29.13,28.63,28.75,248044
2000-05-03,28.75,29.06,28.56,28.56,227200
2000-05-04,28.31,30.88,28.31,30.88,784444
2000-05-05,30.75,32.25,30.13,32.25,1509600
2000-05-08,31.88,31.94,31.06,31.38,460578
2000-05-09,31.5,32.13,30.94,31.94,546044
2000-05-10,31.25,31.31,30.44,31.06,673467
2000-05-11,31.06,31.06,22.5,23.88,8214267
2000-05-12,24.38,25.69,23.25,25.31,3922044
2000-05-15,25.63,26.94,25.25,26.25,2340578
2000-05-16,26.25,26.63,25.75,26.19,1128667
2000-05-17,25.94,26.06,25.75,25.94,669378
2000-05-18,25.94,26.13,25.88,26.06,456400
2000-05-19,25.88,26.31,25.75,26.13,264800
2000-05-22,26.13,26.44,25.69,25.81,452978
2000-05-23,26.06,26.75,25.88,26.38,524667
2000-05-24,26.63,26.63,25.81,26.41,1070000
2000-05-25,26.44,27.38,26.44,27.09,1035378
2000-05-26,27.19,27.25,26.69,26.84,638000
2000-05-30,26.81,26.94,26.56,26.75,276267
2000-05-31,26.94,27.19,26.75,26.88,348000
2000-06-01,26.88,27.19,26.69,26.69,373244
2000-06-02,26.94,27.0,26.56,26.81,694267
2000-06-05,26.75,27.63,26.5,27.19,858178
2000-06-06,27.0,27.0,26.63,26.75,414178
2000-06-07,26.63,26.63,24.31,25.19,2575067
2000-06-08,24.94,24.94,23.06,23.63,1573778
2000-06-09,16.69,17.5,16.0,17.31,10205644
2000-06-12,17.38,18.19,17.31,17.94,3912667
2000-06-13,18.0,18.25,17.69,17.94,1331200
2000-06-14,18.0,18.25,17.38,17.44,2371244
2000-06-15,17.88,18.25,17.63,18.19,1250178
2000-06-16,18.44,18.44,17.94,18.13,1716978
2000-06-19,18.25,18.31,17.56,17.63,905378
2000-06-20,17.63,17.88,17.5,17.56,509244
2000-06-21,17.94,17.94,17.38,17.38,1792444
2000-06-22,17.19,17.44,17.19,17.31,1936844
2000-06-23,17.31,17.75,16.75,17.0,1743200
2000-06-26,17.0,17.19,16.88,17.13,638667
2000-06-27,17.13,17.38,16.81,17.31,732178
2000-06-28,17.25,17.5,16.75,17.38,353244
2000-06-29,17.0,18.0,17.0,17.88,570667
2000-06-30,17.94,18.31,17.75,18.13,503600
2000-07-03,18.31,18.38,17.63,18.06,183644
2000-07-05,17.94,18.94,17.81,18.75,514978
2000-07-06,19.0,19.63,18.63,18.69,942578
2000-07-07,18.88,19.63,18.75,19.56,851067
2000-07-10,19.5,19.94,19.13,19.69,916667
2000-07-11,19.69,20.25,19.0,19.0,1057467
2000-07-12,19.56,19.56,18.5,19.5,1527644
2000-07-13,20.13,20.25,18.81,19.13,2829067
2000-07-14,19.13,19.13,18.5,18.75,2188400
2000-07-17,18.75,20.25,18.63,19.94,1077867
2000-07-18,20.06,20.38,19.81,19.94,497200
2000-07-19,20.5,20.56,19.94,20.0,746667
2000-07-20,20.38,20.38,19.63,19.69,436978
2000-07-21,19.94,19.94,19.63,19.75,561644
2000-07-24,19.81,21.56,19.81,21.45,1443778
2000-07-25,21.44,22.38,21.06,21.88,1989067
2000-07-26,22.0,22.0,20.8,20.88,1555644
2000-07-27,21.0,22.0,20.75,21.88,1260178
2000-07-28,21.94,22.0,21.25,21.38,597778
2000-07-31,21.56,21.81,21.13,21.25,711378
2000-08-01,21.38,22.31,21.31,21.38,1279378
2000-08-02,21.63,22.25,21.63,21.88,1057867
2000-08-03,21.81,22.88,21.75,22.69,1182178
2000-08-04,22.69,23.13,22.38,22.75,525600
2000-08-07,22.38,23.19,22.38,22.88,685067
2000-08-08,22.88,23.0,22.38,22.48,694267
2000-08-09,22.25,23.88,22.0,22.69,2027600
2000-08-10,22.56,24.56,22.5,23.75,2793067
2000-08-11,24.06,27.5,23.25,27.5,2168178
2000-08-14,26.31,26.75,25.75,26.06,1424800
2000-08-15,25.94,25.94,25.19,25.31,866400
2000-08-16,25.56,25.94,25.44,25.69,449867
2000-08-17,25.0,26.75,25.0,26.75,785244
2000-08-18,26.75,27.06,26.0,26.19,677644
2000-08-21,26.06,26.94,25.94,26.25,655067
2000-08-22,26.31,27.44,26.25,27.44,790667
2000-08-23,27.19,27.19,26.25,26.56,565467
2000-08-24,26.38,27.44,26.38,27.44,411200
2000-08-25,27.44,27.44,26.88,27.31,428000
2000-08-28,27.19,27.31,26.56,26.88,434578
2000-08-29,26.75,27.13,26.06,26.19,832800
2000-08-30,26.06,27.13,26.06,27.0,402400
2000-08-31,27.0,27.31,26.56,26.56,715244
2000-09-01,27.0,27.13,26.75,27.13,738800
2000-09-05,27.13,27.75,27.06,27.5,591600
2000-09-06,27.5,27.5,26.0,26.44,941200
2000-09-07,26.31,27.94,26.31,27.94,568978
2000-09-08,27.94,28.25,27.25,27.63,454400
2000-09-11,27.25,27.69,27.13,27.63,245600
2000-09-12,27.63,28.0,27.13,27.56,320978
2000-09-13,26.63,27.75,26.56,27.19,934000
2000-09-14,27.19,27.56,25.5,26.69,2669200
2000-09-15,26.25,27.0,26.0,26.44,1515067
2000-09-18,26.44,26.5,25.75,26.0,1204044
2000-09-19,25.94,25.94,24.19,24.75,1171600
2000-09-20,24.75,27.63,24.38,26.81,3126267
2000-09-21,26.56,27.13,25.94,26.69,1045600
2000-09-22,26.69,27.0,25.69,26.94,980978
2000-09-25,26.94,27.13,25.81,26.56,964000
2000-09-26,26.63,27.5,26.44,27.25,1163067
2000-09-27,27.38,28.69,27.25,27.88,1369867
2000-09-28,27.75,27.81,27.25,27.38,479867
2000-09-29,27.44,27.56,26.31,26.94,924578
2000-10-02,26.69,28.5,26.63,28.06,750267
2000-10-03,28.06,28.75,27.5,27.81,516400
2000-10-04,27.56,27.56,26.44,27.31,659244
2000-10-05,27.44,28.06,27.38,28.0,382444
2000-10-06,28.0,28.63,27.31,27.38,602000
2000-10-09,27.5,27.5,26.94,27.0,324444
2000-10-10,26.94,28.69,26.94,28.56,521600
2000-10-11,28.5,28.75,27.63,28.19,701867
2000-10-12,28.0,28.13,27.06,27.63,352667
2000-10-13,27.38,27.5,26.56,27.13,377467
2000-10-16,26.75,28.88,26.75,28.56,722800
2000-10-17,28.5,29.94,28.5,29.5,900400
2000-10-18,28.75,29.31,28.0,29.25,503778
2000-10-19,29.25,29.44,28.38,28.88,340267
2000-10-20,28.88,30.0,28.63,30.0,574044
2000-10-23,29.75,29.94,29.56,29.56,333600
2000-10-24,29.25,29.44,25.5,27.31,2567867
2000-10-25,27.31,27.44,26.31,26.88,670800
2000-10-26,27.0,28.06,26.75,27.44,314667
2000-10-27,27.25,27.38,27.0,27.31,278978
2000-10-30,26.5,28.81,25.5,28.31,1805067
2000-10-31,28.0,28.25,27.31,28.0,492578
2000-11-01,28.0,29.38,27.81,28.81,913778
2000-11-02,28.63,29.38,28.31,29.38,483200
2000-11-03,29.13,29.56,28.56,28.75,427778
2000-11-06,29.0,30.0,28.5,30.0,706578
2000-11-07,29.94,29.94,28.94,29.5,401867
2000-11-08,29.75,29.94,29.44,29.88,655644
2000-11-09,29.88,29.88,28.38,29.31,410267
2000-11-10,29.19,29.81,28.31,28.38,520800
2000-11-13,28.25,28.25,26.25,27.25,927200
2000-11-14,27.38,28.63,27.31,27.88,555067
2000-11-15,27.94,28.25,27.5,27.69,502978
2000-11-16,27.94,27.94,27.13,27.38,236667
2000-11-17,27.19,27.69,26.75,27.44,307200
2000-11-20,27.25,27.25,25.19,26.25,1020800
2000-11-21,26.5,27.19,22.44,23.0,2266044
2000-11-22,23.0,23.06,22.06,22.5,1149644
2000-11-24,22.63,22.75,22.5,22.75,250800
2000-11-27,22.94,23.63,22.88,23.13,784178
2000-11-28,23.25,23.31,22.75,23.06,517600
2000-11-29,23.0,23.81,22.88,23.13,512667
2000-11-30,22.94,24.38,22.88,23.94,1020844
2000-12-01,23.94,25.69,23.94,25.56,1018000
2000-12-04,25.38,25.75,24.0,24.69,506444
2000-12-05,24.69,25.63,24.69,25.56,633378
2000-12-06,26.38,26.56,25.81,26.19,834978
2000-12-07,26.19,26.75,25.88,26.25,456444
2000-12-08,26.44,27.0,25.75,26.94,534267
2000-12-11,27.13,27.5,26.56,26.69,480044
2000-12-12,26.31,26.88,25.38,25.44,411867
2000-12-13,25.69,26.63,25.31,25.63,622978
2000-12-14,25.63,26.06,25.13,25.19,654578
2000-12-15,25.0,25.44,25.0,25.13,734578
2000-12-18,25.44,25.44,25.0,25.25,404578
2000-12-19,25.25,25.88,25.25,25.75,310444
2000-12-20,25.69,25.69,25.06,25.19,378844
2000-12-21,25.06,25.81,24.75,25.31,498800
2000-12-22,25.38,25.94,25.13,25.88,300667
2000-12-26,25.88,26.37,25.19,25.63,227644
2000-12-27,25.31,25.69,24.81,25.5,516667
2000-12-28,25.25,25.88,25.06,25.5,511244
2000-12-29,25.5,25.5,24.63,25.19,435200
2001-01-02,24.94,25.38,24.5,24.69,463067
2001-01-03,24.44,24.81,23.25,23.31,828044
2001-01-04,23.31,23.88,21.0,22.06,1324044
2001-01-05,22.06,22.25,21.13,21.19,842267
2001-01-08,21.56,22.0,21.56,21.88,490667
2001-01-09,22.0,22.81,21.88,22.31,524667
2001-01-10,22.38,22.63,21.38,21.38,755378
2001-01-11,21.25,21.94,21.25,21.81,512178
2001-01-12,22.06,22.69,21.69,21.88,796800
2001-01-16,22.13,24.25,22.13,23.5,1041778
2001-01-17,23.75,24.13,22.88,22.88,502667
2001-01-18,23.0,23.13,22.31,22.56,629200
2001-01-19,22.44,22.69,22.13,22.19,615867
2001-01-22,22.0,22.44,21.69,21.69,446667
2001-01-23,21.88,22.38,21.75,22.13,645244
2001-01-24,22.0,22.56,21.88,22.19,604578
2001-01-25,22.0,22.81,21.94,22.25,587867
2001-01-26,22.13,23.25,22.06,22.69,944578
2001-01-29,22.8,23.85,22.7,23.34,1176000
2001-01-30,22.5,23.82,22.5,23.42,1195378
2001-01-31,23.55,23.65,23.0,23.35,557200
2001-02-01,23.15,23.75,23.0,23.35,808267
2001-02-02,23.35,23.6,23.25,23.26,413644
2001-02-05,22.9,23.26,22.9,23.15,860578
2001-02-06,23.16,23.55,22.8,22.85,790800
2001-02-07,22.76,22.99,22.16,22.52,577467
2001-02-08,22.62,23.0,22.12,23.0,760044
2001-02-09,23.0,23.64,22.55,23.1,548178
2001-02-12,23.1,23.75,23.06,23.74,423600
2001-02-13,23.74,23.74,23.25,23.58,554267
2001-02-14,23.6,23.65,23.1,23.35,415600
2001-02-15,23.35,23.55,23.05,23.51,550578
2001-02-16,23.1,23.37,22.99,23.21,271600
2001-02-20,23.11,23.18,22.5,23.17,470844
2001-02-21,23.65,23.73,22.75,23.04,486844
2001-02-22,22.8,23.04,22.4,23.04,464978
2001-02-23,23.04,23.04,21.66,22.24,434044
2001-02-26,22.35,23.48,22.25,23.38,406800
2001-02-27,23.13,23.13,22.5,22.7,342178
2001-02-28,22.77,23.75,22.77,23.4,531467
2001-03-01,23.45,23.5,22.43,22.65,495200
2001-03-02,22.65,23.64,22.65,23.49,626578
2001-03-05,23.4,23.4,22.74,22.82,420267
2001-03-06,22.85,22.91,22.47,22.8,401244
2001-03-07,22.65,22.7,22.15,22.33,644044
2001-03-08,22.23,22.42,21.8,21.95,312800
2001-03-09,21.99,22.5,21.92,22.05,331600
2001-03-12,22.25,22.25,21.0,21.0,565867
2001-03-13,20.85,23.32,20.55,22.75,1509200
2001-03-14,22.35,22.94,22.0,22.15,598444
2001-03-15,22.15,22.7,21.86,22.0,620444
2001-03-16,22.45,22.45,21.34,21.6,475378
2001-03-19,21.59,22.72,21.45,22.54,523244
2001-03-20,22.54,22.88,22.44,22.6,422844
2001-03-21,22.5,22.5,21.84,21.86,693778
2001-03-22,21.81,21.81,20.15,21.03,1219600
2001-03-23,21.5,22.0,21.5,21.98,350844
2001-03-26,22.3,22.39,21.95,22.06,446267
2001-03-27,22.31,23.28,22.25,23.16,435467
2001-03-28,23.06,25.2,23.05,24.98,1758800
2001-03-29,25.12,26.72,24.7,25.01,1478844
2001-03-30,25.0,25.95,24.77,25.85,635244
2001-04-02,25.75,25.75,23.8,24.32,741467
2001-04-03,24.32,24.32,23.12,24.02,594978
2001-04-04,24.0,24.58,23.5,24.47,518400
2001-04-05,24.75,25.45,24.4,25.15,1003378
2001-04-06,24.55,25.55,24.25,24.65,906844
2001-04-09,24.95,25.02,24.47,24.73,474978
2001-04-10,24.95,24.95,24.06,24.6,422000
2001-04-11,24.85,24.85,23.98,24.18,448267
2001-04-12,24.18,25.25,23.98,25.24,576844
2001-04-16,25.0,25.09,24.7,24.73,355600
2001-04-17,24.74,25.03,24.74,24.85,553600
2001-04-18,25.0,25.6,24.92,25.25,878444
2001-04-19,25.25,25.99,25.25,25.83,719467
2001-04-20,25.83,26.12,25.71,26.05,665644
2001-04-23,25.8,26.15,25.43,25.78,593600
2001-04-24,25.73,25.73,25.38,25.49,646844
2001-04-25,25.49,26.04,25.25,25.96,504178
2001-04-26,25.96,26.27,25.46,26.27,376800
2001-04-27,26.2,26.67,25.8,26.1,784844
2001-04-30,26.2,26.99,26.16,26.74,544000
2001-05-01,26.74,26.74,25.1,26.66,1338178
2001-05-02,26.67,26.75,26.46,26.49,697867
2001-05-03,26.5,26.5,25.9,26.1,459778
2001-05-04,26.0,26.9,25.94,26.9,407778
2001-05-07,26.75,26.89,26.45,26.52,291467
2001-05-08,26.9,28.37,26.79,28.3,1059778
2001-05-09,28.05,28.5,27.25,28.38,986000
2001-05-10,28.58,28.8,28.32,28.65,424267
2001-05-11,28.63,29.15,27.8,27.84,680000
2001-05-14,28.15,28.18,27.6,27.89,420978
2001-05-15,28.0,28.05,27.75,27.9,198267
2001-05-16,27.85,28.96,27.85,28.11,582267
2001-05-17,28.14,28.99,28.12,28.99,530578
2001-05-18,28.79,29.1,28.25,28.88,373378
2001-05-21,28.89,29.3,28.77,29.24,622267
2001-05-22,29.25,29.9,28.81,29.9,639867
2001-05-23,29.75,30.6,29.55,30.5,1577644
2001-05-24,30.15,30.69,29.96,30.65,869378
2001-05-25,30.48,30.82,29.5,30.35,954978
2001-05-29,30.48,31.98,30.48,31.24,1210978
2001-05-30,31.25,31.64,30.87,30.88,964400
2001-05-31,30.4,31.81,30.4,31.81,1034267
2001-06-01,31.94,32.39,31.3,31.4,1379244
2001-06-04,31.2,31.35,30.8,30.99,631600
2001-06-05,31.01,31.88,30.8,30.9,785067
2001-06-06,30.95,31.4,29.7,30.14,1406578
2001-06-07,30.3,30.3,29.89,30.3,1372400
2001-06-08,30.45,30.45,29.73,29.9,618578
2001-06-11,29.95,30.02,25.5,25.87,5741778
2001-06-12,25.4,26.44,25.2,25.82,4395200
2001-06-13,25.82,26.08,25.35,25.36,2380267
2001-06-14,25.6,26.0,25.33,25.51,2141600
2001-06-15,25.0,25.66,25.0,25.2,936000
2001-06-18,25.5,25.6,24.63,25.12,1294000
2001-06-19,24.9,26.25,24.89,26.09,1082667
2001-06-20,26.09,27.31,26.09,27.2,1869600
2001-06-21,27.35,28.5,27.24,28.49,1900044
