Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,45.125,45.25,44.125,44.75,33.341278076171875,425300
1997-01-02,44.625,44.625,43.5,44.0,32.782493591308594,415300
1997-01-03,44.0,44.375,43.25,43.625,32.50310134887695,692200
1997-01-06,43.25,43.25,41.25,41.25,30.73358726501465,755400
1997-01-07,41.5,41.625,39.875,40.5,30.17481231689453,1619700
1997-01-08,40.0,40.125,39.375,39.875,29.709135055541992,1628600
1997-01-09,40.0,41.375,40.0,41.125,30.64046287536621,2036300
1997-01-10,41.0,41.125,40.375,41.0,30.547330856323242,958900
1997-01-13,41.125,41.125,40.125,40.5,30.17481231689453,365300
1997-01-14,40.5,40.5,39.5,39.75,29.61599349975586,362300
1997-01-15,39.375,40.25,39.375,39.375,29.33659553527832,601000
1997-01-16,39.875,40.625,39.875,40.25,29.9885196685791,591900
1997-01-17,40.375,41.25,40.375,41.0,30.547330856323242,872800
1997-01-20,40.75,40.875,40.375,40.625,30.26793098449707,320400
1997-01-21,41.0,41.375,40.375,40.625,30.26793098449707,376300
1997-01-22,40.25,40.25,39.625,39.625,29.522865295410156,513900
1997-01-23,39.5,39.875,39.0,39.5,29.42972755432129,989800
1997-01-24,40.0,40.875,39.875,40.75,30.361080169677734,1195300
1997-01-27,41.0,42.125,40.875,41.625,31.012977600097656,1391000
1997-01-28,41.25,41.25,40.75,40.875,30.45417594909668,672500
1997-01-29,40.625,40.75,40.25,40.625,30.26793098449707,417100
1997-01-30,40.5,40.5,39.875,40.0,29.802270889282227,595100
1997-01-31,40.0,40.0,39.25,39.875,29.709135055541992,640600
1997-02-03,40.0,41.0,40.0,40.625,30.26793098449707,731700
1997-02-04,40.625,40.625,40.125,40.5,30.17481231689453,758900
1997-02-05,40.5,40.75,39.75,39.875,29.709135055541992,572400
1997-02-06,39.625,39.75,38.625,38.875,28.96407699584961,684400
1997-02-07,38.375,39.5,38.375,39.5,29.42972755432129,1066000
1997-02-10,39.375,39.625,39.0,39.5,29.519405364990234,649300
1997-02-11,39.25,39.25,38.625,39.0,29.145753860473633,963800
1997-02-12,38.75,41.25,38.25,41.25,30.827239990234375,2411900
1997-02-13,41.25,42.375,40.875,41.0,30.64041519165039,1577600
1997-02-14,41.75,43.0,41.5,42.75,31.94823455810547,1163600
1997-02-18,43.125,44.0,42.875,44.0,32.882389068603516,999300
1997-02-19,44.875,45.0,44.125,44.25,33.0692253112793,1197500
1997-02-20,44.25,46.25,44.0,46.125,34.470462799072266,1402200
1997-02-21,46.75,47.0,45.375,45.375,33.90996551513672,1528800
1997-02-24,45.75,46.625,45.625,46.625,34.84412384033203,882300
1997-02-25,46.375,46.875,46.0,46.75,34.93753433227539,867700
1997-02-26,47.0,47.25,45.375,45.75,34.19021224975586,764200
1997-02-27,47.0,47.25,46.75,46.875,35.030948638916016,1555900
1997-02-28,46.875,47.5,46.625,47.5,35.49803924560547,1237300
1997-03-03,47.25,47.375,46.875,47.0,35.12435531616211,759300
1997-03-04,46.25,46.25,45.875,45.875,34.28361129760742,437500
1997-03-05,45.25,45.25,44.25,45.25,33.81655502319336,1232900
1997-03-06,45.25,45.25,44.875,45.0,33.62971115112305,697300
1997-03-07,44.75,44.875,44.0,44.125,32.97580337524414,402800
1997-03-10,43.625,43.75,42.375,43.0,32.13505172729492,3275700
1997-03-11,43.0,43.25,42.875,43.125,32.228477478027344,1298500
1997-03-12,43.125,43.125,42.625,42.75,31.94823455810547,663900
1997-03-13,42.875,43.375,42.6875,43.25,32.321903228759766,823900
1997-03-14,43.0,43.125,42.75,43.0,32.13505172729492,466500
1997-03-17,43.0,43.0,42.25,42.5,31.76141357421875,413800
1997-03-18,42.0,42.375,41.625,42.0,31.387733459472656,1119000
1997-03-19,42.0,42.125,41.5,41.625,31.10748291015625,1109900
1997-03-20,41.75,41.75,40.5,40.875,30.546974182128906,838800
1997-03-21,40.875,41.375,40.75,40.875,30.546974182128906,989800
1997-03-24,40.125,40.375,40.0,40.25,30.07990074157715,1146400
