,open,high,low,close,volume
2000-01-03,59.75,59.81,55.62,56.88,1456700
2000-01-04,56.69,58.75,54.06,54.25,1068000
2000-01-05,53.5,54.25,48.25,50.88,1621700
2000-01-06,50.25,51.0,47.13,48.06,1455300
2000-01-07,48.0,52.88,47.88,51.88,2022200
2000-01-10,53.5,57.0,53.0,56.75,969600
2000-01-11,56.75,56.75,51.13,52.13,790600
2000-01-12,52.75,53.38,51.13,53.38,808800
2000-01-13,53.72,55.88,53.0,54.69,500100
2000-01-14,55.13,56.75,52.88,52.88,554300
2000-01-18,53.97,56.75,53.69,54.75,629300
2000-01-19,55.5,57.63,55.0,56.5,844200
2000-01-20,59.13,61.25,58.25,60.44,2437900
2000-01-21,60.5,60.88,57.38,58.28,1056600
2000-01-24,58.0,61.69,58.0,58.44,1250200
2000-01-25,59.0,59.13,56.0,58.0,720300
2000-01-26,58.0,60.75,57.38,57.81,992900
2000-01-27,59.0,59.0,51.0,53.13,1050100
2000-01-28,52.63,53.94,49.63,50.06,1357500
2000-01-31,50.25,51.25,46.5,50.06,1322400
2000-02-01,50.88,51.0,48.25,50.81,653300
2000-02-02,52.0,55.0,51.0,53.63,966400
2000-02-03,56.38,58.91,54.75,57.81,1097200
2000-02-04,57.88,59.0,57.0,58.63,893900
2000-02-07,59.75,65.0,58.5,63.44,2504700
2000-02-08,64.5,65.25,60.75,61.06,1722300
2000-02-09,62.25,63.75,61.0,62.88,721100
2000-02-10,62.88,69.38,62.88,69.13,1769600
2000-02-11,68.88,69.0,64.38,65.75,1270800
2000-02-14,66.5,66.88,63.19,64.0,532400
2000-02-15,64.25,64.38,61.88,64.0,461700
2000-02-16,63.94,67.56,63.88,66.44,582700
2000-02-17,66.75,66.75,63.75,63.91,770400
2000-02-18,64.5,65.63,62.88,64.0,452500
2000-02-22,65.19,66.13,61.13,64.31,759000
2000-02-23,64.25,68.5,63.5,67.5,968600
2000-02-24,68.0,69.0,65.88,66.38,976900
2000-02-25,67.63,72.0,67.19,71.75,1297800
2000-02-28,72.31,73.88,68.5,70.0,1083000
2000-02-29,71.5,74.5,69.75,71.44,977700
2000-03-01,71.75,74.5,71.0,71.75,1176800
2000-03-02,71.94,73.0,68.0,68.88,841600
2000-03-03,70.5,74.75,70.5,72.5,667100
2000-03-06,74.19,77.63,74.06,75.75,915700
2000-03-07,77.25,79.5,75.56,77.13,1125700
2000-03-08,78.63,79.0,77.38,78.75,1252800
2000-03-09,79.38,81.63,78.88,80.38,1125200
2000-03-10,80.5,81.5,79.25,80.81,1078400
2000-03-13,79.69,80.25,75.0,76.56,459600
2000-03-14,77.25,78.75,65.75,71.94,1624000
2000-03-15,72.13,72.13,65.88,68.88,1162100
2000-03-16,68.31,71.75,63.13,70.0,1064200
2000-03-17,67.88,72.75,67.5,71.38,461500
2000-03-20,71.5,74.0,70.0,70.31,624400
2000-03-21,70.38,71.31,66.0,69.75,750300
2000-03-22,70.0,73.5,68.38,72.5,487200
2000-03-23,73.13,75.13,71.81,72.5,468600
2000-03-24,72.63,76.0,72.0,73.31,324400
2000-03-27,74.0,75.38,69.31,71.06,450700
2000-03-28,71.5,73.88,71.06,73.13,724100
2000-03-29,73.19,73.19,67.0,71.81,902400
2000-03-30,70.25,73.5,68.63,72.0,1141700
2000-03-31,74.0,76.13,72.25,75.13,1410000
2000-04-03,75.38,76.38,61.25,61.69,1647000
2000-04-04,63.94,65.5,52.88,58.13,2071400
2000-04-05,58.88,65.5,57.94,64.0,1696900
2000-04-06,65.56,66.31,63.0,65.0,620300
2000-04-07,64.63,67.0,64.06,66.63,519100
2000-04-10,67.88,67.88,61.0,61.38,791400
2000-04-11,60.06,64.0,58.0,59.47,745500
2000-04-12,61.0,61.5,57.0,58.06,713200
2000-04-13,59.69,60.0,56.5,57.13,520000
2000-04-14,56.06,56.13,49.13,52.56,1304400
2000-04-17,51.63,59.56,50.5,59.5,989400
2000-04-18,60.38,64.5,58.75,63.5,720200
2000-04-19,64.06,67.38,63.13,67.06,1060700
2000-04-20,64.38,64.38,56.13,59.5,1600200
2000-04-24,57.75,58.0,52.25,55.25,943800
2000-04-25,57.0,59.88,56.94,59.0,837800
2000-04-26,60.25,61.63,54.88,55.19,582500
2000-04-27,54.5,61.0,53.38,59.38,912400
2000-04-28,60.0,62.56,58.5,62.44,379200
