,open,high,low,close,volume
2000-01-03,100.0,100.0,95.5,96.88,912100
2000-01-04,96.88,97.0,92.63,93.69,631000
2000-01-05,93.13,93.88,90.31,91.13,975000
2000-01-06,91.0,92.63,90.0,91.5,722500
2000-01-07,91.75,95.94,91.56,95.38,494600
2000-01-10,97.0,100.6,95.69,99.63,487200
2000-01-11,99.25,99.31,96.25,97.44,568200
2000-01-12,97.5,98.44,96.69,97.13,321100
2000-01-13,97.13,98.31,96.5,97.0,474300
2000-01-14,98.0,98.0,95.5,95.88,477600
2000-01-18,96.0,96.0,93.56,93.56,646800
2000-01-19,93.63,98.38,93.5,97.31,785400
2000-01-20,99.88,100.9,93.63,93.69,891400
2000-01-21,94.25,95.94,94.0,94.94,713800
2000-01-24,95.19,95.19,91.75,92.0,533200
2000-01-25,92.25,93.56,89.81,90.44,591100
2000-01-26,91.0,96.38,90.56,93.81,536100
2000-01-27,93.5,96.06,91.81,93.19,498700
2000-01-28,91.5,96.75,90.19,94.63,973100
2000-01-31,94.38,94.5,91.63,93.69,545800
2000-02-01,93.69,97.25,93.5,96.38,498700
2000-02-02,96.38,99.94,94.56,94.75,922300
2000-02-03,94.63,95.25,93.31,94.0,656100
2000-02-04,94.0,95.13,93.44,93.75,509300
2000-02-07,93.38,93.5,91.69,91.88,442400
2000-02-08,91.88,95.63,91.88,94.88,626000
2000-02-09,94.88,97.69,94.31,96.81,709600
2000-02-10,96.69,98.38,95.06,96.44,460500
2000-02-11,97.88,97.94,94.63,95.69,525700
2000-02-14,95.56,96.38,94.5,94.94,239600
2000-02-15,95.19,95.63,93.19,94.38,1466500
2000-02-16,94.63,95.0,88.06,89.25,657200
2000-02-17,90.0,90.0,83.0,84.75,919900
2000-02-18,85.12,89.88,85.12,89.12,1414400
2000-02-22,91.0,91.5,83.88,86.25,1185300
2000-02-23,87.5,97.0,87.25,94.5,1341600
2000-02-24,95.0,97.25,91.13,92.63,832600
2000-02-25,93.63,93.88,88.69,88.81,683700
2000-02-28,90.5,92.5,87.75,91.69,746100
2000-02-29,91.56,94.63,91.13,94.19,584200
2000-03-01,94.19,94.88,92.75,94.13,830500
2000-03-02,93.75,93.88,91.63,92.5,895500
2000-03-03,92.25,92.25,88.06,90.25,1252400
2000-03-06,90.0,90.0,81.0,83.13,3252800
2000-03-07,82.13,83.94,80.31,80.75,1366900
2000-03-08,80.69,81.13,75.5,79.88,1830300
2000-03-09,80.44,83.44,79.13,83.0,1212400
2000-03-10,83.5,84.13,82.06,83.69,1126000
2000-03-13,83.69,83.94,81.0,83.31,851500
2000-03-14,83.06,84.38,81.75,83.56,981700
2000-03-15,83.31,83.38,80.63,81.75,1184700
2000-03-16,82.75,85.75,82.56,85.38,994200
2000-03-17,85.13,88.75,83.75,88.5,1093300
2000-03-20,89.38,93.0,87.94,90.19,940100
2000-03-21,90.94,92.94,90.75,91.75,1128200
2000-03-22,92.25,97.0,92.25,94.94,1220100
2000-03-23,94.5,96.5,94.31,95.56,445500
2000-03-24,95.56,99.75,95.56,98.56,934700
2000-03-27,98.31,99.94,98.13,99.06,1035400
2000-03-28,99.19,100.6,98.31,99.5,1198900
2000-03-29,99.5,100.0,96.94,97.81,1063700
2000-03-30,97.88,98.5,94.63,94.63,615800
2000-03-31,94.0,94.75,92.0,93.63,844200
2000-04-03,93.63,96.25,93.5,95.06,442300
2000-04-04,94.94,95.75,85.81,90.48,1254600
2000-04-05,90.63,98.13,90.0,95.38,968100
2000-04-06,95.75,99.19,95.69,97.25,825500
2000-04-07,97.5,98.81,95.63,97.19,620900
2000-04-10,97.06,97.06,92.56,94.31,564500
2000-04-11,94.31,94.31,91.88,93.25,495800
2000-04-12,93.38,93.88,90.63,91.06,478400
2000-04-13,90.94,91.63,88.25,88.38,696400
2000-04-14,85.5,86.0,82.13,82.13,931200
2000-04-17,82.19,85.5,81.69,85.0,1265900
2000-04-18,85.0,86.0,83.25,84.38,1089000
2000-04-19,85.38,85.63,82.5,83.38,910300
2000-04-20,83.25,84.75,82.06,83.56,1025500
2000-04-24,84.13,86.0,82.44,85.31,709800
2000-04-25,87.5,92.63,86.44,89.94,1422900
2000-04-26,89.88,95.25,89.63,92.19,1089000
2000-04-27,90.81,93.38,89.13,93.0,749700
2000-04-28,92.5,93.5,89.44,91.06,601200
2000-05-01,90.56,90.69,88.88,90.44,486000
2000-05-02,89.75,90.94,89.19,90.38,446700
2000-05-03,89.75,89.75,86.13,86.69,347000
2000-05-04,86.69,88.88,86.0,86.63,533000
2000-05-05,86.38,91.38,85.88,90.81,704000
2000-05-08,90.19,90.19,87.44,88.5,411200
2000-05-09,88.75,89.44,87.19,88.19,461800
2000-05-10,88.13,88.81,86.25,86.75,358300
2000-05-11,87.25,87.69,85.5,87.19,686500
2000-05-12,87.0,88.38,86.25,87.94,582700
2000-05-15,87.06,88.88,86.31,87.69,511100
2000-05-16,88.25,91.0,87.69,89.94,733800
2000-05-17,90.38,90.88,86.94,88.06,431000
2000-05-18,87.94,88.25,85.38,85.81,650900
2000-05-19,84.0,84.63,83.31,83.75,790200
2000-05-22,83.5,84.31,82.69,83.94,734500
2000-05-23,84.0,84.94,83.06,83.5,482100
2000-05-24,83.5,85.56,82.94,84.19,597600
2000-05-25,84.25,85.13,83.13,83.81,497100
2000-05-26,83.81,83.81,82.0,82.13,894100
2000-05-30,82.13,85.0,81.75,84.5,539800
2000-05-31,83.25,84.94,83.25,84.94,507700
2000-06-01,84.06,85.5,83.5,85.38,687500
2000-06-02,88.13,89.75,88.13,88.75,532800
2000-06-05,88.5,92.13,88.38,90.81,563800
2000-06-06,90.75,92.88,90.38,91.44,455800
2000-06-07,91.0,92.13,88.75,91.56,453100
2000-06-08,91.31,91.38,87.38,88.31,470000
2000-06-09,89.5,90.31,88.81,89.38,277200
2000-06-12,89.31,90.5,87.63,88.46,247500
2000-06-13,88.5,89.75,87.5,89.44,367200
2000-06-14,89.25,89.75,88.25,89.06,319100
2000-06-15,89.25,91.88,89.06,90.88,434100
2000-06-16,93.5,95.75,93.0,95.25,1051100
2000-06-19,94.25,95.63,93.5,94.63,538500
2000-06-20,95.0,96.44,94.56,95.38,558000
2000-06-21,95.75,97.06,94.94,96.81,666600
2000-06-22,96.56,97.25,95.94,96.88,435200
2000-06-23,97.0,97.5,95.88,96.19,610800
2000-06-26,96.13,96.13,89.75,90.5,937100
2000-06-27,90.5,90.5,88.63,89.19,858000
2000-06-28,90.25,90.25,89.13,89.76,697900
2000-06-29,89.5,89.75,87.63,89.0,486900
2000-06-30,88.75,90.0,88.25,89.06,638600
2000-07-03,89.44,90.5,89.13,90.44,203400
2000-07-05,90.38,90.38,89.31,89.63,385100
2000-07-06,89.88,89.94,88.25,88.38,423600
2000-07-07,87.38,88.0,83.38,85.0,1275100
2000-07-10,84.0,85.0,81.0,81.0,1937100
2000-07-11,81.44,87.19,81.44,86.69,1606700
2000-07-12,86.63,88.5,86.56,87.13,460300
2000-07-13,86.25,86.25,83.13,83.44,775800
2000-07-14,84.5,89.0,84.5,87.5,1291900
2000-07-17,87.44,88.38,85.81,86.03,544400
2000-07-18,85.5,85.5,84.69,84.75,740400
2000-07-19,84.94,86.44,84.81,85.0,654700
2000-07-20,85.13,86.63,85.06,86.13,406200
2000-07-21,86.0,86.06,84.75,85.06,645300
2000-07-24,85.0,86.0,84.75,85.88,834100
2000-07-25,91.0,91.0,86.69,89.25,1667300
2000-07-26,88.81,89.19,86.94,87.94,677900
2000-07-27,88.56,88.88,86.0,86.81,560900
2000-07-28,86.81,86.88,85.0,85.31,543200
2000-07-31,85.56,86.63,84.88,85.0,718300
2000-08-01,85.25,85.94,84.63,84.94,594900
2000-08-02,85.13,85.13,84.25,84.75,518500
2000-08-03,83.88,86.0,83.5,84.0,632200
2000-08-04,84.25,85.88,83.75,84.69,903500
2000-08-07,85.19,86.81,85.0,86.25,443600
2000-08-08,86.75,87.75,86.63,87.75,703100
2000-08-09,86.75,87.25,85.81,86.25,576100
2000-08-10,86.19,86.63,85.06,85.94,363600
2000-08-11,86.19,86.31,84.94,85.0,503000
2000-08-14,85.0,85.31,84.56,84.88,473800
2000-08-15,85.38,85.38,84.5,85.06,568100
2000-08-16,85.31,86.06,85.06,85.06,398500
2000-08-17,83.5,85.25,82.88,84.56,517600
2000-08-18,84.56,85.0,82.25,84.0,605600
2000-08-21,83.81,84.38,81.88,82.75,511000
2000-08-22,82.88,82.88,79.0,80.25,2152200
2000-08-23,80.25,82.44,80.25,81.69,1025800
2000-08-24,81.81,81.88,80.19,80.38,688400
2000-08-25,80.38,82.38,80.25,81.81,510700
2000-08-28,82.06,82.75,80.94,81.06,424500
2000-08-29,81.0,81.75,80.5,81.5,284300
2000-08-30,80.75,82.88,80.56,82.56,476900
2000-08-31,84.0,84.31,83.19,83.46,663800
2000-09-01,83.69,84.56,83.13,83.25,509400
2000-09-05,83.56,84.0,81.56,81.94,814800
2000-09-06,82.0,82.0,81.5,81.75,543100
2000-09-07,81.63,81.63,78.56,80.0,1165400
2000-09-08,80.0,82.13,78.5,80.63,906800
2000-09-11,80.38,82.0,79.94,80.63,589200
2000-09-12,81.25,82.44,80.19,82.38,918400
2000-09-13,82.63,82.75,80.06,81.5,731700
2000-09-14,81.88,82.44,81.13,81.63,413300
2000-09-15,81.63,81.63,79.56,80.0,1298500
2000-09-18,79.88,80.0,76.0,76.56,1845100
2000-09-19,77.0,79.19,76.75,77.56,1787200
2000-09-20,76.69,78.13,73.94,75.19,984000
2000-09-21,74.56,77.75,74.38,77.25,878600
2000-09-22,77.0,77.25,75.75,77.0,1052800
2000-09-25,77.0,77.0,75.63,75.94,1035500
2000-09-26,75.5,75.69,71.88,72.75,1097100
2000-09-27,72.25,72.38,68.13,70.0,2209900
2000-09-28,70.94,74.5,70.94,74.19,1203400
2000-09-29,73.94,74.38,72.06,72.94,918100
2000-10-02,73.0,74.25,73.0,73.63,1165700
2000-10-03,73.75,75.63,73.69,75.44,943500
2000-10-04,75.69,76.44,75.25,75.44,972100
2000-10-05,75.38,75.56,72.5,74.13,1086800
2000-10-06,74.25,74.75,71.38,72.69,796000
2000-10-09,72.44,75.25,72.44,73.88,615100
2000-10-10,74.13,75.88,73.38,75.44,821700
2000-10-11,75.5,76.38,73.5,74.13,575100
2000-10-12,74.25,74.56,73.19,74.06,747400
2000-10-13,74.0,75.0,73.5,74.69,612300
2000-10-16,74.94,77.75,74.5,75.94,847100
2000-10-17,76.0,76.38,72.13,72.94,846500
2000-10-18,71.0,73.88,70.13,73.63,745700
2000-10-19,74.75,79.38,74.75,79.19,924200
2000-10-20,79.0,81.69,78.19,80.88,559900
2000-10-23,80.63,80.63,79.13,80.13,676800
2000-10-24,80.63,86.44,80.63,85.25,1448000
2000-10-25,85.31,85.63,84.13,85.06,867400
2000-10-26,84.81,86.06,83.88,85.94,668800
2000-10-27,86.25,88.0,86.25,87.38,509900
2000-10-30,87.63,90.94,87.63,89.69,1172200
2000-10-31,89.75,93.0,88.38,92.25,1182300
2000-11-01,91.75,91.94,89.38,90.31,556700
2000-11-02,90.5,90.63,88.31,88.38,826500
2000-11-03,88.5,88.94,86.81,87.69,769400
2000-11-06,92.5,92.88,88.31,89.0,1619700
2000-11-07,88.75,88.75,85.31,85.94,1191400
2000-11-08,86.31,86.63,83.81,84.06,691000
2000-11-09,83.25,83.31,80.31,80.44,1270000
2000-11-10,81.19,84.94,81.06,81.19,687800
2000-11-13,79.56,80.5,79.56,79.94,923500
2000-11-14,79.88,82.38,79.25,80.13,719700
2000-11-15,81.13,81.63,80.63,80.88,630600
2000-11-16,81.63,81.63,79.81,79.88,379200
2000-11-17,80.13,80.81,79.38,80.44,730100
2000-11-20,80.81,84.44,80.56,83.06,860000
2000-11-21,80.5,80.5,75.13,78.31,2117700
2000-11-22,78.06,82.5,77.63,79.19,825400
2000-11-24,79.44,81.56,79.44,80.81,248300
2000-11-27,80.75,82.38,78.63,80.0,865600
2000-11-28,80.0,81.75,78.81,81.06,708900
2000-11-29,80.5,81.88,80.13,80.81,659100
2000-11-30,80.88,80.88,75.06,78.63,1099400
2000-12-01,78.75,82.0,78.75,80.06,689800
2000-12-04,80.31,86.94,80.31,85.13,1619800
2000-12-05,86.06,89.63,85.69,89.56,1412100
2000-12-06,89.88,90.63,87.88,89.0,1790000
2000-12-07,88.75,89.0,86.5,88.0,963200
2000-12-08,88.75,89.81,87.44,87.94,837100
2000-12-11,87.69,88.5,86.38,87.69,954500
2000-12-12,85.81,87.75,85.75,86.94,532700
2000-12-13,87.0,87.63,85.38,86.06,465500
2000-12-14,85.81,86.75,84.06,84.69,611800
2000-12-15,83.0,84.19,80.69,82.31,1158400
2000-12-18,82.06,83.94,82.0,82.94,657900
2000-12-19,83.19,83.88,82.06,82.81,694600
2000-12-20,80.88,81.5,77.25,79.63,934600
2000-12-21,76.0,81.0,76.0,79.0,1404800
2000-12-22,79.63,81.94,79.31,81.5,752200
2000-12-26,81.12,82.81,79.94,81.94,296600
2000-12-27,82.0,82.94,81.63,81.75,532400
2000-12-28,82.38,82.44,81.25,81.63,541900
2000-12-29,81.69,83.75,81.63,82.88,582200
2001-01-02,82.88,83.88,78.56,78.69,519300
2001-01-03,76.69,86.81,76.69,86.25,1470500
2001-01-04,86.25,89.44,86.25,89.06,1791400
2001-01-05,89.94,89.94,85.75,87.25,1038700
2001-01-08,86.88,86.94,84.75,86.94,1147400
2001-01-09,86.0,88.19,86.0,87.75,771300
2001-01-10,86.88,87.13,85.25,87.0,858000
2001-01-11,86.75,91.81,86.06,91.81,961200
2001-01-12,90.81,92.44,89.31,92.13,1248700
2001-01-16,92.13,92.13,88.25,89.63,998300
2001-01-17,89.88,91.19,89.44,90.06,857700
2001-01-18,90.25,91.19,89.38,90.75,878100
2001-01-19,90.75,90.81,89.63,90.06,709000
2001-01-22,89.13,89.88,87.63,88.81,470300
2001-01-23,87.5,90.19,85.44,89.69,1041100
2001-01-24,89.69,91.75,88.44,89.75,536900
2001-01-25,89.56,91.94,87.44,91.0,968200
2001-01-26,91.0,91.0,88.25,89.31,778500
2001-01-29,90.31,91.25,89.91,91.15,501400
2001-01-30,91.4,91.4,89.0,90.99,672500
2001-01-31,90.99,91.9,89.05,91.3,1082200
2001-02-01,91.3,91.3,87.5,88.01,3647300
2001-02-02,88.01,88.01,86.31,86.89,1667100
2001-02-05,87.6,89.99,86.8,89.25,1348000
2001-02-06,89.95,90.2,87.9,88.55,1191000
2001-02-07,88.55,88.7,87.52,87.9,625000
2001-02-08,88.0,89.8,88.0,89.66,666800
2001-02-09,89.66,89.8,88.8,89.13,713700
2001-02-12,89.0,89.8,88.4,89.7,609200
2001-02-13,89.3,89.85,89.05,89.32,835200
2001-02-14,89.25,89.4,87.65,88.85,966000
2001-02-15,88.6,89.5,88.2,89.5,1125700
2001-02-16,88.8,89.98,88.25,88.75,831100
2001-02-20,89.6,94.91,89.6,94.51,1989200
2001-02-21,94.3,95.45,93.0,94.3,1515000
2001-02-22,94.3,95.25,92.5,92.9,1415200
2001-02-23,91.75,92.1,88.85,90.2,1631300
2001-02-26,90.35,91.0,89.51,90.15,1422700
2001-02-27,90.0,92.75,89.87,92.0,1094300
2001-02-28,92.0,92.0,89.65,90.69,1003500
2001-03-01,90.69,90.95,89.21,90.7,1415400
2001-03-02,90.45,91.94,89.8,91.52,966300
2001-03-05,91.0,91.01,89.27,89.73,987200
2001-03-06,89.98,91.45,89.9,91.12,1303100
2001-03-07,89.9,93.45,89.9,92.4,1170300
2001-03-08,91.4,92.0,90.5,91.88,1043300
2001-03-09,90.0,90.5,88.04,88.35,1206400
2001-03-12,88.0,88.01,83.1,83.5,1516100
2001-03-13,83.49,84.1,81.3,83.0,1977700
2001-03-14,82.0,83.15,80.65,81.2,1724100
2001-03-15,82.0,84.2,82.0,83.97,1024600
2001-03-16,83.75,84.1,81.65,83.1,1305600
2001-03-19,83.11,83.19,80.7,82.31,1143800
2001-03-20,82.85,84.15,82.2,82.6,1037400
2001-03-21,82.6,83.3,81.65,81.95,1222000
2001-03-22,81.55,81.55,77.1,79.6,1853700
2001-03-23,80.0,81.75,79.5,81.75,1024300
2001-03-26,81.65,82.65,79.8,80.6,1309000
2001-03-27,80.65,84.74,80.49,84.48,995500
2001-03-28,84.48,84.95,83.5,84.5,1305800
2001-03-29,84.75,84.9,81.5,82.74,1035200
2001-03-30,82.74,83.85,81.55,82.88,912600
2001-04-02,83.0,84.4,82.27,83.11,694200
2001-04-03,82.86,82.95,80.16,80.69,1041300
2001-04-04,80.57,80.65,78.0,79.5,1624500
2001-04-05,80.2,82.7,80.05,82.7,1231200
