,open,high,low,close,volume
2000-01-03,21.44,21.69,20.75,20.81,556300
2000-01-04,20.44,21.0,20.31,20.38,755100
2000-01-05,20.38,20.69,20.19,20.5,561500
2000-01-06,20.31,21.44,20.25,21.06,1598400
2000-01-07,21.56,22.5,21.31,21.69,1593100
2000-01-10,21.69,21.69,20.81,21.0,1081100
2000-01-11,21.0,22.0,20.94,21.81,1049900
2000-01-12,21.94,22.0,21.63,21.69,1011900
2000-01-13,21.69,22.5,21.63,22.38,1436400
2000-01-14,22.38,22.44,21.56,22.0,922200
2000-01-18,21.5,22.13,21.25,22.0,1267100
2000-01-19,22.0,22.5,21.81,22.31,1450500
2000-01-20,22.63,22.63,21.88,22.13,789000
2000-01-21,22.13,22.25,21.5,21.69,1540800
2000-01-24,22.0,22.0,20.63,20.88,1302600
2000-01-25,21.75,21.75,19.75,19.81,2052400
2000-01-26,20.0,20.56,19.88,20.31,1291300
2000-01-27,20.56,20.56,19.94,20.13,1087600
2000-01-28,19.75,20.38,19.75,20.0,1058500
2000-01-31,20.19,20.19,19.25,19.88,1083400
2000-02-01,19.81,20.0,19.38,19.81,766800
2000-02-02,19.81,20.13,19.5,19.63,1211100
2000-02-03,19.5,19.75,19.31,19.5,827800
2000-02-04,19.69,19.81,19.44,19.5,913200
2000-02-07,19.31,19.56,19.25,19.44,801000
2000-02-08,19.31,19.56,19.13,19.31,709700
2000-02-09,19.5,19.5,18.88,19.0,2091300
2000-02-10,19.0,19.5,18.94,18.94,1106500
2000-02-11,19.0,19.19,18.38,18.5,2198100
2000-02-14,18.5,18.56,16.75,17.25,4715500
2000-02-15,17.19,18.0,16.94,17.94,5831900
2000-02-16,17.94,18.25,17.63,18.13,1740100
2000-02-17,18.06,18.25,17.5,17.63,761300
2000-02-18,17.63,17.69,17.06,17.25,1193400
2000-02-22,17.25,17.5,17.13,17.25,929300
2000-02-23,17.25,17.25,16.63,16.81,1124200
2000-02-24,16.88,16.88,16.38,16.44,1041000
2000-02-25,16.44,16.44,15.75,15.75,1633900
2000-02-28,16.0,16.13,15.75,15.88,2324900
2000-02-29,15.88,16.31,15.81,16.06,1819500
2000-03-01,16.13,16.44,15.94,16.06,2663300
2000-03-02,16.06,17.06,15.94,16.88,3216200
2000-03-03,16.88,17.31,16.63,17.19,1285400
2000-03-06,17.25,17.38,17.0,17.25,1022600
2000-03-07,17.44,18.13,17.17,17.81,1321200
2000-03-08,18.25,18.25,17.38,17.44,2348600
2000-03-09,17.38,17.5,17.0,17.19,1132300
2000-03-10,17.06,17.56,17.06,17.44,1710000
2000-03-13,17.0,17.5,17.0,17.38,1234900
2000-03-14,17.38,17.44,17.0,17.19,1600700
2000-03-15,17.25,17.5,17.06,17.38,1179200
2000-03-16,17.38,18.31,17.38,18.25,1677300
2000-03-17,18.25,18.38,17.88,18.25,1792100
2000-03-20,18.25,18.44,18.06,18.06,878300
2000-03-21,18.13,18.69,18.13,18.5,1322400
2000-03-22,18.5,18.81,18.44,18.69,1362600
2000-03-23,18.69,18.88,18.63,18.81,1561400
2000-03-24,18.94,19.19,18.81,19.0,859000
2000-03-27,19.06,19.25,18.75,19.0,1071700
2000-03-28,19.0,19.31,19.0,19.13,960000
2000-03-29,19.13,19.75,19.06,19.5,1697700
2000-03-30,19.69,20.5,19.56,20.25,1617200
2000-03-31,20.38,20.94,20.31,20.75,2283100
2000-04-03,20.56,20.88,20.5,20.81,954900
2000-04-04,20.75,21.0,20.31,20.63,1723300
2000-04-05,20.75,21.19,20.63,20.94,2048400
2000-04-06,21.0,21.75,21.0,21.69,1509700
2000-04-07,21.69,21.88,21.25,21.44,1593300
2000-04-10,21.44,21.56,21.06,21.38,1162600
2000-04-11,21.38,21.81,21.38,21.56,2238900
2000-04-12,21.63,21.88,21.56,21.69,2809000
2000-04-13,21.63,22.13,21.5,21.63,960500
2000-04-14,21.75,22.06,20.75,21.44,1613100
2000-04-17,21.0,21.25,20.38,20.88,1019200
2000-04-18,21.06,21.06,19.75,20.13,1076700
2000-04-19,20.56,20.63,20.19,20.44,916000
2000-04-20,20.44,20.63,19.75,20.56,1253300
2000-04-24,20.75,21.13,20.5,20.94,956900
2000-04-25,21.31,21.44,21.19,21.38,1113100
2000-04-26,21.63,22.13,21.5,21.75,1085900
2000-04-27,21.75,22.13,21.63,21.94,1011300
2000-04-28,21.81,22.06,21.0,21.44,1347400
2000-05-01,21.44,22.0,21.31,21.88,663900
2000-05-02,22.0,22.19,21.75,21.88,861300
2000-05-03,21.88,21.88,21.13,21.25,1005800
2000-05-04,21.5,22.0,21.38,21.69,971300
2000-05-05,21.56,22.25,21.56,22.19,667000
2000-05-08,21.94,22.69,21.94,22.69,877000
2000-05-09,22.75,22.88,22.13,22.75,774100
2000-05-10,22.75,23.13,22.69,22.88,1374200
2000-05-11,23.0,23.31,22.88,23.13,1890300
2000-05-12,23.19,23.31,23.06,23.19,570400
2000-05-15,23.25,23.38,23.0,23.06,1579200
2000-05-16,23.06,23.44,22.94,23.38,1249300
2000-05-17,23.06,23.63,23.06,23.63,1546200
2000-05-18,23.63,24.13,23.63,24.13,1443100
2000-05-19,24.13,24.13,23.44,24.13,848100
2000-05-22,24.13,24.31,23.63,23.94,969200
2000-05-23,24.0,24.0,23.38,23.44,794700
2000-05-24,23.56,23.56,23.13,23.38,1067400
2000-05-25,23.25,23.25,22.38,22.69,760400
2000-05-26,22.88,23.0,22.75,22.81,445200
2000-05-30,23.06,23.06,22.69,22.88,699900
2000-05-31,22.94,23.44,22.81,23.44,726300
2000-06-01,23.63,23.75,23.25,23.38,680700
2000-06-02,23.25,23.31,22.31,22.63,758700
2000-06-05,22.38,22.75,21.94,22.25,740800
2000-06-06,21.75,23.06,21.69,23.0,1378000
2000-06-07,22.88,23.0,22.56,22.81,691400
2000-06-08,22.69,22.94,22.5,22.69,488700
2000-06-09,22.44,22.69,22.25,22.56,428100
2000-06-12,22.69,23.19,22.56,23.0,1068900
2000-06-13,22.5,23.31,22.5,22.63,665500
2000-06-14,23.0,23.44,22.63,22.69,923600
2000-06-15,22.88,23.19,22.31,22.38,716600
2000-06-16,22.63,23.69,22.56,23.63,1093400
2000-06-19,23.75,23.88,22.75,22.75,1801700
2000-06-20,22.75,22.75,21.88,22.56,841000
2000-06-21,22.44,23.75,22.19,23.5,1560800
2000-06-22,23.25,24.06,23.0,23.19,1380900
2000-06-23,23.25,23.88,23.25,23.44,756500
2000-06-26,23.13,23.25,22.25,22.31,1070500
2000-06-27,22.06,22.19,21.69,21.94,975300
2000-06-28,22.13,22.31,21.63,21.71,540900
